Nome: BOA VISTA
Codigo Estacao: 82024
Latitude: 2.82944443
Longitude: -60.66194444
Altitude: 84.18
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;7,8;0;34,2;28,5;24,1;63,3;48;1,9;
2015-01-02;null;8,4;0;34,6;28,5;24,8;62;46;2,1;
2015-01-03;null;9,9;0;35,2;28,8;24,4;56,5;37;2,4;
2015-01-04;null;9,9;0;35,4;29,4;24,4;57,8;44;1,4;
2015-01-05;null;8,2;0;33,6;28,3;24;66;50;1,7;
2015-01-06;null;9,7;0;34,9;28,2;24;61,3;41;2,4;
2015-01-07;null;9;0;34,9;28,4;23;60;44;2,1;
2015-01-08;null;6,1;0;34;28,7;24,6;60,8;50;2,4;
2015-01-09;null;6,6;0;35,4;29,4;25,8;60,5;46;2,1;
2015-01-10;null;5,3;0;35,3;28,5;25,8;70;48;1,7;
2015-01-11;null;6,2;0;34,9;28,9;24,8;61;76;1;
2015-01-12;null;5,3;0;33,7;28,2;24,2;66,5;51;1,5;
2015-01-13;null;6,9;0;35;29;24,9;65,8;50;1,4;
2015-01-14;null;7;0;34,6;29,3;25,1;64,5;62;2,2;
2015-01-15;null;2,7;1;33,7;27,9;25,1;75;53;,9;
2015-01-16;null;7,2;0;35,8;28,9;24,6;62,3;50;1,9;
2015-01-17;null;9,6;0;37,8;29,4;24,4;70,8;40;1,4;
2015-01-18;null;7,5;0;35;29,5;25,2;60,5;53;1;
2015-01-19;null;5,4;1,3;33,9;28,5;24,6;68,5;55;1,4;
2015-01-20;null;4,3;0;34,1;27,3;25,2;79;59;1;
2015-01-21;null;6,7;2;33,3;28,7;24,3;64,8;47;1,4;
2015-01-22;null;7,1;2,2;32,9;27,7;24;70,8;53;2,1;
2015-01-23;null;7,3;0;34,9;28,7;25;60,8;42;2,1;
2015-01-24;null;9,4;0;35,8;29,1;24,8;57,5;40;1,7;
2015-01-25;null;9,9;0;36;29,5;25,2;57,3;49;3,4;
2015-01-26;null;6,3;0;34,7;28,9;25,6;55,8;44;2,7;
2015-01-27;null;5,2;0;33,3;28,7;24,5;57;51;2,9;
2015-01-28;null;7,2;0;33,9;28,6;25;64;56;2,1;
2015-01-29;null;0;0;32;27;25,2;80,8;63;1,7;
2015-01-30;null;5,6;,4;33,6;28,1;24,6;70,3;63;2,1;
2015-01-31;null;5,4;null;35,4;null;null;63;52;1,5;
2015-02-01;null;5,4;0;35,5;29,2;25,1;58,8;46;2,2;
2015-02-02;null;6,3;0;35,7;29,3;24,5;56,8;36;2,2;
2015-02-03;null;5,3;0;36,2;29,5;24,5;62;43;1;
2015-02-04;null;null;0;null;null;24,7;null;41;2,3;
2015-02-05;null;9,3;0;34,9;28,8;24,9;60,8;48;2,1;
2015-02-06;null;9,7;0;35,7;29,2;24,6;55,3;42;1,7;
2015-02-07;null;9,6;0;38;30,4;24;52;37;1,4;
2015-02-08;null;9,7;0;38,2;31;25;53;39;1,4;
2015-02-09;null;4,5;0;34,9;29,4;26,6;59,8;44;2,1;
2015-02-10;null;8,3;0;37;29,5;25;55,5;42;2,1;
2015-02-11;null;8,5;0;37,9;30;25,9;64,5;45;1;
2015-02-12;null;8,2;0;37,6;30,4;25,4;58,5;40;2,1;
2015-02-13;null;3,6;,2;38,1;30;24,6;62,5;63;2,1;
2015-02-14;null;null;0;null;null;25,6;null;46;2,3;
2015-02-15;null;7;0;35,7;29,4;25,1;64,5;43;1,4;
2015-02-16;null;2,8;0;34,2;28,6;25,3;59,3;43;2,4;
2015-02-17;null;7,5;0;34,9;29,5;25,6;63,3;51;1,7;
2015-02-18;null;7,6;0;34,5;29,1;25,1;61,3;52;2,1;
2015-02-19;null;10,1;0;35,1;29,2;25,4;59;42;2,4;
2015-02-20;null;10,3;0;36,7;29,9;24,8;53,5;39;2,1;
2015-02-21;null;9,4;0;36,2;29,4;25,2;59,5;43;1,7;
2015-02-22;null;10,2;0;36,6;29,9;25,4;56,8;43;2,1;
2015-02-23;null;4,1;0;35,7;29,7;25,4;57,5;49;2,1;
2015-02-24;null;,3;0;33,3;28,7;25,4;63,5;55;1;
2015-02-25;null;null;0;null;null;24;null;64;4,1;
2015-02-26;null;5;0;35,6;29,8;25,9;59,8;51;2,1;
2015-02-27;null;4,1;,8;34,5;28,3;23,6;69;50;2,2;
2015-02-28;null;8,6;0;36,6;29,5;25,1;59,3;41;1;
2015-03-01;null;8,1;0;35,2;29,4;25,4;64,8;46;1,9;
2015-03-02;null;null;0;null;null;24,4;null;69;2,6;
2015-03-03;null;2,7;0;35;30,2;25,8;57;67;,8;
2015-03-04;null;1;0;33;28,2;25,2;68;53;2,3;
2015-03-05;null;3,9;0;36;29,3;25;63;61;1;
2015-03-06;null;2,4;0;36,2;29,9;25,2;62;60;2,6;
2015-03-07;null;4,1;0;34,1;28,9;25,8;75;61;2,1;
2015-03-08;null;6,7;0;30,6;28,8;25,8;62;66;2,1;
2015-03-09;null;2,1;0;35,2;29,3;26,5;72;60;1,8;
2015-03-10;null;6,8;0;34,2;29,2;25,4;63;69;2,8;
2015-03-11;null;6,4;0;35,9;29,7;24,5;58;61;2,6;
2015-03-12;null;9,5;0;36,2;30,1;25,6;58;57;2,1;
2015-03-13;null;8,8;0;36,1;30;25,4;58;56;3,1;
2015-03-14;null;7,4;0;36,3;30,3;25,7;59;57;2,3;
2015-03-15;null;2,8;0;34,6;29,2;23,7;59;57;2,6;
2015-03-16;null;null;0;35,3;30,3;26,5;59;62;2,3;
2015-03-17;null;0;0;34,5;29,5;27;65;61;1,8;
2015-03-18;null;5;0;34,4;29,3;26;62;66;2,3;
2015-03-19;null;7;0;37;30,2;26,2;65;59;1;
2015-03-20;null;null;0;null;null;24,8;null;61;3,1;
2015-03-21;null;1,2;0;34,5;29,3;25,9;63;71;1;
2015-03-22;null;3;0;36;30,1;25,8;59;59;1;
2015-03-23;null;7,4;0;36,2;29,3;22,3;58;60;1,3;
2015-03-24;null;2,5;0;37;29,9;25,4;65;61;1,5;
2015-03-25;null;2,5;0;38,4;31,1;26,5;62;65;,5;
2015-03-26;null;6,1;0;36,8;30,5;27,1;62;58;1,5;
2015-03-27;null;6,9;0;36,8;30,8;25,6;61;63;1,8;
2015-03-28;null;7,8;0;36,3;30,8;25,8;56;58;2,8;
2015-03-29;null;4;2,5;35;27,9;23,8;81;55;1,8;
2015-03-30;null;1;0;33,6;28,7;24,5;73;66;2,3;
2015-03-31;null;0;5,2;31;27,6;26,3;76;68;1,8;
2015-04-01;null;6,2;0;34,9;29,2;25,1;67;64;1;
2015-04-02;null;10,4;0;37,5;29,7;25,3;62;68;2,6;
2015-04-03;null;10,4;0;36,5;29,9;25,1;59;60;2,1;
2015-04-04;null;9,5;0;37,1;30,3;25,1;57;56;2,1;
2015-04-05;null;10;0;36,8;30,8;24,8;55;55;3,1;
2015-04-06;null;8,8;0;38,1;31;25,4;49;45;2,6;
2015-04-07;null;9,7;0;38,5;31,3;25,5;56;49;1,8;
2015-04-08;null;9;0;38,2;30;26,1;62;54;2,6;
2015-04-09;null;5,1;0;37,4;30,3;26,4;60;61;2,6;
2015-04-10;null;7,6;0;37;30,5;26,1;61;58;2,8;
2015-04-11;null;8,7;0;34,9;29,9;25,9;62;59;2,6;
2015-04-12;null;1,8;0;34,5;29,9;26,8;65;60;1,8;
2015-04-13;null;5,9;0;36,7;30,9;26,8;62;62;1,5;
2015-04-14;null;4,6;0;33,1;28,6;25,8;71;58;2,6;
2015-04-15;null;5,5;0;35;29,8;25,2;70;70;1,8;
2015-04-16;null;4,5;1;36,2;28,8;26,2;80;70;1,5;
2015-04-17;null;1,7;1,4;32,8;27,1;24,8;89;83;,5;
2015-04-18;null;2,2;,3;33,9;27,9;23,8;78;88;,5;
2015-04-19;null;2,1;1,6;34;28,7;24,9;76;74;1;
2015-04-20;null;5,1;0;34,3;29,2;26;67;71;1,5;
2015-04-21;null;6;7;35,4;29;23,8;72;66;,5;
2015-04-22;null;3,9;0;34,6;28,9;25,1;70;66;2,6;
2015-04-23;null;7,3;0;34,9;29,3;24,9;61;67;1,5;
2015-04-24;null;7,1;39,2;34,5;28,5;24,2;72;63;1;
2015-04-25;null;2,7;5,6;32,7;28;24,8;82;72;1;
2015-04-26;null;7,1;0;34,5;28,9;24,8;72;74;1,5;
2015-04-27;null;6,5;0;34,2;29,5;26,2;63;69;3,1;
2015-04-28;null;7;0;35,3;29,7;24,6;66;61;1,3;
2015-04-29;null;2,8;0;33,2;28,9;25,6;73;65;1,8;
2015-04-30;null;7,3;0;34,6;29,4;25,7;69;62;1,3;
2015-05-01;null;3,3;0;33,6;29,1;26,2;70;66;1;
