Nome: CARACARAI
Codigo Estacao: 82042
Latitude: 1.83249999
Longitude: -61.12083332
Altitude: 51.99
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;0;34;28;22,6;68,5;63;2,1;
2015-01-02;null;null;0;34,8;28;23,6;68,5;48;2,1;
2015-01-03;null;null;0;35,6;28,9;23,2;63,5;57;2,1;
2015-01-04;null;null;0;35,8;29,1;22,6;60,3;44;1,7;
2015-01-05;null;null;0;33,6;28,5;24;61,5;51;1,7;
2015-01-06;null;null;0;34,8;28,5;23,6;57,3;40;,7;
2015-01-07;null;null;0;33,8;28,4;23,2;79,5;62;,7;
2015-01-08;null;null;0;34,6;28,8;25;66,3;50;1,7;
2015-01-09;null;null;0;34,6;28,8;25,2;67;50;,7;
2015-01-10;null;null;0;33,6;27,4;24,2;78,5;60;1,4;
2015-01-11;null;null;4;31,8;27,5;24,2;86,3;83;,7;
2015-01-12;null;null;4,4;33,4;27,4;23,4;73,8;50;0;
2015-01-13;null;null;0;34,4;27,1;22,8;78,5;49;1,4;
2015-01-14;null;null;4;33,8;27,5;22,8;79,3;54;,7;
2015-01-15;null;null;4,4;32,4;27,1;23,4;80;59;,7;
2015-01-16;null;null;0;34;27,6;23,8;77,3;53;0;
2015-01-17;null;null;11,4;34,8;28,7;23,6;68,3;55;,7;
2015-01-18;null;null;0;32,8;27,8;24;79,8;60;0;
2015-01-19;null;null;0;33;27,4;23,2;76,8;59;0;
2015-01-20;null;null;3;33,8;26,5;23;81,3;55;1,4;
2015-01-21;null;null;8,2;32,8;26,6;23,2;83,8;72;,7;
2015-01-22;null;null;0;33,6;27,8;24,4;73,3;53;1,7;
2015-01-23;null;null;0;33,8;28,4;24,6;72,8;60;,7;
2015-01-24;null;null;0;35,2;28,8;24,2;75,3;57;1,7;
2015-01-25;null;null;0;35;28,4;22,8;70;48;1,4;
2015-01-26;null;null;0;33,6;28,8;25;70,3;52;1,4;
2015-01-27;null;null;0;34;27,9;22,6;67,5;46;1,7;
2015-01-28;null;null;0;33,8;28,3;24,6;69,5;51;1,4;
2015-01-29;null;null;11,4;30,8;26,3;23,2;88;72;,7;
2015-01-30;null;null;1,2;34;28,5;23,6;68,5;58;1,7;
2015-01-31;null;null;0;33,8;28,2;24;73,5;50;1,7;
2015-02-01;null;null;0;33,6;28,5;24,4;76,8;68;1,4;
2015-02-02;null;null;0;33,6;28,1;24,8;69,3;58;1,4;
2015-02-03;null;null;0;32,8;28;24,4;70;53;,7;
2015-02-04;null;null;0;33,4;28,3;24,6;62,8;47;1,7;
2015-02-05;null;null;0;34,6;27,8;22;60,3;47;1,4;
2015-02-06;null;null;0;35,4;28,2;20,8;66,3;53;1,7;
2015-02-07;null;null;0;36,6;28,6;22;63,5;41;1;
2015-02-08;null;null;0;37,6;29,3;22,4;62,5;38;1,4;
2015-02-09;null;null;0;34,4;28,4;24,2;64,8;54;,7;
2015-02-10;null;null;0;36,2;28,5;22,6;65,8;40;1,7;
2015-02-11;null;null;0;36,8;30,2;24,4;60,5;48;1,4;
2015-02-12;null;null;0;37,6;30,1;23,8;59,8;41;1,4;
2015-02-13;null;null;0;36,2;29,8;24,6;59;40;1,4;
2015-02-14;null;null;0;35,2;28,9;24,8;68;50;1,7;
2015-02-15;null;null;0;33,8;27,5;23,6;83,3;73;1,4;
2015-02-16;null;null;6,2;32,8;28,1;24,4;68,8;56;0;
2015-02-17;null;null;0;34,6;28,7;23;66,3;50;1,4;
2015-02-18;null;null;0;35;28,7;24,6;61,3;43;1;
2015-02-19;null;null;0;35,6;29,4;23,6;54,8;48;1,7;
2015-02-20;null;null;0;36,4;29,2;22,4;58,3;41;,7;
2015-02-21;null;null;0;36,6;29,6;23,6;57;38;,7;
2015-02-22;null;null;0;36,2;29,6;25,2;62,8;43;1,7;
2015-02-23;null;null;2;33,2;28,2;24,2;71,8;46;0;
2015-02-24;null;null;4;32;27,9;24,4;72;69;1,7;
2015-02-25;null;null;0;null;null;25;null;39;1;
2015-02-26;null;null;0;34,6;28,1;25,4;74,5;54;,7;
2015-02-27;null;null;1,4;34;27;23,6;83,8;59;0;
2015-02-28;null;null;6;35;28,7;23,4;68;53;,7;
2015-03-01;null;null;0;35,4;29,1;24;64,3;49;1,4;
2015-03-02;null;null;0;34,8;28,4;25,4;71,3;54;0;
2015-03-03;null;null;0;33,2;28,1;25,2;72,5;57;1,4;
2015-03-04;null;null;6;null;null;24,8;null;75;0;
2015-03-05;null;null;1;33,8;28,4;24,4;69;47;0;
2015-03-06;null;null;0;34;28,6;24,8;65;49;1,4;
2015-03-07;null;null;0;35,2;29;23,8;65,5;48;0;
2015-03-08;null;null;0;30,8;28,7;25,6;60,5;40;1,4;
2015-03-09;null;null;0;33;28,3;25,6;71,5;56;,7;
2015-03-10;null;null;0;34;28,9;24;69,3;56;1,4;
2015-03-11;null;null;0;34,6;29,1;25,4;60;51;1;
2015-03-12;null;null;0;36,2;30,4;24,8;55,8;41;1,7;
2015-03-13;null;null;0;36;29,8;23,6;56,8;39;,7;
2015-03-14;null;null;0;36;29,5;25;56,8;39;1,7;
2015-03-15;null;null;0;32,8;29,2;25,8;67,8;59;1,4;
