Nome: IAUARETE
Codigo Estacao: 82067
Latitude: 0.60222222
Longitude: -69.19277777
Altitude: 107.73
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2019-08-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;3,3;null;null;22,5;null;61;1,5;
2015-01-02;null;null;0;null;null;23,6;null;91;0;
2015-01-03;null;2,8;0;32,8;26,4;22,2;88,8;75;1,7;
2015-01-04;null;5,2;2,7;33,4;28,1;22,3;73,8;60;1;
2015-01-05;null;4,2;0;31,8;26,6;22,3;80,5;70;,7;
2015-01-06;null;1;0;32;26,9;22,8;85;75;1,4;
2015-01-07;null;,6;0;29,6;25,4;23,7;89,8;81;2,1;
2015-01-08;null;1,1;8,4;37,6;27;22,6;93,5;91;1,4;
2015-01-09;null;5,7;5,6;33;27,8;23,6;82;73;1,4;
2015-01-10;null;0;9,6;30;25,2;22,2;95;79;2,4;
2015-01-11;null;3,5;6,8;31,6;26;22,3;89;79;1;
2015-01-12;null;2,8;0;31;27,3;22,5;88;90;,5;
2015-01-13;null;2,8;0;32,4;25,2;22,4;90;74;1,4;
2015-01-14;null;0;30;26,8;25,1;22,8;88,8;91;1;
2015-01-15;null;4,5;4,2;33,4;26,1;21,6;86,5;71;1;
2015-01-16;null;5,6;25,6;33,4;27,9;23,1;79;72;1,7;
2015-01-17;null;,2;4,5;30;26,6;23,5;90;74;,5;
2015-01-18;null;,6;27;29,2;24,7;23,8;96;86;1;
2015-01-19;null;1;16,4;28,6;24,8;21,8;89,3;83;1,4;
2015-01-20;null;2,2;0;32,2;25,6;22,4;89;72;1,4;
2015-01-21;null;0;11,8;26;24;23,2;96,3;93;1,4;
2015-01-22;null;1,7;56,2;29,4;25,2;21,9;93;92;1;
2015-01-23;null;1,2;8,3;30,2;25,1;23,2;91,3;75;1,4;
2015-01-24;null;5;1,5;33;26,9;22,6;82,5;72;1,4;
2015-01-25;null;2;0;31,6;26;23,4;87,3;73;1,7;
2015-01-26;null;3,1;2;33,2;26,6;21,8;81,8;72;1;
2015-01-27;null;2,8;0;32,6;25,2;22,3;86;66;1,4;
2015-01-28;null;8,2;35,5;33,4;28,2;22,1;73;65;,9;
2015-01-29;null;4,6;11,7;34,6;27,4;22,2;79,8;64;1,4;
2015-01-30;null;0;14,9;28,7;24,6;23,2;95,8;78;1,4;
2015-01-31;null;null;25,6;null;null;null;null;94;1;
2015-02-01;null;4,1;,5;32;25,9;22,4;87;71;1;
2015-02-02;null;0;12,5;29,6;25,2;22,4;91,8;85;1,4;
2015-02-03;null;3,9;1;32;25,9;22,6;86,5;66;1,4;
2015-02-04;null;,4;0;28,8;25,5;23,3;95,5;92;1,4;
2015-02-05;null;6,7;49,3;33;27,7;23,2;79,3;67;2,1;
2015-02-06;null;6;0;30,8;27,4;22,7;78;64;1,4;
2015-02-07;null;7,3;0;35,6;29,1;23,4;73,3;58;,7;
2015-02-08;null;2,7;52,8;33,6;26,2;22,6;89,8;70;,7;
2015-02-09;null;0;26,1;32,2;25,4;22,8;88,5;68;1;
2015-02-10;null;0;22,2;30;25,4;22,6;94;92;,7;
2015-02-11;null;6,8;9,3;33,9;28,4;22,3;76,3;69;1,4;
2015-02-12;null;,2;0;31,6;25,7;23,6;88;69;1,4;
2015-02-13;null;1,4;2,6;31,2;25,8;24;88;92;1;
2015-02-14;null;,3;1,7;29,2;24,8;23,4;91;79;,3;
2015-02-15;null;null;17,5;null;null;22,3;null;95;1;
2015-02-16;null;1,1;0;32,2;26,1;23,2;87,5;63;0;
2015-02-17;null;1,2;10,3;32;27,2;22,5;82;74;,7;
2015-02-18;null;null;0;null;null;22,8;null;79;,5;
2015-02-19;null;null;0;null;null;null;null;58;3,1;
2015-02-20;null;5,2;0;35,6;null;null;71;60;1,5;
2015-02-21;null;2,8;0;34,4;null;null;84;55;1;
2015-02-22;null;null;0;null;null;24,4;null;69;,5;
2015-02-23;null;null;0;null;null;null;null;71;2,1;
2015-02-24;null;7,2;0;34,4;28,9;22,4;66,8;57;1,4;
2015-02-25;null;null;53;null;null;23,2;null;60;0;
2015-02-26;null;0;2;32;26,6;23,5;85;69;1;
2015-02-27;null;0;0;29,3;25,2;23,6;95,5;87;,7;
2015-02-28;null;1,6;19,5;32,2;26,8;22,1;84;74;,7;
2015-03-01;null;5;0;33;26,6;23,3;88;69;1,4;
2015-03-02;null;3,1;1,8;31,4;27,1;22,8;82;79;1,4;
2015-03-03;null;3;0;30,4;25;22,1;88,5;72;,3;
2015-03-04;null;3;4,9;30,3;26,5;23,4;87,3;92;,3;
2015-03-05;null;0;9,4;28,6;26,2;23,5;88,3;81;1;
2015-03-06;null;,7;0;30,5;26,3;23,1;85;84;,7;
2015-03-07;null;6;3,7;32,4;27,6;22;75,5;58;1,4;
2015-03-08;null;2,8;0;30,2;27,2;24,1;86,3;73;1,4;
2015-03-09;null;3,1;7,9;33,2;27,1;23,8;86,5;79;2,1;
2015-03-10;null;2;1,5;31,5;27,6;24;87;85;,5;
2015-03-11;null;,3;13,1;31,4;26,7;23,3;84,5;77;1,4;
2015-03-12;null;0;0;30,4;25,4;23,3;96,8;83;,3;
2015-03-13;null;2,2;30,8;32,2;25,8;23,8;89;67;1;
2015-03-14;null;0;59,3;26,6;24,5;23,4;96,3;88;2,4;
2015-03-15;null;3,1;25,7;32,8;26;22,4;87;68;,7;
2015-03-16;null;1,2;,7;31,5;26,1;22,4;90,5;85;,7;
2015-03-17;null;0;10,7;28,6;24,7;23,6;96,3;90;1,4;
2015-03-18;null;2,9;14,2;32,2;26,5;22,2;85,3;72;,3;
2015-03-19;null;0;0;27,9;25;23,2;91,8;85;1,7;
2015-03-20;null;0;32;29,8;26,2;23,4;86,8;80;,7;
2015-03-21;null;2,9;1,9;33,4;26,3;23,7;92,3;85;,3;
2015-03-22;null;3,2;3,1;33,6;27;22;81,8;81;,7;
2015-03-23;null;,6;null;32,4;null;null;83;75;,5;
2015-03-24;null;3,1;8,7;33,4;28,3;23,5;80;70;,7;
2015-03-25;null;3,3;5;33,4;26,1;23,3;84,3;59;,3;
2015-03-26;null;2,8;1;34,3;27,7;23,6;77,8;61;,7;
2015-03-27;null;7,7;5,7;35;29,1;23,9;74,5;62;1,4;
2015-03-28;null;0;0;31,1;27,1;24;84;68;,7;
2015-03-29;null;2,4;28;30,8;26,8;22,8;82;88;,7;
2015-03-30;null;0;null;30,4;null;null;83;72;1;
2015-03-31;null;1,9;0;30,6;26,4;22,2;80;72;1,7;
2015-04-01;null;2,3;0;32,2;27,9;24,1;78,5;76;1;
2015-04-02;null;2;3,4;30,2;26,8;24;84;69;2,1;
2015-04-03;null;,7;4,4;33;27;24,4;87,3;75;1;
2015-04-04;null;3;1,6;32,4;27,6;23,3;81;74;1,4;
2015-04-05;null;6,9;0;35;27,5;21,5;78,3;63;,3;
2015-04-06;null;null;1,2;null;null;24,2;null;58;1;
2015-04-07;null;0;0;33,6;25,8;23,4;88,8;83;0;
2015-04-08;null;4,2;28,7;33,4;25,9;22,4;87,3;72;,3;
2015-04-09;null;3,6;5,2;33;27,7;23,2;80,3;73;,3;
2015-04-10;null;,7;0;31,6;26,3;23,9;88,3;76;,7;
2015-04-11;null;1,6;5,3;31,4;27,3;24,2;85,8;78;1,4;
2015-04-12;null;1,2;16,8;32,8;27,7;24;85,8;83;,7;
2015-04-13;null;3,8;67,7;32;25,9;23,6;83;76;0;
2015-04-14;null;null;1,8;null;null;23,8;null;86;0;
2015-04-15;null;2,4;0;32,4;26,2;24,4;87,5;75;,3;
2015-04-16;null;3,2;1;31,9;26,5;23,4;86,5;74;,7;
2015-04-17;null;5,5;2;33,2;27;23,8;82,3;67;1;
2015-04-18;null;2,4;0;33,4;26;23,2;93,3;81;0;
2015-04-19;null;1,4;3,4;33;26,7;23,1;85,5;69;0;
2015-04-20;null;0;2,4;27,1;24,2;24,2;96,5;89;,7;
2015-04-21;null;1,5;17,7;30,7;24,5;21,7;87,3;80;,3;
2015-04-22;null;0;0;34,6;26,5;20,7;81,8;63;1;
2015-04-23;null;1,2;14,7;30,2;25;22,4;90,8;75;1,4;
2015-04-24;null;0;0;30,4;26,4;24;85,5;66;,7;
2015-04-25;null;3,5;15,8;34,8;27,6;23,2;80,8;63;,7;
2015-04-26;null;0;0;30,4;26,6;24,6;90;82;,7;
2015-04-27;null;,2;5,9;33;27,1;24,4;87;70;,7;
2015-04-28;null;4;16,6;33,6;28,4;24,1;78,8;67;,7;
2015-04-29;null;3,5;28;33,2;28,4;24;76,8;63;1,4;
2015-04-30;null;0;1;30,4;26,1;24;95,3;75;1,4;
2015-05-01;null;,3;36,9;29,5;25,7;23,7;84;78;1,7;
2015-05-02;null;7;0;33;27,8;23,2;81;72;,7;
2015-05-03;null;null;0;null;null;22;null;71;1,5;
2015-05-04;null;null;12;null;null;23,8;null;67;1,5;
2015-05-05;null;,2;3,3;31,4;25,9;23,6;94;96;0;
2015-05-06;null;,2;16,7;27,9;24,6;23,1;96;92;,3;
2015-05-07;null;2,7;42,2;30,8;26;21,6;84,5;74;,3;
2015-05-08;null;5,2;3,2;31,4;27,7;23,6;80,5;79;,3;
2015-05-09;null;null;0;null;null;24,6;null;72;0;
2015-05-10;null;null;null;null;null;null;null;null;null;
2015-05-11;null;4,7;8;33;27,2;24,2;86,8;73;1,4;
2015-05-12;null;0;70,3;27,4;24,8;23,1;96,3;89;,3;
2015-05-13;null;2,7;19,3;32;26,1;23,7;84,5;80;,3;
2015-05-14;null;6;4,7;32,6;27,5;23,7;81,5;72;1,4;
2015-05-15;null;7;0;32,9;28,1;23,8;78,3;64;,7;
2015-05-16;null;6;0;32,4;28;23,8;78,3;72;1,4;
2015-05-17;null;null;2,3;null;null;24;null;69;1,5;
2015-05-18;null;5,8;112;33,2;27,8;22,7;80,5;75;,3;
2015-05-19;null;4;8,4;31;27,1;24,2;83,5;72;,7;
2015-05-20;null;2,7;4,1;29,2;25,9;23,3;89,8;83;1,4;
2015-05-21;null;4,6;1;31,2;26,1;22,4;89,3;85;,3;
2015-05-22;null;,8;3,5;28,9;26,4;24,4;88,5;88;,3;
2015-05-23;null;4,5;5;32;27,7;24,1;82,8;75;1;
2015-05-24;null;2,9;9,9;31;25,6;23,2;90,8;79;,3;
2015-05-25;null;null;4,2;null;null;23,4;null;74;1,5;
2015-05-26;null;null;null;null;null;null;null;null;null;
2015-05-27;null;null;null;null;null;null;null;null;null;
2015-05-28;null;null;null;null;null;null;null;null;null;
2015-05-29;null;null;null;null;null;null;null;null;null;
2015-05-30;null;null;null;null;null;null;null;null;null;
2015-05-31;null;null;null;null;null;null;null;null;null;
2015-06-01;null;null;null;null;null;null;null;null;null;
2015-06-02;null;null;null;null;null;null;null;null;null;
2015-06-03;null;null;null;null;null;null;null;null;null;
2015-06-04;null;null;null;null;null;null;null;null;null;
2015-06-05;null;5,5;null;31,2;null;null;90;null;0;
2015-06-06;null;5,9;4,6;31,4;26,4;23,2;90;86;0;
2015-06-07;null;0;null;27,8;null;null;96;89;0;
2015-06-08;null;2,8;null;30,5;null;null;90;76;1,5;
2015-06-09;null;2,3;4,8;29,4;24,8;23,2;90;78;1,4;
2015-06-10;null;null;0;null;null;22;null;78;1;
2015-06-11;null;null;null;null;null;null;null;null;null;
2015-06-12;null;2,3;null;30,4;null;null;95;75;,5;
2015-06-13;null;6,3;5,2;31;27,4;22;78;77;1;
2015-06-14;null;null;4,2;null;null;24,2;null;77;1;
2015-06-15;null;null;0;null;null;22,4;null;96;0;
2015-06-16;null;4,3;null;31,4;null;null;92;null;0;
2015-06-17;null;2,5;3,1;29;26,1;23,6;90,8;88;1;
2015-06-18;null;,9;11,4;31,2;26,7;22,4;85,3;73;,3;
2015-06-19;null;0;0;28,1;25,4;23,1;94,5;85;0;
2015-06-20;null;null;52,1;null;null;23,4;null;92;1,5;
2015-06-21;null;null;null;null;null;null;null;null;null;
2015-06-22;null;null;18,6;null;null;22,6;null;98;0;
2015-06-23;null;null;null;null;null;null;null;null;null;
2015-06-24;null;null;null;null;null;null;null;null;null;
2015-06-25;null;null;null;null;null;null;null;null;null;
2015-06-26;null;null;null;null;null;null;null;null;null;
2015-06-27;null;null;null;null;null;null;null;null;null;
2015-06-28;null;null;null;null;null;null;null;null;null;
2015-06-29;null;null;null;null;null;null;null;null;null;
2015-06-30;null;null;null;null;null;null;null;null;null;
2015-07-01;null;null;null;null;null;null;null;null;null;
2015-07-02;null;6;4;32;27,1;23,6;82;97;0;
2015-07-03;null;5,5;1,4;33,2;27,3;24;85;72;,7;
2015-07-04;null;5,4;8,9;31,4;26,9;23,2;85,8;81;,9;
2015-07-05;null;6,9;19,3;31,2;27,1;22,8;80,8;69;,7;
2015-07-06;null;,1;0;29,6;25,6;22,6;92,3;79;,7;
2015-07-07;null;8,7;3,4;32;26,3;21,8;83;71;,3;
2015-07-08;null;null;1,3;null;null;24,1;null;76;2,1;
2015-07-09;null;2,5;1,1;29,1;25,9;24,3;94;96;0;
