Nome: SOURE
Codigo Estacao: 82141
Latitude: -0.72777777
Longitude: -48.51583333
Altitude: 12.6
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;,8;6,8;,9;null;null;21,8;78,5;71;2,8;
2015-01-02;1,1;9,8;0;null;null;23,3;75,8;66;2,6;
2015-01-03;1,2;9,8;0;null;null;21,3;77;67;3,3;
2015-01-04;,8;4,6;15,4;null;null;20,1;85,8;77;2,3;
2015-01-05;2,1;0;23,2;null;null;20,1;100;83;,8;
2015-01-06;0;6,5;33,8;null;null;20,4;88,3;74;1,7;
2015-01-07;2,5;10,8;0;null;null;22,6;79,8;72;3,9;
2015-01-08;3,9;9,8;0;null;null;22,6;74,5;70;3,9;
2015-01-09;2,5;10,7;0;null;null;23,3;78;72;3,4;
2015-01-10;1,5;7;,1;null;null;22,9;82,5;74;2,8;
2015-01-11;1,3;5,2;0;null;null;23,3;79;75;2,4;
2015-01-12;1,1;9,2;,6;null;null;23;78,3;71;3,6;
2015-01-13;,5;9,9;4,4;null;null;21,1;77,5;74;2,9;
2015-01-14;1,1;7,8;0;null;null;23,7;77;70;3,3;
2015-01-15;1,1;4,7;0;null;null;23,5;78;73;3,4;
2015-01-16;,9;6,3;0;null;null;23,5;77,8;70;3,4;
2015-01-17;1;10,5;0;null;null;23,5;76,8;71;3;
2015-01-18;1,1;9,1;0;null;null;23,4;74,5;70;3,8;
2015-01-19;1;6,6;0;null;null;23;79,3;74;4;
2015-01-20;,8;9,2;1,3;null;null;22,5;76,5;66;3,8;
2015-01-21;,9;4,9;0;null;null;23,5;75,8;65;2,9;
2015-01-22;,7;7,7;4,6;null;null;21,4;84,5;79;3,1;
2015-01-23;,5;,1;7,1;null;null;21,5;78,3;74;2,5;
2015-01-24;1,1;8,2;,2;null;null;21;74,5;67;3,5;
2015-01-25;1,3;9;1,6;null;null;23,2;80,5;74;3,5;
2015-01-26;2,8;3,9;0;null;null;22,6;78,5;67;2,9;
2015-01-27;3,7;9,5;0;null;null;23,2;75,5;72;2,8;
2015-01-28;3,9;7,5;,2;null;null;23;82;72;3,1;
2015-01-29;3,3;9,2;4,1;null;null;20,5;76,8;70;3,7;
2015-01-30;4,1;9,8;0;null;null;21,4;76;72;3,4;
2015-01-31;4,1;6,9;0;null;null;23,6;78,3;73;3,4;
2015-02-01;3,6;6,6;1,4;null;null;22,6;84,5;78;3,3;
2015-02-02;0;0;6;null;null;20,9;95,8;90;,6;
2015-02-03;,4;0;22;null;null;20,3;97,5;95;,7;
2015-02-04;,1;2,1;62,4;null;null;19,5;91;82;2,3;
2015-02-05;1,6;9,2;,8;null;null;20,6;80;71;3,1;
2015-02-06;2,7;7,6;9,4;null;null;20,4;85,3;72;2;
2015-02-07;2,1;,3;0;null;null;19,8;93,5;90;1,1;
2015-02-08;,1;2,6;44,6;null;null;19,4;90,3;83;2,1;
2015-02-09;1,6;2,8;0;null;null;21,7;91,8;85;1,6;
