Nome: TRACUATEUA
Codigo Estacao: 82145
Latitude: -1.06361111
Longitude: -46.86527777
Altitude: 24.68
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3,6;6,1;0;31;26,7;23,2;79,3;66;,7;
2015-01-02;4,6;9,1;0;32,3;27,2;22,3;73;55;,7;
2015-01-03;4,1;4,3;0;31,1;27;23,4;82;71;,4;
2015-01-04;3;5,9;2,1;31,7;26,4;22,9;82,5;65;,5;
2015-01-05;2,8;1,1;7;27,2;25;23,4;93;85;,3;
2015-01-06;,8;7,7;19;31,5;26,3;22,9;82,3;62;,6;
2015-01-07;3,6;9,8;0;31,3;26,7;23,2;76,3;61;,7;
2015-01-08;4,5;9,8;0;31,1;27,1;23,6;81,8;63;,8;
2015-01-09;5,5;9,3;0;31,7;27,3;23,2;77;58;,7;
2015-01-10;4;8,4;0;31,3;27;23,4;77,5;59;,7;
2015-01-11;4,4;9,6;0;31,9;27;23,2;77,3;59;,7;
2015-01-12;3,4;10,3;0;31,5;26,9;23,2;74,5;56;,7;
2015-01-13;3,6;10,2;0;32,1;27,6;23,6;74;57;,8;
2015-01-14;4,2;7,8;0;31,7;27,1;23,4;75,8;61;,7;
2015-01-15;4,7;8,1;0;32,5;27,3;23,8;76,3;60;,7;
2015-01-16;2,7;8,1;0;32,5;27,2;22,7;74;56;,7;
2015-01-17;2,3;10;0;33,1;27,6;23,4;72;56;,7;
2015-01-18;4,6;9,1;0;32,3;27,1;23,2;75,3;60;,6;
2015-01-19;2,2;9,3;0;32,1;26,8;22,9;79,3;62;,7;
2015-01-20;1,8;7,7;,1;32,5;27;22,7;77,3;53;,4;
2015-01-21;1,6;7,8;0;33,1;27,2;23,2;77,8;59;,3;
2015-01-22;3,5;6;0;32,3;27;23,4;80,5;74;,2;
2015-01-23;4;9,1;0;32,3;27,1;23,8;77,5;59;,5;
2015-01-24;5,1;5,8;0;32,1;26,9;23,4;72,3;58;,7;
