Nome: OBIDOS
Codigo Estacao: 82178
Latitude: -1.905
Longitude: -55.5236111
Altitude: 54.72
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,6;6,2;4,6;31,7;26,2;23,6;90;84;1;
2015-01-02;4,6;7,8;3,6;33,5;27,7;24,8;82;78;2;
2015-01-03;5,2;10,3;1;33,5;28,2;24,8;77;79;1,5;
2015-01-04;2,9;10,4;0;33,7;28,9;24,4;77;74;0;
2015-01-05;3,6;0;1;30,9;26,8;23,2;83;72;0;
2015-01-06;2;7,4;,6;31,7;26;23;87;78;1,5;
2015-01-07;4;11,2;0;32,5;28,3;24;75;78;1;
2015-01-08;4,6;10;0;33,1;28,5;24,4;78;72;,5;
2015-01-09;5;8,5;0;33,3;28,8;24,4;76;75;1,5;
2015-01-10;4,2;10,1;0;32,3;27,5;25,2;83;76;1;
2015-01-11;3,2;0;14;30,7;25,3;23;92;83;0;
2015-01-12;1,5;3,3;24,2;29;25;22;87;93;1,5;
2015-01-13;1,8;4,5;8,2;30,9;27,4;24;84;83;1,5;
2015-01-14;2,4;6,5;6,8;31,1;26,3;23;88;80;,5;
2015-01-15;2,2;2,4;19,7;29,8;25,8;23;90;90;,5;
2015-01-16;1,6;1,5;0;29,9;26,5;23,6;86;84;0;
2015-01-17;2;3;1,4;30,5;26,2;23;87;86;0;
2015-01-18;1,8;6,5;0;30,3;26,5;24;89;83;,5;
2015-01-19;3;0;24,8;28,8;25,8;24;93;89;,5;
2015-01-20;1;2,4;12,8;29,2;25,1;23;90;91;0;
2015-01-21;1,2;0;18,8;27,8;25,2;23;93;88;0;
2015-01-22;1,6;9,4;,5;30,5;26,5;24;87;82;0;
2015-01-23;2,2;1,1;,4;29;24,6;22;94;86;,5;
2015-01-24;1,8;1,2;54,6;29;25,6;23;89;95;0;
2015-01-25;2;5,6;0;30,9;26,9;23,8;90;86;,5;
2015-01-26;2,4;3,5;3,8;29,8;25,3;22;87;85;0;
2015-01-27;1,9;10,9;,3;30,9;27;23,6;83;83;,5;
2015-01-28;3,6;8,7;0;31,3;27,3;24,4;82;78;1;
2015-01-29;3;9,1;5,9;31,1;26,4;24;85;81;,5;
2015-01-30;2,8;10,3;1,8;32,3;28,1;24;79;83;0;
2015-01-31;3,2;5,6;0;31,7;27,5;24;83;77;0;
2015-02-01;2,8;4,3;1,7;30,9;26,5;23;85;82;0;
2015-02-02;1,2;0;8,8;27,8;24,7;22,8;93;83;0;
2015-02-03;1;5,2;12;30,7;26,5;23,2;87;89;0;
2015-02-04;2;5,7;3,4;31,9;26,9;23,6;86;84;,5;
2015-02-05;1,6;8,4;1,5;32,3;27,7;24;80;84;,5;
2015-02-06;4;9,7;0;32;27,5;23,4;79;76;1,5;
2015-02-07;2,4;6,1;0;31,7;27,5;24,8;88;76;0;
2015-02-08;3,3;3,1;0;31,1;27,3;25;85;83;1,5;
2015-02-09;2,2;0;3,2;28;24,8;22,8;89;86;1,5;
2015-02-10;1,2;7;8;30,4;26,1;23;90;91;0;
2015-02-11;2;8;0;30,7;27,2;24,6;86;86;1;
2015-02-12;2,2;5,9;2,7;31,3;27,5;24,4;85;84;1;
2015-02-13;2;9,2;,3;32;27,6;24,4;88;84;0;
2015-02-14;3;10,4;0;32,3;28;25;85;83;1;
2015-02-15;2,8;7,4;2;32,7;28,4;25;83;80;1;
2015-02-16;3,2;7,5;1;32,9;28,6;25;81;82;,5;
2015-02-17;2,8;8,8;22,6;29,6;25,8;23,8;89;81;1,5;
2015-02-18;2,2;5,1;21;31,3;25,8;23,2;90;84;1;
2015-02-19;1,6;5,5;2;31,5;27,2;24;84;83;,5;
2015-02-20;2,3;,3;17,6;28,8;26;23,2;87;81;2,2;
2015-02-21;2;1,3;2,2;30,5;25,6;23;92;85;1;
2015-02-22;,8;0;12;26,8;23,8;22;96;93;0;
2015-02-23;,4;3,2;21,8;29,8;25,4;22;92;89;0;
2015-02-24;1,6;1,6;0;29,2;25,6;23;87;89;0;
2015-02-25;1,1;,6;7,9;29,6;25,2;23,2;94;84;0;
2015-02-26;1,1;6,6;3,8;30,7;27;24;90;90;,5;
2015-02-27;2;5,4;9,2;29,8;26,6;23,8;91;88;0;
2015-02-28;2,2;5,6;,7;30,7;26,6;24;91;85;1;
2015-03-01;1,8;5,8;1,2;31,6;27,4;25;85;81;1;
2015-03-02;2,2;3,2;0;29,4;26;24;89;85;2;
2015-03-03;1,8;4,2;16;31,1;25,9;22;89;87;0;
2015-03-04;1,2;,8;26,7;29,8;25,8;23;91;84;0;
2015-03-05;1,8;1;5,1;29,8;26,6;24;88;90;0;
2015-03-06;1,7;0;0;28,6;25,4;22,6;89;84;1;
2015-03-07;1,1;3;,3;28,8;24,7;22,2;92;88;0;
2015-03-08;1,4;9,4;18,7;30,7;27,3;24;85;90;1;
2015-03-09;2,8;3,2;0;29,5;26,8;24,6;86;80;,5;
2015-03-10;2,1;2,6;4,1;30,7;25,9;23,6;91;86;,5;
2015-03-11;1,4;2,4;9,4;29;26,2;23,2;84;88;0;
2015-03-12;2,6;4,3;1,4;29,4;26,2;24,4;89;81;0;
2015-03-13;1,4;3,8;15,2;29,4;26,1;23;84;87;0;
2015-03-14;2;0;18;28;25,3;23;91;80;0;
2015-03-15;,8;6,4;2,7;30,9;26,7;24,4;91;87;0;
2015-03-16;1,6;,5;48,4;27,8;24,9;23;94;87;1;
2015-03-17;,6;3,9;7;29,8;25,2;23;93;87;0;
2015-03-18;1,4;,3;3,9;28;25,7;24;92;95;0;
2015-03-19;,6;4,9;5,9;29,2;26,4;23,8;86;87;0;
2015-03-20;2,6;0;4,2;28;24;22;96;83;0;
2015-03-21;,4;2,3;47,4;27,4;24,8;23;93;96;0;
2015-03-22;,8;3;1,1;29,6;26,3;24;94;90;0;
2015-03-23;2;1,3;1,4;28;26,2;24,4;90;87;0;
2015-03-24;1,4;1;7,4;27,6;24,9;23,6;92;89;0;
2015-03-25;,6;2,9;14,6;27,8;25;23,2;92;91;,5;
2015-03-26;1,2;7,9;78,4;30,9;26,7;23,4;93;92;1;
2015-03-27;2,4;8,6;1,2;31,4;27,4;24;83;84;,7;
2015-03-28;1,6;4,1;0;29,8;26,6;24,6;90;81;0;
2015-03-29;2;8,7;3,5;30,5;26,8;24;91;90;0;
2015-03-30;2,7;3,7;10,9;31,3;26,9;23,2;88;88;1;
2015-03-31;2,3;7,5;1,8;30,5;26,3;23;86;86;,5;
2015-04-01;2,5;0;27,4;27,2;24,3;22,4;97;84;0;
2015-04-02;2,5;4,4;25,3;31,3;26,5;22,4;88;92;,6;
2015-04-03;1,4;4,3;5,2;31,5;27,2;24,4;90;84;0;
2015-04-04;2,2;4,1;0;31,7;27,5;24;85;86;1;
2015-04-05;2,8;7,6;0;31,7;27,3;24,6;89;83;0;
2015-04-06;3,5;8,7;0;31,9;27,3;24,6;84;84;,5;
2015-04-07;2,2;6,6;8,8;29,3;26,1;24;87;81;1;
2015-04-08;1,9;5,7;4,6;29,8;26,1;24,4;90;88;,5;
2015-04-09;1,2;7,9;27,8;29,6;26,6;24;88;92;,5;
2015-04-10;2;3,5;11;29,8;25,8;23,8;89;84;1;
2015-04-11;1,4;7;19;30,7;26,4;23,8;89;88;1,5;
2015-04-12;1,4;6,9;4,8;30,5;26,1;23,8;93;89;0;
2015-04-13;1,4;6,7;14,6;30,9;27,1;24;86;90;1;
2015-04-14;2,5;3,4;10;30,7;26,5;23,6;92;83;0;
2015-04-15;1,6;1,9;0;31,3;26,5;24;88;83;1,5;
2015-04-16;2,6;4,1;1,4;30,8;26,7;24;86;76;1,5;
2015-04-17;1,8;4,5;2;29,6;26,3;24;93;90;0;
2015-04-18;1,2;2,4;20,8;29;25,1;22,4;90;88;0;
2015-04-19;1,6;5,6;3,3;29,6;25,7;23,6;91;92;1;
2015-04-20;1,7;7;4,6;30,7;26,9;24;89;90;,5;
2015-04-21;2,3;4,9;0;30,9;26,8;24;85;83;1;
2015-04-22;2;8,8;0;31,1;27,8;24,8;84;81;,5;
2015-04-23;2,2;10,2;26;30,5;27,6;24,6;80;80;1;
2015-04-24;2,8;9;0;30,9;27,5;24,6;85;80;1;
2015-04-25;2,2;6;5,9;30,7;26,9;24;91;85;,5;
2015-04-26;2,6;10;11,6;30,3;26,7;24,4;89;83;2,1;
2015-04-27;2,2;5,2;19,2;29;25,2;22;89;84;0;
2015-04-28;7,3;7,3;13;30,3;26,9;24;89;89;,5;
