Nome: MONTE ALEGRE
Codigo Estacao: 82181
Latitude: -2
Longitude: -54.07638888
Altitude: 100.52
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,7;10;0;32,8;27,6;22,4;68,8;59;4,4;
2015-01-02;4,4;9,8;0;33,6;28;22;67;52;3,6;
2015-01-03;4,6;10;0;34;28,2;22;62,3;48;3,6;
2015-01-04;5,3;9,6;0;34;28,2;22,2;66;54;4,3;
2015-01-05;4,7;4,5;,8;31,8;26,3;20,8;73;64;3,5;
2015-01-06;3,9;8;0;32;26,5;21,6;75,8;60;4,1;
2015-01-07;4;9,9;0;33,6;27,8;20,8;67;52;4,4;
2015-01-08;4,6;9,5;0;32;27,5;22;72,3;60;6,4;
2015-01-09;3,9;9,5;0;32,8;27,6;21;71;60;4,4;
2015-01-10;4,4;9,5;0;34;28,5;22,8;66,3;58;4,1;
2015-01-11;4;0;2,4;29,6;25;20,8;92,5;67;1,7;
2015-01-12;,7;2,2;64,4;27,8;24,5;19,8;90,5;85;1,8;
2015-01-13;,9;7,1;7;31;26,2;20,2;77;65;4;
2015-01-14;2,7;2,9;0;29,4;25,2;21;86;75;3,8;
2015-01-15;1,9;2,2;4;28,8;25;21;89,3;84;1,8;
2015-01-16;1,5;4,7;0;31;26,2;21,2;77;66;2,7;
2015-01-17;2,2;2,6;,6;29,9;26,5;21,7;77,3;60;2,2;
2015-01-18;2,1;8,6;,4;32;27,3;21,7;74,8;55;4,1;
2015-01-19;2,9;,4;9,8;30;25,5;21,8;87,8;75;2,1;
2015-01-20;1,6;,1;2,4;26,2;24,2;20,2;92,8;90;1,4;
2015-01-21;,7;4,1;46,6;29;24,9;20,2;86,8;79;3,3;
2015-01-22;1,9;7,4;0;31;26;21,2;86,5;76;2,8;
2015-01-23;2,5;6,2;0;31;25,7;21,4;82,3;73;5,8;
2015-01-24;1,5;1,2;5,2;29,6;24,9;20,4;80;75;1,1;
2015-01-25;1,6;7,3;,8;31,2;26,7;21;76;63;3,2;
2015-01-26;2,9;5,5;0;29,3;25,1;20,4;79;67;3,8;
2015-01-27;2,4;6,6;4,6;31,2;26,4;20,4;76,5;64;3,6;
2015-01-28;3,3;3,3;0;32,4;27,5;21,4;71,8;59;3,6;
2015-01-29;3,4;9,4;2;32;27,2;21,8;77,8;61;3;
2015-01-30;2,7;10,2;0;32,4;27,5;21,6;74,3;60;4,3;
2015-01-31;3,7;10;0;32,4;27,6;22;74,8;62;3,2;
2015-02-01;3,6;9,1;0;32;27,3;21,2;73,5;65;3,2;
2015-02-02;2,9;,4;32,4;28,8;23,6;19,6;91,8;74;3,3;
2015-02-03;,8;6,4;4;30,2;24,3;20;89,8;67;4,2;
2015-02-04;1,9;8,3;15,8;30,4;24,5;20,6;86,3;66;4,4;
2015-02-05;2,3;10,1;0;31,1;26,6;21,4;80,3;75;3,3;
2015-02-06;3,4;7,8;0;30,4;26,7;21;86,8;63;3,5;
2015-02-07;3,3;7,6;0;30,4;27,2;22,6;76,5;64;3;
2015-02-08;3,1;,9;0;28,4;25,5;21,3;84,5;75;3,3;
2015-02-09;1,7;0;2,8;27,6;23,8;20,6;97;88;1,9;
2015-02-10;,5;4,3;11,4;30;25,9;20,6;85;71;1,7;
2015-02-11;1,8;6,5;0;30,8;25,5;21,4;85,3;72;2,1;
2015-02-12;1,6;2,4;35,4;29,2;25,8;21,4;89,3;81;3;
2015-02-13;1,3;10;22,4;31,4;27;21;81,8;68;2,3;
2015-02-14;2,6;10,4;1,7;31,6;27,4;22,6;77;67;3,6;
2015-02-15;3,1;10,5;0;32;27,6;22,6;77,8;65;3,9;
2015-02-16;2,9;10,6;0;32,4;27,7;22,8;73,8;66;2,7;
2015-02-17;3,2;3,1;0;30,8;26,5;22,9;80;69;3,7;
2015-02-18;2,5;6;0;30,8;25,7;22;83,8;65;4,4;
2015-02-19;2,4;9,2;0;30,4;26,3;21;83,8;69;3,8;
2015-02-20;2,6;1,7;0;29;25,5;22;85,5;77;2,2;
2015-02-21;1,6;4,7;0;29,5;25,6;21,6;84,8;71;3,9;
2015-02-22;1;,1;0;29,4;24;20,6;93,8;77;4,3;
2015-02-23;2;5;10,2;29;24,9;19,8;83,5;73;1,4;
2015-02-24;1,5;null;0;30,4;26,3;21;82;70;1,7;
2015-02-25;1,7;null;4,6;31,8;26,9;21,4;77;63;5;
2015-02-26;3;9,8;0;32;26,8;22,2;89,5;81;3,9;
2015-02-27;3;7,9;0;31,2;27,1;22;73;65;1,7;
2015-02-28;2,6;4,7;0;31,5;25,7;20;80,5;69;1,7;
2015-03-01;2;5,5;0;32;26,8;21,7;79,3;73;2,9;
2015-03-02;2,3;7,2;0;31,2;26,7;22;83;74;2,8;
2015-03-03;2,3;5,1;43;30,8;26,1;21;83,8;70;3,3;
2015-03-04;2,3;6,6;0;30,5;26,2;21,2;80,8;70;2,8;
2015-03-05;1,9;2,8;,2;29,8;25,7;22;87,5;76;3,6;
2015-03-06;1,7;,7;29,2;27,8;24,5;20;89;87;1,9;
2015-03-07;1;0;0;27,2;24,6;20,3;92,5;87;1,7;
2015-03-08;,7;9,1;0;31;26,5;21;80,5;65;3;
2015-03-09;2,9;6;0;30,8;26,7;21,8;80,8;70;3,1;
2015-03-10;1,9;,3;0;27,7;25,1;22,1;89,5;84;3,2;
2015-03-11;2,2;4;6,4;30,4;25,6;21;75;64;2,7;
2015-03-12;2,3;8,3;18,8;30,4;26,2;20,8;81,8;72;2,1;
2015-03-13;2;8,3;0;31,6;26,6;21,6;81;67;3,2;
2015-03-14;2,4;0;6,8;29,4;24,9;22;93,5;79;1,6;
2015-03-15;1;3,9;3,2;31;26,1;21,2;85,5;71;1,9;
2015-03-16;1,7;2,5;2;29,1;25,1;21,5;87,5;77;3,9;
2015-03-17;1,2;2,8;1,8;30;24,7;21;94;90;2,8;
2015-03-18;1,1;2,4;1,2;29,2;25,3;21;85,3;77;4,3;
2015-03-19;2,1;6,5;0;30,4;25,6;20,6;79,8;64;3,8;
2015-03-20;2,1;0;8;27,4;24,1;21;90,3;74;2,2;
2015-03-21;,8;0;5,2;25,4;23,7;20,8;95,5;94;,5;
2015-03-22;,8;,9;7;28,8;25,2;21,2;89,5;81;1,1;
2015-03-23;1,1;0;24,6;26,4;24,4;21;91,5;89;1,1;
2015-03-24;,6;6;38,8;30,8;25,6;21,2;90,3;85;1,9;
2015-03-25;1,3;7,2;24,4;30,4;25,7;19,8;86;78;1,2;
2015-03-26;1,6;7,3;13,8;31,2;26,7;21;83,8;74;2,8;
2015-03-27;1,9;7,5;0;31,8;26,9;22;82,5;68;2,5;
2015-03-28;1,9;7,6;41,2;31;26,4;20,7;80;66;3,7;
2015-03-29;2,3;7,4;0;31,4;26,1;22;83;67;2,2;
2015-03-30;2,6;7;7,8;31,4;25,6;21,6;84,8;68;3,4;
2015-03-31;1,4;8,2;6,2;30,7;26;20,8;81,5;71;2,4;
2015-04-01;1,8;0;28,8;32;25,4;21,4;95,5;83;1,1;
2015-04-02;,6;2,9;116,6;29,4;25,7;21;86,5;77;2,4;
