Nome: PORTO DE MOZ
Codigo Estacao: 82184
Latitude: -1.751055
Longitude: -52.236186
Altitude: 13.08
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2,9;7,2;8;32,3;26,4;23,3;77,3;64;1;
2015-01-02;2,6;6,4;2,9;32,6;27;22,8;70;61;1;
2015-01-03;3,2;7,4;0;32,7;28,2;23,4;70,8;58;1;
2015-01-04;3;8,4;0;34;27,9;25;69;49;1,1;
2015-01-05;3,6;5,8;,8;31,9;27,2;24,1;76;64;1;
2015-01-06;3,4;7,7;0;32,4;27,7;24,4;75,8;63;1;
2015-01-07;3,3;8,4;0;33,5;27,5;23,5;73,5;56;1;
2015-01-08;3,5;7,8;,6;33,1;27;23,3;76,5;60;1;
2015-01-09;2,7;9,4;0;33,5;28,1;24,4;74,5;56;1;
2015-01-10;3,6;6,7;,2;33,4;28,4;25,6;71,3;55;1,1;
2015-01-11;3,2;3;24,5;30,4;26,3;22,3;84;73;,8;
2015-01-12;2;0;51,4;29,7;25;22,6;86,8;76;,7;
2015-01-13;1,6;7,7;5,2;32,7;25,9;23,1;83,8;62;,7;
2015-01-14;2,3;2,1;24;29;25,7;22,9;92,3;88;1;
2015-01-15;1,1;4,5;17,6;31,3;26,5;22,8;82,8;68;,7;
2015-01-16;2,1;3;0;32,2;26,9;24,7;79;64;1;
2015-01-17;2,4;4;,4;32,5;27,8;23,7;77,3;64;1;
2015-01-18;2,6;7,4;1,5;31,6;26,6;24,6;85;71;1;
2015-01-19;2,3;2,3;3,2;30,7;26,3;25;85,5;76;,7;
2015-01-20;1,8;2,4;6,1;30,4;24,8;22,4;87,3;81;1,1;
2015-01-21;1,6;2;7,2;30,3;26;23;85;77;,9;
2015-01-22;1,4;4,4;6;30,3;26,1;24;88,8;83;1,1;
2015-01-23;1,7;,6;5,8;28,8;24,9;23,1;90,5;84;,7;
2015-01-24;1,1;1,4;14;30,2;25,7;23,3;83,5;68;1,1;
2015-01-25;1,9;6,3;4;32,5;26,6;23,7;84,8;61;1,1;
2015-01-26;2,4;3,8;3,4;29,9;25,3;23,3;84;80;1;
2015-01-27;1,3;7,3;5;31,7;26,8;23,1;78;65;1;
2015-01-28;2,7;8,8;,6;32,6;28,4;24,4;74,5;60;1;
2015-01-29;2,8;7,4;0;31,9;28;25;76,3;64;1;
2015-01-30;2,2;8,5;,3;32,4;26;23,4;82,5;62;1;
2015-01-31;2,4;7,7;10,7;31,7;26,4;23,5;86,3;79;1;
2015-02-01;1,9;5,1;1,8;31,9;26,1;23,6;82,5;69;,7;
2015-02-02;1,9;,1;10,8;28,7;25,1;22,6;91,5;88;1;
2015-02-03;,8;4,4;7,4;31,5;25,7;23,2;85,8;72;1;
2015-02-04;1,7;3,9;2,2;31,2;25,9;23,9;86,5;69;,7;
2015-02-05;1,5;8;16,4;31,2;26,5;23,9;78,5;61;1,1;
2015-02-06;2,6;4,3;,2;30,1;26,8;23,3;76,5;67;1;
2015-02-07;2,3;7,5;0;31,9;26,9;24,3;78;62;1,1;
2015-02-08;2,6;2,4;5,4;30,5;26,6;24,5;87,3;80;1;
2015-02-09;1,7;0;1,2;29,5;25,6;23,7;90,5;88;1;
2015-02-10;,6;3,3;15,3;30,7;27;23,7;84;75;,7;
2015-02-11;1,9;1,6;,8;30;26,3;23,6;88,3;85;,7;
2015-02-12;1,1;4,5;3,8;31,3;26,5;23,9;81,8;66;1;
2015-02-13;2,1;9,5;,8;33,1;27,7;25,1;80,3;60;1;
2015-02-14;2,4;9;1;32,9;28,1;25;76,8;59;1,1;
2015-02-15;2,5;8,4;,6;33,1;28,7;24,6;77,3;60;,7;
2015-02-16;2,8;7,3;,2;31,9;27,5;25,5;83,8;72;1;
2015-02-17;2;2,5;0;31,8;26,6;24,4;87,5;76;,7;
2015-02-18;1,3;2,6;10,7;31,4;26,5;24,5;84,5;71;1;
2015-02-19;1,7;5,6;,2;31,1;26,9;24,2;80,5;69;,7;
2015-02-20;2,2;0;6,6;29,4;26;23,3;89;82;,5;
2015-02-21;1;2,4;1,9;29,6;26,2;23,1;85,5;78;1;
2015-02-22;1,6;1,5;,2;29,3;25,8;24,7;89,3;88;1,1;
2015-02-23;1;,5;33,7;27,8;24,9;22,9;88,3;79;,3;
