Nome: BREVES
Codigo Estacao: 82188
Latitude: -1.68027777
Longitude: -50.47805554
Altitude: 9.8
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2;,4;0;33;26,6;22,9;88;67;,7;
2015-01-02;2,2;6,9;21,4;32,8;25,5;22,5;88;65;,7;
2015-01-03;1,4;7,7;0;32;25,8;21;87;67;,3;
2015-01-04;1,8;5,4;0;32;25,5;21,6;85,3;64;,3;
2015-01-05;,8;3,9;27;30;24,9;21,4;88,8;71;,7;
2015-01-06;1,2;6,6;9,4;31,8;25,5;21,8;87,5;70;,3;
2015-01-07;2,2;8,1;2,2;33;25,8;21;85,3;63;1;
2015-01-08;1,6;7,2;10,2;32;25,7;21;88;79;0;
2015-01-09;1,5;8,9;0;33;26,7;22,1;82,5;71;1;
2015-01-10;1,8;6,2;0;32,6;26,5;23,1;86,3;76;,3;
2015-01-11;1,4;1,9;23;31,8;25,7;21,6;85,5;73;,7;
2015-01-12;,6;3,3;47,6;31,6;25,5;21,2;87,8;70;,3;
2015-01-13;1,3;4,9;10,4;31;25,3;22,9;92;90;1;
2015-01-14;1,1;,6;10,6;29,6;25,9;21,6;91,8;88;1;
2015-01-15;,6;1,7;4,6;29,8;25,5;22,3;89,8;85;1;
2015-01-16;1,2;2,2;1,2;32;25,9;22,3;87,3;67;,3;
2015-01-17;1,6;8,2;0;33,2;27,5;22,5;81;69;1;
2015-01-18;2;6,8;0;33;26,3;23,5;83;63;,7;
2015-01-19;1,8;3,8;0;31,8;25,5;23,1;88;70;,3;
2015-01-20;1,2;2,7;32,2;32;25,4;21,6;88,8;71;,3;
2015-01-21;1,2;,6;12,8;31;25,1;22,1;91,8;80;,3;
2015-01-22;1,4;4;0;32;26,1;22,7;87,3;77;,7;
2015-01-23;1,1;,8;23,6;29;24,5;22,3;95;91;1;
2015-01-24;,5;,7;14,8;31;25,2;22,1;90,8;81;,3;
2015-01-25;,8;3,3;19,6;32,4;25,3;22,1;87;66;,3;
2015-01-26;1;6,9;46,2;33;25,9;21,6;84,3;71;,3;
2015-01-27;1,8;7,5;0;33;26,1;22,1;84,3;66;1;
2015-01-28;3;9;0;33;27,9;22,7;80,3;69;,7;
2015-01-29;3,1;8,2;0;33,6;27,7;22,7;79,8;65;1;
2015-01-30;2,1;6,5;0;34;27,6;23,5;83,3;64;,7;
2015-01-31;2;5,7;0;32;26,8;23,3;89;82;,3;
2015-02-01;1,4;5,8;15;33;26,3;22,9;85,3;65;,3;
2015-02-02;1;,1;6,2;31;26;22,9;89;83;,7;
2015-02-03;1;2,1;1;30;24,7;22,7;93,3;87;,7;
2015-02-04;,6;3;7,8;30;25;21,4;90,3;76;,3;
2015-02-05;,2;,8;4,6;30,2;25,1;22,7;93,8;85;1;
2015-02-06;1,2;5,7;11,4;31,8;25,8;22,1;91;79;1;
2015-02-07;,8;3,8;6,2;30,4;25,2;21,8;93,5;85;0;
2015-02-08;,9;2,1;15;30;25;22,1;92,3;87;,3;
2015-02-09;,8;1;10,2;31;25,3;22,1;90,5;78;,3;
2015-02-10;,7;3,6;0;33;26,9;23,1;85,8;71;,7;
2015-02-11;1,4;1,6;12,4;31;25,5;22,7;90,8;79;,3;
2015-02-12;,6;5,7;62;33;26,5;22,9;86,5;73;,3;
2015-02-13;1,3;6,5;0;32;26,6;23,5;85,3;73;1;
2015-02-14;1,7;9;0;33;26,6;23,5;85,3;65;1;
2015-02-15;1,1;10;38;33,4;27,7;22,7;82,3;66;,3;
2015-02-16;2,3;5,4;0;32,8;26,6;24,3;87;73;1;
2015-02-17;1,4;3,3;19;30;25,7;23,3;90,3;84;1;
2015-02-18;,8;,2;8,2;30;26;23,1;89,5;82;0;
2015-02-19;,5;2,1;12;30;24,9;22,3;92,8;87;,3;
2015-02-20;,6;5,2;6,4;32;26,9;22,5;85,5;70;,3;
2015-02-21;1,5;1,9;21;30;25,5;21,6;90,8;84;0;
2015-02-22;1,2;0;0;27;23,9;22,3;93,8;89;,7;
2015-02-23;,7;,7;14,2;28,8;24,7;21,6;93,3;87;1;
2015-02-24;,8;4;1;31,6;27,1;22,3;83,5;82;,7;
2015-02-25;1,3;6,9;0;33;26,2;21,6;83,8;63;1;
2015-02-26;1,6;7,8;4,8;33,6;26,6;22,9;84,3;62;,7;
2015-02-27;1,5;5;0;31;25,6;22,9;89;83;1,3;
2015-02-28;,9;4,2;31;33;26,1;21,6;84,8;70;,3;
2015-03-01;1,6;1,5;0;33;26,6;22,9;83,8;64;,7;
2015-03-02;1,9;6,7;0;32;26,9;23,1;87,3;69;0;
2015-03-03;1,4;0;10,4;31,4;26,5;22,9;87,3;69;,3;
2015-03-04;1,6;0;17,2;32;26,1;22,7;88,5;72;,3;
2015-03-05;1,4;0;15;33;26,7;22,5;87;71;,3;
2015-03-06;1,8;,6;15,6;32,2;26,1;22,3;86;72;,3;
2015-03-07;1,8;5,1;0;32,6;27,3;23,3;86,8;68;,3;
2015-03-08;2;7;0;33;27,3;23,3;85,5;67;,7;
2015-03-09;1,9;1,9;0;32,6;27;24,1;87,5;69;1;
2015-03-10;2;2,9;6,4;28;25,6;22,9;91,8;82;,3;
2015-03-11;1,2;0;21;33;26,3;22,5;89;70;,3;
2015-03-12;2,2;7,9;5;33,4;27,6;23,3;83,5;66;1;
2015-03-13;1,5;1,3;6,6;32,2;26,5;23,1;89,3;73;,7;
2015-03-14;2;1,4;4;33,4;27,5;23,3;83,3;66;,7;
2015-03-15;2;1,5;0;33;27,7;24,5;84;69;,7;
2015-03-16;1,6;0;15,4;30;26,5;22,7;83,5;82;,7;
2015-03-17;1,4;,7;7;32;26;22,5;87,8;65;,3;
2015-03-18;1,2;1,5;39,1;33,6;27;22,1;85,8;66;,3;
2015-03-19;1,8;3,6;0;31,4;26,4;22,9;86,5;70;,7;
2015-03-20;1,4;,6;34,4;33;27,2;22,3;85,8;76;,7;
2015-03-21;2;2;0;32,6;27,7;23,5;83,5;69;1;
2015-03-22;2;,8;8;32,2;27,1;23,3;86;73;1;
2015-03-23;1,6;,5;7;33;27;22,3;86,3;71;,3;
2015-03-24;2,4;3,9;0;29;26,5;23,9;90,3;84;,7;
2015-03-25;1,6;1,1;22,4;29;25,9;22,9;92;84;,3;
2015-03-26;1,4;2,6;44,4;32,4;26,9;22,3;87;68;1;
2015-03-27;2;4,1;0;32;26,3;23,1;89;75;,3;
2015-03-28;1,6;2,7;12,6;33;27,2;22,9;86;71;1;
2015-03-29;2;7,9;0;31;26,4;23,3;91;84;,7;
2015-03-30;1,6;1,6;11;32,4;26,8;22,9;89,5;75;,7;
2015-03-31;1,8;,5;0;30,2;26,5;23,1;89,5;80;,7;
2015-04-01;1,5;10;19,2;29;25,5;22,5;92,8;87;0;
2015-04-02;1,5;0;25;32,6;26,8;22,5;85,8;69;,7;
2015-04-03;2;1,5;0;32,6;27,4;22,9;81;75;1;
2015-04-04;1,6;4,1;0;32,6;27,5;23,1;84,5;70;1;
2015-04-05;1,8;0;0;32,4;26,6;22,9;88,8;76;,7;
2015-04-06;1,6;0;6,4;33;27,5;23,1;83,8;67;1;
2015-04-07;,4;,4;0;33,4;26,4;22,3;88,8;67;,3;
2015-04-08;1,7;0;21,6;30;26;22,7;92,8;83;1;
2015-04-09;2;0;15;31;26,3;23,1;90,8;79;,7;
2015-04-10;1,5;0;50,2;33,2;26,2;21,8;89;71;,3;
2015-04-11;2;2,3;9;32;26,9;23,3;87;70;,7;
2015-04-12;2;4;0;30,2;26,2;22,9;88,5;78;,3;
2015-04-13;1,8;,3;16,4;32,2;27,5;23,9;85,8;72;1;
2015-04-14;1,6;1;17,8;32,6;26,4;22,3;87;71;,7;
2015-04-15;1,8;,2;6;31,4;26,2;23,1;88,5;71;,7;
2015-04-16;1,8;0;39,2;33,6;26,5;22,1;87,8;68;,7;
2015-04-17;1,7;,5;5;33;26,7;23,3;88,3;71;,7;
2015-04-18;2;0;19;30,4;26,5;23,5;89;85;,7;
2015-04-19;1,7;0;17,4;32,6;27,1;22,9;84,5;66;,7;
2015-04-20;1,6;0;8,2;33,2;27,1;22,7;85,8;71;,7;
2015-04-21;1;,5;0;33;27,4;22,7;83;76;,7;
2015-04-22;1,6;3,7;0;31;26,6;23,3;88;83;1;
2015-04-23;1;4,1;4;31,8;26,2;22,5;87,8;82;,3;
2015-04-24;,4;4,2;2,2;31;25,8;22,7;91;87;0;
2015-04-25;1;3,8;12,6;32;26,3;22,7;86;67;,7;
2015-04-26;,8;4,1;0;32;25,8;22,7;88,3;69;,3;
2015-04-27;,6;4,3;22;31;26,3;23,5;86,5;79;1,3;
2015-04-28;1,2;5,6;1,6;32;26,5;23,5;86;79;1;
2015-04-29;1,3;4,1;12;31,8;26;23,1;90,3;83;,3;
2015-04-30;1,1;4,9;8,2;32,2;26;22,9;86;69;,7;
2015-05-01;1,2;3,7;0;32;25,9;22,7;88,3;71;,3;
2015-05-02;1,6;4,5;2;31;25,7;22,7;90,3;84;0;
2015-05-03;,6;,6;20;31;25,4;22,3;91,8;83;,7;
2015-05-04;,9;4,4;5;32,4;25,3;21,6;87,8;71;,7;
2015-05-05;1;7,5;30;32,2;25,8;22,1;85,5;74;1;
2015-05-06;1,5;5,5;0;32,8;26,5;22,9;87;79;1;
2015-05-07;1,4;5,1;4,4;32;26,4;22,7;88,3;83;,3;
2015-05-08;1,2;6,2;1,6;33,4;26,5;23,1;86;68;1,7;
2015-05-09;,8;7,5;8,6;33;26,9;22,9;82,5;68;4,3;
2015-05-10;1,7;6,8;0;33,4;27,1;23,1;78,8;66;1;
2015-05-11;2,1;10,4;0;32,4;27,3;23,1;82,8;70;,7;
2015-05-12;1,8;6,9;8,8;33;27,7;23,3;86;71;1;
2015-05-13;2;4,8;0;32,6;26,7;23,1;87,5;69;,7;
2015-05-14;2,2;6;2;33;27,3;23,3;87;71;,7;
2015-05-15;1,8;5,4;0;33,2;27,7;22,9;79,8;66;,7;
2015-05-16;2;4,8;0;32,2;27,3;22,9;84,3;65;1;
2015-05-17;1,8;3,3;0;33,2;27,5;23,1;83,8;67;,3;
2015-05-18;1,9;,7;0;33;27,8;23,3;82,5;66;1;
2015-05-19;1,8;6,9;15,2;33;26,7;22,7;86,5;70;,3;
2015-05-20;2;3,9;0;32,6;26,8;22,7;86,3;70;,3;
2015-05-21;1,8;0;8;30;26,2;22,9;88,5;77;,7;
2015-05-22;1,4;7,8;8,8;32;27,1;22,5;82,8;78;,7;
2015-05-23;1,1;8,6;8;33;27,1;23,1;79,8;68;,7;
2015-05-24;1,8;4,7;14;31,6;26,9;22,7;84;75;0;
2015-05-25;1,2;1,7;0;31;26,4;23,5;84,8;78;1;
2015-05-26;1,3;7,4;2;33;27,7;22,3;79,3;72;,7;
2015-05-27;1,6;5,4;11,2;32,4;26,7;22,9;85,5;69;,3;
2015-05-28;1,8;7,9;0;32;27,4;23,1;85,5;74;1;
2015-05-29;,8;8,8;0;33,6;27,6;22,3;76,8;62;,7;
2015-05-30;1,9;10,6;0;34;27,6;23,1;75,5;63;1;
2015-05-31;2,7;10,2;0;34,2;28,6;23,1;74,5;62;,3;
2015-06-01;2,4;6,3;22;33;26,3;22,3;81,5;67;,7;
2015-06-02;1,4;9,3;0;34,2;27,2;23,3;77;63;,3;
2015-06-03;2,4;9,6;1,2;34;26,7;23,1;80,5;66;,3;
2015-06-04;2;8,8;1,2;33;27,2;23,1;79;68;1,3;
2015-06-05;2,3;7;15,2;31,8;25,4;23,3;87,3;70;1;
2015-06-06;1,3;6,8;35,6;33,2;26,8;22,7;81,8;70;,7;
2015-06-07;1,6;2,3;0;33,4;26,7;22,9;83,8;63;,7;
2015-06-08;1,7;2;0;32,6;27,2;23,3;82,8;65;,7;
2015-06-09;1,6;5,6;8,6;33;27,4;22,7;87,3;76;1;
2015-06-10;2;7,6;15,6;32,8;27,3;22,9;85;68;,7;
2015-06-11;2;4;0;33,4;26,8;23,1;86,5;66;,7;
2015-06-12;1,7;7,1;10,8;32,2;26,6;22,5;86;70;,7;
2015-06-13;1,5;5,9;7;32,6;26,7;22,3;85,5;68;,3;
2015-06-14;1,8;10,3;5;33;26,9;23,1;85,3;67;1;
2015-06-15;1,6;2,1;10;33;27,7;22,9;81,8;69;1;
2015-06-16;1,8;10,1;0;33,4;27,7;22,9;81;66;1;
2015-06-17;1,8;8,9;0;32,4;26,4;22,5;87,5;69;,3;
2015-06-18;1,6;7,7;0;33,6;27,2;22,7;86,8;73;,7;
2015-06-19;2;6;0;32,6;27,2;23,1;82,8;64;1;
2015-06-20;1,7;9,6;0;33;27,3;23,1;84,5;71;1;
2015-06-21;2;0;25;31;26,1;22,5;91,3;79;,7;
2015-06-22;1,8;1,9;28,4;32;26,1;22,5;89,5;70;,3;
2015-06-23;1,7;3,1;32;33;27,1;22,3;83;67;,7;
2015-06-24;2;10,4;0;33,2;27,6;23,3;82,8;67;1;
2015-06-25;2,1;10,5;0;33,6;27,9;23,5;84,5;72;,7;
2015-06-26;2;9,4;7,4;33;27,1;23,1;84,8;67;1;
2015-06-27;2,2;8,6;0;32,4;26,5;23,1;87,8;71;,7;
2015-06-28;1,6;7,2;12,6;32;26,9;22,7;84,8;73;,7;
2015-06-29;2;7,6;0;32,6;27,4;22,9;81,5;66;1;
2015-06-30;1,8;7,2;12;32,4;26,8;22,7;84,3;69;1;
2015-07-01;1;7,8;0;33,6;27,3;22,9;81,5;67;,7;
2015-07-02;1,8;8,8;7,2;33,6;26,8;22,5;85,3;63;1,3;
2015-07-03;2;6;9;32;26,3;23,3;90,8;82;,7;
2015-07-04;,8;8,7;3,6;33;27,6;22,9;80;66;,7;
2015-07-05;1,8;8,3;0;33,2;27,3;22,3;79,3;66;,7;
2015-07-06;1;8,7;21,4;33;27,2;22,1;82,3;72;,7;
2015-07-07;1,9;7,3;0;32;26,4;23,3;79,3;63;,7;
2015-07-08;1,8;7,7;3,4;33;27;22,1;80,5;71;,3;
2015-07-09;2,2;9,3;0;33,6;27,3;23,1;81;66;1;
2015-07-10;2,2;8,9;0;33,8;27,7;22,9;79,3;66;,7;
2015-07-11;2,6;9,3;0;33,6;27,5;23,1;79;65;,7;
2015-07-12;2,4;9,1;0;34;27,6;22,9;75,5;65;,7;
2015-07-13;3;9,1;0;34,2;28;23,1;76;63;,7;
2015-07-14;2,2;8,3;4,2;33,2;27;22,7;78,8;66;,7;
2015-07-15;2,4;8,1;0;33,8;27,4;22,9;74,5;63;,3;
2015-07-16;2,6;9,1;0;34;27,4;22,7;75,3;64;,3;
2015-07-17;2,4;9,7;0;34;27,9;22,9;71,3;61;,3;
2015-07-18;3;7,5;0;33,2;27,3;23,1;75,8;66;,7;
2015-07-19;2,3;5;0;33,4;27,7;23,1;74;66;,7;
2015-07-20;2,4;9,4;0;34;28,2;23,1;70,8;59;,7;
2015-07-21;2,6;7,3;0;33,8;27,9;23,3;76,3;65;1;
2015-07-22;2,2;8,6;0;34,2;27,3;22,5;81,5;64;,7;
2015-07-23;2,6;8,6;0;33;27,7;22,9;77,3;62;1;
2015-07-24;2;6,6;0;33;26,5;22,9;83,3;68;,3;
2015-07-25;1,2;5,7;11,4;32,8;26,1;22,1;86,3;68;,7;
2015-07-26;1,1;4,3;20,2;33;26,7;22,1;84,5;71;,3;
2015-07-27;1,6;8,8;0;33,4;27;22,1;82;68;1;
2015-07-28;2,1;9;2,8;33,6;26,9;22,7;84;69;1;
2015-07-29;2,2;8;0;32,8;26,1;22,7;86,5;71;1;
2015-07-30;1,8;7,9;6,4;32,6;27,3;22,5;76,5;68;1;
2015-07-31;1,8;8;0;33,2;27,5;22,9;76,5;67;,7;
2015-08-01;1,6;9,3;0;33,2;26,8;22,1;79,5;66;,3;
2015-08-02;1,8;9,7;0;34,2;27,5;22,1;74,5;66;,7;
2015-08-03;2,4;9,6;0;34,2;27,7;22,5;72,8;64;,7;
2015-08-04;2,6;7,7;0;33,4;26,6;22,5;81,8;65;,7;
2015-08-05;2;5,6;6;33;26,6;22,7;85,8;63;,3;
2015-08-06;2,2;8;0;33,6;27,4;22,9;84,3;66;1;
2015-08-07;1,8;7,4;0;32,8;27;22,7;84,3;69;,7;
2015-08-08;1,6;9,2;0;33,6;26,8;22,7;85,8;66;1;
2015-08-09;2;6,8;0;32,6;27,5;22,9;82;68;1;
2015-08-10;2;8,7;0;33,4;27,2;23,1;82,5;67;,7;
2015-08-11;2;9,4;0;33,6;27,6;22,9;83,3;66;,7;
2015-08-12;2,2;7,1;0;33;27,1;22,7;86;70;1;
2015-08-13;2,2;9,7;0;33,2;27,3;22,5;84,3;67;1;
2015-08-14;2;5,8;0;33,4;27,3;22,9;83,3;66;1;
2015-08-15;1,8;9,8;0;34;27,7;22,9;80,8;62;1;
2015-08-16;2,2;7,9;0;33,2;27,3;22,7;84,8;70;1;
2015-08-17;2;5;0;32;27,4;22,9;82,5;70;1;
2015-08-18;2;9,5;0;34;27,6;22,5;81;63;1;
2015-08-19;2,4;8,8;0;33;26,9;22,3;84,5;67;,3;
2015-08-20;2;7,4;0;33;27,1;22,9;84;70;,7;
2015-08-21;2,2;9;0;33,6;27,4;23,1;83;66;,7;
2015-08-22;2,4;9,3;0;33;27,3;22,9;84,8;70;,7;
2015-08-23;2;4,7;0;32,6;27,1;22,7;83,3;66;,7;
2015-08-24;2,1;7,9;0;34;26,9;22,5;86,3;67;,7;
2015-08-25;1,9;8,5;5,8;32;26,3;22,3;86,3;70;,7;
2015-08-26;1,5;6,6;3;33;27,3;22,5;84;67;1;
2015-08-27;1,8;8,6;0;33,4;27,1;22,9;86,5;71;,7;
2015-08-28;1,8;9,7;0;33,8;27,5;22,9;83,3;63;1;
2015-08-29;2;9,4;0;33;27,3;22,5;85,3;70;1;
2015-08-30;2;10;0;33,4;27,5;22,9;85;69;1;
2015-08-31;2,2;10,4;0;34;27,4;22,7;85,3;64;1;
2015-09-01;2,2;8,8;0;33,8;27,8;23,1;80,5;66;,7;
2015-09-02;2;8,9;0;32,6;27,3;23,1;81,8;65;1;
2015-09-03;1,8;,9;0;33,4;27,3;22,9;85,5;66;1,3;
2015-09-04;2,2;7;0;34;27,8;23,1;82,5;65;,7;
2015-09-05;2;3,5;0;34,2;27,2;22,7;85,5;64;,7;
2015-09-06;2,4;4,5;0;33;27,4;23,3;83,3;67;,7;
2015-09-07;2,2;,8;0;34;27;23,1;87;64;,7;
2015-09-08;1,8;5,6;2,8;33,2;27,3;22,9;84,3;71;,7;
2015-09-09;2;9,2;0;32,8;27,5;22,9;80,8;69;1;
2015-09-10;2,3;,7;0;33,4;27,6;23,3;83,3;68;,7;
2015-09-11;2,2;9,2;0;33;26,8;23,1;88,3;71;1;
2015-09-12;2,2;6,6;0;32,2;27,2;23,1;82,8;68;1;
2015-09-13;2;5,8;0;33,4;27,1;22,9;85,5;66;,3;
2015-09-14;1,8;1,4;0;33,6;27,6;23,3;82,5;66;1;
2015-09-15;3,4;9,1;0;35;28,9;22,9;69,5;59;,7;
2015-09-16;3,4;8,2;0;34,2;28,7;22,1;69,5;64;1;
2015-09-17;4,2;8,6;0;35;28,9;22,5;67,8;60;,7;
2015-09-18;3,6;9,2;0;35,2;29;22,5;68,5;60;,7;
2015-09-19;2,4;8,9;0;34;29,3;22,9;67;56;,7;
2015-09-20;4;7,3;0;34,4;28,7;23,3;67,8;58;1;
2015-09-21;3,6;7,4;0;34;28,6;22,5;75;62;1;
2015-09-22;3,6;6,2;0;33,8;28,5;23,3;74,8;69;1;
2015-09-23;3,4;7,1;0;34,2;28,4;23,3;78;72;1;
2015-09-24;3,2;7;0;34,2;28,8;23,1;74;71;,7;
2015-09-25;3,2;6,3;0;33;28,4;23,5;74,5;66;1;
2015-09-26;3,2;6,9;0;33,4;28,2;22,9;75,3;64;,7;
2015-09-27;2,7;7,9;5;33,4;28,4;22,5;73,3;63;1;
2015-09-28;2,1;7,7;0;33,4;28,7;22,9;74,5;72;1;
2015-09-29;3,7;7,7;0;33;28,5;22,7;73,3;71;1,3;
2015-09-30;3,1;8,1;0;33,4;28,3;22,7;74,3;66;1,3;
2015-10-01;3,2;7,9;0;34;28,9;22,7;73;71;1,3;
2015-10-02;3,1;6,4;0;33,4;28,7;23,1;72,8;65;,7;
2015-10-03;3,1;8,6;0;34;28,4;23,1;75,5;63;1;
2015-10-04;3,2;8;0;33,4;28,4;22,3;72,8;65;,7;
2015-10-05;3;7,4;0;33,4;28,3;22,9;80,5;73;1,7;
2015-10-06;3;7,2;0;33,4;28,7;22,9;75,5;69;1;
2015-10-07;3,4;8,4;0;34,6;29;22,9;74;72;1;
2015-10-08;3,6;8,1;0;34,6;28,8;23,3;77,5;73;,7;
2015-10-09;3,2;5,9;0;33;28,5;23,5;75,8;64;,7;
2015-10-10;2,9;8,6;0;33,6;28,9;23,3;72,8;63;,7;
2015-10-11;3;8;0;33,4;28,8;23,1;73,3;64;1,3;
2015-10-12;2,7;7,1;0;33;28,4;22,9;77;69;1,3;
2015-10-13;3,6;6,1;0;33;28,5;22,9;74;72;1,3;
2015-10-14;2,6;8;0;33,2;28,1;22,7;76,8;72;,7;
2015-10-15;2,6;8,6;5,6;33;28,4;22,3;74;72;1;
2015-10-16;2,8;6,6;0;33,4;28,6;22,5;75;73;1,3;
2015-10-17;2;5,5;0;33;28;22,3;77,5;72;1;
2015-10-18;2,5;5,2;0;32,6;27,5;22,3;79,3;66;,7;
2015-10-19;2,6;6,4;0;32,6;28,3;22,3;78,5;77;1;
2015-10-20;2,4;8,8;0;34,2;29,1;22,5;72;72;,7;
2015-10-21;3;6,2;3,4;33;28,4;22,3;75;69;1;
2015-10-22;2,6;7,2;0;33;28,1;22,3;73,3;52;1;
2015-10-23;2,6;7,9;0;33,4;28,5;22,5;74,5;74;1;
2015-10-24;2,5;8,4;0;33;28,4;22,3;74,8;66;,7;
2015-10-25;2,9;8,5;0;33;28,3;23,1;76,3;63;,7;
2015-10-26;2,8;8,8;1,2;32,6;28,2;22,5;76;73;1;
2015-10-27;3;7,9;0;33,4;28,7;22,7;75;72;1;
2015-10-28;2,4;8,5;0;33,2;28,2;22,5;78,5;72;1;
2015-10-29;2,6;9,2;0;33,8;28,8;23,3;74,8;73;,7;
2015-10-30;3,2;7,7;0;33;27,8;23,1;81;73;1;
2015-10-31;2,4;4;4;32,4;27,4;22,5;81,3;71;,7;
2015-11-01;2;8,4;15,8;33,4;28;22,9;78,5;64;,7;
2015-11-02;2,2;8,2;0;32,8;27,6;22,9;83;71;,7;
2015-11-03;1,8;7,4;16,8;33,4;28,5;22,7;76;67;1;
2015-11-04;2,4;7;0;33,6;28;22,7;79,3;67;,7;
2015-11-05;2;5,1;0;33,4;27,9;22,9;78,5;65;,7;
2015-11-06;2,3;8,4;0;33;27,5;23,1;84,8;71;1;
2015-11-07;2,2;7,7;0;32,8;27,5;23,1;81,8;70;,7;
2015-11-08;2,5;8,2;0;32,8;27,2;23,3;85,8;71;,3;
2015-11-09;2,3;7,1;0;32,6;27,9;23,3;81;73;1;
2015-11-10;2,2;7,6;0;32,4;27,5;23,3;82,3;69;1;
2015-11-11;2,5;7,9;0;33,6;28,5;23,3;76,8;66;,7;
2015-11-12;2;6,4;0;33,4;27,8;23,1;82;67;1;
2015-11-13;1,8;5;0;33;27,6;22,7;82,5;68;,7;
2015-11-14;1,8;5,9;0;32,8;27,5;22,7;82,3;70;1;
2015-11-15;2,4;8,5;0;33,2;27,7;22,9;81,8;67;1;
2015-11-16;2;4,9;0;32,6;26,8;23,1;86,5;69;,7;
2015-11-17;2;6,8;15,6;32,2;27,3;22,7;83;68;1;
2015-11-18;2,4;7,6;0;33,4;28,1;23,3;81;71;1;
2015-11-19;2,6;7,3;0;33,6;28,1;22,9;81;69;1;
2015-11-20;2,2;4,9;0;33;27,6;23,3;81,8;67;,7;
2015-11-21;1,8;7,4;0;33,8;28;22,9;80,3;67;1;
2015-11-22;2,4;8,2;7;33;27,6;22,7;82,3;69;1,3;
2015-11-23;2,5;7,9;0;33,8;27,7;22,9;83,3;69;1;
2015-11-24;2,4;3,3;0;32,6;27,2;22,5;84,3;70;,3;
2015-11-25;2;2;0;33;27,3;22,3;83,8;71;1;
2015-11-26;2;6,9;0;32,6;26,6;23,1;88,5;70;,7;
2015-11-27;1,6;6,1;16,4;34;27,5;22,5;81,3;64;1;
2015-11-28;2,2;5,6;0;32,4;27,1;23,3;84,8;69;,7;
2015-11-29;2,2;6,6;0;32,6;27,2;22,7;83,8;68;,7;
2015-11-30;2;8,2;0;33;27,1;22,9;85,3;71;,7;
2015-12-01;2,4;3,9;0;34;28,1;23,3;81;65;1;
2015-12-02;2,4;0;0;33;26,8;22,5;86;71;,7;
2015-12-03;2,2;2;0;32,8;27,1;22,9;85,3;69;1,3;
2015-12-04;2;4,4;0;33;27,2;22,7;84,3;67;,7;
