Nome: BELEM
Codigo Estacao: 82191
Latitude: -1.43583333
Longitude: -48.43722221
Altitude: 7.13
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;1;2,7;2,4;32,2;26,4;22,8;90;86;,1;
2015-01-02;1,3;7,9;9,4;32,5;27;21;82,8;81;1;
2015-01-03;2;8,3;5,2;32,4;26,8;22,4;83;73;1,1;
2015-01-04;1,2;6,9;7,4;32,7;27;23;82,3;70;2,5;
2015-01-05;1,5;,1;48,9;27,7;24;21,7;97;88;,1;
2015-01-06;,3;5,7;17,2;31,5;25,4;21;89,3;75;,5;
2015-01-07;1;5,5;30,3;33,4;26,5;21,2;90,3;86;,3;
2015-01-08;1,3;9,7;7,6;33,5;27,3;22;79;67;1,8;
2015-01-09;2;6,7;,8;32,8;26,9;21,4;83;75;1,1;
2015-01-10;1,6;7,6;3,4;33,1;27,4;22,5;84,3;80;1,3;
2015-01-11;1,4;7;18,5;33,4;27,7;22,8;83;74;1,5;
2015-01-12;1,7;6;14;32,5;27,1;22,8;83,3;78;,4;
2015-01-13;1,3;6,3;10,2;33,5;27,7;22;79;75;1,1;
2015-01-14;1,7;5,4;,4;33,5;26,8;23;85,5;66;1,1;
2015-01-15;1,3;3,3;33,7;32,6;26,7;22,8;88;84;,5;
2015-01-16;,8;2,1;9,7;32,6;25,5;21,8;92,3;84;,6;
2015-01-17;,7;8,7;59,5;33,4;27;21,4;83,3;71;1;
2015-01-18;1;5,8;2,4;32,8;27,1;22,6;83,3;76;1,1;
2015-01-19;,6;4,6;0;32,5;26,2;22;89;82;,3;
2015-01-20;,7;1,9;37,3;31,2;25,6;22;91,3;79;,5;
2015-01-21;,2;2,1;39,1;32,7;25,6;21,6;89;76;,7;
2015-01-22;,7;7,8;46;33,7;26,8;22;84,5;68;1,3;
2015-01-23;,4;2,5;11;32,3;26,4;22,1;88,5;76;,2;
2015-01-24;,7;2,9;22;31,7;26,4;22;82,3;72;,9;
2015-01-25;,7;5,4;0;32,8;26,6;21,8;87,5;77;,7;
2015-01-26;,7;3,4;19,6;31,9;26,2;22,4;87,3;73;,8;
