Nome: TURIACU
Codigo Estacao: 82198
Latitude: -1.66138888
Longitude: -45.37194443
Altitude: 34.48
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2,1;6,7;5,2;31,1;27,1;24;73,8;61;3,1;
2015-01-02;3,8;10,7;0;31,5;27,2;23,8;73,3;61;2,6;
2015-01-03;4,9;5;0;31,1;26,8;23,2;82,8;72;2,6;
2015-01-04;2,5;7;1,3;32,3;27,3;23,4;77;68;2,6;
2015-01-05;3,8;,4;,3;30,2;26,1;22;80,5;64;2,1;
2015-01-06;2,1;5,8;0;32,6;27,4;23,4;76,3;59;2;
2015-01-07;3,4;9,2;0;33,4;28,3;24,2;72;57;4,3;
2015-01-08;3,6;10,6;0;33,4;28,2;24,2;72,8;56;3,5;
2015-01-09;3,9;10,2;0;31,4;27,5;24,4;76,8;68;,1;
2015-01-10;4;9,2;0;31,4;27,9;24,6;74;63;3,1;
2015-01-11;4,5;6,3;0;32,8;28;24,6;74,5;59;2,9;
2015-01-12;3,9;9,9;0;33,2;28,3;25;73,5;61;3,2;
2015-01-13;3,8;10,7;0;34,1;28,4;24;70,5;54;3,4;
2015-01-14;4,3;2;0;32,5;28;24,4;74,3;60;3,6;
2015-01-15;3,4;8,9;0;34,2;28,2;24,3;71,5;49;3,2;
2015-01-16;5,1;7,6;0;32,1;27,8;24,8;74,3;61;2,5;
2015-01-17;4,3;8,3;0;31,3;27,4;24;74;61;3;
2015-01-18;4;3,8;0;30,9;27,3;24;75,8;66;2,7;
2015-01-19;3,2;7,7;0;33,5;28;24,1;75,5;61;3,3;
2015-01-20;3,6;8;0;34,3;28,5;24,5;73,3;57;2,9;
2015-01-21;4,2;9,9;0;32,8;28;24,2;74,3;60;2,8;
2015-01-22;5;7,5;0;33;28,3;24,6;73,5;60;3;
2015-01-23;4,2;6,1;0;33,2;28,1;24,6;70,8;57;2,7;
2015-01-24;4,2;5,3;0;32;27,8;24,7;74,8;64;3,5;
2015-01-25;4,4;6,2;0;33,4;28,3;24,6;74;58;3,4;
2015-01-26;3,7;0;,2;30,4;27;23,4;78,5;67;2;
2015-01-27;2,2;10,7;0;33,6;28;23,7;76;60;2;
2015-01-28;4,7;9,4;0;32,6;28;24,2;74,8;62;3;
2015-01-29;4,5;6,5;0;32,5;27,7;24,3;72,3;63;2,7;
2015-01-30;4,5;6,3;0;31,1;27,3;24,4;77,5;66;2,9;
2015-01-31;3,6;7,4;0;31,3;27,4;23,8;80,5;75;2,8;
2015-02-01;3,1;7,2;1,7;32;27,8;24,8;79,3;71;3,1;
2015-02-02;3,1;5,3;0;34;28,5;24,3;73,8;52;3;
2015-02-03;3,9;1,8;,3;29,6;26,5;24,2;85,5;75;2,9;
2015-02-04;1,2;7;14,8;31,3;26,4;24;85,8;65;3,6;
2015-02-05;3,7;,3;28,7;28,5;26,3;23,5;84,3;74;2,7;
2015-02-06;2;9,9;4,3;31,5;27,7;24,4;77,3;63;3;
2015-02-07;3,4;3,8;9,7;30,4;26,8;22,4;83,5;78;2,4;
2015-02-08;1,9;10;1;33,4;28,4;24,2;76,8;60;3;
2015-02-09;2,6;7;0;32,8;28,1;24,3;77;62;2,8;
2015-02-10;3,1;1,9;0;30,9;27,7;25;77,3;67;2,7;
2015-02-11;2,7;10,1;0;33,9;28,5;24,4;73,5;58;3;
2015-02-12;3,4;9,5;0;34,3;28,6;24,4;73,8;59;2,5;
2015-02-13;3,4;10;0;33,8;28,5;25,1;73,8;52;3,7;
2015-02-14;3,3;9,3;0;33,3;28,1;24,9;71,8;55;2,7;
2015-02-15;3,3;9,9;0;34,2;28,6;24,3;69;51;4,1;
2015-02-16;3,1;9,7;0;33,6;28,3;24,8;71,5;55;3;
2015-02-17;3,3;5,5;0;33,6;27,8;24,5;80,3;70;3,8;
2015-02-18;2,2;2,2;2,3;30,6;26,5;23,9;83,8;73;3,1;
2015-02-19;1,6;0;40,2;26,3;24,1;21,3;90,8;87;1,5;
2015-02-20;,7;,4;1;30,3;24,9;22;89,5;86;2,2;
2015-02-21;1,5;,4;11,4;29;25,1;21,2;82,5;64;2,5;
2015-02-22;2,1;1,1;0;31;24,4;20,8;91,3;85;2,9;
2015-02-23;1,2;3,2;99,5;32,1;25,4;20,8;82,8;64;1,3;
