Nome: PARINTINS
Codigo Estacao: 82240
Latitude: -2.62999999
Longitude: -56.72999999
Altitude: 29
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2016-01-29
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;8,3;32,4;28,3;24,7;76,8;69;0;
2015-01-02;null;null;0;33,6;27,9;25,6;79;69;,5;
2015-01-03;null;null;0;34,4;29,2;24,5;67,3;52;,9;
2015-01-04;null;null;0;35,2;29,9;25,5;65;50;,5;
2015-01-05;null;null;1,2;30,5;26,3;24;87,8;65;1,7;
2015-01-06;null;null;24,8;32,4;27,4;22,9;76,8;67;0;
2015-01-07;null;null;0;33,6;28,8;24,2;70,3;57;0;
2015-01-08;null;null;0;34,2;29,1;25,2;71,8;59;,5;
2015-01-09;null;null;0;33,3;29,1;24,8;69,3;59;,3;
2015-01-10;null;null;0;33,8;29,2;26,7;76,5;59;0;
2015-01-11;null;null;18;28,3;25,4;23,4;87,3;82;1;
2015-01-12;null;null;3,1;28;25,9;23,4;87,3;85;1;
2015-01-13;null;null;25,8;31,1;27,8;23,6;77;71;1;
2015-01-14;null;null;0;30,5;26,1;23,9;79,3;62;,5;
2015-01-15;null;null;55,6;31,1;26,3;22,7;82,3;72;0;
2015-01-16;null;null;0;32;27,4;23,9;79,3;73;0;
2015-01-17;null;null;0;31,3;27;23,6;78,8;66;1,5;
2015-01-18;null;null;0;33,1;28,7;26,3;73,8;59;,5;
2015-01-19;null;null;21,2;28,6;25,3;22,9;90,8;81;,5;
2015-01-20;null;null;3,8;31,1;25,3;23;85,3;71;,5;
2015-01-21;null;null;18,6;31,1;26,1;22,5;81,8;64;,3;
2015-01-22;null;null;0;31,4;30,5;23,1;64,8;81;1;
2015-01-23;null;null;7,3;27,1;25,3;24,2;87;42;0;
2015-01-24;null;null;3,7;30,4;26,4;23;81,5;76;1;
2015-01-25;null;null;0;32,1;null;null;81;59;,8;
2015-01-26;null;null;7,1;29,3;26;23,2;79;72;1;
2015-01-27;null;null;7,4;32,6;27,9;23,1;76,8;62;,5;
2015-01-28;null;null;1,8;33,6;null;null;77;62;1;
2015-01-29;null;null;0;33,6;28,8;24,3;75,3;60;0;
2015-01-30;null;null;0;33,8;29,1;25;70,8;59;,8;
2015-01-31;null;null;0;33,8;28,5;25,3;77,3;60;,5;
2015-02-01;null;null;null;30,5;null;null;77;72;0;
2015-02-02;null;null;0;27,5;24,7;24,2;91;77;1,5;
2015-02-03;null;null;40,2;31,5;26,9;22,6;79,3;66;0;
2015-02-04;null;null;2,2;32,3;27,5;23,5;79;63;0;
2015-02-05;null;null;2,6;31,2;27,3;24,4;76,5;59;,5;
2015-02-06;null;null;2,1;32,5;27,9;24,1;72,5;63;,9;
2015-02-07;null;null;0;33,4;null;null;70;63;0;
2015-02-08;null;null;0;33,5;28,4;26,2;77,8;64;1;
2015-02-09;null;null;1,2;30;25,9;24,8;91,5;85;1,5;
2015-02-10;null;null;10,6;32,9;27,3;23,2;79,3;62;,5;
2015-02-11;null;null;0;33,1;28,1;24,7;81;65;,5;
2015-02-12;null;null;3;31,3;27,3;24,2;81,3;78;1,5;
2015-02-13;null;null;8,4;34;null;null;74;57;1,5;
2015-02-14;null;null;0;34;29,5;25,4;70,8;55;1,4;
2015-02-15;null;null;0;null;null;24,1;null;59;,8;
2015-02-16;null;null;0;31,1;28,5;25,3;81,5;77;,5;
2015-02-17;null;null;82,7;32,2;27,2;23,3;84,3;73;0;
2015-02-18;null;null;9,6;31,7;27,1;23,5;80,5;66;1;
2015-02-19;null;null;14,2;32,1;27,6;23,9;79,5;64;,5;
2015-02-20;null;null;0;29,3;26;24,2;89,5;78;1,5;
2015-02-21;null;null;0;30,1;26,5;23,7;87,3;83;1,5;
2015-02-22;null;null;7,5;29,8;25,2;24,4;89,8;74;0;
2015-02-23;null;null;66,7;31,7;26,7;22,9;82;64;,5;
2015-02-24;null;null;0;29,5;26,5;23,6;85;82;0;
2015-02-25;null;null;3,6;null;null;23,7;null;85;0;
2015-02-26;null;null;,8;32,5;27,4;24;81,3;66;0;
2015-02-27;null;null;12,1;31,5;27,2;23,3;82,5;72;,7;
2015-02-28;null;null;0;32,3;27,9;25;80,5;66;0;
2015-03-01;null;null;0;32,5;28,3;25,4;82;81;0;
2015-03-02;null;null;1,7;30,1;26,9;24,3;85,8;83;,5;
2015-03-03;null;null;10,2;32,1;27,6;24,4;80,3;67;,5;
2015-03-04;null;null;52,7;28,1;25,8;23,6;90,3;81;,5;
2015-03-05;null;null;84,4;31;25,8;22,7;87,3;71;1;
2015-03-06;null;null;87,2;26,3;24,3;23;92,5;89;0;
2015-03-07;null;null;11;32;26,9;23,4;79,3;68;0;
2015-03-08;null;null;0;32,7;27,9;23,9;85,3;79;0;
2015-03-09;null;null;1,3;31,1;27,8;25,5;81,3;75;1;
2015-03-10;null;null;8,9;31,5;27,2;25;84,8;75;,3;
2015-03-11;null;null;2,8;31,2;27,7;24,6;75,5;63;0;
2015-03-12;null;null;0;32,6;28,1;25,2;79;66;1;
2015-03-13;null;null;45;31,3;27;24;85;73;1;
2015-03-14;null;null;52,3;27,9;25,4;24;91,8;86;0;
2015-03-15;null;null;98,9;30,1;null;null;81;76;0;
2015-03-16;null;null;0;29;25,9;24,1;92,8;85;0;
2015-03-17;null;null;10,3;32,2;26,9;24,1;83,8;67;,5;
2015-03-18;null;null;17,2;28,7;25,4;23,9;89,5;83;,5;
2015-03-19;null;null;27,2;29,7;26,2;23,8;88,3;76;0;
2015-03-20;null;null;20,3;27,9;25,3;23,6;92;82;0;
2015-03-21;null;null;16,7;null;null;23,4;null;66;1,3;
2015-03-22;null;null;,8;30,7;26,9;24,2;84,3;84;0;
2015-03-23;null;null;0;32,1;27,1;24,8;82,5;67;1,5;
2015-03-24;null;null;0;29,2;26,4;24,3;86,5;85;,5;
2015-03-25;null;null;6,4;28,8;25,8;23,7;88;78;0;
2015-03-26;null;null;0;32,8;28,4;24,1;78;64;,5;
2015-03-27;null;null;0;32,9;28,4;24,7;77,5;65;0;
2015-03-28;null;null;,6;31,9;27,5;25,7;90;83;,5;
2015-03-29;null;null;0;32,5;28,2;25;81,5;70;0;
2015-03-30;null;null;1;31,6;28;25,7;80,3;69;1;
2015-03-31;null;null;2;33,3;28,2;25,4;77,5;69;0;
2015-04-01;null;null;25;28;24,6;22,2;89,8;79;1;
2015-04-02;null;null;56;31,1;27;22,8;84,5;78;1;
2015-04-03;null;null;0;32,3;28,1;24,3;79,3;64;0;
2015-04-04;null;null;0;31,4;28,1;25,8;77,8;63;1,4;
2015-04-05;null;null;0;33,4;28,8;24,2;71,8;67;,5;
2015-04-06;null;null;0;33,8;28,7;25,3;75,8;65;0;
2015-04-07;null;null;19,4;31,6;27,4;24,2;80;81;,8;
2015-04-08;null;null;5,2;32,7;28,1;25,1;78;65;,5;
2015-04-09;null;null;,6;32,1;27,9;25,6;85;78;0;
2015-04-10;null;null;39,1;30,2;26,5;24,3;85,5;75;0;
2015-04-11;null;null;9,2;32,4;27,7;23,5;84;78;,5;
2015-04-12;null;null;27;31,9;28;24,5;77,8;66;0;
2015-04-13;null;null;18,3;31,8;27,3;24,4;81,8;67;,5;
2015-04-14;null;null;0;30,9;26,3;22,4;88,5;84;0;
2015-04-15;null;null;22,8;31,8;26,7;24,3;89,5;81;1,5;
2015-04-16;null;null;16,1;31,2;27,4;24,7;82,8;71;,5;
2015-04-17;null;null;23;29,3;26,2;23,8;87,5;83;0;
2015-04-18;null;null;25,3;30,5;null;null;87;86;,8;
2015-04-19;null;null;1;31,7;27,9;25,4;84,3;82;0;
2015-04-20;null;null;3,4;30,2;null;null;87;83;1,5;
2015-04-21;null;null;0;31,3;27,9;24,5;79,8;63;0;
2015-04-22;null;null;0;31,5;27,8;25,1;86,8;84;0;
2015-04-23;null;null;6,8;27,1;26,3;25;82,8;73;1;
2015-04-24;null;null;,8;30,7;27,7;26,2;87,5;83;0;
2015-04-25;null;null;38,1;30,2;27;24,9;87,5;80;,5;
2015-04-26;null;null;19,7;30,7;26,7;24,3;91,5;90;0;
2015-04-27;null;null;13,9;31,7;27,9;24,6;84,5;83;1,5;
2015-04-28;null;null;3,8;30,8;26,9;24,8;90;85;,5;
2015-04-29;null;null;30,4;31;26,9;24;83,3;72;,5;
2015-04-30;null;null;1,3;30,7;27,5;24,4;87,3;79;0;
2015-05-01;null;null;8,6;31,9;27,6;23,8;86,5;88;0;
2015-05-02;null;null;0;28,2;26,2;24,7;89;85;1;
2015-05-03;null;null;111;27,7;25,6;23;90,3;90;,5;
2015-05-04;null;null;1,2;31,4;26,3;23,8;86,8;67;,5;
2015-05-05;null;null;5,2;31,3;27,3;24,1;83,8;75;1;
2015-05-06;null;null;29,3;30,2;26,3;23,7;91,5;86;0;
2015-05-07;null;null;26;29,7;26,1;24,2;86,5;77;0;
2015-05-08;null;null;12,5;31,4;26,5;23,8;87,3;76;0;
2015-05-09;null;null;23,9;30,8;27,2;23,9;86,3;80;0;
2015-05-10;null;null;0;30,7;27,2;24,8;84;69;0;
2015-05-11;null;null;10,3;31,2;27,1;24,2;88,5;79;0;
2015-05-12;null;null;0;32,3;28,2;24,2;80,8;67;0;
2015-05-13;null;null;0;32,9;28,6;24,4;77,3;65;,5;
2015-05-14;null;null;0;33,5;28,6;25,1;85,3;83;0;
2015-05-15;null;null;0;33,8;28,8;25;75,5;59;0;
2015-05-16;null;null;7,7;32,1;26,9;24,4;88,8;82;,9;
2015-05-17;null;null;1,6;31,5;27,2;24,3;83,3;70;0;
2015-05-18;null;null;4,6;30,1;27,3;25;87,8;83;0;
2015-05-19;null;null;27,2;30,7;27,2;24,4;84,8;78;1;
2015-05-20;null;null;7,7;32,5;27,4;25,6;83,5;64;0;
2015-05-21;null;null;0;32,5;28,1;24,5;80,3;73;1,7;
2015-05-22;null;null;4,2;31,5;27,1;24,4;85,8;73;1,7;
2015-05-23;null;null;2,3;32,3;28,5;24,2;76;66;1;
2015-05-24;null;null;null;32,2;null;null;86;78;0;
2015-05-25;null;null;8,6;31,8;28,6;25,1;79,3;75;,9;
2015-05-26;null;null;10,2;31,7;26,9;24,9;89,8;81;2,2;
2015-05-27;null;null;null;31,3;null;null;75;68;0;
2015-05-28;null;null;7,3;32,4;28;24,4;79,3;67;1,2;
2015-05-29;null;null;,6;32,5;27,9;25,2;81;65;1,2;
2015-05-30;null;null;0;32,5;28,4;24,6;77,8;69;,7;
2015-05-31;null;null;5,8;34,2;29,3;24,8;74;67;0;
2015-06-01;null;null;0;32,5;28,3;25,6;79,8;63;,5;
2015-06-02;null;null;3;32,2;27,4;25,4;85;79;0;
2015-06-03;null;null;19,8;33,5;28,6;24,7;75;60;,5;
2015-06-04;null;null;0;32,7;29,1;25,4;74;60;0;
2015-06-05;null;null;3;33,8;29,4;25,4;72,8;64;1;
2015-06-06;null;null;,8;32,3;27,6;24,4;79,3;67;0;
2015-06-07;null;null;0;31,7;27,2;24,8;79,8;68;1;
2015-06-08;null;null;0;32,9;28;23,2;70,8;66;0;
2015-06-09;null;null;33,4;31,9;27,4;24,1;81,5;68;2,7;
