Nome: SAO LUIS
Codigo Estacao: 82280
Latitude: -2.52666666
Longitude: -44.21361111
Altitude: 32.58
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2025-07-01
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3;9,3;0;32,1;27,8;25;75,5;66;2,8;
2015-01-02;4,1;9,5;0;31,6;27,4;23,9;73,3;63;3;
2015-01-03;3,7;1,6;0;29,5;26,4;23,7;81;77;1,8;
2015-01-04;3;8,9;0;32,3;27,8;25,4;78;63;2,3;
2015-01-05;3,8;6;19;31,9;26,5;23,2;79,5;61;2,3;
2015-01-06;2,2;2,6;0;32,2;26,8;22,4;79;68;1,8;
2015-01-07;3,1;9,7;0;32,6;28,2;25,5;75;61;2,9;
2015-01-08;4;10,6;0;32,3;27,7;25;73,5;60;2,9;
2015-01-09;4,8;9,6;0;32,8;27,6;23,9;77,5;67;2,7;
2015-01-10;3,6;6,7;0;31,4;26,4;24;85,3;72;2,2;
2015-01-11;3;7;8,4;32,5;27,7;24;77,5;64;3,3;
2015-01-12;4,5;9,7;0;33,3;28,3;26;75,5;59;2,7;
2015-01-13;4,2;9,5;0;33,4;28,4;25,7;74,8;58;3,3;
2015-01-14;4,6;1,5;0;31,9;27,9;25,2;76,3;67;2,8;
2015-01-15;3,5;8,7;0;33;27,5;24;75,8;60;2,6;
2015-01-16;4,6;10,4;0;33,1;28;24,9;75,5;65;3;
2015-01-17;4,4;10;0;31,9;27,7;24,1;73,8;62;3,1;
2015-01-18;4,5;4,8;0;31;27,8;26;75,8;67;2,9;
2015-01-19;4,2;6,6;,4;33,9;28,5;26,1;74;62;2,7;
2015-01-20;4,6;10;0;34,3;28,5;26;72,5;51;2,7;
2015-01-21;3,8;8,9;0;32,8;28,2;25,4;75;62;2,3;
2015-01-22;4,3;5,8;0;32,1;28,2;26,2;76;63;2,3;
2015-01-23;4,2;1,6;0;31;27,6;26;77,3;69;3;
2015-01-24;3;4,9;2,4;32,4;28,1;26,1;74,8;62;2,9;
2015-01-25;5,3;3,9;0;32,7;28,4;26,6;76,3;70;3;
2015-01-26;4;4,5;0;33,8;28,1;25,5;76,8;62;2,2;
2015-01-27;4,8;10,5;0;33,4;28,1;24,3;75,5;63;2,5;
2015-01-28;5;7,1;0;33,5;28,4;25,9;75;64;2,7;
2015-01-29;4,5;7,3;0;32,6;28;25,4;76,8;69;2,8;
2015-01-30;4;8,6;0;32,9;28,1;25,5;75,8;63;3,1;
2015-01-31;4,5;9,1;0;33,5;28,2;25,1;76,3;60;3;
2015-02-01;5,5;8;0;33,2;28,6;25,8;76;64;3;
2015-02-02;3;5,7;6,4;31,9;27,5;25,2;81,5;69;2,3;
2015-02-03;2,5;1;4,8;30,9;26,6;23,8;86,8;74;1,3;
2015-02-04;2,2;8;,2;31,7;27;24,8;80,5;64;2,4;
2015-02-05;2,8;4;6;31,4;26,7;24;82,5;68;2,2;
2015-02-06;2,4;4,3;1,4;31,7;27;25;86;74;2,1;
2015-02-07;1,4;5,2;9,3;31,6;27;23,2;83,5;73;2;
2015-02-08;3;8;0;33,6;28,6;26,1;76,3;61;2,2;
2015-02-09;3,4;7,6;0;33,4;28,5;25,5;77,5;63;2,9;
2015-02-10;4;4,1;0;32,1;28,1;25,8;77,8;72;2,7;
2015-02-11;3,5;5,1;0;33;28,2;25,6;75;63;2,7;
2015-02-12;3,7;8;0;34,3;28,5;25,2;78;61;3,2;
2015-02-13;4;9,9;0;33,8;28,7;26,2;74,5;56;3,1;
2015-02-14;5;9;0;33,4;28,6;26;74,5;63;3;
2015-02-15;5,5;8,7;0;34,2;28,8;26,2;76,3;60;3;
2015-02-16;5;8,1;0;33,4;28,6;26,4;77,3;66;3;
2015-02-17;5;null;0;34,1;28,7;26,4;77;64;3,3;
2015-02-18;4,8;null;,6;31,9;27,1;25,5;82,3;63;2,5;
2015-02-19;2,5;null;23,6;26,1;24,4;23;91,3;87;,6;
2015-02-20;1;null;6;32,3;26,1;22,8;88,8;81;1,6;
2015-02-21;1,7;null;7,1;29,3;25;23,8;91,3;75;1,8;
2015-02-22;1,5;null;1,3;30,3;25,5;22,4;83;67;1,2;
2015-02-23;2,5;null;,6;32,2;26,9;23,2;82,3;65;1,6;
2015-02-24;3,4;null;22;30,2;26,1;23,8;86;74;1,6;
2015-02-25;1,8;null;0;31,3;27,3;24,4;82,5;76;1,8;
2015-02-26;2,8;null;1,4;31,7;27,5;24,2;81,5;69;2,5;
2015-02-27;3;null;0;31,7;27,7;25,4;81,8;66;2,5;
2015-02-28;3;null;0;30,9;27;24,8;84,5;76;1,4;
2015-03-01;1,8;3;1,7;30,2;26;24;87,8;80;1,5;
2015-03-02;1,7;3;52,8;29,8;26,5;23,2;86,5;83;2,4;
2015-03-03;,5;,4;16,6;29,4;25,8;24,2;87,8;87;1,2;
2015-03-04;1,8;6,9;1,9;31,2;26,6;23;83,3;73;1,9;
2015-03-05;2,7;,9;0;29,5;26,1;24,4;86,3;81;2;
2015-03-06;1,2;3,4;31;29,7;26,1;24;91,3;89;1,2;
2015-03-07;,8;0;26;26,2;24,6;23,6;92;93;,3;
2015-03-08;,4;5,8;38,2;30,9;26,1;23,4;88,3;77;1,9;
2015-03-09;1;1,4;2,4;31,2;26,1;23,6;91,5;90;1,2;
2015-03-10;1,6;5,4;7,6;31,5;27,6;24,8;82,8;77;1,7;
2015-03-11;2;4,8;3,4;32,4;27,1;24,2;84,3;70;1,9;
2015-03-12;2,5;8,1;0;33,2;28,3;24,7;78,8;67;2,9;
2015-03-13;3,5;7,9;0;33,2;28,4;25;79,3;72;2,3;
2015-03-14;3,3;9,3;0;32,8;28,5;25,7;77;66;2,4;
2015-03-15;3,2;5,9;0;32,9;28,8;26,2;80,3;71;2,8;
2015-03-16;2,5;4,8;1,6;32,1;27,4;24,2;80,3;66;1,4;
2015-03-17;3,3;3,8;0;31,3;28;25,7;78,5;64;2,5;
2015-03-18;2,5;,6;1;29,9;27,5;25,2;83,5;79;1;
2015-03-19;1,7;2,6;0;32,1;27,8;25,6;85,3;82;2,1;
2015-03-20;2,5;0;6,4;28,5;25,7;24,2;92,3;88;1,2;
2015-03-21;,9;,2;41,9;30,1;25,8;23,2;86,8;76;,6;
2015-03-22;1,4;0;76;26,2;24,3;23,2;93,3;89;,2;
2015-03-23;,4;2,8;16;30,2;25,6;22,8;85,5;74;,5;
2015-03-24;1,8;2,6;0;30,1;26,3;23,8;91;84;,7;
2015-03-25;,8;3,8;45,4;29,9;25,6;23,2;89;74;1;
2015-03-26;1,7;2,2;10,8;30,4;26,1;23,8;91,8;90;,7;
2015-03-27;1,2;4;30;30,1;26,9;24;85,5;77;2,1;
2015-03-28;2,2;4,5;1;29,8;27,1;24,2;84,5;79;2;
2015-03-29;2;10;3,6;31;27,5;24,7;82;70;1,9;
2015-03-30;3;6;0;31,4;27;24,2;84,8;78;1,9;
2015-03-31;2,1;3,5;10,6;29,9;26,6;24,5;92;86;1,4;
2015-04-01;1,5;2,2;22,7;29,4;25,8;24;90,5;77;1,4;
2015-04-02;1;1,1;21,2;30;26,3;23,8;85,3;74;2,2;
2015-04-03;2;2,5;49,6;30,3;25,6;24,4;89,3;73;1,3;
2015-04-04;1,5;4,4;,6;30,8;26,6;23,8;84,5;75;1,5;
2015-04-05;1,2;3,9;14,6;30,4;25,9;23,6;90;88;,8;
2015-04-06;,8;9;4,4;30,9;27,1;24,6;85;71;2,5;
2015-04-07;1,2;5,8;2,7;30,7;26,8;25,6;87,3;77;1,7;
2015-04-08;1;3,3;2,7;32;26,7;24,6;91;83;2,2;
2015-04-09;1,2;3,9;9;30,1;26,5;24,7;90,5;76;2;
2015-04-10;,8;1,8;45,6;28,7;25,9;24,2;92,5;86;1,4;
2015-04-11;,8;4,3;18,3;31,3;26,5;24;88;73;,8;
2015-04-12;1;,2;6,1;29,4;25,8;24,4;94;83;1,5;
2015-04-13;,8;4;12,6;30,2;26,3;24,2;85;78;1,3;
2015-04-14;,8;4,9;2,2;31,4;27,2;24,2;85;83;1;
2015-04-15;,5;3;,6;31,3;26,6;24,4;94,8;85;1,1;
2015-04-16;1;4,3;33,4;31,6;26,5;24;93;90;,5;
2015-04-17;1,5;6,8;6;31,9;27;23,9;87,5;83;2,8;
2015-04-18;1,7;5;21,4;31,2;27,1;24,8;93,5;86;1,5;
2015-04-19;1,3;2,2;14,2;29,3;25,4;23,2;88,5;83;1,4;
2015-04-20;1,7;1,5;27,3;29,9;25,9;23,4;88,5;79;,5;
2015-04-21;1;5,9;23,5;31,3;27,1;24,4;85,8;82;1,4;
2015-04-22;1,5;6,3;3,8;32;27,2;23,8;87;83;1,4;
2015-04-23;2;5,2;11,6;31,2;26,8;24,2;86,5;79;1,5;
2015-04-24;2,3;6,5;2,8;31,2;27,4;25,2;84;73;1,8;
2015-04-25;2,5;6,2;,4;32,2;27,6;24,8;81,5;71;2;
2015-04-26;2,5;7,7;0;32,6;27,9;24,6;80,3;75;1,8;
2015-04-27;2,4;6,2;0;32,5;27,7;25,5;90,5;84;1,5;
2015-04-28;2;9;9,2;33,1;28,4;25,2;80,3;71;2,8;
2015-04-29;3,6;7,8;0;32,4;28,1;25,3;81,5;70;2,2;
2015-04-30;3,2;10,1;0;33,5;28,4;25,3;80,8;63;1,8;
2015-05-01;3;7,2;0;33;28,3;25,2;80;72;1,9;
2015-05-02;2,8;4,5;0;32,9;27,3;25,2;92,3;85;1;
2015-05-03;1,3;0;98,2;29,1;25,6;23,6;93,5;85;,8;
2015-05-04;,9;3,2;6,8;31,4;27,2;24,8;81,3;68;1,9;
2015-05-05;2,5;7,8;0;32,2;27,8;24,8;80,8;67;2,1;
2015-05-06;3;8,4;0;32,2;27,1;24,3;83,5;70;2,3;
2015-05-07;2,5;4,9;39,7;30,6;27,2;24,2;81,3;74;1,6;
2015-05-08;1,5;2,7;79,4;31,1;26,8;24,2;89,3;85;,8;
2015-05-09;2;3;9,3;30,8;26,8;24,4;89;82;,3;
2015-05-10;1;8,5;12,5;31,5;26,8;23,5;83,8;76;2,3;
2015-05-11;2,2;8,6;1,7;31,9;27,4;24,4;82,8;75;2,5;
2015-05-12;2,8;10,4;0;32,7;27,7;24,4;81,3;67;1,9;
2015-05-13;3,2;9,9;0;32,9;28;24,4;84,5;73;1,9;
2015-05-14;2,8;9,4;1,2;32,6;28,5;25,3;81;72;2,2;
2015-05-15;3,2;7,3;5;32,2;26,8;24,6;87,5;64;1,2;
2015-05-16;2,5;6,7;0;32,3;27,6;25;87;76;1,5;
2015-05-17;2,2;3,2;2,8;31,9;27;24,6;91,8;86;,9;
2015-05-18;1,8;3,8;20,6;31,7;26,7;24,6;87,5;71;1;
2015-05-19;1,6;5,8;1,8;31,8;27,5;24,8;85,8;79;1,9;
2015-05-20;1,7;4,8;,2;31,8;27;24,2;89,3;82;1,3;
2015-05-21;1,5;6,6;31;32;26,8;24,4;87,3;84;,9;
2015-05-22;2;5,8;18,4;31,5;27,1;24,4;89,8;78;1,5;
2015-05-23;1,5;6,9;18,1;30,7;27,3;24,7;85,3;71;1;
2015-05-24;2,2;9,4;,2;33,1;28,2;24,9;84,3;71;1,9;
2015-05-25;2,8;,4;28,6;30,3;26,2;24,3;91;86;,6;
2015-05-26;1;2,3;17,8;31;26,3;24;87,3;75;1,9;
2015-05-27;1,8;3,1;,6;29,8;27,1;24,9;84,8;77;1,7;
2015-05-28;2;5,4;0;31,8;26,9;24,2;87,5;82;1,1;
2015-05-29;2,1;7,5;3;31,4;27,2;24;82;69;1,6;
2015-05-30;2,1;1;2,8;32,6;27,4;23,6;82,3;67;1,5;
2015-05-31;2,7;4,3;0;31,4;26,9;24,4;88;78;1;
2015-06-01;1;9,4;17,2;32,6;27,7;23,8;81;74;2,1;
2015-06-02;3;8;0;31,9;27;24,6;85,5;75;1,9;
2015-06-03;2,8;8,6;,6;31,8;27,4;23,9;81,8;71;2;
2015-06-04;2,1;7;8,1;32,4;26,8;22,9;84,8;75;1,9;
2015-06-05;2,4;1,1;5;30,4;null;24,2;null;77;1,9;
2015-06-06;2;8,7;0;32,9;null;23,4;null;73;2;
2015-06-07;3,1;7,1;13;31,9;null;23,2;null;72;2,8;
2015-06-08;2;7,5;4;31,9;null;24,3;null;73;2,2;
2015-06-09;2,4;6,7;1,8;32,2;null;23,8;null;67;2,3;
2015-06-10;3;8,4;0;33,4;null;24,4;null;64;2,1;
2015-06-11;3;6,6;,2;33,4;null;24,2;null;78;1,5;
2015-06-12;2,1;5,6;2,2;32,4;null;24,5;null;71;2,4;
2015-06-13;2,5;6,5;0;31,3;null;25;null;65;2,8;
2015-06-14;3;8,9;9,2;31,9;null;24,7;null;68;2,6;
2015-06-15;3;10,2;,8;33,6;null;24,2;null;61;2,2;
2015-06-16;4;7,5;0;32,4;null;23,7;null;68;2,1;
2015-06-17;3;8,7;0;32,5;null;24,1;null;70;2,4;
2015-06-18;2,7;9,8;0;32,8;null;24,2;null;67;2,4;
2015-06-19;3,1;7,4;0;32,7;null;23,2;null;69;1,9;
2015-06-20;2,9;8,7;3;32,5;null;23,1;null;64;2,5;
2015-06-21;3,3;2,6;0;30,6;null;24,3;null;78;2,5;
2015-06-22;1,5;7,4;19,2;31,1;null;24;null;75;2,7;
2015-06-23;2,8;9,2;1,8;32,5;null;23,6;null;71;2,7;
2015-06-24;2,5;8,3;,2;31,8;null;24,8;null;70;2,3;
2015-06-25;3,6;8,6;0;32,4;null;23,2;null;72;2,8;
2015-06-26;2,5;8,4;19,8;31,4;null;23;null;73;2,3;
2015-06-27;2,3;7,6;0;31,6;null;23;null;62;1,7;
2015-06-28;2,8;7,3;0;32,6;null;23,2;null;72;2,3;
2015-06-29;3;7,7;0;32,1;null;24,3;null;70;2,9;
2015-06-30;2,5;8,6;,6;31,4;null;24,8;null;70;2,2;
2015-07-01;2,4;8,3;,5;31,7;null;25,2;null;78;2,2;
2015-07-02;2,1;3,1;26,4;30,7;null;24,5;null;73;2,3;
2015-07-03;4,1;6,5;1;31,2;null;25,7;null;80;2,3;
2015-07-04;2,5;5,9;5,5;31,2;null;23,6;null;78;1,7;
2015-07-05;2;7,1;,4;31,4;null;24,7;null;77;1,8;
2015-07-06;2,1;7,1;11,5;32,2;null;23,7;null;69;1,8;
2015-07-07;2,6;6,6;0;32,4;null;24,8;null;66;1,9;
2015-07-08;2,9;9,1;0;32,1;null;24,2;null;68;2,7;
2015-07-09;3,1;10;0;32,4;null;24,2;null;67;2,9;
2015-07-10;3;10;0;32,6;null;24,8;null;61;2,9;
2015-07-11;3,6;10,1;0;32,6;null;24,2;null;59;2,8;
2015-07-12;3,5;9,5;0;33,1;null;23,4;null;60;2,9;
2015-07-13;3,8;9,9;0;32,9;null;24,2;null;56;3,2;
2015-07-14;3,9;9,9;0;33,6;null;24;null;58;2,6;
2015-07-15;4,3;9,5;0;33,1;null;23,8;null;57;2,8;
2015-07-16;4;9,3;0;33,6;null;23;null;69;2,1;
2015-07-17;3,5;6,3;0;32;28,3;23,8;78;83;2,1;
2015-07-18;3,6;7,9;,2;32,4;null;24;null;66;1,9;
2015-07-19;3,4;4,9;0;32,8;null;24;null;60;2;
2015-07-20;3,3;5,3;0;32,6;null;23,6;null;64;2,1;
2015-07-21;3;8,7;2;32,6;null;23,9;null;67;2,3;
2015-07-22;2,9;9;0;33,3;null;24,2;null;63;2,8;
2015-07-23;3,3;8,8;5,2;32,5;null;23,5;null;64;2,6;
2015-07-24;3;8;0;32,2;null;24,5;null;68;2,9;
2015-07-25;2,7;3;,6;29,8;null;25;null;76;1,5;
2015-07-26;2,4;8,5;11,5;32,2;null;24,2;null;68;1,6;
2015-07-27;2,4;7,8;0;31,4;null;24,1;null;71;2,5;
2015-07-28;3,2;8,9;0;32,4;null;25;null;70;2,9;
2015-07-29;3;9,7;1;33,4;null;24,7;null;72;2,6;
2015-07-30;3,3;9,7;,3;33,1;null;25,2;null;71;2,6;
2015-07-31;3;9,5;9,8;33,3;null;25,6;null;54;2,6;
2015-08-01;3,7;10,3;0;33,4;null;22,6;null;59;2;
2015-08-02;3,7;10,1;0;32,6;null;23;null;62;2,5;
2015-08-03;3,6;9,8;0;32,6;null;23,8;null;65;2,8;
2015-08-04;4,2;10,2;0;32,7;null;25;null;63;3,4;
2015-08-05;4;10;0;32,9;null;25;null;60;2,5;
2015-08-06;4;9,7;0;32,8;null;24,3;null;69;2,8;
2015-08-07;3,7;9,9;0;33,3;null;24,7;null;62;3;
2015-08-08;3,8;9,8;0;32,8;null;25;null;63;2,9;
2015-08-09;4;9,8;0;32,8;null;24,2;null;62;2,9;
2015-08-10;3,7;9,4;0;33,3;null;24,3;null;68;2,9;
2015-08-11;4;8,5;0;33,4;null;24,2;null;71;2,3;
2015-08-12;3;9,5;0;33,6;null;24;null;58;2,4;
2015-08-13;3,7;8,1;0;33;null;23,2;null;52;1,9;
2015-08-14;3,9;9,1;0;32,5;null;23,1;null;64;2,3;
2015-08-15;3,4;9,6;0;34,4;null;23;null;60;1,6;
2015-08-16;3,5;8,8;0;34,7;null;23,7;null;66;2,6;
2015-08-17;3,2;9,7;0;34,7;null;24,8;null;66;2,4;
2015-08-18;3,7;10,1;0;34,8;null;24,1;null;58;2,7;
2015-08-19;4,3;9,2;0;32;null;23,9;null;69;2,4;
2015-08-20;3,7;8;0;32,6;null;24,6;null;72;3,7;
2015-08-21;3;10;0;31,8;null;23;null;60;3,1;
2015-08-22;3,7;8,3;0;33;null;24,6;null;72;2,8;
2015-08-23;3,8;7,3;0;32,9;null;25,2;null;71;2,7;
2015-08-24;3,4;6;0;32,1;null;25,8;null;72;3,2;
2015-08-25;3,6;9,5;0;32,3;null;25;null;68;3,3;
2015-08-26;4,3;10,2;0;33;null;25,2;null;63;3,5;
2015-08-27;4,2;8,1;0;33;null;24,6;null;67;3,3;
2015-08-28;4,6;8,3;0;32,6;null;24,7;null;70;3,9;
2015-08-29;3,2;9,5;0;32,7;null;25,5;null;65;3,5;
2015-08-30;4,5;9,2;0;32,7;null;25,3;null;64;3,9;
2015-08-31;4,8;7,8;0;31,8;null;24,1;null;74;3,5;
2015-09-01;4;6,9;0;32,6;null;24,8;null;75;3,2;
2015-09-02;2,8;8,3;0;32,2;null;25;null;76;3,9;
2015-09-03;3,7;9,9;0;32,6;null;25,1;null;67;3,2;
2015-09-04;3,7;8,2;0;32,8;null;25,2;null;68;3,2;
2015-09-05;4,1;6,9;0;32,3;null;25,2;null;73;3,3;
2015-09-06;4;8,4;0;32,9;null;25,5;null;70;3,1;
2015-09-07;4,5;7,1;0;32,5;null;25,6;null;68;2,5;
2015-09-08;4,8;9,6;0;32,6;null;24,6;null;63;3,2;
2015-09-09;5;10,2;0;32,4;null;24,4;null;69;3,5;
2015-09-10;4,5;9,4;0;33;null;24,2;null;64;3,7;
2015-09-11;4,8;8;0;32,6;null;25,3;null;66;4,3;
2015-09-12;3,7;9,4;0;33,5;null;23,9;null;70;3,4;
2015-09-13;3;9,1;0;32,1;null;24,6;null;71;3,5;
2015-09-14;4;7,2;0;32,4;null;25,1;null;72;3,3;
2015-09-15;4,1;8,2;0;34,2;null;25;null;62;3,2;
2015-09-16;4,4;9,2;0;33,3;null;25,2;null;64;2,9;
2015-09-17;4,8;9;0;33,2;null;24,6;null;70;3,2;
2015-09-18;4,1;10;0;33,2;null;24;null;65;3,3;
2015-09-19;5;8,7;0;33;null;25,8;null;63;3,2;
2015-09-20;4;7,6;0;32,8;null;25,4;null;65;3,6;
2015-09-21;3,4;8,4;0;32,7;null;25,6;null;66;3,3;
2015-09-22;4,3;8,1;0;32,4;null;25,5;null;70;3,5;
2015-09-23;4,2;8,9;0;32,7;null;25,2;null;64;3,6;
2015-09-24;4,8;9;0;33;null;25,5;null;64;3,8;
2015-09-25;4;9,3;0;33,6;null;25,2;null;67;3,3;
2015-09-26;3,5;7,7;0;32,6;null;24,8;null;70;2,8;
2015-09-27;3,6;7,2;0;31,9;null;24;null;67;3,6;
2015-09-28;3;5,8;0;32;null;25,2;null;71;2,8;
2015-09-29;3,3;8,4;0;32,8;null;24,7;null;65;3,7;
2015-09-30;4,5;8,1;0;33;null;24,8;null;60;3,3;
2015-10-01;4,2;10,2;0;32,8;null;25,5;null;57;4;
2015-10-02;4,5;10,1;0;33,1;null;25,4;null;60;3,5;
2015-10-03;4;9,5;0;32,8;null;25;null;62;2,6;
2015-10-04;3;8,4;0;33;null;24,9;null;68;3,8;
2015-10-05;3;10;0;32,2;null;24,7;null;67;3,8;
2015-10-06;3,1;9,7;0;33,4;null;25,5;null;64;3;
2015-10-07;4,5;8,7;0;33,5;null;25,2;null;66;3,1;
2015-10-08;4;6,6;0;33,5;null;25,8;null;67;3,7;
2015-10-09;4,8;10;0;33,8;null;25,2;null;64;3,3;
2015-10-10;4,7;10,1;0;33,7;null;25,8;null;67;4,1;
