Nome: LUZILANDIA(LAG.DO PIAUI)
Codigo Estacao: 82296
Latitude: -3.46972221
Longitude: -42.26805554
Altitude: 44.13
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;7,4;0;36;27,5;19,1;null;null;5,7;
2015-01-02;null;8,2;null;36,3;27,9;21,5;null;null;5;
2015-01-03;null;5,7;0;34,8;27,2;19,7;null;null;3,7;
2015-01-04;null;8,1;,8;35,2;27,4;21,9;null;null;3,3;
2015-01-05;null;7,8;null;36,8;28,3;22,1;null;null;3,1;
2015-01-06;null;5,8;0;35,7;27,9;19,7;null;null;3,7;
2015-01-07;null;4,1;0;35,4;28,2;20,7;null;null;3,7;
2015-01-08;null;10,9;0;37,4;28,5;19,3;null;null;7,7;
2015-01-09;null;7,8;0;37;28,4;19,7;null;null;3,3;
2015-01-10;null;7,6;0;36,7;28,3;20,5;null;null;1,7;
2015-01-11;null;10,7;2,6;37,8;null;20,1;null;null;4,3;
2015-01-12;null;9,6;0;37,5;28,8;19,5;null;null;3,3;
2015-01-13;null;10,8;0;38,8;29,3;20,3;null;null;4,3;
2015-01-14;null;1,8;0;36,8;28,6;20,7;null;null;2,3;
2015-01-15;null;8,8;0;36,4;28,2;19,7;null;null;2,7;
2015-01-16;null;7,9;0;36,4;28,8;19,9;null;null;2,3;
2015-01-17;null;9,2;0;37,5;28,7;20,5;null;null;4,3;
2015-01-18;null;7,6;0;37,2;28,3;20,5;null;null;2,4;
2015-01-19;null;7,2;null;35,5;28,6;22,5;null;null;4,3;
2015-01-20;null;9,4;0;37,5;28,2;19,5;null;null;2;
2015-01-21;null;5,7;0;36,3;26,9;19,7;null;null;5;
2015-01-22;null;5,7;13,6;35;27,3;20,3;null;null;2;
2015-01-23;null;5,1;7,2;35,2;28;20,1;null;null;2,7;
2015-01-24;null;7,3;,4;35,6;27,8;19,7;null;null;6;
2015-01-25;null;6,8;0;36,3;28,5;20,9;null;null;4,7;
2015-01-26;null;7,3;0;37;28,2;19,3;null;null;4,3;
2015-01-27;null;11,2;0;38,2;29,2;22,7;null;null;6;
2015-01-28;null;10,7;0;38,2;29,1;20,6;null;null;6,3;
2015-01-29;null;10,3;0;37,8;28,3;19,9;null;null;4,3;
2015-01-30;null;11;0;37,7;28,1;19,3;null;null;6,3;
2015-01-31;null;11,2;0;37,4;29,2;22,7;null;null;5;
2015-02-01;null;8;0;37,8;29,2;20,7;null;null;6;
2015-02-02;null;5,2;1,6;34,5;26,7;19,7;null;null;3,3;
2015-02-03;null;,7;5;30,3;26;19,9;null;null;1,3;
2015-02-04;null;5,2;,4;34,7;26,4;19,3;null;null;5,7;
2015-02-05;null;,3;null;31,5;26;20,3;null;null;2;
2015-02-06;null;8,4;0;36;27,7;19,7;null;null;3,7;
2015-02-07;null;7,5;0;36,8;29;22,9;null;null;3,3;
2015-02-08;null;7,8;0;36,5;28,1;19,3;null;null;3,7;
2015-02-09;null;8,4;0;38,2;28,5;19,5;null;null;2;
2015-02-10;null;5,8;0;37;28,3;19,7;null;null;3,7;
2015-02-11;null;7,5;3;36,5;28,3;19,7;null;null;4,7;
2015-02-12;null;8,8;0;30,5;27,4;19,9;null;null;3,3;
2015-02-13;null;8,8;0;37,2;28,5;19,7;null;null;4;
2015-02-14;null;9,2;0;37;28,5;20,1;null;null;2,3;
2015-02-15;null;9,3;0;36,4;27,9;20,3;null;null;5;
2015-02-16;null;3,8;0;35,3;27,5;19,7;null;null;6;
2015-02-17;null;8,3;0;36,2;28;19,9;null;null;6,3;
2015-02-18;null;3,6;0;32,6;27;19,9;null;null;4;
2015-02-19;null;,1;3,2;30,8;25,8;21,5;null;null;3;
2015-02-20;null;,9;6,4;30,7;26,5;21,5;null;null;2,7;
2015-02-21;null;,4;0;30,6;24,9;19,3;null;null;3;
2015-02-22;null;3;7,8;31,6;null;null;null;null;2;
2015-02-23;null;8,3;37,4;33,3;26,9;22,3;null;null;2,3;
2015-02-24;null;4,1;12,8;32;25,6;19,9;null;null;1,7;
2015-02-25;null;7,1;0;33,6;27,7;22,4;null;null;3;
2015-02-26;null;8,2;0;35,5;26,9;19,5;null;null;3,7;
2015-02-27;null;7,6;1,8;34,3;27,3;19,7;null;null;4,7;
2015-02-28;null;3,2;0;32,2;null;null;null;null;1,7;
2015-03-01;null;1,6;,5;31,7;25,7;19,1;null;null;3;
2015-03-02;null;3,4;7,6;32;26,4;20,5;null;null;4;
2015-03-03;null;6,1;14,6;33,7;25,6;19,6;null;null;2,7;
2015-03-04;null;5;10,4;33,7;26,1;19,5;null;null;3,7;
2015-03-05;null;5,6;4,4;32,1;25,8;19,1;null;null;5,3;
2015-03-06;null;3;0;31,2;25,4;19,3;null;null;2,3;
2015-03-07;null;5,2;3,6;31,6;25,7;19,1;null;null;2,7;
2015-03-08;null;4;0;33,2;null;null;null;null;3,3;
2015-03-09;null;6,7;42,6;32,7;null;null;null;null;2,7;
2015-03-10;null;5,2;0;34,3;26,5;19,7;null;null;2,7;
2015-03-11;null;4;8,8;33,6;26,3;19,7;null;null;3;
2015-03-12;null;7,2;0;34,6;27,2;19,3;null;null;3;
2015-03-13;null;9,2;9,6;34;27;19,5;null;null;2,3;
2015-03-14;null;9,5;5,6;35;28,4;22,3;null;null;2,3;
2015-03-15;null;10,1;0;35,2;27,4;19,7;null;null;3;
2015-03-16;null;7,1;0;33,4;27,1;19,9;null;null;3,3;
2015-03-17;null;4,6;0;33,2;27,2;19,7;null;null;4,3;
2015-03-18;null;2,7;0;32,6;27,3;21,9;null;null;2,7;
2015-03-19;null;6,1;0;34,2;null;null;null;null;2,3;
