Nome: ESPERANTINA
Codigo Estacao: 82298
Latitude: -3.9
Longitude: -42.25944444
Altitude: 88
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2018-11-19
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,2;9,8;2,4;37,5;27,9;21,5;69,5;38;1;
2015-01-02;5,8;8,7;0;35,4;27,3;21;72,8;49;2;
2015-01-03;7;6,1;,8;34,4;27,2;22;74;52;1,3;
2015-01-04;6,4;6,9;0;35;26,4;20,2;74,8;43;1;
2015-01-05;4,8;9,1;7,7;35;27;19,8;65,3;44;1,7;
2015-01-06;6;7,2;0;35,2;27,7;21,4;69;49;2;
2015-01-07;5,6;6,8;0;36;28,2;22;66,8;46;2;
2015-01-08;5,4;9,5;0;37,2;28,3;20,5;64,5;42;1,7;
2015-01-09;7,8;8,4;0;37;28,5;20,5;65;44;2;
2015-01-10;8,2;9,5;0;36,8;27,2;21;71;39;1;
2015-01-11;7;10,7;25,8;36,2;28,3;21,6;67,3;48;1,3;
2015-01-12;6;9,3;0;37;28,7;21,5;60;38;1;
2015-01-13;6,7;9,2;0;37,2;29;21,8;60,5;40;1,3;
2015-01-14;8,3;4,5;0;36;28,8;22;61,8;40;2;
2015-01-15;6,2;8,7;0;37;28,2;20,6;66,8;45;2;
2015-01-16;7;9,1;0;35,8;28,2;21;63;45;1,3;
2015-01-17;5,7;8,9;,6;36,2;28,1;21,5;66,5;41;1,3;
2015-01-18;7,1;9,1;0;37;28,7;22;68;55;1,7;
2015-01-19;6,5;6,2;4,5;38;28,8;22,2;64,8;42;1,3;
2015-01-20;7,1;8,6;0;38;28,8;20,5;57;34;1;
2015-01-21;8,4;2,6;0;33,5;26,7;22,5;70,3;53;1,3;
2015-01-22;4;4,4;0;36;27,1;20,6;72;44;1,3;
