Nome: TEFE
Codigo Estacao: 82317
Latitude: -3.38027777
Longitude: -64.72527777
Altitude: 56
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;5,3;0;32,8;27,9;24,6;78,5;64;,7;
2015-01-02;null;3,9;0;32,2;26,7;25,4;85,8;71;1,4;
2015-01-03;null;5,3;0;33;27,2;23,8;80,3;63;1;
2015-01-04;null;6,5;,2;35,6;26,8;23,6;82,3;53;1,4;
2015-01-05;null;3,1;2;32,5;26;23,2;89,5;77;,3;
2015-01-06;null;3,3;12,2;32,8;25,3;23,8;89,8;68;,3;
2015-01-07;null;4,5;31,6;33;25,4;22,2;89,3;67;,7;
2015-01-08;null;6,5;18,7;32,8;26,3;22,6;86,5;66;,3;
2015-01-09;null;3,8;1,8;32,2;26;23,4;93;87;,3;
2015-01-10;null;5,4;9;33,2;27,9;23;72,5;57;1,4;
2015-01-11;null;5,8;0;33,6;26,4;23;82,3;70;0;
2015-01-12;null;7,4;16,2;33,2;27;22,4;83,8;66;,3;
2015-01-13;null;9,1;1,4;34,2;28;23,8;80,5;60;0;
2015-01-14;null;null;3;null;null;23;null;79;0;
2015-01-15;null;null;12,4;null;null;23,2;null;66;1;
2015-01-16;null;5,9;9,8;33,2;27,2;23,6;82,8;65;,3;
2015-01-17;null;,5;20,4;27,8;24,6;22,8;92,8;87;,3;
2015-01-18;null;6,1;1;33,4;26,8;23;82,5;69;1;
2015-01-19;null;0;57,6;27,5;24,9;22,5;95,5;82;,7;
2015-01-20;null;null;7;null;null;23;null;68;5,7;
2015-01-21;null;3,4;,2;31,4;26;23,4;85,3;69;,7;
2015-01-22;null;2,5;1;32,6;26,3;23,4;87,3;69;,7;
2015-01-23;null;0;5,4;29,7;25,4;23,4;91,8;86;,3;
2015-01-24;null;1,9;7,3;32,5;26,2;23,2;86;71;0;
2015-01-25;null;2,5;31;31,4;26,2;22;90,3;79;0;
2015-01-26;null;7,3;0;33,6;26,8;23,6;81,5;63;1;
2015-01-27;null;4,9;0;33,4;27;24,5;84;63;1;
2015-01-28;null;10,7;1,7;34,4;27,7;22,6;79,8;54;,7;
2015-01-29;null;1,6;0;32,4;26,6;24,4;88,5;73;1,4;
2015-01-30;null;5,3;4,8;33,8;26,3;24;89;64;,3;
2015-01-31;null;,2;39;29,3;24,4;21,8;94,5;86;0;
2015-02-01;null;2,8;7,2;33;26,4;22,4;86;74;2,1;
2015-02-02;null;null;5;null;null;21,8;null;69;0;
2015-02-03;null;7,4;1,8;33;26,8;22,6;83,3;65;,3;
2015-02-04;null;10;0;34,8;28;22,2;76,3;54;,7;
