Nome: CODAJAS
Codigo Estacao: 82326
Latitude: -3.8411111
Longitude: -62.05527777
Altitude: 30.31
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;3,6;,3;31,6;26,8;24,5;90,8;75;1,7;
2015-01-02;null;6,1;6,4;32,6;25,9;23,2;92;77;1,7;
2015-01-03;null;5,5;6,4;32,4;26,8;23,2;89,3;71;1,4;
2015-01-04;null;6,3;0;33,8;27;23,7;90;76;3,1;
2015-01-05;null;3,4;,5;31,6;25,3;22,7;94,5;91;,7;
2015-01-06;null;3;61,6;32;25,9;23,8;93;77;1,4;
2015-01-07;null;10,4;3;34;27,7;23,2;89,3;79;2,7;
2015-01-08;null;8,4;0;32,5;26,9;23,7;92,5;78;1;
2015-01-09;null;2,3;14;28,8;25,3;23,3;93,8;88;2,7;
2015-01-10;null;0;2;30,4;25,4;23,8;89,5;80;1,4;
2015-01-11;null;5,6;56,5;32,8;25;22,2;90,8;69;2,1;
2015-01-12;null;7,5;9;32;26,5;22,7;94,5;86;1,7;
2015-01-13;null;8,6;0;32,8;25,5;22,7;90,3;75;2,1;
2015-01-14;null;4,9;47,5;31,8;25,3;22,8;90;79;2,1;
2015-01-15;null;4,9;12,5;30;25,4;21,9;89,8;73;2,4;
2015-01-16;null;5,4;2;32,3;26,8;23,6;91,5;76;1,4;
2015-01-17;null;,2;5,6;27,2;24,7;23,2;97;95;1;
2015-01-18;null;4,7;14,4;31,4;25,9;23,7;94;90;1,7;
2015-01-19;null;5,4;6,3;31,4;26,7;23,7;92,3;75;3,8;
2015-01-20;null;2,5;15,6;31,6;25,3;22,5;92,3;83;,3;
2015-01-21;null;5,4;11,8;30;25,8;22,7;92,8;86;2,1;
2015-01-22;null;3,9;0;31;25,9;23,3;94,5;92;2,1;
2015-01-23;null;,7;34,1;29,6;24,7;22,7;95;84;2,1;
2015-01-24;null;3,9;8,6;32;25,5;22,7;89,5;73;1,7;
2015-01-25;null;1,1;12,4;31;25,6;23,2;93,5;88;1,4;
2015-01-26;null;3,6;34,2;31,6;25,6;23,2;91;75;1,4;
2015-01-27;null;9,4;24,6;32,6;26,6;22,6;90;75;1;
2015-01-28;null;8,3;0;33,6;27;22,7;87;73;1,4;
2015-01-29;null;5,7;0;31,8;26,9;24,9;88,3;76;3,1;
2015-01-30;null;7,3;1,7;32,4;26;23,7;92,5;78;1,4;
2015-01-31;null;1,9;20,5;29,4;25,3;24,3;92,5;95;1,4;
2015-02-01;null;4,4;43,4;32;24,6;22,7;92,8;80;2,1;
2015-02-02;null;null;33,8;null;null;21,7;null;84;2,1;
2015-02-03;null;null;47,6;null;null;null;null;null;null;
2015-02-04;null;null;22,6;null;null;null;null;null;null;
2015-02-05;null;6,6;19,2;33,4;27,4;23,2;89,5;73;1,4;
2015-02-06;null;8,6;0;34;27,7;24,5;86,8;66;2,1;
2015-02-07;null;9,8;0;35;28,3;24,5;86,5;66;1,4;
2015-02-08;null;6,8;0;34;27,6;23,1;94,3;84;1,7;
2015-02-09;null;3,2;1,6;31,6;27,1;25;92,3;85;2,1;
2015-02-10;null;3,4;8,5;31,4;26,7;23,7;93,3;91;2,1;
2015-02-11;null;1,5;0;28,6;25,7;23,2;95,3;90;1,4;
2015-02-12;null;3,8;,3;31,4;26,1;23,7;97,3;95;1,4;
2015-02-13;null;6,7;8,7;34;27,7;23,7;90;78;1,4;
2015-02-14;null;5,5;0;32,6;26,8;24,9;96;92;1,4;
2015-02-15;null;8,2;15,4;32,8;26,6;23,7;90,5;73;2,4;
2015-02-16;null;3,7;19,8;31,6;26,7;24,3;90,8;79;2,1;
2015-02-17;null;2,1;1,7;31,6;26,1;25;92,5;77;1,7;
2015-02-18;null;7;23,6;32,2;26,1;23,7;92;76;3,1;
2015-02-19;null;8,6;8,3;34,6;27,6;22,7;87,8;69;2,1;
2015-02-20;null;8,6;0;34;28,3;25,2;90;69;2,1;
2015-02-21;null;5,5;0;31,6;27,7;25,4;92,3;85;2,1;
2015-02-22;null;,2;2,3;27,8;24,5;23,3;95,5;90;4,5;
2015-02-23;null;2,8;2;30,4;25,2;21,9;90;79;2,1;
2015-02-24;null;4,7;0;31,6;26,4;23,2;94;89;2,1;
2015-02-25;null;null;0;null;null;22,9;null;96;2,1;
2015-02-26;null;2,5;42,4;29;25,4;23,7;95,8;91;1,4;
2015-02-27;null;4,2;23;30,2;25,9;23,5;94,3;88;1,4;
2015-02-28;null;7;14,4;33;26,9;23,2;93,5;84;1,4;
2015-03-01;null;1,8;20,8;28,6;25,1;22,2;95,8;92;2,1;
2015-03-02;null;10,2;,3;34;25,8;22,7;91,5;75;2,4;
2015-03-03;null;2,2;17;29,8;25,5;23,3;96,8;93;2,1;
2015-03-04;null;6,1;16,2;32;25,2;22,7;96,5;93;1,7;
2015-03-05;null;5,6;6,5;31,6;25,1;22,7;92,3;79;1;
2015-03-06;null;2,1;1,5;31;24,6;23;92,8;82;2,4;
2015-03-07;null;7,9;45;32,6;26;21,7;90,3;76;1,2;
2015-03-08;null;8,4;1,6;31,4;26,3;22,7;92;78;1;
2015-03-09;null;8;33,5;33,2;27,5;23,7;91,8;81;2,1;
2015-03-10;null;8,8;0;33,4;27,5;24,3;90,8;81;2,4;
2015-03-11;null;1,4;2,3;28,6;25,8;23,7;95,8;90;1;
2015-03-12;null;7;32,8;33,6;26,6;22,3;89,3;73;1,4;
2015-03-13;null;6,7;0;32;27,6;25;88,3;75;1,4;
2015-03-14;null;5;48,2;32;27,1;24,2;88;77;1,4;
2015-03-15;null;4,3;48,2;32,2;26,2;23,2;92;83;2,4;
2015-03-16;null;3,4;15,8;32;26;23,2;92,3;81;1,7;
2015-03-17;null;,5;28,5;32;25,9;23,4;95;89;2,4;
2015-03-18;null;0;30,7;29;25,4;22,7;96;93;1,4;
2015-03-19;null;3;0;32;25,8;23,2;91,5;78;2,1;
2015-03-20;null;,5;30,7;30;24,5;23,2;92;96;3,1;
2015-03-21;null;3;10;31;25,5;22,4;91,3;74;1;
2015-03-22;null;5,4;0;30,6;26,3;23,2;90,3;83;2,1;
2015-03-23;null;5,6;12,5;31,8;25,6;23,1;91;76;1,4;
2015-03-24;null;5,2;27,4;32,2;25,7;23,1;92,5;82;1,4;
2015-03-25;null;6,9;11,8;32,4;26,2;22,6;89,8;71;,7;
2015-03-26;null;6,4;0;33,2;26,7;22,6;91;77;1,7;
2015-03-27;null;10,4;,9;33,2;27,4;23,2;88,5;74;1,7;
2015-03-28;null;9,1;0;32,8;27,4;23,7;88,3;75;1,7;
2015-03-29;null;5,2;0;31,8;26,6;24,5;95,8;89;2,1;
2015-03-30;null;4,9;9,4;31,6;25,5;22,7;93;81;1;
2015-03-31;null;3,2;37,9;35;25,9;23,7;89,8;66;2,7;
2015-04-01;null;7,7;52;32,4;26,4;22,2;90,8;78;1,7;
