Nome: MANAUS
Codigo Estacao: 82331
Latitude: -3.10333333
Longitude: -60.01638888
Altitude: 61.25
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4;5,7;0;33,2;28,2;26,3;79,3;67;1;
2015-01-02;4,5;3,8;,3;33;28,3;26;78,3;65;,3;
2015-01-03;4,6;7,5;1,3;33,7;29;25,4;72;59;,7;
2015-01-04;5,5;3,7;0;31,1;27,8;26,7;81,8;73;1;
2015-01-05;3,2;,7;0;30,2;26,3;24,4;84,5;77;1;
2015-01-06;3,1;4,1;9,4;32,5;26,7;24,4;87,3;79;1,3;
2015-01-07;4,3;10,3;5,2;33,8;28,6;24,7;69,3;56;1;
2015-01-08;6,5;6,7;0;33,8;28,9;25,2;72,5;59;,3;
2015-01-09;5,1;0;11;29,9;25,8;23,2;89,5;74;,3;
2015-01-10;1,9;,1;17;28,2;25,7;23,4;90,8;86;1,3;
2015-01-11;1,7;,4;20,2;27,1;24,8;23,1;94,8;90;,7;
2015-01-12;,9;6,9;50,4;32,1;25,5;23,1;86,5;67;,7;
2015-01-13;4,5;6,2;10;32,5;27,2;23,6;81;65;1,7;
2015-01-14;4,9;1,7;1,2;29,3;25,6;23,8;92,3;85;1,3;
2015-01-15;2;4,3;7,6;31,2;27,2;24,2;80,8;69;1;
2015-01-16;2,9;5,3;0;33,2;27;25,2;82,5;61;,3;
2015-01-17;1,6;4,2;15,5;31,5;25,5;23,8;86,5;74;,7;
2015-01-18;1,7;6,5;3,6;33,5;26,9;23,7;80;62;1,3;
2015-01-19;2,9;1,6;0;31,1;25,2;23,3;87,3;70;1;
2015-01-20;1,4;4;35,9;31,8;25,7;23,4;86,8;69;,7;
2015-01-21;2;6,1;1,5;32,1;26,9;23,8;77;71;,7;
2015-01-22;3;6,3;0;33,3;27,4;25,6;79,8;59;1;
2015-01-23;3,2;,1;0;28,1;26;25,5;90;86;1;
2015-01-24;,8;,1;39,9;26,5;24,6;23,7;93;86;1,3;
2015-01-25;,9;4,6;47,6;32,3;26,1;23,5;85,5;64;,3;
2015-01-26;2,5;4;10,9;30,6;25,8;24,2;83,8;67;2;
2015-01-27;2,4;9,4;9,7;32,9;27,8;24,2;73,8;59;1;
2015-01-28;4,6;6,8;0;32,6;28,2;25,2;77,3;66;1;
2015-01-29;2,8;6,4;5,5;33,1;27,9;25;75,8;67;1;
