Nome: ITACOATIARA
Codigo Estacao: 82336
Latitude: -3.13694444
Longitude: -58.44277777
Altitude: 19.16
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2025-07-01
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;2,8;0;31,8;27,8;24,5;82;79;1;
2015-01-02;null;6,1;0;31,6;27,9;24,8;85;89;,5;
2015-01-03;null;9,6;0;32,5;28,7;24,8;79;83;1;
2015-01-04;null;4,2;0;32;28,4;25,1;86;75;,5;
2015-01-05;null;,9;37,4;29,4;24,6;23;94;86;,5;
2015-01-06;null;8,1;2,3;30,8;26,9;23,2;83;87;1;
2015-01-07;null;11,1;0;32,3;27,6;24,1;89;81;,5;
2015-01-08;null;9,1;0;32,4;28,1;25,6;84;87;1,5;
2015-01-09;null;6,3;10,6;31,9;27,9;24,5;83;82;1;
2015-01-10;null;,3;6,8;29,2;25,5;22,9;91;81;,5;
2015-01-11;null;null;8,3;26,2;24,4;23,1;95;91;1;
2015-01-12;null;2,6;13,2;29,4;25,6;23,3;85,8;71;1;
2015-01-13;null;4,8;12;30,4;27,1;23,5;79,5;74;1,4;
2015-01-14;null;,3;1,6;28,6;25,8;25,1;94,5;76;1,4;
2015-01-15;null;2,4;11;29,6;26,5;23,4;82,8;76;,7;
2015-01-16;null;6,3;0;31,6;26,1;23,8;86,5;72;1,7;
2015-01-17;null;null;0;null;null;23,9;null;90;1;
2015-01-18;null;4,1;0;31;27,4;24,3;82,5;72;1,7;
2015-01-19;null;0;30,7;28;25,3;24,1;93,8;83;1;
2015-01-20;null;6,3;21,3;30,6;26,2;24,2;85;69;,7;
2015-01-21;null;7,1;17,8;30,4;26,5;23,7;83;71;2,1;
2015-01-22;null;9,3;0;31,6;27,2;23,8;79,8;66;1;
2015-01-23;null;null;0;27,6;25,7;25;92;84;,7;
2015-01-24;null;0;38,9;28;25,3;23,6;92,3;91;,3;
2015-01-25;null;2;17,3;28,7;null;null;84;79;1,5;
2015-01-26;null;4,8;5;29,4;26,1;23,1;78,3;68;2,7;
2015-01-27;null;10,3;2,8;32,2;27,5;23,1;74,5;62;1;
2015-01-28;null;7,1;0;32,4;27,6;23,1;82,3;72;,7;
2015-01-29;null;9;0;32,2;27,7;24,9;82,3;72;,3;
2015-01-30;null;5,8;9,6;32;28,1;24,9;83;71;1;
2015-01-31;null;5,8;0;31,6;27,7;25,1;82,5;66;1,4;
2015-02-01;null;,3;4;28;25,8;24,7;91;89;1;
2015-02-02;null;null;10,4;null;null;22,7;null;89;1;
2015-02-03;null;null;3,1;null;null;24;null;65;1;
2015-02-04;null;null;0;null;null;23,9;null;68;1;
2015-02-05;null;null;5,6;null;null;25,1;null;66;2,1;
2015-02-06;null;8,1;0;31,8;28,1;24,3;71;58;1,4;
2015-02-07;null;9,7;0;32,8;28,5;24,3;72,8;57;1;
2015-02-08;null;6,3;0;32,4;28,2;24,5;82;73;1,4;
2015-02-09;null;,5;0;30;25,3;24,9;89,3;79;1,4;
2015-02-10;null;4,4;22;31;27,3;23,3;80,5;68;1;
2015-02-11;null;9,3;0;32,8;27,8;24,5;76,5;63;,7;
2015-02-12;null;3,5;0;31;27,3;25,9;89,3;77;,7;
2015-02-13;null;9,8;14;32,6;28,7;25,1;75,3;65;1;
2015-02-14;null;9,5;,1;31,6;27,7;25,8;82,8;69;,7;
2015-02-15;null;9;0;32,8;29,1;25,1;74;71;1,7;
2015-02-16;null;4,9;0;31,3;28;25,6;83,3;69;1;
2015-02-17;null;0;4,8;28,4;25,3;23,1;91,8;85;,3;
2015-02-18;null;2,6;23,5;30,1;26,2;23,2;85,8;72;,7;
2015-02-19;null;6,8;21,1;31,5;27,7;25;80,8;69;1,4;
2015-02-20;null;6,9;0;32,6;28;25,4;78,3;64;1;
2015-02-21;null;2,6;0;29,6;26,5;24,4;87,5;80;1;
2015-02-22;null;2,2;8,7;29,3;25,4;23,9;88,5;80;,7;
2015-02-23;null;2,8;32,2;31,2;26,7;23,1;78;71;0;
2015-02-24;null;,8;70,4;29,2;24,8;21,1;85,3;74;,3;
2015-02-25;null;9,1;20,8;31;26,9;23,1;80;69;,7;
2015-02-26;null;4,3;0;30,4;27,4;24,5;77;68;1,4;
2015-02-27;null;4,8;5,2;30,6;26,6;23,1;80;70;1;
2015-02-28;null;8,9;0;33,1;28;24;78,8;62;1;
2015-03-01;null;,2;1,9;29,5;26,9;24,5;91;81;,5;
2015-03-02;null;6,7;4,7;32,2;27,3;25,1;89;89;1;
2015-03-03;null;3,9;0;29,9;26,9;24,8;88;89;,5;
2015-03-04;null;1,9;4,8;29,4;26,2;23,8;91;85;1;
2015-03-05;null;0;38,9;27,1;25,2;24;91;90;,5;
2015-03-06;null;0;29,4;30;24,6;22,9;97;89;0;
2015-03-07;null;7;36,1;32,4;27,1;22,7;85;93;1;
2015-03-08;null;9,3;0;32,2;28,1;24,3;80;81;1;
2015-03-09;null;3,1;0;31;26,8;25;91;77;1;
2015-03-10;null;2;1,7;30;26,9;24,8;92;92;1;
2015-03-11;null;,5;7,3;28,8;26,2;23,8;86;91;1;
2015-03-12;null;7,7;1,2;32,2;27,8;23,6;87;82;1;
2015-03-13;null;2,8;1;29,9;27,3;25,4;89;85;,5;
2015-03-14;null;null;46,1;27;24,9;23,5;94;87;0;
2015-03-15;null;2,6;12,4;31;27,1;24,1;88;92;,5;
2015-03-16;null;,3;9,9;29,7;26,8;25,1;89;84;1;
2015-03-17;null;6,3;10,7;30,9;26,7;23,9;90;85;1;
2015-03-18;null;1,7;28,9;30,6;26,8;23,9;88;89;1,5;
2015-03-19;null;4,4;0;30,7;27,5;24,6;82;83;1;
2015-03-20;null;0;25,2;28,2;25;22,8;94;76;1;
2015-03-21;null;1,2;35,9;31;27,1;23,5;85;92;1;
2015-03-22;null;4,6;11,9;30,7;27,3;24;83;82;1,5;
2015-03-23;null;7,3;0;32,8;27,8;25,5;84;79;1;
2015-03-24;null;0;63,6;29,6;25,6;23,4;93;84;,5;
