Nome: ALTAMIRA
Codigo Estacao: 82353
Latitude: -3.21416666
Longitude: -52.21305555
Altitude: 101.51
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2,2;8,6;8,4;32,8;26,8;22,8;82,8;70;2,3;
2015-01-02;2,4;9,7;3;34,8;28,1;23,2;77,3;59;1,3;
2015-01-03;2,4;10;0;35;28,1;23,6;76,5;56;1,7;
2015-01-04;2,4;7,4;0;34,6;27,5;23,8;77,3;53;2,3;
2015-01-05;2;6,7;2;32;25,6;23,2;85,3;72;1,7;
2015-01-06;2,2;8,6;3,6;33,8;27,3;22,6;80,5;63;1,7;
2015-01-07;2;9,9;,2;34,8;28,2;23;74,3;59;1;
2015-01-08;2,2;9,2;,2;35,2;27,7;22,4;73,5;55;1,7;
2015-01-09;2,6;9,1;0;34;27,6;24;77,5;60;1,3;
2015-01-10;2,8;7,3;,1;34;27,2;23,6;84,5;59;2,3;
2015-01-11;2,8;1,2;28,2;32,6;25,8;22,4;91,3;85;2,3;
2015-01-12;1,4;3,9;2,2;30,6;25,7;23,4;86,3;74;1,3;
2015-01-13;1,4;6,8;6,8;32,8;26,2;21,6;88,3;68;2,3;
2015-01-14;1,8;,2;2,8;29,4;25,7;23,6;92,3;82;1;
2015-01-15;1,4;3,5;13,6;31,8;26,2;22,4;85,3;71;2,3;
2015-01-16;2,1;,2;1,2;30;25,6;24,2;91,8;86;1,7;
2015-01-17;2,2;4,5;2,2;32,8;27,1;23,6;83,8;66;1,7;
2015-01-18;2,2;3,5;2,4;34;27,6;23,8;83,5;64;1,7;
2015-01-19;1,8;1,4;8,6;30;25,5;24;92,5;87;1,3;
2015-01-20;1,6;1,4;76,3;29,6;24,2;19,2;92,5;91;2,3;
2015-01-21;1,4;5;14,2;32;26;22;86,8;69;1,3;
2015-01-22;1,8;5,7;17,2;32;25,8;22,4;86;72;1,7;
2015-01-23;1,5;,3;5,4;28,6;25,3;23,8;92;83;1,1;
2015-01-24;2,7;0;17,2;26,4;23,8;22;96,5;94;,7;
2015-01-25;,2;4,2;36,2;31,5;26,3;23;86;65;,7;
2015-01-26;2,6;6,3;,2;31,6;26,9;23,6;77;65;1,5;
2015-01-27;2,2;7,3;0;34;28;24,3;74;58;2,3;
2015-01-28;2,4;8,4;0;34,8;27,9;23,8;75,3;62;,9;
2015-01-29;2,4;10,1;,1;34,8;28,7;24,8;78,3;60;,5;
2015-01-30;2,5;7,5;0;34,2;28,1;24,8;77,5;67;1;
2015-01-31;2,5;5,5;,4;34,2;28;25;84,8;67;1,3;
2015-02-01;2;5,1;4,3;32,4;27,6;25;87,8;74;2,4;
2015-02-02;1,5;,2;23,9;29;24,7;22;92,3;81;,8;
2015-02-03;1;2,3;23,2;30;24,5;22,3;91;86;3,3;
2015-02-04;1;6,1;2,1;31,8;25,1;22;89;74;1,2;
2015-02-05;1,4;,1;3,5;28,6;24,7;23,2;92,5;85;2;
2015-02-06;1;6,2;15,1;31,2;26,3;22,6;82,3;65;2,6;
2015-02-07;1,2;6,9;,5;32;26,2;24,2;82;64;1,6;
