Nome: TUCURUI
Codigo Estacao: 82361
Latitude: -3.76
Longitude: -49.66666666
Altitude: 27.83
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2025-07-01
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2,1;10,4;15,1;32,4;27,1;21,4;78,8;67;1,2;
2015-01-02;2,6;5,6;0;32,4;27,5;22,2;75,5;67;1,4;
2015-01-03;2,4;9,3;0;33;27,7;22,7;75,5;61;1,3;
2015-01-04;2,7;6,4;5,3;32,1;26,9;21,4;82;72;1,3;
2015-01-05;1,9;5,5;5,8;31,4;25,6;20,6;79,5;70;1,7;
2015-01-06;2;7,2;1,2;33;27;21,6;77,3;63;1;
2015-01-07;2,6;8,6;0;32,5;27,7;22,5;78,8;68;,9;
2015-01-08;2,5;7,6;0;32,4;27;22,2;78,5;65;,5;
2015-01-09;2,1;8,1;2,3;33,4;28,2;23;76,5;66;1,4;
2015-01-10;2,6;5,4;2,6;32,8;28;23,6;79,8;70;1;
2015-01-11;2,3;3,3;0;32,8;28;23;78,3;69;,5;
2015-01-12;2,3;6,7;,5;32,4;27,6;22,5;77,5;69;2,1;
2015-01-13;2,2;7,7;0;33,6;28,1;22,4;76;61;1,3;
2015-01-14;2,3;0;65,6;33,1;25,5;20,4;91;81;,4;
2015-01-15;1;7,8;0;33,2;26,1;21,6;87,5;63;1,5;
2015-01-16;2,1;0;16,4;29,2;26;23;88;80;,8;
2015-01-17;1,3;4,8;,1;33,4;27,5;22,9;83;63;1,2;
2015-01-18;1,8;3;5;31,2;26,4;22;86,5;75;,9;
2015-01-19;,4;,1;34,4;29,4;25;22;90,8;87;0;
2015-01-20;1;3,7;88,9;31;25,9;20,7;86,3;80;,8;
