Nome: ZE DOCA
Codigo Estacao: 82376
Latitude: -3.26916666
Longitude: -45.65111111
Altitude: 46.71
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2,1;8,5;9,9;33,9;27,8;23,4;72,8;54;0;
2015-01-02;2,7;8,6;0;34,1;28,6;23,8;64,3;51;0;
2015-01-03;5;5,1;0;31,4;27;23,5;76;62;0;
2015-01-04;3;7,1;0;33,9;27,1;23,3;74,5;54;0;
2015-01-05;3,3;7;10,8;32,8;26,1;21,7;78;50;0;
2015-01-06;3,7;9,6;,1;33,3;27,4;23;73,5;60;0;
2015-01-07;3,2;5,1;,6;32,4;24,9;21,6;83,5;64;0;
2015-01-08;2,1;10,4;56,7;33,3;26,9;21,5;76,8;58;0;
2015-01-09;3,5;9,5;0;33,5;28,6;23,2;66;55;0;
2015-01-10;3,9;7,2;0;33,8;28,1;24,3;73,3;59;0;
2015-01-11;3,5;4,5;0;32;27,2;24;82;77;0;
2015-01-12;2,4;9,5;3,3;33,3;28,4;24,3;65,8;58;0;
2015-01-13;4,3;9,7;0;33,7;28,1;23,9;72,3;56;0;
2015-01-14;4,3;,5;0;30,1;27;24,8;82,8;70;0;
2015-01-15;2,1;10,6;0;33,7;28,1;23,8;66,8;52;0;
2015-01-16;4,4;8,9;0;34;28,8;24,4;64,8;50;0;
2015-01-17;4,3;8,1;0;34,3;28,6;24,1;64,8;50;0;
2015-01-18;4,4;6,4;,5;33,3;26,4;23,2;80,5;60;0;
2015-01-19;2,7;3,3;41,7;31,2;26,7;23,7;84,8;78;0;
2015-01-20;1,8;7,7;2,2;33,7;27,2;24,2;77,3;52;0;
2015-01-21;3,2;3,4;,2;32,4;25,8;23,5;83,8;62;0;
2015-01-22;2,1;2,5;41;32,4;26,1;23,4;88;85;0;
2015-01-23;1,5;1,8;12,4;29,4;25,4;24;92,3;88;0;
2015-01-24;1;1,8;15,7;30,4;25,6;22,6;87,3;70;0;
2015-01-25;1,7;3,6;10;29,7;25,8;24;92;89;0;
2015-01-26;1;1,8;20,4;30;26,3;23,6;83,3;72;0;
2015-01-27;2;10,2;0;33,5;28;23,6;70;50;0;
2015-01-28;3,5;9,2;0;33,4;28,1;23,7;72;57;0;
2015-01-29;3,4;9,8;0;33,4;28,6;24,8;70,8;57;0;
2015-01-30;3,7;9,2;0;33,4;28,2;24;68,8;58;0;
2015-01-31;3,8;7,3;0;33,3;28,1;23,9;71,3;62;0;
2015-02-01;3;6,6;0;33,9;27,3;24,6;82,5;70;0;
2015-02-02;2,1;5;3,4;32,6;26,1;23,4;86,5;63;0;
2015-02-03;1,8;5,3;66,9;30,6;24,8;21,6;88,3;71;0;
2015-02-04;1,4;7,4;5,7;31,3;25,7;22,6;87;72;0;
