Nome: CHAPADINHA
Codigo Estacao: 82382
Latitude: -3.74277777
Longitude: -43.35222222
Altitude: 104
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,9;7,4;0;35,8;26,4;23,1;75,3;43;0;
2015-01-02;3,7;7,6;1,7;35,1;27,4;22,8;70;50;0;
2015-01-03;5,1;7,6;7;33,4;25,9;22,1;79;56;0;
2015-01-04;3,9;8,5;2;33,9;25,3;21,8;79;52;0;
2015-01-05;4,6;4,1;42,2;33,7;26,7;21,7;66,5;48;0;
2015-01-06;5,1;9;0;34,6;27,5;22,6;68,5;45;0;
2015-01-07;5,4;7,2;0;35;27,3;23,8;75,8;49;0;
2015-01-08;3,8;10,3;4,1;34,3;27,5;23,2;69,8;49;0;
2015-01-09;5,3;10,2;0;35,4;27,7;22,8;69,8;50;0;
2015-01-10;4,7;6;0;34,8;28,1;23,6;73;51;0;
2015-01-11;4,7;10,5;0;35,2;28,4;23,8;70;48;0;
2015-01-12;6,1;9,4;0;35,1;28,6;23,7;65,8;49;0;
2015-01-13;5,8;10,3;,5;35,8;28,9;23,9;66;43;0;
2015-01-14;5,9;1,6;,1;33,2;27,8;24,2;70,5;55;0;
2015-01-15;4,7;10,9;0;35,5;27,8;23;66;46;0;
2015-01-16;6,4;10,4;,4;36;28,7;23,6;65,5;51;0;
2015-01-17;6,5;9,2;0;36,2;28,5;23,6;67,5;42;0;
2015-01-18;6,3;8,3;0;35,7;28;24,7;73;65;0;
2015-01-19;5,3;9,5;1,1;35,2;28;24,2;69,8;47;0;
2015-01-20;6;6,7;0;35,7;28,1;23,8;66,3;48;0;
2015-01-21;5,8;3;0;33,5;27;23,9;75;56;0;
2015-01-22;4,6;4,8;0;34,2;26,8;23,9;73,8;44;0;
2015-01-23;5,4;2,4;3,4;33,5;27,2;23,4;75;52;0;
2015-01-24;4,3;6,6;5,4;34,4;27,7;23,8;71;49;0;
2015-01-25;5,5;4;0;33,9;28,4;24,5;61,3;47;0;
