Nome: SOBRAL
Codigo Estacao: 82392
Latitude: -3.74833333
Longitude: -40.34583333
Altitude: 91.8
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2020-08-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;11,8;6,3;0;36,9;28,3;24;59,5;31;1,5;
2015-01-02;10,8;10,5;0;36,8;28,8;24,6;58,5;33;1,7;
2015-01-03;10,7;2,2;0;31,3;26,2;24;77,3;67;1,1;
2015-01-04;5;1,9;2,8;30,6;25,1;22,3;82,5;63;,6;
2015-01-05;3,1;8,2;10,8;34,7;27,3;21,6;58,3;35;1,2;
2015-01-06;9,8;7;0;35,4;28;21,8;57,5;32;1,8;
2015-01-07;12,5;8,4;0;35,8;28,5;24;58,8;36;2,2;
2015-01-08;12,3;10,6;0;37,1;28,7;22,4;54,8;32;1,8;
2015-01-09;14;10,7;0;36,9;29,1;22,6;49,3;30;2,4;
2015-01-10;13,7;9,8;0;38,3;29,4;25;58;30;1,5;
2015-01-11;13,3;10,2;0;37,1;29,2;24,8;57,5;30;2,3;
2015-01-12;13,2;7,9;0;36,6;29;22,1;56,3;38;3;
2015-01-13;15,3;10,3;0;37,6;29,2;23;52,5;30;1,8;
2015-01-14;15,7;6,8;0;36,1;29;23,1;50,8;29;3,5;
2015-01-15;15,8;11;0;37,3;29,1;23;50,3;26;2,2;
2015-01-16;14,6;8,8;0;36,7;29,3;23,7;49,8;30;1,1;
2015-01-17;13,2;9,7;0;37,4;29,1;23,7;55,5;31;1,3;
2015-01-18;14,9;5,2;0;35,9;29,2;25,7;62,5;45;1,9;
2015-01-19;12,1;7,2;0;36;28,4;23,1;56,8;35;1,5;
2015-01-20;10,8;9,9;,8;36,6;28,7;21,6;52,5;30;1,3;
2015-01-21;13,5;5;0;35,8;27,5;23;66,3;40;1,5;
2015-01-22;9,2;6,2;,6;36,4;28,6;23,4;54,8;32;2,2;
2015-01-23;14;7,2;0;35,9;28,8;23,9;53,5;36;1;
2015-01-24;12,8;8,5;0;36,5;28,5;22,8;55,5;36;1,7;
2015-01-25;13,8;4,9;0;36;28,7;23;48,3;28;2,3;
2015-01-26;14,2;9,3;0;37,4;28,7;22,8;52,8;33;1,3;
2015-01-27;13,5;10;0;37,4;28,9;22;53,3;29;1,3;
2015-01-28;14,2;10,8;0;38;28,8;22,6;53;25;,9;
2015-01-29;13,8;9;0;36,9;28,3;21;49;29;1,7;
2015-01-30;12;9,7;0;36,4;28,6;22,1;52,8;37;2;
2015-01-31;11,3;10,5;0;37;29;22,1;51;34;1;
2015-02-01;14,2;9,2;0;37,6;29,2;24,6;56,3;33;2,3;
2015-02-02;11,2;5,8;0;36,2;28,7;24;66;60;1,5;
2015-02-03;8,9;3,3;1,2;33,9;27,2;24,5;77;64;,6;
2015-02-04;6;5,8;,7;34,4;25,7;21,6;82,5;64;1,5;
2015-02-05;4,9;1,9;24;33,4;26,6;21,2;76,5;53;1;
2015-02-06;6,2;8,8;0;36;28,8;23,9;59,8;44;,8;
2015-02-07;11,5;8,6;0;36,9;28,8;22,1;62;41;1,7;
2015-02-08;11,8;8,2;0;36,3;29,1;23;63,5;41;1,5;
2015-02-09;11,2;11;0;37,6;29,5;22,3;43,8;25;1,1;
2015-02-10;14,2;9,4;0;37,2;29,5;24;58;34;2,2;
2015-02-11;11,6;8,9;0;36,4;29,7;24,7;48,8;30;2,7;
2015-02-12;13,4;9,7;0;36,8;29,5;24;53,8;34;2,5;
2015-02-13;13,7;10,8;0;37,3;29,1;22,6;57;33;2,8;
2015-02-14;14;8,1;0;36,8;28,8;22,6;54,8;35;1,5;
2015-02-15;11,3;7,4;10,7;35,1;28,3;23,4;60,5;37;1,7;
2015-02-16;10,2;1,7;0;33;26,6;23;82;67;,8;
2015-02-17;3,4;7,7;23,6;34,3;27;22,2;72,5;44;1,1;
2015-02-18;5,8;3,6;8;33,6;27,1;23,8;82,3;78;,5;
2015-02-19;4,3;3,2;5,8;32,9;27,4;24;73,5;50;,4;
2015-02-20;5;2;6,3;29,8;25,1;22;83,5;71;,3;
2015-02-21;2,5;,1;,3;30,6;24,2;20;82;81;,8;
2015-02-22;2,3;4,3;18,2;32,8;26,3;21,2;71,5;51;1;
2015-02-23;4,8;1,5;1;29,6;25,2;23,2;93,5;78;0;
2015-02-24;1,5;3,1;22,4;30,1;25,4;22,2;82,3;81;,5;
2015-02-25;1,2;1,5;34,8;29,2;25,3;22,3;84,5;72;,4;
2015-02-26;2,8;9,6;,4;34,5;27,2;22,1;68,5;43;1,5;
2015-02-27;6,5;6,6;0;32,4;26,4;23;78,8;58;,3;
2015-02-28;3,3;3,3;24,8;31,6;24,8;21,5;92,8;90;1,7;
2015-03-01;2;5,2;17,7;31,3;25,7;21,9;86,8;77;,7;
2015-03-02;3,1;6;0;31,4;25,9;23;80,5;72;,8;
2015-03-03;2,1;9,2;3,3;33,3;26,2;22,3;75,8;50;,6;
2015-03-04;4,7;6,3;2,4;31,8;25,8;21,2;80;64;,3;
2015-03-05;3,5;3,4;0;30,5;25,8;23,4;84,8;79;,5;
2015-03-06;1,2;3,6;3,7;30,1;25,3;22,4;83,8;83;,8;
2015-03-07;1,3;6,6;13,8;31,9;26;22,3;76,3;62;1;
2015-03-08;4,4;4,2;0;31,5;26;23,6;80,8;75;1;
2015-03-09;2,4;4,8;3,8;31,6;25,9;22,6;90;83;,8;
2015-03-10;2,1;4,4;4;30,8;25,8;23;81,5;75;,8;
2015-03-11;2;9,3;,3;33,2;27,1;22,5;71,3;47;,6;
2015-03-12;6,4;5,5;0;32;25,9;21,8;80,3;70;,7;
2015-03-13;3;10,6;2,6;33,4;26,9;22,1;68,3;53;,5;
2015-03-14;6,1;9,6;0;34,1;27,2;21,9;67,3;45;,9;
2015-03-15;5,6;8,2;0;33,3;27;22,3;75,5;56;1,2;
2015-03-16;5,3;8,6;0;32,7;27;24;78,8;70;,8;
2015-03-17;3,4;9;,4;34,1;27,2;22,6;75,3;54;1,4;
2015-03-18;5,9;5,5;0;33,1;27;22,1;69,8;50;,7;
2015-03-19;6,5;6,4;0;32,7;27;22,8;71,3;70;1,2;
2015-03-20;3,2;1,9;1,6;31,7;26,7;23,7;76;59;,7;
2015-03-21;4,3;3,7;0;32,5;26,2;23,5;76,8;72;,7;
2015-03-22;2;1,5;31,4;29,6;25,1;22,5;79,3;72;,7;
2015-03-23;2,4;,2;0;28;24,7;23,3;88,5;80;,1;
2015-03-24;1,5;3,8;,7;31;26;23,6;75;64;1,2;
2015-03-25;3,8;5,4;0;31,4;25,7;22,6;84,3;68;0;
2015-03-26;2,3;6,8;7,2;32;26,2;23;78,8;72;,8;
2015-03-27;3;6,3;,6;31,3;26;23;85,8;70;,5;
2015-03-28;2,8;9,3;2,1;32,7;25,8;20,9;77,5;50;,4;
2015-03-29;4,3;7,1;3,9;32,2;26,3;22,8;90,5;83;,2;
2015-03-30;2,8;3,4;2,9;32;25,5;23,1;87;80;1,2;
2015-03-31;1,5;4,5;53,3;30,8;25;21,9;93,5;86;,7;
2015-04-01;1,2;3,3;28,7;31;25,5;22,1;90,8;84;,7;
2015-04-02;1,4;4,8;1,5;31,1;25,7;22,9;83;66;,3;
2015-04-03;2,1;6,5;,8;32,4;25,5;22,8;83,3;64;,5;
2015-04-04;2,4;5,1;2,6;31,6;25,2;22,4;85,8;81;,8;
2015-04-05;1,8;6,3;3,8;31,9;26,4;22;78;62;1,3;
2015-04-06;2,8;8,8;0;32,3;25,7;21,8;87,3;75;,8;
2015-04-07;3,7;6,8;0;32,9;26,1;22,6;78,3;70;1,3;
2015-04-08;2,7;3,6;0;31,6;26,2;23;90,3;83;,2;
2015-04-09;2,1;4,7;1,4;31,6;26,2;23,8;80,3;75;,8;
2015-04-10;2,3;2,8;0;30,6;26,2;23,7;90,5;80;,3;
2015-04-11;1,5;2,3;11,8;31,1;25,8;22,6;94;89;,1;
2015-04-12;,9;3,1;20,9;31,5;25,9;22,1;87;70;,4;
2015-04-13;2,6;,9;1,9;29,7;25,7;23;83,3;83;1;
2015-04-14;,8;3,1;5,5;30,4;25,8;21,9;87,8;76;,5;
2015-04-15;2,2;6,7;0;31,9;26,1;22,4;82,3;67;,7;
2015-04-16;3,7;10,6;0;32,7;26,9;22,4;73,3;57;1;
2015-04-17;4,5;6,9;0;31,7;25,9;21,8;80;75;,8;
2015-04-18;2,5;7,6;0;33;25,8;22;83,5;67;,7;
2015-04-19;3;6,5;,6;30,4;25,5;22;83,5;74;,7;
2015-04-20;2,2;6,8;9,9;31,6;26,6;23,8;82,5;70;,5;
2015-04-21;3;7,7;0;31,8;26,4;23,1;82,3;76;,8;
2015-04-22;3,1;9,4;0;32,6;26,3;22;80,8;57;,7;
2015-04-23;3,4;4,5;0;30,8;25,9;23;79,8;64;,8;
2015-04-24;2,4;6,7;1,6;31;25,8;22;84,5;66;,4;
2015-04-25;2,6;8,2;0;32,2;26,5;22,6;85,5;76;,6;
2015-04-26;2,8;10,4;0;33;26,3;21,7;78,5;53;,8;
2015-04-27;4,5;10,6;0;33,2;26,4;21,5;74;49;1,2;
2015-04-28;5,5;9,4;0;33,4;26,3;20,8;76,8;51;1;
2015-04-29;5,3;7,4;0;33,1;26,4;22,1;83,5;75;1,7;
2015-04-30;4,8;10;0;33,7;26,6;20,8;74,3;53;1,2;
2015-05-01;6,3;8,5;0;33,1;26,9;21;75,3;60;1;
2015-05-02;4,6;6,4;0;33,6;27;22,3;73,8;52;1,2;
2015-05-03;5,7;8,2;0;34,7;27;22;69,3;40;1,7;
2015-05-04;7,5;8,6;0;33,6;26,3;21,5;75,8;51;,8;
2015-05-05;6,4;7,8;0;33,7;26,8;21;71,5;59;1,5;
2015-05-06;5,2;8;0;33,4;27;21,3;74,5;52;,6;
2015-05-07;5,3;4,1;0;32,6;26,5;22,8;85,8;75;1,2;
2015-05-08;2;9,5;15,1;32,3;27,2;22,8;78,3;61;,4;
2015-05-09;4,8;4,6;0;30,4;26,3;24;88;76;,8;
2015-05-10;1,7;9,9;9,4;32,8;26;20,7;74;49;,3;
2015-05-11;5,6;9,4;0;32,9;26,4;21,9;77;59;1,8;
2015-05-12;5,4;10,7;0;32,9;26,6;21,4;74,5;57;1;
2015-05-13;6,2;10,5;0;34,1;26,7;20,9;76,8;51;,8;
2015-05-14;7,2;7,8;0;33,1;26,6;20,8;70,5;54;,6;
2015-05-15;5,7;10,8;0;34,6;27;21;68,3;40;1,8;
2015-05-16;9,2;8,8;0;33,7;27,3;20,8;69,3;50;1,3;
2015-05-17;8;3,7;0;32,7;26,9;21,8;73,8;58;1;
2015-05-18;5;7,7;0;33,6;26,9;20,4;68,5;50;,5;
2015-05-19;6,8;7,6;0;35;27,3;21,4;68,5;44;,8;
2015-05-20;6,5;6,5;0;34,6;26,9;21,8;75,3;49;1,7;
2015-05-21;4,8;9,4;5,1;34,9;27,6;23;76;72;,8;
2015-05-22;8,2;7,7;0;34,3;27,8;23;77;61;1,3;
2015-05-23;8,6;5,7;0;33,5;27,3;22,6;79;75;,8;
2015-05-24;4,7;7,7;0;36;28,2;22;77;66;1;
2015-05-25;7,8;10,2;0;36,1;27,9;21,6;77;69;1,8;
2015-05-26;7,2;,3;0;32;26,5;23;80;77;,8;
2015-05-27;4,5;7,9;0;35,3;28;23;74;61;1;
2015-05-28;8,8;6,9;0;35,1;27,3;20,8;79;72;2;
2015-05-29;7,5;9,4;0;36;27,6;21,5;74;65;2,3;
2015-05-30;9,2;9,8;0;35,6;27,5;20;75;63;,8;
2015-05-31;8,9;8,1;0;36,1;27,6;23,8;62;74;,5;
2015-06-01;9,4;8,3;0;36,3;27,9;21,8;61,3;35;1,2;
2015-06-02;8,4;7;0;35,1;27,2;20,9;66,8;42;1,7;
2015-06-03;7,2;7,4;0;36;26,9;22,3;68,5;39;1,2;
2015-06-04;5,9;4;38,2;30,1;25,6;22,3;82;78;1,3;
2015-06-05;2,6;8,3;1,8;34,4;27,5;23,3;69,3;43;2,3;
2015-06-06;6,8;7,4;0;35;27,2;21,4;65,3;43;1,3;
2015-06-07;7,7;8,3;0;35;27,9;22;61,5;43;1,8;
2015-06-08;7;4,6;1;33;26,9;22,5;66,3;52;1,3;
2015-06-09;5,8;7;1,1;35;26,5;21;70,5;38;1,3;
2015-06-10;7,2;8,7;0;35;27,5;20,4;67,5;42;2,3;
2015-06-11;7,7;7,2;0;35,9;27,5;21,3;67;42;1,5;
2015-06-12;7,9;7;0;34,1;26,9;20,9;66,5;42;1,5;
2015-06-13;7,7;10,3;0;35,3;27,3;21;58,8;35;2,5;
2015-06-14;10,1;5,5;0;32,3;25,9;20;74;59;,8;
2015-06-15;6,1;10,2;1,2;35,6;27,2;21;63;35;2,5;
2015-06-16;12,8;9,2;0;36;27,4;20;59;34;2;
2015-06-17;12,1;10,7;0;36,1;27,5;21;56,3;25;2;
2015-06-18;12,5;10,3;0;35,7;27,2;20,7;56;26;1,2;
2015-06-19;10,8;9,6;0;35,7;26,9;19;59;34;1;
2015-06-20;11;10,3;0;36,6;27,4;20,8;56,8;28;,3;
2015-06-21;11,4;5,3;0;35;27,6;21;59,5;36;2,2;
2015-06-22;10;10,4;0;36,4;27,8;22,3;57,3;27;1,8;
2015-06-23;9,8;7,3;0;35,5;26,8;20;63;34;1,7;
2015-06-24;7,5;9,3;0;36;27,4;22;58,5;30;,7;
2015-06-25;9,5;5,5;0;33,5;26,3;19,4;67,5;44;1,3;
2015-06-26;6;9,3;1,6;34,5;26,2;21;60,3;33;1,5;
2015-06-27;12;8,2;0;35,1;27,5;20,8;58;34;1,7;
2015-06-28;9,3;8,8;0;35,8;27,4;19,8;57,3;34;1,2;
2015-06-29;9,7;7,7;0;35,4;27,5;20,8;62,3;37;2,5;
2015-06-30;9,7;3,7;,8;33,6;27,1;21,5;66,3;44;1,3;
2015-07-01;8,1;7,4;0;35,3;28,5;23;70;67;,9;
2015-07-02;10;8,1;0;35,8;27,7;21,9;66;61;,8;
2015-07-03;10,5;1,7;7,6;31;25,8;23,2;88;68;,5;
2015-07-04;4;2,2;0;29,9;25,4;21,4;90;77;0;
2015-07-05;2,3;0;22,8;29,6;25;21,6;null;96;,3;
2015-07-06;3,7;9,4;5,2;34,3;26,9;21;71;67;,6;
2015-07-07;8;10,3;0;34,8;26,8;20,9;74;73;,9;
2015-07-08;8,8;9,1;0;35,1;26,5;19,4;77;72;,7;
2015-07-09;7,5;10;0;34,6;26,8;20;56;65;1,2;
2015-07-10;9,7;10,4;0;34,6;27;20,3;72;60;1,8;
2015-07-11;11;9,3;0;34;27,3;21,6;61;49;1,3;
2015-07-12;11,8;10,3;0;35,2;27,4;20,6;67;62;1;
2015-07-13;12,7;10,4;0;35;26,9;21,3;62;57;1,4;
2015-07-14;13,6;10,3;0;33,9;26,6;19,8;58;47;1;
2015-07-15;12,1;9;0;34;26,7;20,1;58;49;1,7;
2015-07-16;null;1,4;0;30,6;25,8;20;70;60;1,5;
2015-07-17;6,8;2;0;31;25,4;22,2;86;75;,9;
2015-07-18;6,4;5,2;0;32,1;27,7;22;53;58;1;
2015-07-19;10,8;10,3;0;34,8;27,1;20,4;63;50;,8;
2015-07-20;12,2;7,6;0;34,3;27,8;22,8;64;59;1;
2015-07-21;11;7,7;0;35;27;20,4;72;63;1;
2015-07-22;9,4;7,3;0;34,6;26,9;20,3;71;68;1,3;
2015-07-23;9,5;8,9;0;35,4;27,6;21,2;75;62;1,3;
2015-07-24;10,7;7,8;0;35;27,4;21,8;69;59;1,5;
2015-07-25;6,5;7,2;0;35,2;27,3;22,3;67;62;1,8;
2015-07-26;5,2;9,8;0;35,1;27,1;20,2;67;64;1,3;
2015-07-27;10;7,4;0;35,6;27,9;20,5;61;65;,7;
2015-07-28;11,8;7,1;0;35,3;27,8;22,9;69;59;1,1;
2015-07-29;10,8;9,6;0;35,4;27,8;21,6;64;53;1;
2015-07-30;13,7;9,4;0;35,6;27,6;22,1;69;56;1,8;
2015-07-31;12;10,7;0;35,1;27,2;20;65;30;2,8;
2015-08-01;12,2;9,7;0;36,3;28,1;22;56,5;34;1,7;
2015-08-02;14,2;10,5;0;36,3;27,6;19,5;65;44;1,8;
2015-08-03;12,2;10,9;0;36,2;27,6;20,8;57,8;30;1;
2015-08-04;13;9,9;0;36,3;27,5;20,6;62,8;38;1,3;
2015-08-05;12;10,7;0;35,8;27,5;19,6;52,3;29;1,2;
2015-08-06;12;10,2;0;35,8;27,9;20,2;66,5;44;1,7;
2015-08-07;12,2;10,5;0;35,1;27,4;20,4;53,5;34;1,3;
2015-08-08;12,5;10,6;0;36;27,6;19,2;48;28;1,5;
2015-08-09;13,7;10,3;0;36,7;27,5;19,6;56,3;27;1,2;
2015-08-10;13;8,5;0;36;27,8;22,3;64;37;1,5;
2015-08-11;12;9,6;0;35,4;27,1;19,3;55,5;32;1,2;
2015-08-12;12;9,4;0;35,6;27,5;21;55,5;32;1,1;
2015-08-13;12,5;10,7;0;35,8;27,5;20,8;55;27;1,2;
2015-08-14;14;9,2;0;35,1;28;20,2;54,8;38;2;
2015-08-15;14,5;10,1;0;36,4;28,5;21;59,8;35;2;
2015-08-16;12,6;10,7;0;37,4;28,6;22;61,3;33;1,5;
2015-08-17;13,3;9,5;0;36;28,2;21;50,5;32;1;
2015-08-18;13,4;10,7;0;37,6;28,4;21;60,3;33;1;
2015-08-19;13,2;10,3;0;37,6;27,8;20,8;53,5;25;,8;
2015-08-20;13,9;10,8;0;36,6;27,6;21;59,3;35;1;
2015-08-21;11,9;10,6;0;36,1;27,3;20,1;55,8;28;1,3;
2015-08-22;11,5;9,4;0;36,4;28;22,6;58,5;31;1,5;
2015-08-23;9,5;10,2;0;37,4;28,1;22,9;56,3;29;1,1;
2015-08-24;13,8;10,7;0;37,1;27,8;21,4;65,8;34;2,3;
2015-08-25;12,6;9,8;0;35,8;27,3;20,8;58;34;1,6;
2015-08-26;12,2;8,6;0;36,2;27,5;20;59,3;38;2;
2015-08-27;12,5;10,7;0;38;28;21;55;22;1,6;
2015-08-28;14,5;9,9;0;37,8;28,1;21,6;63;34;2,8;
2015-08-29;14;10,9;0;36,6;27,7;21,4;65;33;1,8;
2015-08-30;12,5;10,6;0;36,7;27,5;20;60;33;1,8;
2015-08-31;12,9;9,6;0;37,6;27,9;21,6;57,5;31;1;
2015-09-01;12,6;8,1;0;35,8;28;23,8;71;45;1,2;
2015-09-02;11,8;7,3;0;35,9;27,7;23,1;60;35;,8;
2015-09-03;10,2;5,7;0;35,6;27,7;23;72;43;1;
2015-09-04;10,3;7,8;0;36,7;27,7;22,1;61,5;34;1,3;
2015-09-05;9,4;8,7;0;37,6;27,8;22,1;60,5;29;2;
2015-09-06;12,4;8,6;0;36,1;28,4;24,8;58;34;1;
2015-09-07;13,2;10;0;36,8;27,9;22;63,5;33;1,5;
2015-09-08;14,1;10,6;0;36,4;27,3;19,3;52;28;1,7;
2015-09-09;14,1;8,4;0;36,6;27,8;22;61,3;37;1,7;
2015-09-10;13,5;10,1;0;37,3;28,5;21,5;55;27;1;
2015-09-11;14;10,4;0;36,4;28,9;23,4;58,5;35;2,5;
2015-09-12;13,8;10,1;0;38;28,5;21,2;62,3;34;2,2;
2015-09-13;13,2;9,3;0;37;28,4;23,5;71,5;44;1,7;
2015-09-14;10,8;8,3;0;36,6;27,8;22,7;58,8;32;1,1;
2015-09-15;11,6;10,6;0;37,2;28,5;21,3;62;35;2,2;
2015-09-16;14,4;10,6;0;36,8;28,3;21,4;46,5;27;1,6;
2015-09-17;13,6;10,9;0;37,1;28,1;21,2;58;30;2,3;
2015-09-18;14,8;10,8;0;36,8;28,1;22,5;54;30;1,5;
2015-09-19;13,2;9,3;0;36,3;27,9;22;54,3;28;1,7;
2015-09-20;14,2;8,4;0;36;27,5;21,4;55,3;31;1,2;
2015-09-21;13,6;10,4;0;37;28;20,9;62,3;38;2;
2015-09-22;14,4;9,7;0;37,1;27,7;20,7;57,8;31;2,8;
2015-09-23;14,4;9,8;0;36,6;28,4;22;51,8;40;2,2;
2015-09-24;16;8;0;36,4;28,6;23;58,8;30;2,7;
2015-09-25;14,5;10,1;0;37;28;20,8;62,5;39;2;
2015-09-26;13,9;8,3;0;37,6;27,6;20,1;48,8;23;1,7;
2015-09-27;13,9;9,6;0;37;27,8;21,2;64,5;36;1,2;
2015-09-28;14,2;9;0;36,7;28,1;22,7;51,8;27;1,5;
2015-09-29;13,5;9,7;0;37,8;28,3;23;66;35;1,5;
2015-09-30;12,9;8,1;0;37,3;28,3;20,8;47,8;26;1,5;
2015-10-01;15,4;10;0;37;28,8;23;60,5;40;1,5;
2015-10-02;14,5;9,3;0;37;28,1;20,8;45,5;23;1,2;
2015-10-03;14,8;10,1;0;37,7;28,4;21,3;49,3;25;1,3;
2015-10-04;15;10;0;38,2;28,6;22,5;52;26;3,2;
2015-10-05;15,3;10,2;0;37;28,4;23;67,3;44;2,3;
2015-10-06;15,4;6,5;0;35,6;28,5;22,9;54,8;37;,7;
2015-10-07;13,9;9,1;0;36,7;28,5;22,6;60,3;35;2;
2015-10-08;13,6;9,1;0;38,1;28,8;23,4;61;24;2,2;
2015-10-09;16;10,7;0;37,1;28,6;22,4;54;27;2;
2015-10-10;15,5;11;0;37,5;28,6;22,5;54,5;26;1,3;
2015-10-11;14;7,4;0;36,9;27,7;21,8;59,5;31;2,3;
2015-10-12;13,2;9,7;0;37,1;28,4;21,6;47,5;25;2;
2015-10-13;15,2;11;0;38;29,3;21,6;52,8;26;1,7;
2015-10-14;16,5;10,9;0;37,6;29,2;23,4;51,8;29;2,8;
2015-10-15;16;9,4;0;37,7;29,9;25;49,3;28;1,8;
2015-10-16;16,1;10,7;0;37,6;29,1;22,5;49;27;2,3;
2015-10-17;17,1;10,6;0;38;28,9;22,1;45;19;2;
2015-10-18;16,6;11;0;36,8;28;21,4;56;32;,9;
2015-10-19;13,5;10,4;0;37,7;28,6;21,8;52,8;29;1,5;
2015-10-20;14,2;9,8;0;38,1;28,6;23;56,8;28;1,9;
2015-10-21;13,9;10,9;0;39;28,9;22,4;55,8;27;1,3;
2015-10-22;13,6;9,5;0;38,3;28,9;24;56,3;30;2;
2015-10-23;14,3;9,2;0;37,3;27,9;20,3;56,8;30;2,2;
2015-10-24;14,9;10,6;0;37;28,5;22;54,3;28;1,2;
2015-10-25;15,1;11,1;0;36,9;28,4;21,3;48;29;2,3;
2015-10-26;14;11;0;37,3;28,1;20,6;55;28;1,6;
2015-10-27;14;10,8;0;38;28,7;22,5;51;24;2,2;
2015-10-28;15,9;10,8;0;36,7;27,9;20,9;52;30;1,5;
2015-10-29;14,7;9;0;38;27,9;21,2;55,3;28;1,5;
2015-10-30;14,3;3,3;0;34,8;27,5;23,2;56,8;38;,8;
2015-10-31;11,5;4,8;0;33,8;27,2;20,8;56,8;39;2,5;
2015-11-01;11,5;10,5;0;36,4;28,3;21,9;48,8;33;1,2;
2015-11-02;14;10,6;0;37,9;28,3;21;55,5;30;2;
2015-11-03;15,1;10,9;0;36,8;28,8;23;47,5;25;1,2;
2015-11-04;15,9;11,1;0;37,2;28,5;22;46,5;30;1,3;
