Nome: FORTALEZA
Codigo Estacao: 82397
Latitude: -3.81527777
Longitude: -38.53777777
Altitude: 29.89
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3,9;9,7;0;31,6;27,4;24,2;76,3;66;2,8;
2015-01-02;3,7;10,7;0;31,6;27,2;22,5;71,5;64;2,4;
2015-01-03;4,2;0;33,2;26,8;24,4;22,7;95,5;77;2;
2015-01-04;,7;3;19,3;29,3;25,6;22,9;82,5;66;1,6;
2015-01-05;2,3;10,3;,1;31,2;26,6;22,4;78,5;67;3;
2015-01-06;3,6;6,1;0;30,8;27,3;24,7;80;70;2,7;
2015-01-07;2,8;5,8;8,7;30,2;26,7;24,3;83;76;2,2;
2015-01-08;3,3;9,5;,2;30,6;26,9;24,7;77,5;59;3,7;
2015-01-09;3,6;8,3;0;31,4;27,4;23,6;74,5;64;2,7;
2015-01-10;4,5;10,8;0;31,4;27,9;25,3;74,8;67;3,2;
2015-01-11;2,4;9,1;2,2;30,2;26,9;24,7;80,8;73;4,1;
2015-01-12;3,9;10,5;0;31,4;27,8;24,9;75,8;63;3,2;
2015-01-13;3,8;9,7;3,9;31,4;27,3;24,5;79,3;67;3,4;
2015-01-14;4,7;9,2;0;32;27,8;24,9;70,3;60;3,7;
2015-01-15;4,8;11;0;32,2;27,7;24,5;72,3;55;2,8;
2015-01-16;5,6;8,7;0;32,5;27,9;24,6;74,8;59;4,1;
2015-01-17;5,2;9,9;0;32;28,2;25,7;75;64;4;
2015-01-18;4,3;8,8;,6;31,6;27,6;24,7;78,5;71;3,3;
2015-01-19;3,9;10,6;0;31,8;27,8;25,3;79;66;2,7;
2015-01-20;3,7;9,6;0;32,3;27,6;23,6;76;62;2,9;
2015-01-21;1,3;9,4;4;31,8;27,8;24,9;77,8;67;3,6;
2015-01-22;1;8,5;0;32,1;28;25,7;71,5;61;3;
2015-01-23;,9;7,8;0;31,8;27,6;24,7;74,5;64;3;
2015-01-24;1,4;10,1;0;32;27,8;24,5;76;66;2,2;
2015-01-25;4,7;8,6;0;31,9;27,9;25,7;74,3;66;3,5;
2015-01-26;4,4;9,9;0;33;27,9;24,5;69,5;50;3,1;
2015-01-27;5,2;10,3;0;32;27,9;25,3;76,5;66;3;
2015-01-28;4,2;10,5;0;32;27,5;23,9;71,8;61;2,8;
2015-01-29;4,2;9,9;0;32,4;27,3;23,3;68,5;59;2,5;
2015-01-30;3,9;10,5;0;32,2;27,6;23,3;70;58;2,7;
2015-01-31;4,3;10,8;0;32,8;28;23,4;78,8;63;2,9;
2015-02-01;4,5;10,1;,6;32,6;28,4;25,4;73,8;62;2,8;
2015-02-02;4,4;8,2;,6;32,9;28,7;25,9;75;65;3,3;
2015-02-03;3,6;5,3;,1;31,8;28,3;25,1;78,3;69;2;
2015-02-04;4,3;8,5;,5;32;28,4;25,6;74,5;64;2,3;
2015-02-05;4,1;5,3;0;33;28,2;25,3;77,3;63;2,6;
2015-02-06;4,1;10,6;0;32,6;28,1;24,8;72,8;61;3;
2015-02-07;4,3;9,6;0;32,9;28;24;75,5;60;2,8;
2015-02-08;4,2;9,2;0;33,2;28,3;24,3;75;57;3,2;
2015-02-09;4,4;10,5;0;33;28,3;24,4;71,8;55;3,9;
2015-02-10;5;10;0;33,1;28,7;25;74;62;3,4;
2015-02-11;5,3;6,8;0;32,9;28,7;26,1;70,5;57;3,5;
