Nome: BENJAMIN CONSTANT
Codigo Estacao: 82410
Latitude: -4.3786111
Longitude: -70.02999999
Altitude: 78.41
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2025-04-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;0;31,8;null;null;94;81;1;
2015-01-02;null;null;4;31,5;24,9;20,2;96;94;0;
2015-01-03;null;null;29;30,4;null;null;93;95;1;
2015-01-04;null;null;,2;30;25,2;22,3;87;91;1;
2015-01-05;null;null;0;31;26,4;22,9;88;82;1;
2015-01-06;null;null;,4;30,6;25,2;22,5;94;84;,5;
2015-01-07;null;null;9,8;31;24,7;22,5;96;94;,5;
2015-01-08;null;null;8,6;28,6;25;22,3;91;95;,5;
2015-01-09;null;null;1,8;30,2;25,4;22,1;93;88;,5;
2015-01-10;null;null;3,8;26,4;24,4;22,3;95;91;,5;
2015-01-11;null;null;51,4;32,2;25,6;21,6;96;94;0;
2015-01-12;null;null;17,8;28,6;25,2;22,9;95;94;,5;
2015-01-13;null;null;1,8;30,6;25;22,3;95;94;,5;
2015-01-14;null;null;,6;31;26,6;22,7;90;94;,5;
2015-01-15;null;null;,4;31;25,7;22,9;95;86;0;
2015-01-16;null;null;6;31,8;26,8;23,1;90;94;,5;
2015-01-17;null;null;0;32,2;26,1;22,7;88;87;1;
2015-01-18;null;null;26,4;29,6;25,8;22,1;91;84;0;
2015-01-19;null;null;,4;27;24,7;22,7;92;88;0;
2015-01-20;null;null;0;32;26,5;22,5;87;89;,5;
2015-01-21;null;null;39,4;28,6;24,4;22,5;96;82;,5;
2015-01-22;null;null;10,2;28,4;24,7;22,1;94;95;,5;
2015-01-23;null;null;18,6;31,5;25,4;21,5;86;92;0;
2015-01-24;null;null;3,8;30,5;25,8;20,4;87;81;0;
2015-01-25;null;null;0;31;26,4;22,3;87;81;,5;
2015-01-26;null;null;null;32;null;null;87;87;0;
2015-01-27;null;null;39,2;28,5;25,2;22,8;92;81;0;
2015-01-28;null;null;25,2;32;26,8;22,5;92;92;1;
2015-01-29;null;null;0;33;27,1;22,8;87;89;1;
2015-01-30;null;null;51,8;28;24,5;20;91;85;0;
2015-01-31;null;null;null;null;null;null;null;91;null;
2015-02-01;null;null;null;null;null;null;null;null;null;
2015-02-02;null;null;null;null;null;null;null;null;null;
2015-02-03;null;null;null;null;null;null;null;null;null;
2015-02-04;null;null;null;null;null;null;null;null;null;
2015-02-05;null;null;null;null;null;null;null;null;null;
2015-02-06;null;null;null;null;null;null;null;null;null;
2015-02-07;null;null;0;null;null;22,6;null;95;0;
2015-02-08;null;null;null;null;null;null;null;null;null;
2015-02-09;null;null;null;null;null;null;null;null;null;
2015-02-10;null;null;null;null;null;null;null;null;null;
2015-02-11;null;null;null;null;null;null;null;null;null;
2015-02-12;null;null;null;null;null;null;null;null;null;
2015-02-13;null;null;null;null;null;null;null;null;null;
2015-02-14;null;null;null;null;null;null;null;null;null;
2015-02-15;null;null;null;null;null;null;null;null;null;
2015-02-16;null;null;null;null;null;null;null;null;null;
2015-02-17;null;null;null;null;null;null;null;null;null;
2015-02-18;null;null;null;null;null;null;null;null;null;
2015-02-19;null;null;null;null;null;null;null;null;null;
2015-02-20;null;null;null;null;null;null;null;null;null;
2015-02-21;null;null;null;null;null;null;null;null;null;
2015-02-22;null;null;null;null;null;null;null;null;null;
2015-02-23;null;null;null;null;null;null;null;null;null;
2015-02-24;null;null;null;null;null;null;null;null;null;
2015-02-25;null;null;null;null;null;null;null;null;null;
2015-02-26;null;null;null;null;null;null;null;null;null;
2015-02-27;null;null;null;null;null;null;null;null;null;
2015-02-28;null;null;null;null;null;null;null;null;null;
2015-03-01;null;null;null;null;null;null;null;null;null;
2015-03-02;null;null;0;null;null;22,9;null;94;1;
2015-03-03;null;null;null;null;null;null;null;null;null;
2015-03-04;null;null;null;null;null;null;null;null;null;
2015-03-05;null;null;null;null;null;null;null;null;null;
2015-03-06;null;null;null;null;null;null;null;null;null;
2015-03-07;null;null;null;null;null;null;null;null;null;
2015-03-08;null;null;null;null;null;null;null;null;null;
2015-03-09;null;null;null;null;null;null;null;null;null;
2015-03-10;null;null;null;null;null;null;null;null;null;
2015-03-11;null;null;null;null;null;null;null;null;null;
2015-03-12;null;null;null;null;null;null;null;null;null;
2015-03-13;null;null;null;null;null;null;null;null;null;
2015-03-14;null;null;null;null;null;null;null;null;null;
2015-03-15;null;null;null;null;null;null;null;null;null;
2015-03-16;null;null;null;null;null;null;null;null;null;
2015-03-17;null;null;null;null;null;null;null;null;null;
2015-03-18;null;null;null;null;null;null;null;null;null;
2015-03-19;null;null;null;null;null;null;null;null;null;
2015-03-20;null;null;null;null;null;null;null;null;null;
2015-03-21;null;null;null;null;null;null;null;null;null;
2015-03-22;null;null;null;null;null;null;null;null;null;
2015-03-23;null;null;null;null;null;null;null;null;null;
