Nome: COARI
Codigo Estacao: 82425
Latitude: -4.08527777
Longitude: -63.14527777
Altitude: 34.18
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2016-01-29
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;2,2;32,4;28,2;24,7;73;61;1,2;
2015-01-02;null;null;1;32,2;27,5;24,9;80,5;63;1,4;
2015-01-03;null;null;,6;32,2;28,4;24,5;74;75;1,4;
2015-01-04;null;null;2;33;27,6;24,4;77;63;1,2;
2015-01-05;null;null;0;32;26,7;24,1;80,8;70;1,2;
2015-01-06;null;null;1,1;32;26,7;24,3;79;59;1,4;
2015-01-07;null;null;5;32;27,2;23,4;75,8;63;1;
2015-01-08;null;null;0;33,8;28;24,9;73,8;58;,7;
2015-01-09;null;null;7;29,6;25,5;23,7;88,3;78;1;
2015-01-10;null;null;20,2;30,4;25,9;23,7;83,3;76;0;
2015-01-11;null;null;3,6;32,8;26,3;24,1;80;55;1,5;
2015-01-12;null;null;2,3;32,8;28,3;23,5;70,8;63;1;
2015-01-13;null;null;0;34,2;28,6;23,7;68,8;55;1,4;
2015-01-14;null;null;5;33,8;27,9;23,7;73,5;62;2,1;
2015-01-15;null;null;2;32,4;28,1;23,5;68,3;56;1,5;
2015-01-16;null;null;0;33,2;28,3;23,3;68;61;1;
2015-01-17;null;null;47;30,2;25,3;23,1;87,8;62;1,4;
2015-01-18;null;null;10;32,8;27,5;22,1;74,3;63;,7;
2015-01-19;null;null;0;30,2;26,9;24,7;82,5;71;1;
2015-01-20;null;null;34;31,8;27,1;23,3;76;64;1,2;
2015-01-21;null;null;9,4;31;27,2;23,6;75,5;66;1,2;
2015-01-22;null;null;0;28,4;26,2;24,7;86,8;72;,9;
2015-01-23;null;null;1,3;31;26,1;23,9;87;75;1,2;
2015-01-24;null;null;1,5;32;27,1;24,5;79,3;70;1,4;
2015-01-25;null;null;1;32,2;26,5;24,7;81;60;1;
2015-01-26;null;null;2,6;33,6;27,1;24,5;76,5;58;1;
2015-01-27;null;null;0;32,6;28,7;24,7;71,5;66;1,2;
2015-01-28;null;null;0;33,6;28;24,7;71,3;56;1,5;
2015-01-29;null;null;0;33,2;27,9;24,7;76;69;1,4;
2015-01-30;null;null;8,4;null;null;22,4;null;57;,5;
