Nome: ITAITUBA
Codigo Estacao: 82445
Latitude: -4.27694443
Longitude: -55.99305555
Altitude: 24.5
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3,5;9,3;51;33,8;27,9;24;79,5;68;1;
2015-01-02;3,1;10,5;0;34,7;29,4;25,1;79;66;,7;
2015-01-03;3,5;10,4;,4;34,6;29,2;24,6;76,5;63;,8;
2015-01-04;3,7;6,9;1,2;34,2;29,2;25,3;84,8;69;,3;
2015-01-05;3;2,3;6,5;31,8;27,2;25,3;88,5;80;,8;
2015-01-06;1,6;11;31,1;33,5;27,8;22,9;77,8;61;,8;
2015-01-07;3,5;10,9;0;34,9;28,5;24,1;78,8;63;,4;
2015-01-08;3,2;7,6;,3;34,2;27,2;24;86,8;76;1,2;
2015-01-09;2,2;8,1;4,3;33,4;28,4;24,5;81,8;68;1,2;
2015-01-10;3;5,8;0;34,3;28;25,5;80;66;,8;
2015-01-11;2,8;,3;8,7;28,2;25,6;24;94,8;84;0;
2015-01-12;,6;8,3;4,3;33;28,4;24,2;79,3;72;1,3;
2015-01-13;2,7;0;0;29,8;26,6;24,8;87,5;75;1,1;
2015-01-14;1,5;2,7;0;31;25,6;23,5;90,3;88;2;
2015-01-15;1,1;1,5;10,8;31;25,8;23,2;93,8;83;0;
2015-01-16;1,4;0;,4;26,4;24,3;23,1;95;92;,2;
2015-01-17;,6;5,4;15,6;32;26,4;21,8;88,5;72;1,4;
2015-01-18;1,9;2,4;0;32,2;25,9;22,6;93,5;87;0;
2015-01-19;1,1;1;17,6;27,7;24,4;23,1;94;95;,2;
2015-01-20;,7;4,3;13,4;30,6;25,8;22,3;84,5;72;1;
2015-01-21;2,1;2,7;0;31,7;26,8;23,3;88,3;75;,8;
2015-01-22;1,9;6,7;,6;35,6;28,4;24,3;78,8;61;1,3;
2015-01-23;2,7;,2;0;29,6;26;24,1;92,8;83;,8;
2015-01-24;1,1;2;6,2;31,8;26;24;89,5;76;,6;
2015-01-25;1,5;1,6;14,2;31,4;27;23,5;85;74;,8;
2015-01-26;2,2;1,4;3,2;29,4;25,8;23,3;92;88;,3;
2015-01-27;1;3,5;7,2;32,8;27,6;23,8;88,5;74;,7;
2015-01-28;2,2;7,3;0;34,3;28,8;25,3;81,3;62;1,3;
2015-01-29;2,8;8,3;0;35,9;28,6;24,3;84;63;,8;
2015-01-30;3,5;5,2;,4;33,4;28,2;24,4;84,3;74;,5;
2015-01-31;2,5;2,7;0;34,6;29,1;24,7;78,3;64;1,3;
2015-02-01;3,5;1,1;5,5;33,6;27,2;24,8;87,5;75;,3;
2015-02-02;1,8;,5;38,2;28,8;25,4;22,7;88;78;,3;
2015-02-03;1,2;6,2;20,5;33,2;26,3;23,5;84,8;69;1,7;
2015-02-04;2,3;8,9;0;33,6;27,8;24,4;79;64;1;
2015-02-05;3,4;7;6,6;33,2;28,1;24,7;78,8;65;2,3;
2015-02-06;3,3;5;0;33,8;28,2;24,7;76,8;62;1,5;
2015-02-07;2,8;5,4;0;34;28,7;24,5;82,8;81;,7;
2015-02-08;3;5,3;0;35;28,1;25,8;81,8;65;1,1;
2015-02-09;2,9;,4;,2;29,8;26,3;24,5;88,8;82;1;
2015-02-10;1,6;5,2;2,3;33,6;27,4;23,9;80,8;69;1;
2015-02-11;2,6;8,5;,1;35,4;28,8;24,8;76;60;,7;
2015-02-12;2,7;6,7;,9;33,4;27,5;25,1;82,8;69;2,5;
2015-02-13;2,7;3,7;,2;33;28,7;25,2;83;70;,7;
2015-02-14;2,6;9,1;0;35,2;28,7;25,7;77,8;61;1,5;
2015-02-15;3,4;10,4;0;35;29,2;24,6;75,8;62;2,8;
2015-02-16;3,7;6,7;0;34,8;29;26,5;79,3;63;1,2;
2015-02-17;3,3;2,7;1,7;32,8;27,5;25,3;85,8;74;1,1;
2015-02-18;2,1;1,6;3,4;31;26,9;25,1;88,8;79;,9;
2015-02-19;1,7;4,3;5,9;33,4;27,9;24,7;84;68;1,5;
2015-02-20;2,5;0;22,5;29;25,3;23,5;93,5;91;0;
2015-02-21;,7;6,4;31,9;33,2;26,5;23,2;85,3;67;,8;
2015-02-22;2,3;0;39,9;29,4;25,6;23,8;90,8;83;,4;
2015-02-23;1,1;1,5;,6;31,8;26,3;23,2;90,3;82;0;
2015-02-24;1,3;1;0;31;26;24;92,5;90;,7;
2015-02-25;1;7,1;7,4;32;27,6;23,9;83,8;73;1,3;
2015-02-26;2,3;4,9;4,3;31,8;26,5;23,9;87,3;72;1,1;
2015-02-27;1,8;7,2;1,4;33,6;27,9;24,3;86,8;70;,8;
2015-02-28;2,2;,8;31,2;30,1;26;23,1;89,3;80;0;
2015-03-01;,9;8,4;8,6;34,2;27,7;23,7;83;73;,4;
2015-03-02;2;3,6;,6;30,1;26,1;24,3;87,5;79;,7;
2015-03-03;1,5;4,1;9,5;32,5;26,7;23,9;90;78;1;
2015-03-04;1,8;1,9;5,9;31,2;26,5;23,9;87,8;77;,5;
2015-03-05;1,5;4,7;0;32,8;27,4;23,9;83,5;68;,8;
2015-03-06;2,6;3,1;1,7;32,2;27,2;25,1;85;73;1,3;
2015-03-07;2,2;4,8;0;34,1;27;24,5;82,8;68;1;
2015-03-08;2,1;9,2;0;33,8;27,8;23,6;77,5;63;2;
2015-03-09;3;4;0;33;28,2;25,1;82,8;69;,7;
2015-03-10;2,3;0;4,4;34,6;27,1;24;88,8;76;1,2;
2015-03-11;1,1;4,8;3,6;32,7;27,7;24,3;82,5;70;1;
2015-03-12;2,3;,3;2,3;31,6;27;24,6;90;78;,5;
2015-03-13;1,5;3;10,7;31,2;26,6;23,9;92,8;86;,3;
2015-03-14;1;0;24,8;27,2;25;23,6;94,3;92;0;
2015-03-15;,2;3,5;37,6;32,6;27,1;23,6;88,5;72;,3;
2015-03-16;1,3;3,1;4;32,4;26,3;23,6;89,5;81;,3;
2015-03-17;1,3;3,7;8,8;32,2;27,4;23,5;81,8;72;,7;
2015-03-18;1,7;1,4;3,8;31,6;25,8;23,7;87,8;74;2,9;
2015-03-19;1;0;60,1;28,6;25,1;23,5;92,3;90;,4;
2015-03-20;,7;2,8;4,2;31;25;23,1;95,5;92;1,3;
2015-03-21;,8;1,5;93,1;30,7;25,1;22,1;90,5;76;,7;
2015-03-22;1,1;1,8;1,2;29,4;25,4;22,3;93,3;92;0;
2015-03-23;1,1;8,4;21,8;34,4;26,9;23,7;84,5;69;1;
2015-03-24;2,1;5,3;,4;32,3;26;23,7;90,5;85;,3;
2015-03-25;1,5;2,3;23,5;31,4;26,9;23,7;87,3;76;0;
