Nome: BACABAL
Codigo Estacao: 82460
Latitude: -4.21805554
Longitude: -44.77583332
Altitude: 26.6
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2025-07-02
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;8,1;,3;35,3;28,2;22,8;71;51;2,1;
2015-01-02;null;8,1;0;35,7;27,8;23,3;74,3;47;2,1;
2015-01-03;null;6;2,9;35;27,6;23,3;72,3;43;2,1;
2015-01-04;null;8,9;0;36,1;28,3;23,2;71;45;1,7;
2015-01-05;null;2,6;,9;33,1;26,6;21,5;69;47;1,7;
2015-01-06;null;8,5;0;36,9;28,6;22,6;67,3;49;1,6;
2015-01-07;null;2,8;0;33;26,6;23,2;75,3;52;,6;
2015-01-08;null;9,8;5,4;33;27,9;21,9;71,5;57;,5;
2015-01-09;null;10;0;39;29,6;23;70,5;57;,9;
2015-01-10;null;5,1;0;34;27,2;23,8;78,8;54;,7;
2015-01-11;7;6,7;5,1;35,1;28;22,8;74,8;52;1,2;
2015-01-12;null;7,1;,4;35,8;28,9;22,4;67,5;52;,9;
2015-01-13;null;9;0;36,2;29,7;24,1;68,3;64;,8;
2015-01-14;null;,9;,6;33,3;28,5;25;70,3;55;1,8;
2015-01-15;null;6,5;0;36,2;29,1;23,8;69,5;48;2,5;
2015-01-16;null;6;0;35,7;29;23,8;67,5;50;1,7;
2015-01-17;null;8,9;0;37;27;22,4;78,3;45;1,3;
2015-01-18;null;2,7;17,3;33;27,2;22,4;84,8;78;,8;
2015-01-19;null;2,4;24,1;34;27,1;20,8;79;50;,2;
2015-01-20;null;6,9;,2;35,4;27,8;24,4;76,8;48;,5;
2015-01-21;null;,7;0;32,3;27,3;23,9;74,8;60;,8;
2015-01-22;null;4,5;0;34;27,8;23,9;76;57;1,1;
2015-01-23;null;1,4;0;31;25,5;22,3;84,8;67;,6;
2015-01-24;null;3,6;5,3;33,4;26,5;22,1;79,3;55;,6;
2015-01-25;null;1,9;0;29,4;26,1;23,9;87,5;79;,7;
2015-01-26;null;null;4;35,3;28,2;22,8;72;54;,8;
2015-01-27;null;null;0;36;28,7;23,2;70,3;51;1,7;
2015-01-28;null;null;0;36,4;28,1;23,2;67,8;52;1,2;
2015-01-29;null;null;0;36,1;29,5;23,9;66,3;51;1,2;
2015-01-30;null;null;0;35,2;28,6;23,1;69,8;51;,7;
2015-01-31;null;null;,2;37;29;23,4;72,5;54;1,9;
2015-02-01;null;null;1,8;37;null;null;83,3;59;2,1;
2015-02-02;null;null;16;33,6;null;null;88,3;65;,8;
2015-02-03;null;null;71,1;31,8;null;null;93;94;,9;
2015-02-04;null;null;11,1;33;null;null;88,8;75;,7;
2015-02-05;null;null;19,2;32;null;null;85,8;66;,6;
2015-02-06;null;null;0;33;null;null;80,8;56;,5;
2015-02-07;null;null;0;32,4;null;null;75;61;,8;
2015-02-08;null;null;0;32,2;null;null;81,5;62;,6;
2015-02-09;null;null;0;37,5;null;null;69,8;50;,7;
2015-02-10;null;null;0;33,6;null;null;83,3;65;,9;
2015-02-11;null;null;11;34,7;null;null;78,3;57;,5;
2015-02-12;null;null;0;34,7;null;null;70,8;52;1;
2015-02-13;null;null;0;36,1;null;null;70,3;52;1;
2015-02-14;null;null;0;34,6;null;null;78;55;1,3;
2015-02-15;null;null;1,8;34;null;null;85,5;62;1,8;
2015-02-16;null;null;32,2;32,2;null;null;80,5;62;1,1;
2015-02-17;null;null;,2;34,5;null;null;80,3;61;1;
2015-02-18;null;null;0;34,8;null;null;78,8;53;1,4;
2015-02-19;null;null;143,6;29,4;null;null;88,5;72;,5;
2015-02-20;null;null;0;28,4;null;null;91;85;,7;
2015-02-21;null;null;69,3;30;null;null;91;80;,6;
2015-02-22;null;null;73,5;28,3;null;null;93,8;78;,4;
2015-02-23;null;null;30,3;31,8;null;null;87;71;1;
2015-02-24;null;null;1;31,7;null;null;90,8;82;,5;
2015-02-25;null;null;4,8;33,4;null;null;83;62;1,6;
2015-02-26;null;null;18,1;34,3;null;null;81,8;67;,8;
2015-02-27;null;null;0;34,7;null;null;76;61;1;
2015-02-28;null;null;0;35,1;null;null;82,5;55;1,3;
2015-03-01;null;6,3;8,1;33,8;null;null;82;58;1,3;
2015-03-02;null;5,9;3;33,8;null;null;84;59;,8;
2015-03-03;null;5,2;65;33;null;null;85,3;61;,9;
2015-03-04;null;5,6;3;33,6;null;null;81;62;1,5;
2015-03-05;null;1;0;31,6;null;null;88,5;69;,3;
2015-03-06;null;7;40,2;34;null;null;88,3;60;,9;
2015-03-07;null;3,5;23,8;32;null;null;85,8;68;,6;
2015-03-08;null;3,4;3;32;null;null;85,3;66;,5;
2015-03-09;null;5,6;6,3;33,4;null;null;82,8;63;,8;
2015-03-10;null;7,2;,5;34,5;null;null;87,3;65;1,2;
2015-03-11;null;5,5;60,8;32,8;null;null;84,3;62;,5;
2015-03-12;null;9,6;0;35,4;null;null;75;62;1,1;
2015-03-13;null;7,6;9,3;34,6;null;null;78,3;57;1,4;
2015-03-14;null;9,2;,6;36;null;null;71,8;53;2,5;
2015-03-15;null;8;0;36;null;null;77;56;1,8;
2015-03-16;null;6,5;7,7;35,5;null;null;76,5;60;1,2;
2015-03-17;null;4,4;0;32,4;null;null;83,5;63;,5;
2015-03-18;null;6,6;6,1;29;null;null;91,5;83;,6;
2015-03-19;null;6,6;,5;34,9;null;null;77;61;1,2;
2015-03-20;null;0;26;28;null;null;92,3;84;,5;
2015-03-21;null;5,7;5;32,4;null;null;82,3;64;,5;
2015-03-22;null;null;63,4;28,2;null;null;89,8;85;,5;
2015-03-23;null;6,4;11,2;34;null;null;81,3;63;,7;
2015-03-24;null;6;0;32,4;null;null;79,5;65;,8;
2015-03-25;null;6,1;40,6;34,3;null;null;83;55;,4;
2015-03-26;null;6,8;3,2;33,9;null;null;82,3;65;,8;
2015-03-27;null;6,2;,8;34,8;null;null;81,8;61;1,3;
2015-03-28;null;6,3;15,6;34,7;null;null;83,8;68;1,2;
2015-03-29;null;8,3;0;34,7;null;null;80;59;2,4;
2015-03-30;null;5,3;15,9;35,4;null;null;87,5;62;,4;
2015-03-31;null;7,7;6,8;35;null;null;83,5;67;,7;
2015-04-01;null;4,9;9,2;34,1;null;null;84,5;65;,8;
2015-04-02;null;2,7;21,4;33,3;null;null;82,5;66;,4;
2015-04-03;null;4,4;0;32;null;null;83;69;,5;
2015-04-04;null;7;0;33;null;null;78,8;67;,8;
2015-04-05;null;6,5;7,2;33;null;null;87,5;68;,5;
2015-04-06;null;8,6;6,7;35,2;null;null;83;58;1,1;
2015-04-07;null;8,3;4,6;35,3;null;null;75,8;56;1;
2015-04-08;null;2,3;0;31,6;null;null;91,3;83;,8;
2015-04-09;null;7,3;26,4;32;null;null;91,5;83;,7;
2015-04-10;null;5,4;71,8;33,6;null;null;88,8;66;,6;
2015-04-11;null;8,1;12,9;34,4;null;null;82,5;62;1,3;
2015-04-12;null;,4;9,4;31,7;null;null;91;76;2,4;
2015-04-13;null;5,5;5,2;35,5;null;null;91,8;87;,9;
2015-04-14;null;4,1;5,1;33;null;null;92,8;83;1,1;
2015-04-15;null;5,4;37,3;33,8;null;null;88,5;79;1,3;
2015-04-16;null;7,1;8;34,6;null;null;82;62;,9;
2015-04-17;null;7,9;1,5;32;null;null;82;63;,6;
2015-04-18;null;9,6;10,8;30,4;null;null;90;79;,5;
2015-04-19;null;6;47;32,4;null;null;81,3;61;,6;
2015-04-20;null;7,3;9;34,6;null;null;82,8;67;,6;
2015-04-21;null;8,4;,4;35,8;null;null;80,8;68;,8;
2015-04-22;null;9;,2;34,5;null;null;79,3;62;,6;
2015-04-23;null;5,5;0;33,7;null;null;86;69;,6;
2015-04-24;null;9,9;21,6;34,5;null;null;81,3;70;1,1;
2015-04-25;null;9,1;3,4;34,4;null;null;77,3;57;1,7;
2015-04-26;null;9,7;0;34,6;null;null;76,5;60;2,4;
2015-04-27;null;10,4;,4;35,3;null;null;77,5;62;,6;
2015-04-28;null;9,2;0;35;null;null;74;52;1,4;
2015-04-29;null;10,4;0;35,2;null;null;75,5;62;,9;
2015-04-30;null;10,1;0;35;null;null;74,3;58;,5;
2015-05-01;null;4,8;0;35,6;null;null;75,8;55;1,9;
2015-05-02;null;2,3;0;32,3;null;null;89,3;80;1,1;
2015-05-03;null;3;1,3;33,4;null;null;81,8;64;1,3;
2015-05-04;null;4,7;24,4;32,6;null;null;89,5;67;,3;
2015-05-05;null;6,4;2;34,5;null;null;80;60;,7;
2015-05-06;null;6;2;34;null;null;85;62;,6;
2015-05-07;null;6,5;0;34,2;null;null;82,5;68;,9;
2015-05-08;null;7,1;24,3;29;null;null;87;79;,4;
2015-05-09;null;6,4;19,3;33;null;null;80,8;71;,7;
2015-05-10;null;9,5;31,7;33;null;null;82,5;66;,6;
