Nome: CALDEIRAO
Codigo Estacao: 82474
Latitude: -4.328706
Longitude: -41.721691
Altitude: 183.51
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2015-02-26
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;8,1;0;37;28,7;21,5;61,5;47;1;
2015-01-02;null;8,1;0;37;29;22,5;61,8;49;0;
2015-01-03;null;8,7;0;31,5;25,7;21;76,5;61;0;
2015-01-04;null;8,1;14,8;29;23,6;21,3;91;87;0;
2015-01-05;null;9,6;16,8;31;28;22,2;62,8;62;1;
2015-01-06;null;6,7;0;36;28,2;22;63,3;44;1;
2015-01-07;null;9,3;0;36,2;29;23;58,3;42;1;
2015-01-08;null;9,2;0;35;29;23;57;45;1;
2015-01-09;null;9,6;0;37;30,2;23;53;40;1;
2015-01-10;null;8,5;0;37;28,6;22,5;62;40;0;
2015-01-11;null;9,7;0;37,3;29,7;23;55,8;38;0;
2015-01-12;null;9,2;0;36;29,9;23,2;55,8;46;1;
2015-01-13;null;11,4;0;36;30,5;23;51,5;44;1;
2015-01-14;null;6;0;35;29,7;22,5;null;55;1;
2015-01-15;null;10,9;0;38;29,6;23;54,8;36;1,3;
2015-01-16;null;7,1;0;35;28,6;23,2;61;46;1;
2015-01-17;null;10,9;0;37,5;29,1;23;58,5;38;0;
2015-01-18;null;9,6;0;37,8;28,7;22,5;61,5;36;1;
2015-01-19;null;7,4;1,5;36,2;28,9;23;59,8;44;1;
2015-01-20;null;10,2;0;34,5;29,5;23;56,3;49;1;
2015-01-21;null;2,2;0;33;25,2;20,8;76,5;52;1;
2015-01-22;null;2,7;25,5;33,2;26,9;22;69,3;50;0;
2015-01-23;null;4,7;4,6;34;27,3;20,5;63,8;45;0;
2015-01-24;null;8,3;0;36,5;28,7;23;60,3;37;1;
2015-01-25;null;10,8;0;33;28;23,2;63,8;51;0;
2015-01-26;null;9,7;0;37;29,1;23,3;59,5;39;0;
2015-01-27;null;11,1;0;36,5;29;21,5;58,3;40;1;
2015-01-28;null;10,7;0;38,5;29,7;22;55,3;34;1,3;
2015-01-29;null;10,1;0;38,2;29,7;22;55,3;36;0;
2015-01-30;null;10,2;0;38,5;29,5;23;57,5;35;0;
2015-01-31;null;11,1;0;37,5;29,3;22,5;58,3;38;0;
2015-02-01;null;null;null;null;null;null;null;64;null;
2015-02-02;null;null;null;null;null;null;null;null;null;
2015-02-03;null;null;null;null;null;null;null;null;null;
2015-02-04;null;null;null;null;null;null;null;null;null;
2015-02-05;null;null;null;null;null;null;null;null;null;
2015-02-06;null;null;null;null;null;null;null;null;null;
2015-02-07;null;null;null;null;null;null;null;null;null;
2015-02-08;null;null;null;null;null;null;null;null;null;
2015-02-09;null;null;null;null;null;null;null;null;null;
2015-02-10;null;null;null;null;null;null;null;null;null;
2015-02-11;null;null;null;null;null;null;null;null;null;
2015-02-12;null;null;null;null;null;null;null;null;null;
2015-02-13;null;null;null;null;null;null;null;null;null;
2015-02-14;null;null;null;null;null;null;null;null;null;
2015-02-15;null;null;null;null;null;null;null;null;null;
2015-02-16;null;null;null;null;null;null;null;null;null;
2015-02-17;null;null;null;null;null;null;null;null;null;
2015-02-18;null;null;null;null;null;null;null;null;null;
2015-02-19;null;null;null;null;null;null;null;null;null;
2015-02-20;null;null;null;null;null;null;null;null;null;
2015-02-21;null;null;null;null;null;null;null;null;null;
2015-02-22;null;null;null;null;null;null;null;null;null;
2015-02-23;null;null;null;null;null;null;null;null;null;
2015-02-24;null;null;null;null;null;null;null;null;null;
2015-02-25;null;null;null;null;null;null;null;null;null;
2015-02-26;null;null;null;null;null;null;null;null;null;

