Nome: CAXIAS
Codigo Estacao: 82476
Latitude: -4.86722221
Longitude: -43.35666666
Altitude: 96.67
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2022-08-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2,2;8,1;7,9;35,7;28;22;57,3;37;2;
2015-01-02;3,1;6,9;0;36;28,9;23,6;57,3;44;1,5;
2015-01-03;3,3;4,6;14,6;32,4;25,2;21,5;85,5;58;1,5;
2015-01-04;2,1;6,7;2,3;32,1;25,4;21,5;73,8;47;2,3;
2015-01-05;2,9;5,8;,2;33,5;27,4;22,1;53,8;34;1,9;
2015-01-06;4;8,8;0;35,5;28,5;22,6;53,8;31;1,3;
2015-01-07;4,1;4,2;7;33,5;25,5;21,6;72,8;36;1,6;
2015-01-08;2,4;9,8;0;34,1;27,9;22,1;55,3;36;2,1;
2015-01-09;4;9,4;0;36,3;29;23,6;54;29;1,6;
2015-01-10;4,8;6,3;0;38,3;30;25,1;53,5;28;1,9;
2015-01-11;4;8,3;0;36,3;29,9;25,1;52,8;33;1,8;
2015-01-12;4,4;8,6;0;36,7;30,1;25,1;49,3;31;2,2;
2015-01-13;5,8;8,9;0;37,3;29,2;25,1;51;34;2,1;
2015-01-14;4,2;,4;0;32,6;28;25,2;63;49;1;
2015-01-15;3,3;6,7;0;37,7;29,1;23,5;59;34;1;
2015-01-16;4,3;8,3;0;37,3;29,6;24,4;48,5;33;1,9;
2015-01-17;5,2;6,5;0;37,5;29,6;24,6;58,8;35;2,2;
2015-01-18;4;4,8;0;37,3;28,5;25,5;68;40;1,9;
2015-01-19;3,9;1,2;,2;33,8;28,2;24,1;65,3;49;1;
2015-01-20;2,5;5,7;0;36,3;26,4;22,1;70,8;34;2,3;
2015-01-21;3,5;,9;5;32,8;27;22,1;64,5;40;1;
2015-01-22;2,8;3,2;,5;32,8;27,6;22,9;54;36;1,4;
2015-01-23;3,4;3;0;33,5;28,2;25,1;65,3;54;,8;
2015-01-24;2,6;5,9;0;35,5;29,2;24,6;44;28;1,7;
2015-01-25;4,8;,5;1,4;31,8;26,6;19,1;61;44;2,1;
2015-01-26;3,6;5;0;34,9;28,6;24,5;59,5;43;1,2;
2015-01-27;2,8;9,1;1;36,5;29,1;23,5;46,8;28;1,4;
2015-01-28;5,5;9,4;0;39,5;29,9;24,7;51;26;1,8;
2015-01-29;5,3;9,6;0;39,3;30,4;24,9;51,8;32;1,7;
2015-01-30;5;8,4;0;37,7;30,7;24,3;47,5;30;2,5;
2015-01-31;5;9,4;0;38,3;30,9;24,1;47,5;30;1,8;
2015-02-01;5,2;8,4;6,1;38,1;29,8;23,9;52,8;29;2,2;
2015-02-02;3,3;4,8;40,8;34,7;25,9;21;70,8;51;1,4;
2015-02-03;5,8;5,9;52;32,6;27,8;26,1;66,3;39;1,6;
2015-02-04;2,8;3,9;3;32,3;25,7;21;72;51;1,9;
2015-02-05;2;4,9;13;32,6;27,3;22,1;67,8;41;1,5;
2015-02-06;2,9;8,7;0;33,4;28,5;25;61,5;37;1,2;
2015-02-07;8,1;7,7;0;34,7;28,7;24,7;62;38;1,2;
2015-02-08;3,6;7,7;0;32,2;27,7;24,7;72;56;1,2;
2015-02-09;2,6;10;0;35,7;30,1;24,7;53,5;32;1,9;
2015-02-10;1,9;4,9;0;35;29,8;25,1;61,5;50;1,7;
2015-02-11;,7;2,1;0;32;27,1;24,9;81,3;63;1,4;
2015-02-12;,4;6;0;34,5;28,2;23,5;61;52;1,3;
2015-02-13;1,1;9,7;0;36,5;29,9;23,6;63;57;1,7;
2015-02-14;2;7,5;0;34,1;28,7;24,5;68;62;1,4;
2015-02-15;1,1;6,7;,4;34,7;28,6;23,9;63;69;1,8;
2015-02-16;1,6;5;11,6;32,4;27,4;24,2;68;61;,9;
2015-02-17;1,7;8,9;0;34,1;28,6;24,7;68;62;2;
2015-02-18;3,7;2,1;0;32,8;28,3;24,9;70;68;,9;
2015-02-19;1,8;0;133,4;29,6;25,6;22,1;92;71;1;
2015-02-20;,2;2,5;0;30,2;25,8;23,2;89;80;1,9;
2015-02-21;2;1,2;0;30,6;25,5;23,7;92;83;1,9;
2015-02-22;,4;0;9,8;27,2;24,1;21,5;80;91;3,8;
2015-02-23;,5;0;18,6;28,6;24,7;21,8;null;80;1,2;
2015-02-24;1,5;null;5,1;32,8;26,5;21,6;null;85;1,5;
2015-02-25;1,4;null;,5;33,1;29,1;23,2;92;65;1,8;
2015-02-26;null;null;34,2;33,1;26,7;22,6;68;64;1;
2015-02-27;1,8;null;0;33,5;27,5;23,7;78;69;2;
2015-02-28;1;null;0;33,3;26,5;24,1;83;77;1,6;
2015-03-01;null;null;null;null;null;null;null;82;null;
2015-03-02;null;null;null;null;null;null;null;null;null;
2015-03-03;null;null;null;null;null;null;null;null;null;
2015-03-04;null;null;null;null;null;null;null;null;null;
2015-03-05;null;null;null;null;null;null;null;null;null;
2015-03-06;null;null;null;null;null;null;null;null;null;
2015-03-07;null;null;null;null;null;null;null;null;null;
2015-03-08;null;null;null;null;null;null;null;null;null;
2015-03-09;null;null;null;null;null;null;null;null;null;
2015-03-10;null;null;null;null;null;null;null;null;null;
2015-03-11;null;null;null;null;null;null;null;null;null;
2015-03-12;null;null;null;null;null;null;null;null;null;
2015-03-13;null;null;null;null;null;null;null;null;null;
2015-03-14;null;null;null;null;null;null;null;null;null;
2015-03-15;null;null;null;null;null;null;null;null;null;
2015-03-16;null;null;null;null;null;null;null;null;null;
2015-03-17;null;null;null;null;null;null;null;null;null;
2015-03-18;null;null;null;null;null;null;null;null;null;
2015-03-19;null;null;null;null;null;null;null;null;null;
2015-03-20;null;null;null;null;null;null;null;null;null;
2015-03-21;null;null;null;null;null;null;null;null;null;
2015-03-22;null;null;null;null;null;null;null;null;null;
2015-03-23;null;null;null;null;null;null;null;null;null;
2015-03-24;null;null;null;null;null;null;null;null;null;
2015-03-25;null;null;null;null;null;null;null;null;null;
2015-03-26;null;null;null;null;null;null;null;null;null;
2015-03-27;null;null;null;null;null;null;null;null;null;
2015-03-28;null;null;null;null;null;null;null;null;null;
2015-03-29;null;null;null;null;null;null;null;null;null;
2015-03-30;null;null;null;null;null;null;null;null;null;
2015-03-31;null;null;null;null;null;null;null;null;null;
2015-04-01;null;5,6;0;32,4;26,9;21,4;84;72;1,3;
