Nome: PIRIPIRI
Codigo Estacao: 82480
Latitude: -4.2761111
Longitude: -41.79444444
Altitude: 157.89
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;9,8;0;35,6;28,1;22;62,5;33;2,7;
2015-01-02;17,6;8;0;36;28,4;23;59,3;37;2;
2015-01-03;null;5,1;4,9;32,2;25,8;22;79,8;60;1,6;
2015-01-04;null;5,2;,4;33,4;25,4;22;76,5;33;2,7;
2015-01-05;null;8,5;15,7;34,2;27,2;21;62;41;1,5;
2015-01-06;null;7,7;0;35,2;28,2;22;59,3;43;1,3;
2015-01-07;null;8,6;0;36,2;28,5;23;59,3;28;2,2;
2015-01-08;null;9,9;0;36,2;29,3;24;54,8;34;3,3;
2015-01-09;null;9,5;0;37;29,2;22,2;50,8;30;2,2;
2015-01-10;null;8,9;0;36,4;28,2;24,8;65,5;35;2,1;
2015-01-11;null;9;1,8;36,8;28,9;23;56,5;32;1,7;
2015-01-12;null;9,5;1,3;35,6;29,6;22,6;51,3;39;2,8;
2015-01-13;null;11,2;0;36,8;30,4;23,6;43;36;2,1;
2015-01-14;null;5,3;0;35,4;29;23,6;52,3;32;1,7;
2015-01-15;null;10,5;0;36,4;29;22,8;55;33;2,5;
2015-01-16;null;7,4;0;36,4;28,7;22,2;54,5;37;2,3;
2015-01-17;null;9,5;0;36,8;29;22,4;62,3;35;1,9;
2015-01-18;null;8,5;0;38,4;28,6;23,2;63,8;28;1,5;
2015-01-19;null;7,4;,2;35,2;28;23,8;63;36;2,6;
2015-01-20;null;9,1;0;36,8;29,4;22,2;50;30;2,9;
2015-01-21;null;2,1;0;33,8;25,5;21,6;73,5;45;1,3;
2015-01-22;null;3;27,2;33,2;26,1;21,6;78,8;49;,8;
2015-01-23;null;4,7;4;34;27,7;23,2;61;42;1,5;
2015-01-24;null;10,2;0;35,6;29;23,6;54,8;35;2,9;
2015-01-25;null;,9;0;33;28,2;23,4;55;44;1,1;
2015-01-26;null;9,9;0;36,6;28,9;23,4;52,8;31;3;
2015-01-27;null;11;0;36,6;29,2;22;56;41;2,4;
2015-01-28;null;10,7;0;38,2;29,7;23,6;52,5;28;2,4;
2015-01-29;null;9,5;0;37,6;29,7;22,4;49;31;1,7;
2015-01-30;null;9,6;0;37,8;29,6;23,4;49,8;29;2;
2015-01-31;null;10,6;0;38;29,8;22,4;50,3;27;1,7;
2015-02-01;null;9,2;0;37,2;29,3;23,2;57,5;35;1,8;
2015-02-02;null;3,1;0;35;26,9;23,6;76;49;1,3;
2015-02-03;null;3,2;15,2;32;25,2;22,6;84,8;63;1,7;
2015-02-04;null;4,8;10;33,4;25,1;22,2;81;50;1,1;
2015-02-05;null;3,7;24,4;33;26,6;22;78,5;57;1,4;
2015-02-06;null;10,3;0;34,8;28,1;22,8;64,3;41;2,2;
2015-02-07;null;6;0;34,4;28,2;22,8;61;43;1,3;
2015-02-08;null;7,8;0;35,6;29;22,8;57,5;37;2,1;
2015-02-09;null;10,3;0;37;30,5;24,2;41,5;33;2,5;
2015-02-10;null;7,2;0;36;28,2;23;65,8;40;1,3;
2015-02-11;null;4,9;0;34,8;28,8;24,2;59,8;40;1,5;
2015-02-12;null;8,4;0;37,4;29,5;23,2;56,3;34;,7;
2015-02-13;null;8,4;0;37,2;28,6;23;64,3;36;1,4;
2015-02-14;null;6,8;,1;36;27,7;23,2;69,8;39;1,7;
2015-02-15;null;8,6;5,4;35,6;28,9;24,6;59,3;37;1,8;
2015-02-16;null;3,8;0;35,8;27,5;24,2;71,8;36;,8;
2015-02-17;null;5,2;0;35,8;28,2;24;67,3;43;1,3;
2015-02-18;null;2;0;30,6;25,9;22,4;87;71;3,2;
2015-02-19;null;1,3;48,4;29,8;24,6;22,4;89,8;71;2;
2015-02-20;null;0;2,9;27,2;24,8;23;88,3;85;1;
2015-02-21;null;,9;,2;29,8;24,4;21,8;83,3;67;1,1;
2015-02-22;null;4;22,1;31,2;24,6;21,2;83,8;55;,9;
2015-02-23;null;2,2;17,2;29,4;24,1;21,4;88,5;71;,9;
2015-02-24;null;6,8;11,6;33;25,6;21,8;83,8;66;,8;
2015-02-25;null;4,3;1,6;32,4;27,1;22,4;68;50;2,3;
2015-02-26;null;10,2;0;34,8;27,3;22,8;69;39;2;
2015-02-27;null;6,1;0;32,8;26,3;21,8;78,5;70;1,6;
2015-02-28;null;3,2;6,5;30;24,8;21,4;85,5;69;1,1;
2015-03-01;2;5,6;0;32,4;24,4;21,2;83,5;55;,7;
2015-03-02;2,4;7,4;34,8;32,4;25,4;21;78;56;2,1;
2015-03-03;1,9;5,4;2,8;33,2;26,4;23;79,5;57;1,3;
2015-03-04;3,7;6,3;0;31,8;25,2;22;85,3;71;1,3;
2015-03-05;1,9;7,3;25,1;32,6;25,2;22;87,3;69;1,3;
2015-03-06;2,3;6,2;9,2;32,6;25,5;21,6;83,8;56;1,4;
2015-03-07;1,4;8;5,5;32,6;26,3;23,4;82;57;2;
2015-03-08;2,6;5,9;0;32;25;21,6;91;80;,9;
2015-03-09;1,4;8,9;47,2;33;26;21,8;82,3;52;1,8;
2015-03-10;3,1;3,3;10,2;32;26;23,4;86;64;1,2;
2015-03-11;1,6;10,1;12,3;33,6;27,6;23;64,8;40;1,5;
2015-03-12;null;9,1;0;34,2;27,7;22,8;64,5;39;1,1;
2015-03-13;3,9;9,6;0;33,4;27,6;22,6;69,8;50;1,3;
2015-03-14;5,1;10,4;0;34,8;27,4;23;69,3;40;2;
2015-03-15;3,8;9,6;1,1;34;27,5;23,4;70,5;47;,9;
2015-03-16;4,2;8,4;0;35,8;28,2;24;69,3;39;1,9;
2015-03-17;2,9;3,3;0;33,4;27,5;23,6;72,5;46;1,5;
2015-03-18;4,1;5,8;1,8;34;27,9;23,4;65,5;50;2,1;
2015-03-19;4,5;8,6;0;35,8;27,7;23,6;70,5;39;2,4;
2015-03-20;4;,4;0;31;25,8;23,8;84;58;1,7;
2015-03-21;1,5;3,4;12,7;31,2;24,9;21,8;88,8;69;1,8;
2015-03-22;1,5;1,4;24;29,6;24,5;22;89,8;75;1,2;
2015-03-23;,7;1,7;0;30,2;26;23,6;76,8;72;,7;
2015-03-24;1,8;5,8;0;33,2;26,5;23,8;83;57;1,7;
2015-03-25;2,7;4,7;29;30,2;25;22,8;93;85;,9;
2015-03-26;1,1;7,5;41,4;32,4;25,6;23;85;59;1,3;
2015-03-27;1,9;5,2;52,3;31,8;25,6;22,8;91,5;85;2,4;
2015-03-28;1,8;7,1;36;32,4;27,2;23,4;77,3;59;1,3;
2015-03-29;2,3;9,3;0;33,2;26,5;23,2;82,3;61;1,4;
2015-03-30;2,7;5,2;2,4;31,4;25,8;23,4;92,5;85;,9;
2015-03-31;1;5,9;18,6;30,8;25,7;23,6;89;81;,8;
2015-04-01;1,5;3,6;5,2;30,6;25,2;22,4;90,3;77;2,3;
2015-04-02;1;3,4;0;30;24,8;23;89,3;72;1,7;
2015-04-03;1,5;6,3;7,4;31;25,2;22,2;85,3;63;1,4;
