Nome: GUARAMIRANGA
Codigo Estacao: 82487
Latitude: -4.26138888
Longitude: -38.9311111
Altitude: 865.44
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2019-08-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;1,8;5,2;,5;26,6;22,4;19,9;83;71;2,7;
2015-01-02;1,6;7,7;0;27,6;22,5;19,1;78,5;65;2,9;
2015-01-03;2;,6;4,8;25;21,3;19,5;88,5;81;2,2;
2015-01-04;1,6;,1;58;21,2;19,8;19,1;96;91;2,1;
2015-01-05;,2;4,7;12;25,2;21;18,3;82,3;69;2,7;
2015-01-06;1,5;4,6;3,4;25,6;21,4;19,5;88;74;3;
2015-01-07;1,5;3;8,8;24,6;21,1;19,3;88,8;77;2,9;
2015-01-08;1,4;5,3;1,2;25,4;21,4;19,1;86,3;75;3,3;
2015-01-09;2;6,9;0;27,2;22,3;19,1;75,3;57;3,4;
2015-01-10;1,9;7,1;1;27,2;21,6;18,9;82,8;62;3,1;
2015-01-11;2,2;4,2;0;25,8;21,5;19,5;82,5;70;3,5;
2015-01-12;1,9;6;0;26,2;22;19,3;83,8;71;3,6;
2015-01-13;1,6;5;1,2;25,2;21,5;19,1;86,5;76;3,3;
2015-01-14;1,4;7,1;,8;26;21,5;18,9;81;69;3,5;
2015-01-15;2,1;8,3;,4;27,4;22,1;19,1;73,8;58;3,7;
2015-01-16;2,7;6,1;10;26,2;21,9;19,3;81,8;63;2,8;
2015-01-17;2;7,1;0;27,2;22,3;19,5;82,8;66;3,1;
2015-01-18;2;,2;12;24,6;21,1;19,7;90,8;81;3,9;
2015-01-19;,8;3,6;1,2;24,6;21,2;19,5;89,5;80;3,2;
2015-01-20;1,5;6,8;0;26,6;22,1;19,1;76,5;63;3,3;
2015-01-21;2,3;3;0;25,6;21,9;19,9;86,5;76;2,8;
2015-01-22;,7;4,6;2,8;23,8;21,1;19,5;88,5;81;2,9;
2015-01-23;1,5;4;0;25,2;21;18,9;85,8;69;3,8;
2015-01-24;1,5;5,3;0;25,6;21,8;19,3;85,3;67;3,3;
2015-01-25;2,5;,7;6,6;24,4;21;19,3;87,8;77;3,3;
2015-01-26;1;6,4;0;27;22;19,3;78,5;63;2;
2015-01-27;2,2;4;8,2;25,4;21,6;19,5;83,8;76;3,3;
2015-01-28;1,8;7,1;0;27;22,2;19,3;81,8;64;3,1;
2015-01-29;2;6,6;0;26,8;22,1;19,5;74,3;60;2,9;
2015-01-30;2;4,1;2,4;25,2;21,6;19,7;84,5;75;3;
2015-01-31;1,4;5,8;0;26;22;19,5;83,8;71;3,1;
2015-02-01;1,4;5,6;,5;27;22,4;20,1;84;65;4;
2015-02-02;1,7;2,9;21,2;26,4;22,2;20,5;87,3;71;3;
2015-02-03;1,1;,9;4,4;23,6;21,6;19,9;91;88;2,1;
2015-02-04;,7;0;1,4;22,6;21,2;20,1;91,8;91;1,6;
2015-02-05;1;1,9;7,6;25,6;21,9;19,9;86,8;79;2,8;
2015-02-06;1,1;6,1;0;26,6;22,3;19,9;74,8;58;3,3;
2015-02-07;1,7;3,8;0;26,4;22,1;19,7;83,8;73;3;
2015-02-08;1,6;4,1;0;26,6;22,2;19,7;82;67;3,4;
2015-02-09;2,2;8,8;0;28;23;19,7;75,8;60;3,1;
2015-02-10;3,6;5,7;1,3;27,4;22,7;19,7;82;68;3,2;
2015-02-11;1,6;5,9;0;27;22,5;19,9;80;65;3,2;
2015-02-12;2,2;5,5;0;26,8;22,2;19,7;82;67;3,7;
2015-02-13;2,8;6,8;0;27,2;22,7;19,9;80,5;63;3,2;
2015-02-14;2;4,6;1,2;27,2;22,4;20,1;82;70;3,1;
2015-02-15;1,9;7;0;27;22,7;19,7;78,8;64;3;
2015-02-16;2;,1;0;23;21,3;19,9;92,5;82;3,2;
2015-02-17;1;2,4;6,4;24,8;21,3;18,9;91,8;83;3,4;
2015-02-18;1,1;1,2;0;24;21,3;19,7;94;88;2,8;
2015-02-19;,5;1,7;9,6;24;21,2;19,7;91,3;87;1,3;
2015-02-20;1;,9;26;24;21,1;18,9;93,8;87;2;
2015-02-21;1,1;0;1,4;22,8;21,3;19,7;92,5;93;,9;
2015-02-22;,9;0;2,8;22,2;20,9;19,5;91,5;90;2,1;
2015-02-23;,4;0;5,7;22;20,5;19,5;96;91;3,3;
2015-02-24;,6;0;19,6;21,8;20,4;19,5;92,8;91;2,9;
2015-02-25;,6;0;59,4;23,4;21;19,7;95,8;92;3;
2015-02-26;,4;6,1;5,4;24,8;21,4;19,1;84,3;74;2,2;
2015-02-27;1;,8;0;24,8;22;19,7;88,8;81;2,5;
2015-02-28;1,8;1,4;2,4;24;21,8;19,7;88,5;84;1,6;
2015-03-01;1,2;,5;3;24,2;21,6;19,9;90,5;87;1,4;
2015-03-02;,9;1,5;0;24,8;21,7;19,7;89;81;3,4;
2015-03-03;,4;4,9;12;25;21,6;19,1;83,8;71;3,2;
2015-03-04;1,8;5,1;0;26,2;22,2;19,7;78,8;62;2,2;
2015-03-05;1,3;,6;1,2;24,6;22;19,7;91;82;,7;
2015-03-06;1;0;1,8;22,4;20,6;19,5;95,5;91;2,5;
2015-03-07;,7;0;12,2;23,6;21,1;19,3;90,3;84;2,6;
2015-03-08;,5;0;6,6;23,2;21;19,7;94;88;2,5;
2015-03-09;,6;0;3;23;20,7;19,5;96,3;94;3,3;
2015-03-10;,7;0;39,2;22;20,6;19,5;94,8;95;3,5;
2015-03-11;,6;2,9;12,2;24,4;21,5;19,3;88,8;81;3,3;
2015-03-12;,7;0;3;23,6;21,2;19,5;92,5;86;3,6;
2015-03-13;,7;6,7;1;24,8;21,6;19,3;89,3;79;3,4;
2015-03-14;1,8;5,3;2,2;26,2;22,1;19,5;85,5;73;2,1;
2015-03-15;1,2;5,7;0;26,2;21,5;19,7;89,3;73;3;
2015-03-16;1,2;1,4;43,2;24,4;21,6;19,5;92,8;92;3,2;
2015-03-17;,6;2,3;7,6;24,8;21,8;19,7;90,3;79;3,4;
2015-03-18;1,1;4,8;0;25;21,7;19,3;88,8;77;3,9;
2015-03-19;1,6;1,4;1,4;24,8;21,9;20,1;89;83;1,8;
2015-03-20;1;4,8;3,8;25,6;22,2;19,7;83,3;75;1,9;
2015-03-21;1;1,6;0;24,4;21,4;19,7;94,5;86;3,2;
2015-03-22;1;1;59,2;24;21,3;19,3;90,3;87;,7;
2015-03-23;,5;,3;58,4;23,6;21,2;18,9;91,5;86;1,6;
2015-03-24;,6;,2;13,8;23,8;21;18,9;86,8;86;2,2;
2015-03-25;1,2;3,3;1,2;25;21,4;19,5;88,8;83;2,1;
2015-03-26;,8;4,8;1;25,8;22,6;19,7;87,8;82;1,5;
2015-03-27;,9;,3;5,2;24;21,4;19,7;91,8;89;2,1;
2015-03-28;,9;2,3;11,4;24;21,4;18,9;90;83;1,8;
2015-03-29;1;,7;1;24,2;21,8;19,9;94,8;92;1,7;
2015-03-30;,6;0;29;23,2;21,7;19,9;95;91;2,4;
2015-03-31;,2;0;6;23,4;21,8;19,9;93,5;92;,7;
2015-04-01;,4;1,7;1,4;24;21,8;19,7;90,8;85;1,2;
2015-04-02;,9;2,1;0;25,2;22,5;19,7;90;87;,8;
2015-04-03;1,1;2,1;0;25;21,7;20,1;94;92;,9;
2015-04-04;,3;0;19;24;20,8;19,3;94,3;93;1,8;
2015-04-05;,6;2,3;24,8;23,4;20,8;18,3;91,8;91;1,4;
2015-04-06;,7;6;4;25,2;22,1;18,3;89,5;81;2;
2015-04-07;1,5;5,9;0;26,2;23,2;20,5;88,5;84;0;
2015-04-08;1;3,1;0;25,6;23;20,9;87,8;90;1,1;
2015-04-09;1,2;0;1;23,4;21,8;20,9;93,8;91;1;
2015-04-10;,7;1,9;25;24,2;21,9;20,5;90,3;82;2,2;
2015-04-11;,5;,8;1,8;24;21,8;19,9;93,3;91;3,2;
2015-04-12;,8;1,6;1;24,2;21,7;19,7;90,3;84;2,9;
2015-04-13;1;0;28;22,4;20,9;20,1;94,5;91;3,2;
2015-04-14;,8;0;18,8;23,2;20,9;19,7;91,8;91;2,9;
2015-04-15;,2;3;2,4;24,2;21,4;19,5;92,3;84;2,2;
2015-04-16;,8;6,7;0;25;22,2;19,9;83;74;2,4;
2015-04-17;1,6;2,6;0;23,2;21,8;20,1;87,5;84;2,1;
2015-04-18;,6;3,6;6,2;25;21,9;19,9;87,3;78;2,2;
2015-04-19;1;2,1;7,2;24,4;21,9;20,5;90,5;85;2,6;
2015-04-20;,5;2,1;0;24;21,9;19,9;91,8;88;1;
2015-04-21;1,1;3,3;3,8;25;22,2;20,1;88,5;88;,5;
2015-04-22;1,2;3,4;3;24,6;22;19,9;92,8;87;3,1;
2015-04-23;,3;0;6;22;20,5;19,5;96,8;94;3;
2015-04-24;,4;0;18,4;21,8;20,4;19,3;96;93;3,5;
2015-04-25;,7;0;5,6;23,6;21,2;19,3;94;92;3,5;
2015-04-26;,8;3,6;7,8;24,4;21,8;20,1;90;86;3,6;
2015-04-27;,2;5,8;0;24;21,5;19,7;90;87;3,5;
2015-04-28;,8;2,6;0;24;21,7;19,9;91,5;89;3,2;
2015-04-29;1;,8;1;23,2;21;19,9;93,5;91;3,3;
2015-04-30;,6;2,8;4,2;23,8;21,4;19,9;92;90;2,7;
2015-05-01;,8;6,2;0;24,2;22;19,7;null;89;2,7;
2015-05-02;,9;3,3;2;24,2;21,8;19,9;null;93;3,7;
2015-05-03;1;5,6;0;24,8;21,9;19,9;81;87;3,6;
2015-05-04;1,2;5,9;0;24,6;21,6;19,7;96;93;3,3;
2015-05-05;1,4;4,5;0;24,8;21,8;19,9;87;87;2,5;
2015-05-06;1;8;0;25,2;22,4;19,9;89;83;1,7;
2015-05-07;1;4;3,8;24,4;21,6;20,1;90;88;3,3;
2015-05-08;1;4,3;0;24,8;22,1;20,1;94;87;3,3;
2015-05-09;,6;2,1;26;23,4;21,3;20,5;92;94;3,2;
2015-05-10;1;5,4;5,4;24;21,3;19,3;95;89;3,5;
2015-05-11;1;4,5;6,4;23,8;21,2;19,7;95;93;3,2;
2015-05-12;1;8,7;0;24,6;21,8;19,3;87;91;3,3;
2015-05-13;1,2;7,2;0;25;21,7;19,7;89;85;3,3;
2015-05-14;1,2;5,5;0;24,6;21,4;19,5;90;87;4,1;
2015-05-15;1,2;8,2;0;24,8;21,6;19,3;91;89;2,8;
2015-05-16;1,4;8,3;0;25,6;22,2;19,5;86;83;3,6;
2015-05-17;1,5;4,5;1,3;24,8;21,8;19,9;86;88;3,1;
2015-05-18;1,2;6;0;25,2;21,5;19,9;87;83;2,9;
2015-05-19;1,3;7,5;0;25,6;22;19,7;82;83;3,3;
2015-05-20;1,4;1,2;10;24,2;21,5;20,1;95;79;3,3;
2015-05-21;,8;4,3;6,2;25,2;21,8;19,9;91;94;3,8;
2015-05-22;1,1;5;0;24,6;21,6;19,9;91;89;4;
2015-05-23;1;1,7;8,2;24,4;21,2;19,5;92;89;3,3;
2015-05-24;1;4,6;6,8;25;21,6;19,5;93;91;3,2;
2015-05-25;,9;3,1;1,8;24,4;21,7;19,9;95;91;4,2;
2015-05-26;,8;,8;1;24;21,6;19,9;93;94;3,5;
2015-05-27;1;3,9;6;24,2;21,4;19,9;92;93;3,5;
2015-05-28;1;2,8;5;24,4;21,6;19,9;89;89;3,3;
2015-05-29;1,6;6,2;,8;24,6;21,3;19,7;87;87;3,3;
2015-05-30;1,4;4,4;0;25;21,9;19,7;88;86;3,6;
2015-05-31;1,4;5,2;16,2;24,6;21,7;19,1;89;83;3,4;
2015-06-01;1,8;8,6;0;25,6;22,2;19,1;76;66;3,4;
2015-06-02;1,1;3,4;1;24,2;21,5;19,3;90,5;78;2,4;
2015-06-03;,7;2,4;7,8;24,8;21,7;19,5;90,5;82;2,5;
2015-06-04;1,3;0;7,8;23,2;21,1;20,1;96,8;91;3,2;
2015-06-05;,6;3,8;19,2;24,2;21,4;19,3;86,5;76;3,4;
2015-06-06;,9;2,6;1,2;24,2;21,4;19,3;91;84;3,3;
2015-06-07;1,5;7,6;2,8;25,2;21,8;19,3;86,8;80;3,4;
2015-06-08;1,2;0;25;22,2;20,3;19,1;95,8;89;3,6;
2015-06-09;,7;2,6;13;23,2;20,6;18,3;89;83;2,9;
2015-06-10;1,3;4,3;0;24,2;21,5;19,3;91,3;85;3,3;
2015-06-11;1,2;7;0;24,8;21,8;19,9;85,8;79;3,4;
2015-06-12;1,2;6,5;0;24,8;21,6;19,1;85,8;76;3,3;
2015-06-13;1,6;7,4;0;24,8;21,4;18,7;83,5;69;2,9;
2015-06-14;2;,9;0;23,2;20,7;19,1;92,3;89;3,3;
2015-06-15;1,2;5,3;1,2;24,4;21,4;19,3;85,3;79;3,4;
2015-06-16;1,2;7,1;0;24,8;21,4;18,7;86,5;78;3;
2015-06-17;2,1;8,2;0;24;21;17,7;82,8;74;3,3;
