Nome: JAGUARUANA
Codigo Estacao: 82493
Latitude: -4.85361111
Longitude: -37.77722221
Altitude: 16.57
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2019-04-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;6,7;9;0;34,4;28,3;23,8;67,5;48;3,6;
2015-01-02;4,2;10,1;0;34,7;28,8;24,8;65,3;48;4,3;
2015-01-03;6,7;8;0;34,3;28,1;24,9;72;49;4,6;
2015-01-04;4,9;2,4;24,9;30,1;25,7;22;83,5;68;1,2;
2015-01-05;1,7;9,6;1,3;32,6;27;22,4;76,3;59;3,1;
2015-01-06;4,9;9,1;0;34,3;28,5;24;76,5;63;4,4;
2015-01-07;8,4;9;1,4;33,6;28,1;24,7;68;50;3,6;
2015-01-08;4,7;10,8;0;34,7;28,3;23;67,3;51;3,3;
2015-01-09;5,5;9,2;0;35,4;28,3;22,2;67;52;3,9;
2015-01-10;8,6;11,3;0;36,1;28,9;23,4;66,8;52;4,2;
2015-01-11;8,9;11,3;0;34,2;28,6;23,8;67;57;5,3;
2015-01-12;8,1;11;0;35,5;28,9;24;67,5;51;4,2;
2015-01-13;7,8;8,8;0;34,1;28,7;24,4;67;51;4,5;
2015-01-14;7,6;9,8;0;34,7;28,4;23,4;66,5;55;4,1;
2015-01-15;6,4;11;0;35,3;28,3;22,4;66,3;50;4,1;
2015-01-16;4;10,8;0;35,5;28,4;23,6;73,5;55;4,3;
2015-01-17;6,7;11,2;0;35,6;28,9;23,9;66,3;49;5,2;
2015-01-18;8,8;7,8;0;34,6;29;25,8;73,8;65;5,2;
2015-01-19;6,1;10,6;0;34,4;28,6;24,8;72;56;4,6;
2015-01-20;7;10,8;0;35,3;28,5;23,4;68,3;52;4;
2015-01-21;7,8;7,5;0;34,2;28,4;24,3;70,8;56;4,4;
2015-01-22;6,3;8,2;0;32,8;27,4;24,8;77,3;63;3,9;
2015-01-23;5,5;6,6;0;33,1;27,7;23,4;74;59;3,1;
2015-01-24;6;10,7;0;34,4;28,4;24;70,8;55;4,4;
2015-01-25;6,6;10;0;34,2;27,9;23,8;72;58;3,9;
2015-01-26;6,2;3,9;0;34,7;27,7;23,6;70,5;53;3;
2015-01-27;6,6;11,1;0;34,9;28,3;23,8;70;56;4,1;
2015-01-28;6;11;0;35,9;28,5;23,4;65,8;49;3,7;
2015-01-29;7;11,1;0;34,8;28,3;24;68,8;55;3,6;
2015-01-30;5,2;10,9;0;35,1;28,7;24,6;70;51;3,6;
2015-01-31;5,7;9,4;0;35,5;28,7;23,6;70;52;4;
2015-02-01;5,1;9,5;0;35,1;29;24,4;69,5;55;4;
2015-02-02;5;8,7;0;35,1;29;23,6;68,5;52;4,1;
2015-02-03;7,8;8,1;0;35,2;29,2;25,4;69,5;52;3,7;
