Nome: MANICORE
Codigo Estacao: 82533
Latitude: -5.81777777
Longitude: -61.29083333
Altitude: 40.1
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2022-06-20
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;4,8;32;26,5;24,1;92,5;92;,7;
2015-01-02;null;null;12,8;31,6;26,3;23,9;91,5;88;0;
2015-01-03;null;null;4;31,8;26,5;23,7;91,5;85;,3;
2015-01-04;null;null;6,8;null;null;24,1;null;73;1;
2015-01-05;null;null;0;36,3;26,8;22,7;86,3;66;,7;
2015-01-06;null;null;,8;33,6;26,6;23,7;83,3;60;1;
2015-01-07;null;null;,4;33;26,9;23,9;83,3;76;,7;
2015-01-08;null;null;1,8;33,6;27;23,3;84,5;74;,7;
2015-01-09;null;null;21,4;32,8;26,7;23,7;86,8;69;1;
2015-01-10;null;null;8;33;27,4;23,9;84;65;,7;
2015-01-11;null;null;10,6;32,4;26,7;23,7;86,5;68;,7;
2015-01-12;null;null;8;33,4;27,4;24,1;84,3;68;,7;
2015-01-13;null;null;0;32;25,7;22,5;89,8;77;,7;
2015-01-14;null;null;14,2;33;27,1;23,3;84,8;71;1;
2015-01-15;null;null;7,4;29,3;25,5;23,3;88,8;83;,7;
2015-01-16;null;null;0;33;26,1;23,5;88,8;83;1;
2015-01-17;null;null;0;31,8;26,3;23,1;84;76;,7;
2015-01-18;null;null;0;32,2;26,3;24,4;86,5;69;1;
2015-01-19;null;null;2;32,4;26,1;23,5;85;67;,7;
2015-01-20;null;null;2,2;31,8;26,2;23,9;86;90;,5;
2015-01-21;null;null;0;30,9;26;23,3;87,5;76;,7;
2015-01-22;null;null;2,2;32,8;26,5;23,3;84;65;,7;
2015-01-23;null;null;34,4;32,8;26,1;22,9;88;83;,7;
2015-01-24;null;null;56,6;32,8;25,5;22,9;90,3;70;,7;
2015-01-25;null;null;29,4;32;25,6;22,9;88;67;,3;
2015-01-26;null;null;10,6;32,4;26,5;23,1;84,5;65;,7;
2015-01-27;null;null;1,6;32,4;26,9;23,5;84;66;,7;
2015-01-28;null;null;,8;31,8;27;23,7;83,3;70;,7;
2015-01-29;null;null;4,6;31,4;26,6;23,9;86;68;,3;
2015-01-30;null;null;5,8;null;null;23,6;null;91;1;
2015-01-31;null;null;4,2;33,2;26,7;24,5;83;64;1;
2015-02-01;null;null;12,8;28,3;24,5;23,1;90;88;,5;
