Nome: MARABA
Codigo Estacao: 82562
Latitude: -5.36611111
Longitude: -49.12527777
Altitude: 101.66
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2025-07-03
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2,6;9,7;0;33,3;28,4;23,6;70,3;50;1,1;
2015-01-02;3,5;7,9;0;33,3;27;23,2;75,3;59;1,9;
2015-01-03;2,3;9;,2;33,7;28,4;23,8;71,8;62;2,1;
2015-01-04;3,1;4,9;0;33,1;27,9;23,5;74;57;1,5;
2015-01-05;2,2;9,7;,3;32,7;26,9;22,4;70,5;54;1,3;
2015-01-06;3,4;5,7;0;31,6;26,8;22,3;74,8;60;1;
2015-01-07;2,4;8,5;0;33,4;25,8;22,7;80,5;58;1,8;
2015-01-08;2,4;4,8;7,6;31,6;26,1;21,3;78,3;67;1,3;
2015-01-09;2,2;6,6;0;33,3;27,9;23,3;76;59;0;
2015-01-10;2;1,6;23;30;26;22,5;78,3;76;0;
2015-01-11;1,4;4,1;0;31,8;26,1;22,4;80;65;0;
2015-01-12;2,1;6,5;,1;32,5;25,1;21,4;81,5;61;0;
2015-01-13;2,1;7,7;58;31,8;25,3;21,4;76,5;60;0;
2015-01-14;1,7;1,3;4,4;29;25,1;21,8;80,5;71;0;
2015-01-15;1,7;8,8;0;32,4;26,6;22,4;75,5;60;0;
2015-01-16;2,2;0;32,2;28,2;24,9;22;87,3;80;0;
2015-01-17;,8;2;0;30,1;25,4;22,8;86,5;74;0;
2015-01-18;2,2;3,8;,7;30,2;26,5;22,6;81,3;72;0;
2015-01-19;,7;1,2;41;29,1;23,9;22,8;89;73;0;
2015-01-20;1,3;5,7;19;31;24,6;21,8;86,8;65;0;
2015-01-21;1,5;4,1;2;31,3;25,9;22;76,3;63;0;
2015-01-22;1,6;3,1;8,4;31,5;26,2;21,4;80,8;64;0;
2015-01-23;1,8;,4;42,6;27,4;24,3;21,3;94,5;84;0;
2015-01-24;,2;,1;11,9;28,7;24,7;21,4;89,5;79;0;
2015-01-25;,8;3,9;39,1;31,4;24,8;21,2;90,3;71;0;
2015-01-26;1,3;2,6;20,2;30,8;25,8;21,2;84,5;73;0;
2015-01-27;,7;9,8;0;32,7;27,6;22,4;75,8;59;0;
2015-01-28;3,6;9,2;0;33,5;27,9;23,4;70,8;59;0;
2015-01-29;2,3;7,3;0;33,9;28,6;23,8;73,3;58;0;
2015-01-30;2,5;8,1;0;33,5;28,7;23,8;73,8;61;0;
2015-01-31;2,6;8,2;0;33,4;28,5;24,5;73,5;59;0;
2015-02-01;3;1,1;0;30;25;22,1;88,3;76;0;
2015-02-02;1,1;3,2;5,7;29,6;25,1;21;80,3;70;0;
2015-02-03;2,6;6,4;0;33,3;26,9;22,5;75,8;59;0;
2015-02-04;1,7;2,9;0;32,4;26,4;23,1;78,3;61;0;
2015-02-05;1,7;1,6;5,6;30,5;25,7;22,9;87,3;80;0;
2015-02-06;1,5;3,8;,2;31;26,8;22,9;80,5;67;0;
2015-02-07;1,9;0;18,2;27,7;24,7;22,4;94,5;86;0;
2015-02-08;,6;2,5;6,2;31,2;26,8;22,6;84,8;76;0;
2015-02-09;1,5;8,7;1,1;33,7;27,1;23,6;76,8;59;0;
2015-02-10;2,2;1,7;7;27;24,5;22,1;90,8;80;0;
2015-02-11;,7;8,8;18,3;33,1;27,4;22,2;76,5;57;0;
2015-02-12;2,5;3,3;0;32,7;27,9;23,7;78;61;0;
2015-02-13;2,1;9,8;0;33,7;29,3;25,2;71,8;59;0;
2015-02-14;2,8;8,6;12;33,3;27,7;22,2;77,8;60;0;
2015-02-15;2,3;3,2;5,2;32,2;26,4;23,2;83;70;0;
2015-02-16;1,5;3,6;,2;32,7;26,1;23,2;86,5;66;0;
2015-02-17;1,6;3,2;30,6;31,9;26,6;23,4;86,3;79;0;
2015-02-18;1,2;,1;45;29;24,9;23,1;93;81;0;
2015-02-19;1,2;3,3;24,6;30,6;25,6;22,2;87,5;70;0;
2015-02-20;1,1;1,4;7,4;29,3;24,7;22,2;88;74;0;
2015-02-21;,6;2,7;29,6;30;25,7;22,4;79,8;67;0;
2015-02-22;2,1;0;22;26,3;23,1;21,2;92,3;79;0;
2015-02-23;,5;9,5;3,4;30,8;26;20,8;75,8;60;0;
2015-02-24;2,4;3,4;2,6;30,1;25,5;21,8;85,8;81;0;
2015-02-25;1,5;7,6;0;32,7;27,7;23;80;63;0;
2015-02-26;2,4;2,8;23,4;31;26,7;23,3;85,8;69;0;
2015-02-27;1;0;5,6;30,5;25,7;23;95;87;0;
2015-02-28;,9;7,8;46,6;32,6;26,7;21,3;82,8;66;0;
2015-03-01;2;6,3;15,7;32,9;27,1;21,9;79,5;65;0;
2015-03-02;null;3,9;0;31,8;26,3;23,3;82,5;64;0;
2015-03-03;1,4;4;44,5;30,4;25,3;21,2;83,8;69;0;
2015-03-04;1,7;,4;5,4;29,7;25,6;22,4;87,5;75;0;
2015-03-05;1,1;4,4;0;32;25,2;22,8;86,8;66;0;
2015-03-06;1,4;4,9;21,2;31,2;25;22,5;88,8;69;0;
2015-03-07;1,6;1,5;8,6;30,2;25,5;22,2;87,3;70;0;
2015-03-08;,9;5;1,4;31,8;26,3;22,8;82,8;67;0;
2015-03-09;1,4;4,9;10,4;32,5;26,8;23,1;85,5;63;0;
2015-03-10;1,9;5,7;0;31,9;27,1;24;83,5;70;0;
2015-03-11;1,8;5,3;3,4;32,8;27,1;23,2;81,3;62;0;
2015-03-12;1,5;4,2;,5;31,5;27,7;23,8;76;62;0;
2015-03-13;2;2;28,4;30,2;26,4;23,1;88,5;79;0;
2015-03-14;,8;0;1,5;30,2;26,4;23;84,3;75;0;
2015-03-15;1,2;6,9;0;33,3;27,7;23,6;79;61;0;
2015-03-16;2,2;5,9;0;32,7;26,7;23,3;80;65;0;
2015-03-17;1,3;3,5;44,5;31,2;26,5;21,7;84,3;74;0;
2015-03-18;1,7;3,5;41,6;30,1;24,8;21,2;90,8;73;0;
2015-03-19;,7;1,7;2,1;32,9;26,9;22;80;64;0;
2015-03-20;1,8;,9;16;27,8;24;21,8;95;82;0;
2015-03-21;,6;0;7,4;27,8;24,9;22;90,8;81;0;
2015-03-22;,7;6,5;1;31,6;25,9;22,8;86,5;61;0;
