Nome: IMPERATRIZ
Codigo Estacao: 82564
Latitude: -5.53638888
Longitude: -47.47888888
Altitude: 126.33
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2025-07-01
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4;8,3;0;null;null;22,2;70,3;64;1;
2015-01-02;6,3;4,5;0;null;null;23,3;76,3;62;,7;
2015-01-03;6,4;7,3;1,1;null;null;21,2;84,3;65;,9;
2015-01-04;3,7;5,4;5,8;null;null;21,5;76,8;66;,3;
2015-01-05;4,5;,4;,1;null;null;22;71,8;63;,7;
2015-01-06;4,4;6,3;0;null;null;21,8;78,5;61;1;
2015-01-07;6,4;2,8;7,2;null;null;22,2;83,8;73;1,1;
2015-01-08;4;7,1;6,1;null;null;20,5;76,5;66;,2;
2015-01-09;3,2;8;0;null;null;21,7;76,5;62;,4;
2015-01-10;2,7;4,6;6,1;null;null;22,6;76,8;67;,5;
2015-01-11;4,8;1,8;4,5;null;null;22,5;73;62;,3;
2015-01-12;4,3;3,9;0;null;null;22,6;84;66;,9;
2015-01-13;5,3;6;4,3;null;null;22,2;73,5;62;,8;
2015-01-14;2,1;2,2;1,8;null;null;22,1;84,8;68;1,1;
2015-01-15;2,4;4,6;14,7;null;null;21;84;67;,4;
2015-01-16;2,8;,7;4,9;null;null;20,6;82,3;73;,9;
2015-01-17;2,9;1,9;0;null;null;21;80,3;71;,5;
2015-01-18;4,1;3,4;0;null;null;21,2;78,5;67;,4;
2015-01-19;5;,3;,1;null;null;21,4;82,8;73;,9;
2015-01-20;5,8;null;14;null;null;20,2;90,8;80;,5;
2015-01-21;1,1;null;41,5;null;null;19;84,5;58;,7;
2015-01-22;2;null;2,8;null;null;19,2;79;67;,7;
2015-01-23;2,9;null;0;null;null;21,2;79,3;68;,6;
2015-01-24;2,5;null;0;null;null;21,2;81,3;77;,6;
2015-01-25;2,5;null;,1;null;null;22;86;76;,7;
2015-01-26;2,6;null;4,2;null;null;21;86,8;71;,5;
2015-01-27;2,3;null;,4;null;null;21,2;73,5;65;,9;
2015-01-28;3,8;null;0;null;null;21,8;71,8;66;,7;
2015-01-29;6,4;null;0;null;null;22,2;75,8;67;1,1;
2015-01-30;1,3;null;0;null;null;24,4;69,3;62;1,2;
2015-01-31;3,9;null;0;null;null;23;65,8;52;1,2;
2015-02-01;2,8;null;,1;null;null;23,1;78;66;,2;
2015-02-02;5,5;null;,4;null;null;21,2;76;68;,3;
2015-02-03;3,7;null;0;null;null;21;73;61;,4;
