Nome: BARRA DO CORDA
Codigo Estacao: 82571
Latitude: -5.50638888
Longitude: -45.23722221
Altitude: 154.17
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2024-11-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5,4;8,2;1,2;32,9;26,9;22,1;78,5;63;1,9;
2015-01-02;4,5;6,9;0;33,2;27,6;22,8;71;55;1,8;
2015-01-03;5,1;4;0;31,3;26,5;23,5;83,5;72;1,1;
2015-01-04;2,7;8,6;1,2;34,5;28,3;22,9;65,3;48;1,7;
2015-01-05;6,6;5;0;33,8;27,3;22;64,3;47;2,3;
2015-01-06;7,4;8,7;0;34,4;27,5;21,7;67;47;1,8;
2015-01-07;5,9;,6;0;27,4;25;22,2;85,8;75;1,3;
2015-01-08;1,2;6,1;8,8;33,2;27,1;21,8;75,8;57;2;
2015-01-09;3,1;10,9;0;34,8;28,3;23,4;70;50;2,4;
2015-01-10;7,6;9,2;0;35,5;29,1;24,2;62,5;46;2,5;
2015-01-11;7,3;7,3;0;35,5;28,9;24,5;68,8;46;1,6;
2015-01-12;6,3;,8;2,8;31,4;26,5;22,9;82,3;68;2,4;
2015-01-13;2,4;4,7;,1;32,9;26,6;22,8;76,8;60;1,7;
2015-01-14;3,9;,6;,5;30,2;26,3;23,6;85,8;81;,9;
2015-01-15;2,1;3,2;0;33,9;27,8;23,6;70,3;52;2,1;
2015-01-16;5,6;3,4;0;33,4;27,5;24,2;75;54;1,7;
2015-01-17;4,4;4;,2;33,7;26,7;23,7;73,8;55;2;
2015-01-18;3,8;2,1;,6;32,3;24,7;21,9;90;83;,9;
2015-01-19;1,7;,1;9,4;28,6;24,4;21,7;86;77;1,3;
2015-01-20;2;1,6;1,3;29,1;23,9;21,2;95,5;86;1,4;
2015-01-21;1;1,1;34,1;30;24,7;21,2;89;73;,9;
2015-01-22;1,5;3,2;2,9;31,2;25,8;22,8;82,8;62;1,3;
2015-01-23;3,1;4,8;1,2;32,1;26;22,7;83,3;58;1,5;
2015-01-24;3;6,6;8,7;31,8;25,1;22,6;87;62;1;
2015-01-25;3,2;0;44,8;27;24;21,7;93;85;1,2;
2015-01-26;1;4,8;14,2;32,3;27,1;23,2;82;64;,9;
2015-01-27;3,4;9,4;0;34;27,6;23,2;75;50;1,2;
2015-01-28;5,3;10,5;0;34,4;28,2;22,8;70,5;53;1;
