Nome: TERESINA
Codigo Estacao: 82578
Latitude: -5.03472221
Longitude: -42.80138888
Altitude: 75.73
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2025-04-24
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2,9;6,8;9;34,7;27,6;21,5;70,8;50;1,8;
2015-01-02;3,7;5;0;33,6;27,5;23,5;78;55;,9;
2015-01-03;3,4;5,7;16;30,6;24,9;22;89,5;84;,6;
2015-01-04;1,7;5,6;10,4;30,8;24,9;21,4;77;67;,9;
2015-01-05;null;6,6;3,2;33,8;27,4;22,8;72,3;56;1,1;
2015-01-06;3,8;10,3;0;34,1;27,5;22,5;null;76;,7;
2015-01-07;4,3;4;3,2;33,1;25,7;22,5;null;84;,6;
2015-01-08;3,3;10,1;3,4;34,4;27,9;22,3;null;77;2,3;
2015-01-09;4,5;10,8;0;35,1;27,9;21,5;null;76;0;
2015-01-10;2,7;7,3;0;28,6;27,3;24,2;null;81;1;
2015-01-11;3,9;10,2;0;35,7;28,7;24,3;null;77;,8;
2015-01-12;4,8;9,5;0;35,9;28,9;23,8;null;71;1,9;
2015-01-13;7,4;7,7;0;36,8;28,3;23,1;null;70;,8;
2015-01-14;4,8;,3;3,6;32,4;27;23,2;null;77;,7;
2015-01-15;3,6;9,4;0;35,9;28,3;22,4;null;72;1,3;
2015-01-16;5;10,7;0;36,4;28,8;24,1;null;65;1,7;
2015-01-17;5,4;7,5;0;36,5;29,2;24,9;null;72;,8;
2015-01-18;6,1;6,3;0;36;28,9;24,9;null;76;1,9;
2015-01-19;4,6;2,2;,4;33,3;27;24,7;null;68;,3;
2015-01-20;2,4;8;2,2;36;28,1;23,7;null;76;,8;
2015-01-21;5,5;,7;0;32,8;27,6;24,1;null;73;,6;
2015-01-22;3,1;2,9;15,4;31,1;26;21,7;null;80;,6;
2015-01-23;2,9;4,1;0;31,8;27,2;24,3;null;80;,6;
2015-01-24;3;9,1;0;35,6;29;24,2;null;74;,8;
2015-01-25;4,7;0;2,4;30;27;24,4;null;83;,7;
2015-01-26;2,5;7,7;0;35,1;28,6;24,7;null;74;,6;
2015-01-27;5,2;10,8;0;36,5;28,7;21,9;null;70;,2;
2015-01-28;6,9;8,2;0;37,1;29,8;23,7;null;68;1;
2015-01-29;7;10,8;0;36,7;29,7;23,6;null;64;1,6;
2015-01-30;6,4;11;0;37,7;29,6;23,6;null;66;2,1;
2015-01-31;6,7;10,7;0;37,8;30,1;24,2;null;70;,8;
2015-02-01;8,8;8,5;0;36,9;28,4;25;73;40;2,2;
2015-02-02;5,6;3,5;14,2;33,9;27,1;24,4;76,5;53;2,2;
2015-02-03;2,9;7,1;30,4;32,1;24,7;20,6;84,5;63;1,7;
2015-02-04;2,5;3,8;,7;31,7;25;22,5;85;65;1,6;
2015-02-05;2,4;4,9;38,7;31,9;26,1;22,2;79,8;54;,8;
2015-02-06;2,7;8,4;0;33,7;28,1;24,8;76,5;51;1,1;
2015-02-07;3,3;7,3;0;34,1;27,8;24,6;77,3;49;,5;
2015-02-08;2,6;4,1;0;32,1;28;24,2;76,3;59;1,1;
2015-02-09;1,9;10,9;0;35,4;29,1;24,2;70;46;1,3;
2015-02-10;1,5;6,3;0;34,1;28,9;24,8;72;60;1,8;
2015-02-11;3,9;,7;0;29,9;26,3;24,8;87;72;,9;
2015-02-12;1,3;5,2;2,2;33,5;27,5;22,8;83,5;81;,7;
2015-02-13;3,9;10,4;0;35,3;28,5;22,8;72;49;,9;
2015-02-14;6,6;6,3;0;33,7;26,3;23,6;79;56;1;
2015-02-15;2,8;9,2;6,6;34,1;28,2;23,4;76,8;54;2,2;
2015-02-16;3,4;5,6;,6;32,7;26,1;23,6;84,8;59;,5;
2015-02-17;2;8,4;16,2;34,1;28,1;24;73;52;1,3;
2015-02-18;4;1,1;,2;31,7;27,6;24,6;80;68;,7;
2015-02-19;2,4;0;69,2;28,4;24,6;21,4;87,5;80;1,4;
2015-02-20;1,1;3,1;,1;30,4;25,4;21,8;85,5;74;,3;
2015-02-21;1,5;1,5;,4;30,1;26;22,6;84,5;71;1,3;
2015-02-22;1,9;,1;4,3;28,8;24,3;21,5;87,8;73;,5;
2015-02-23;1,7;2,9;5,6;28,4;24,3;22,2;87;73;,7;
2015-02-24;1,2;7,1;1,8;32,9;25,8;22,4;84,3;58;,9;
2015-02-25;2,6;9;2,6;33,1;26,5;23,4;84,8;64;,9;
2015-02-26;2,2;8,2;7,2;32,9;27,5;23,8;81,8;61;,5;
2015-02-27;2,4;3,9;0;32;26,9;23,2;81,8;65;,5;
2015-02-28;2;4,9;0;31,3;25,6;23,5;80,8;66;,6;
2015-03-01;2;4,7;1,8;31,7;26,5;23,2;82,5;61;1,1;
2015-03-02;1,8;2,3;0;30,1;25,9;22,4;86,5;79;1,7;
2015-03-03;1,6;6;6,8;32,3;26,7;23,1;null;84;,4;
2015-03-04;2,2;6;0;32,1;26,6;22,4;null;86;,3;
