Nome: CRATEUS
Codigo Estacao: 82583
Latitude: -5.19055555
Longitude: -40.6736111
Altitude: 299.12
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2018-04-29
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;5,9;0;35;28,8;23,7;47;40;2,6;
2015-01-02;10,2;10,6;0;35,8;26,7;23;72,5;40;1,9;
2015-01-03;6,2;4,3;37,4;31,9;26,3;22,3;71,5;55;1,6;
2015-01-04;3,5;1,9;12,4;27,3;23,5;20,7;88,3;72;2,3;
2015-01-05;1,5;8,3;23;32,4;26,6;20,7;66,8;53;3,2;
2015-01-06;6,6;6,3;0;32,8;27,3;22;63,5;44;1,8;
2015-01-07;6,4;8,1;,8;33;27,3;23,9;65,8;47;2,8;
2015-01-08;8;8,9;0;34,3;27,9;23;57,5;39;3,5;
2015-01-09;10,1;11,2;0;35,4;28,5;22,4;49,3;34;3;
2015-01-10;11,7;10,7;0;34,5;29;22,6;52,5;45;3,6;
2015-01-11;9,3;7,7;0;35,7;28,9;22,1;47,8;38;3,4;
2015-01-12;14,4;9,7;0;35,6;29,7;24,7;46,8;38;3,9;
2015-01-13;14,5;10;0;35,3;29,4;25;48,5;41;5,4;
2015-01-14;15,5;11;0;36;29,6;24,4;43;34;4,1;
2015-01-15;14,5;8,4;0;35,5;29,5;24,3;49,3;42;2,8;
2015-01-16;10,2;10,5;0;35,4;29,4;23,4;43;37;4,2;
2015-01-17;12,3;8,7;0;35,3;29,2;23,3;49,5;39;2,3;
2015-01-18;11,5;10,8;0;36;29,9;25;52,8;42;5,1;
2015-01-19;15,6;7,6;,2;34,9;29,2;24,9;49;35;4,8;
2015-01-20;15,4;10;0;34,7;28,8;24,3;48,3;36;3,9;
2015-01-21;12,3;3,6;0;34,3;28,3;23,4;59,5;48;3,1;
2015-01-22;6,4;,7;1,3;32,3;27,5;24;58,3;39;1,9;
2015-01-23;8,6;4,1;,8;34;28,2;23,9;48,5;37;4,2;
2015-01-24;13;10;0;35,5;30,1;24,9;46,3;35;4,5;
2015-01-25;15,1;2,8;0;33,1;28,9;24,6;48,5;38;3,3;
2015-01-26;12,3;10,3;0;36;28,5;22,8;40;25;3,1;
2015-01-27;13;9;0;36,1;28,4;20,3;46,3;36;1,8;
2015-01-28;13,1;11;0;36,5;29,6;23,3;43,8;34;3,3;
2015-01-29;11,9;7,8;0;35,2;29,4;23,9;50;39;2,5;
2015-01-30;10,5;6,5;0;36,4;29,5;23,3;51;39;1,6;
2015-01-31;9,4;11,2;0;35,7;29,3;22,1;48,5;41;3,5;
2015-02-01;13,3;9,9;0;35,8;30,2;24,8;46,8;42;3,8;
2015-02-02;12,2;5,3;1,4;34,8;28;23,8;61,8;33;3,2;
2015-02-03;10,2;3,6;0;33,7;26,8;23,4;85,3;64;1,8;
2015-02-04;3;2,1;11;31,7;24,9;22,1;90,3;83;2;
2015-02-05;1,5;5,3;12,5;32,6;26,8;21,6;64,8;43;2,3;
2015-02-06;6,8;10,6;0;34,3;28,4;22,8;51,8;34;4,1;
2015-02-07;11,2;7,4;0;34,3;28,5;22,5;50;39;3,8;
2015-02-08;11,4;8,2;0;35,3;29,1;24,1;49,5;38;4,6;
2015-02-09;13,1;10,3;0;36,1;29,8;23,2;43,8;32;3,8;
2015-02-10;14,6;9,2;0;37;30,5;24,9;47,3;35;2,6;
2015-02-11;12,9;2;,1;34,9;29;25;51,8;33;3,1;
2015-02-12;10,6;8,8;0;36;29,5;23,3;46,5;34;3,7;
2015-02-13;13,5;9,1;0;35,7;29,9;24,5;45,5;37;3,7;
2015-02-14;11,5;4;0;35,1;29,9;25,2;52;41;3,2;
2015-02-15;9,8;6,2;0;35,3;30,1;24,7;45,5;38;4,2;
2015-02-16;15;4,3;0;35,2;28;25,3;63,8;41;3,3;
2015-02-17;10,8;9,3;0;37,1;28,7;24,3;61,3;37;6,3;
2015-02-18;14,6;7,2;0;36,3;27,6;24,1;71;36;3,1;
2015-02-19;8,5;3,4;12,6;33,6;26,9;23;70,3;43;1,1;
2015-02-20;4;,2;16,7;29,5;24,6;21,2;85;65;1,8;
2015-02-21;1,8;1,5;9,2;28,6;25;21,8;78,8;56;2,2;
2015-02-22;2,2;3,8;1,1;30,7;25,5;21,8;76;55;1,5;
2015-02-23;3,4;2;13,3;29,8;24;21,2;91,3;72;2,7;
2015-02-24;1,6;7,2;11,2;32,6;26;22,9;81,3;65;3,4;
2015-02-25;5;4,9;0;31;25,8;23,1;86,8;73;3;
2015-02-26;2,1;7,9;4,1;32,8;27,2;22,6;69,5;52;2,1;
2015-02-27;5,3;10,3;0;32,6;26,1;21,9;76;69;2,1;
2015-02-28;3,7;6,2;,2;32,4;24,9;21,6;74;42;,8;
2015-03-01;2,7;4,5;,4;31,2;25,1;21,7;85,8;80;2,3;
2015-03-02;2,9;6,5;5,3;31,7;24,2;20,6;89,3;80;2,4;
2015-03-03;4,2;10;22;31,6;26,5;22,6;70,8;56;3,6;
2015-03-04;7;6,7;0;30,4;25,5;21,3;82,8;72;2,2;
