Nome: APODI
Codigo Estacao: 82590
Latitude: -5.62666666
Longitude: -37.815
Altitude: 131.37
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;11,2;8,7;0;36;28,2;23,5;64;38;1,8;
2015-01-02;19;8,9;0;36,6;28,9;24,7;64,3;41;2,7;
2015-01-03;15,1;6,2;0;36,3;28,5;25;66,5;45;1,7;
2015-01-04;15,9;5,7;0;33,6;27,8;24,7;65;59;2,3;
2015-01-05;13;8,2;0;35,6;28,3;24,3;64,8;46;1,3;
2015-01-06;14,3;11;0;36,5;28,7;23,3;62,3;34;2,3;
2015-01-07;18,1;8,9;0;35,2;28,4;23,4;65,3;42;1,4;
2015-01-08;18,3;10,5;0;36,2;28,9;23,5;58,5;41;2,9;
2015-01-09;17,5;10,9;0;36,3;29;24,2;58,8;40;3,3;
2015-01-10;17,8;10,7;0;37,5;29,5;24,8;56,8;30;1,3;
2015-01-11;20;11,7;0;35;29,1;25;59;39;2,5;
2015-01-12;22,2;11,3;0;36,9;29,6;24,6;57,5;33;2;
2015-01-13;19,2;8,5;0;35,8;29,1;25;63,5;41;1,2;
2015-01-14;20;11,1;0;37,3;29,2;23,8;57,3;35;2,2;
2015-01-15;19,6;11,3;0;36,6;28,9;24,2;58,3;37;2,7;
2015-01-16;18,3;11,5;0;36,8;29;24;54,8;37;1,8;
2015-01-17;19,7;11,5;0;38;29,5;24,3;60,3;34;3;
2015-01-18;18,7;8,4;0;37,4;29,3;25,2;66,3;39;2,6;
2015-01-19;16,6;8,3;,1;37;29,2;24,9;61;36;2,7;
2015-01-20;16,2;11,2;0;37,2;29,2;23,4;56,8;36;1,7;
2015-01-21;15,4;9,2;0;36,5;28,9;24,3;62;42;2,3;
2015-01-22;15,7;3,2;0;37,2;29,3;25,1;58,5;41;1;
2015-01-23;16,7;3,6;0;34,4;28;24;64,5;44;1,7;
2015-01-24;14,4;10,1;0;36,6;28,9;23,6;59,3;38;2,8;
2015-01-25;19,2;10,3;0;36,4;28,7;23,6;55,5;33;3,1;
2015-01-26;18,6;8;0;35,6;28,1;23,3;60,3;34;,9;
2015-01-27;17;11,1;0;36,7;28,6;23,4;59,5;35;1,7;
2015-01-28;17,4;11,5;0;36,7;28,6;23,6;60;36;2,3;
2015-01-29;20,5;11,3;0;37;28,7;24;63,5;41;1,8;
2015-01-30;15,5;10,3;0;37;29,1;23,7;57,8;40;2,7;
2015-01-31;14,1;10,8;0;37,4;29;23,6;62,3;35;1,3;
2015-02-01;19,5;10,5;0;37,9;29,7;25;59,8;34;1,8;
2015-02-02;16,3;9,9;0;36,7;28,4;25;63,8;39;2,2;
2015-02-03;11,7;6,3;2,5;35,4;28,7;24,8;69,3;50;,4;
2015-02-04;11,5;7,5;0;35,2;27,9;25;75,3;49;3,3;
2015-02-05;10,5;1,8;2,1;33,6;27,4;23,2;68,8;48;1,2;
2015-02-06;15;10,6;0;36,1;28,8;24,7;61,8;39;3,2;
2015-02-07;17,6;8,9;0;36,2;28,9;24,2;62,3;40;2,9;
2015-02-08;18,6;7,9;0;36,4;29,7;24,4;57;37;1,8;
2015-02-09;20,6;10,8;0;36,7;29,5;24,8;59,8;36;1,9;
2015-02-10;16,5;8,7;0;36,2;29,8;25;58,5;36;3,6;
2015-02-11;15,1;10,1;0;36,7;29,6;24,9;58,8;36;2,2;
2015-02-12;20,2;11;0;37,5;29,9;24,5;56,5;29;,9;
2015-02-13;19,7;11,1;0;37,3;29,8;25;55;30;1,4;
2015-02-14;20,2;10,7;0;36,9;29,3;25;57,5;33;2,7;
2015-02-15;16;6,9;0;35,3;28,9;24,6;62,3;44;2,2;
2015-02-16;14,5;5,1;5,2;36;27,8;24;64,3;40;1,7;
2015-02-17;12,1;10,2;20,6;35,4;28,6;24,2;60;38;1,9;
2015-02-18;12;8,1;2,4;36,5;27;23,3;73,3;37;,3;
2015-02-19;10,2;10,1;18,7;34,7;26,5;22;78,5;47;,8;
2015-02-20;9,4;,8;14,4;31,5;25,3;22;91,8;81;,8;
2015-02-21;3,1;4,5;34,7;32,6;26,5;22,5;62,5;47;,7;
2015-02-22;6,6;3,7;5,9;30,1;25,9;22,5;83,3;63;,7;
2015-02-23;6,6;6,2;0;33,2;27,7;24,6;75,8;60;1,5;
