Nome: MACAU
Codigo Estacao: 82594
Latitude: -5.15103
Longitude: -36.573131
Altitude: 17.34
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2018-07-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;null;null;null;null;null;72;null;
2015-01-02;null;null;null;null;null;null;null;null;null;
2015-01-03;null;null;null;null;null;null;null;null;null;
2015-01-04;null;null;null;null;null;null;null;null;null;
2015-01-05;null;null;null;null;null;null;null;null;null;
2015-01-06;null;null;null;null;null;null;null;null;null;
2015-01-07;null;null;null;null;null;null;null;null;null;
2015-01-08;null;null;null;null;null;null;null;null;null;
2015-01-09;null;null;null;null;null;null;null;null;null;
2015-01-10;null;null;null;null;null;null;null;null;null;
2015-01-11;null;null;null;null;null;null;null;null;null;
2015-01-12;null;null;null;null;null;null;null;null;null;
2015-01-13;null;null;null;null;null;null;null;null;null;
2015-01-14;null;null;null;null;null;null;null;null;null;
2015-01-15;null;null;null;null;null;null;null;null;null;
2015-01-16;null;null;null;null;null;null;null;null;null;
2015-01-17;null;null;null;null;null;null;null;null;null;
2015-01-18;null;null;null;null;null;null;null;null;null;
2015-01-19;null;null;null;null;null;null;null;null;null;
2015-01-20;null;null;null;null;null;null;null;null;null;
2015-01-21;null;null;null;null;null;null;null;null;null;
2015-01-22;null;null;null;null;null;null;null;null;null;
2015-01-23;null;null;null;null;null;null;null;null;null;
2015-01-24;null;null;null;null;null;null;null;null;null;
2015-01-25;null;null;null;null;null;null;null;null;null;
2015-01-26;null;null;null;null;null;null;null;null;null;
2015-01-27;null;null;null;null;null;null;null;null;null;
2015-01-28;null;null;null;null;null;null;null;null;null;
2015-01-29;null;null;null;null;null;null;null;null;null;
2015-01-30;null;null;null;null;null;null;null;null;null;
2015-01-31;null;null;null;null;null;null;null;null;null;
2015-02-01;null;10,5;0;33;28,6;22,4;58,5;53;5,4;
2015-02-02;9;7,6;0;34,2;29,3;25;64;58;5,5;
2015-02-03;7,7;5,8;0;32,8;28,6;24,8;68,5;58;4,1;
2015-02-04;5,6;6,4;0;34;28,9;24,8;63,3;45;4,1;
2015-02-05;5;2,5;0;34,8;29;24,2;60,8;47;5,4;
2015-02-06;7;11,2;0;34;28,9;23,8;63,5;59;5,4;
2015-02-07;7,2;9,1;0;34,2;28,8;24;63,8;61;5,4;
2015-02-08;9,5;11,1;0;34,2;28,9;24,2;63,3;51;5,4;
2015-02-09;9;10;0;33,8;28,8;23,8;62,3;52;5,4;
2015-02-10;8;9,7;0;35,2;29,1;23,8;62,8;60;4,7;
2015-02-11;8,5;9,2;0;36;29,8;24,2;61,3;55;5,4;
2015-02-12;10;11,3;0;35,4;29,2;23,4;60,8;54;5,4;
2015-02-13;9,5;8,6;0;35,6;30;24,8;56;53;5,4;
2015-02-14;12,5;8,9;0;35,8;29,9;24,2;58;55;4,8;
2015-02-15;9;9;0;34;28,8;23,8;60,3;49;4,7;
2015-02-16;7,1;2,2;0;32,6;28,5;24,2;67;55;4,1;
2015-02-17;5,6;7;1;32,8;28,5;24;68,3;60;5,4;
2015-02-18;7,3;6,6;0;33;28,7;24,8;69,5;63;4,7;
2015-02-19;6,4;6,9;0;33,6;29;24,8;64,3;65;5,4;
2015-02-20;6,8;,7;,4;29,8;26,2;24;87,8;61;3,4;
2015-02-21;1;2,7;50,2;30,2;27,1;23;77,3;74;4,1;
2015-02-22;3,5;,2;0;28,6;26,3;23;82,3;79;4,1;
2015-02-23;2,9;7,5;0;31,2;27,7;23,4;71;62;5,4;
2015-02-24;5,4;9,4;0;32;28,4;24;66,3;65;5,5;
2015-02-25;5,3;1,7;2,4;30,4;26,4;24;89;66;4,1;
2015-02-26;2;11,2;7,2;33;28,5;23,4;71,5;63;5,4;
2015-02-27;5,9;10,3;0;33,6;28,7;24,6;72,5;65;5,5;
2015-02-28;5,9;10,4;0;32,2;28,4;24,2;74,5;67;5,4;
2015-03-01;5;3,4;0;30,2;27,3;24,4;79,8;72;4,7;
2015-03-02;2,1;1,5;15;28,4;26,3;24,8;82;80;3,4;
2015-03-03;1,9;9,9;2,3;31,4;27,6;22,8;67,8;66;5,4;
2015-03-04;6,2;6,4;0;32,2;28,2;24,2;70;65;4,1;
2015-03-05;6,4;8,5;0;33;28,2;24;74;62;4,8;
2015-03-06;4,8;3,6;0;31;26,8;24;85,8;72;3,4;
2015-03-07;1,5;8;11,4;33;27,6;23;76;56;4,1;
2015-03-08;5,1;4,1;0;31,2;26,8;24;87,3;72;3,4;
2015-03-09;1,4;6,4;17,4;31,8;26,9;23,6;85,5;75;4,1;
2015-03-10;2,2;8,6;5,4;32,2;27,9;24,4;70,3;57;5,4;
2015-03-11;4,6;9,9;7;33,6;28,4;23,4;61,8;49;4,8;
2015-03-12;6,9;5,4;0;31,8;27,8;24;76,8;64;4,8;
2015-03-13;5,3;10,6;0;33,6;28,7;24,2;60,3;49;5,4;
2015-03-14;7,8;10,9;0;33,8;28,6;23;59,8;48;5,4;
2015-03-15;7,7;10,2;0;35;29,7;24,2;62,3;48;5,4;
2015-03-16;7,6;10,5;0;34,2;29,2;24;59,8;49;5,4;
2015-03-17;8,2;10,4;0;34,4;29,3;24,2;60,3;52;5,4;
2015-03-18;7,4;7,3;0;34;29,4;24,4;62,5;61;5,4;
2015-03-19;6,6;11;0;33,6;28,6;24;63;59;5,4;
2015-03-20;6,7;7,8;0;33,6;27,5;23,2;70,8;56;4,8;
2015-03-21;4,5;3,7;,4;31,4;26,3;23,4;89,5;75;4,1;
2015-03-22;1,3;3,5;27,2;30,6;25,9;23,4;85,8;77;4,1;
2015-03-23;1,3;5,9;1,8;30,8;26,5;23,4;85,3;72;4,7;
2015-03-24;2,7;2,1;41,8;30;26;22,8;85;77;3,4;
2015-03-25;2,1;9;0;31,6;27,5;23,8;76;68;5,4;
2015-03-26;3,9;10,2;0;31,8;27,7;23,8;73,8;68;4,7;
2015-03-27;5;10,4;0;31,2;27,6;23,6;73,3;62;4,7;
2015-03-28;4,5;10,1;0;32;27,8;22,8;72,8;58;4,7;
2015-03-29;4,4;1,9;0;30,6;27,2;24,4;85;80;4,1;
2015-03-30;2,3;5,8;,4;31,6;27;23,8;89,5;76;4,1;
2015-03-31;1,8;9,5;25;32,6;28;23,2;76,8;64;4,1;
2015-04-01;4,6;10,6;0;33,2;28,1;23,2;75,8;68;4,1;
2015-04-02;5,3;9,7;0;31,8;27,4;24,4;74,3;67;4,1;
2015-04-03;3,6;8,6;5;32,4;27,8;24,6;74,8;68;5,4;
2015-04-04;4,7;10,7;0;31;27,6;23,8;70,5;62;4,7;
2015-04-05;4,8;11;0;32;27,7;22,2;70,8;58;4,8;
2015-04-06;5,1;10,8;0;31,6;27,9;22,6;72,5;61;4,7;
2015-04-07;4,3;10,1;0;31,4;28,2;24,2;73,8;67;4,1;
2015-04-08;4,3;8,6;0;32,2;28;25;84,3;75;4,1;
2015-04-09;3;8,5;6,6;32;28,1;24,2;79,3;70;4,8;
2015-04-10;3,7;8,4;,2;32,4;28,3;24;76,3;70;5,4;
2015-04-11;4;6,9;0;32,4;28,3;24,2;78,8;67;4,8;
2015-04-12;4,2;8,9;0;34;28,9;24;74,8;67;4,8;
2015-04-13;4,4;5,8;0;32,4;28,7;24,2;73,3;65;5,4;
2015-04-14;null;10,2;0;33,4;28,3;24;71;63;5,4;
2015-04-15;null;10,7;0;35,2;28,8;24,4;72,3;66;5,4;
2015-04-16;null;11;0;34,6;28,7;24,4;68,8;63;5,4;
2015-04-17;null;10,1;0;34,8;29;24,6;72,5;62;5,4;
2015-04-18;null;11,1;0;33,6;28,7;24,6;69;65;5,4;
2015-04-19;null;8,3;0;33,6;28,9;24,6;67,5;65;5,4;
2015-04-20;null;8,5;0;33,8;28,2;23,2;70,3;61;4,1;
2015-04-21;5,6;8,3;0;32,6;28,4;24,4;72,3;67;4,8;
2015-04-22;5,7;7,3;0;32;28,5;25,6;74,5;60;4,1;
2015-04-23;4,3;2,2;2;30,6;25,9;24;93;82;4,8;
2015-04-24;1,7;2,6;17;30,4;26,2;23,8;89,3;81;4,7;
2015-04-25;2,4;6,5;0;30,6;27,1;24,2;86,8;78;5,4;
2015-04-26;2,2;9,3;9,4;33,6;28,4;23,4;75,3;77;5,4;
