Nome: CEARA MIRIM
Codigo Estacao: 82596
Latitude: -5.65333333
Longitude: -35.42583332
Altitude: 62.2
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;10,7;0;33;27,5;23,6;73;57;2,8;
2015-01-02;null;1,6;0;31,5;26,3;23,3;79;66;1,7;
2015-01-03;null;11;0;32,8;26,9;22,9;77;69;3,2;
2015-01-04;null;5,7;0;30,6;26,3;22,8;80;65;1,9;
2015-01-05;null;10,8;0;31,7;27,1;24,2;77;59;2,1;
2015-01-06;null;8,3;,7;32,7;27,5;23,3;75;68;3,8;
2015-01-07;null;11,1;0;32,2;27,3;24,2;79;63;3,2;
2015-01-08;null;8,5;0;32,1;27,5;23,4;67;56;3,8;
2015-01-09;null;10,8;0;32;27;22,2;75;65;3,6;
2015-01-10;null;10,7;0;32,8;26,7;22,4;74;69;5,1;
2015-01-11;null;8,4;3,7;31,6;27,3;24,2;79;68;3,4;
2015-01-12;null;11;0;32,4;27,5;24,2;76;56;3,6;
2015-01-13;null;9,1;3,2;31,2;26,9;23,4;75;67;4,4;
2015-01-14;null;10,5;0;31,6;27;23;72;64;3,8;
2015-01-15;null;10,5;0;31,2;26,8;22;72;63;3,6;
2015-01-16;null;11,1;0;32,6;27,7;23,4;69;58;3,6;
2015-01-17;null;10,4;0;33;27,6;23;79;63;3,2;
2015-01-18;null;7,6;17,8;31,2;26,8;24,6;87;86;1,9;
2015-01-19;null;10,1;7,3;32,3;27,3;24,1;80;69;2,8;
2015-01-20;null;null;0;null;null;23,6;null;68;5;
2015-01-21;null;null;null;null;null;null;null;null;null;
2015-01-22;null;null;null;null;null;null;null;null;null;
2015-01-23;null;null;null;null;null;null;null;null;null;
2015-01-24;null;null;null;null;null;null;null;null;null;
2015-01-25;null;null;null;null;null;null;null;null;null;
2015-01-26;null;null;null;null;null;null;null;null;null;
2015-01-27;null;null;null;null;null;null;null;null;null;
2015-01-28;null;null;null;null;null;null;null;null;null;
2015-01-29;null;8,5;0;null;null;21,6;75;59;3,4;
2015-01-30;null;10,5;0;33;27,7;23,6;73;58;3,4;
2015-01-31;null;10,4;0;32,5;27,4;23;76;65;3,1;
2015-02-01;null;4,9;0;32,2;26,9;23;83;76;3,2;
2015-02-02;null;9,9;0;32,3;27,4;23,2;77;68;2,6;
2015-02-03;null;8,2;0;32,8;27,5;23,7;80;69;2,3;
2015-02-04;null;6,5;,6;32,7;26,1;23,6;90;84;1,2;
2015-02-05;null;5,1;1;32,1;26;22,9;90;79;1,8;
2015-02-06;null;6,4;,1;32,6;27;23,2;79;62;3,3;
2015-02-07;null;7,9;0;31,8;27;23,2;82;67;3,2;
2015-02-08;null;9,6;0;31,9;27,2;23,1;80;67;3,2;
2015-02-09;null;10,4;0;32,1;27,1;23,1;80;67;3,3;
2015-02-10;null;10,2;3,4;32,4;26,8;22,2;81;76;4,1;
2015-02-11;null;9,4;0;32,6;27,2;23,6;82;71;2,1;
2015-02-12;null;9,5;0;32,1;27,2;24,1;81;72;5;
2015-02-13;null;6,6;0;32,4;27,5;23,1;78;65;3,9;
2015-02-14;null;9,8;2,2;31,6;26,9;23;83;69;3,2;
2015-02-15;null;10,2;0;32,6;27;23,2;80;76;2,9;
2015-02-16;null;6,4;0;31,7;26,9;23;81;70;3,8;
2015-02-17;null;4,2;6;31,2;26;23,2;92;68;3,1;
2015-02-18;null;8,6;29;31,4;26,7;23;79;70;1,7;
2015-02-19;null;7,4;,6;31,8;27;23,2;80;68;3,5;
2015-02-20;null;6,6;,6;31,2;25,9;22;87;86;1,7;
2015-02-21;null;8,4;20;32,6;27,1;22,5;81;66;3,3;
2015-02-22;null;,6;22,6;30;25;21,2;96;89;1,4;
2015-02-23;null;9,2;19,2;31,4;26,3;23,3;84;75;2,9;
2015-02-24;null;8,2;2,2;31,2;26,2;22;84;75;3;
2015-02-25;null;0;60,2;30,6;25,5;23,9;93;88;3,7;
2015-02-26;null;6,2;36,3;31,9;26,5;23,2;62;90;2,9;
2015-02-27;null;7,6;0;32,2;26,8;23,2;85;72;2,5;
2015-02-28;null;8,6;0;32,6;26,8;23;84;71;3;
2015-03-01;null;6,8;0;31,9;26,4;22,7;83;73;2,9;
2015-03-02;null;3,3;30,2;30,9;26,1;23,8;85,8;68;2,9;
2015-03-03;null;7,8;27,2;31,3;26,3;23,2;80,8;56;2,9;
2015-03-04;null;6,3;1,8;32,2;25,6;23,6;88,8;81;2,5;
2015-03-05;null;6,6;0;31,8;26,8;23,2;78,8;62;2,5;
2015-03-06;null;4,6;20,4;31,2;25,3;22,3;89,3;82;2,3;
2015-03-07;null;3,5;38,6;31,6;25,7;22,3;84,3;67;3;
2015-03-08;null;3,5;16,8;31,2;25,5;21,7;84,8;70;2,7;
2015-03-09;null;7,1;21,1;31,1;26,2;23,6;84;72;2,5;
2015-03-10;null;6,6;12,7;30,8;26,5;24,1;79,8;67;3,2;
2015-03-11;null;8;,8;31,2;26,5;23,8;79,8;70;2,6;
2015-03-12;null;9,4;0;31,4;26,8;23,2;81,8;68;2,8;
2015-03-13;null;10,5;2,2;31,2;26,6;23,3;79,8;67;2,7;
2015-03-14;null;10,5;0;31,8;26,8;23,2;75,8;60;3,1;
2015-03-15;null;10,1;0;33,7;27,5;24;76;62;3,3;
2015-03-16;null;8,8;0;33,5;28;24,7;71;59;4;
2015-03-17;null;7,9;0;31,9;27,4;24,8;78,3;61;3,7;
2015-03-18;null;7,8;1,1;31,2;26,5;24,2;76;65;3,2;
2015-03-19;null;8,7;0;32;26,6;23,2;77;60;3,7;
2015-03-20;null;6,6;,8;32,6;26,9;23,9;82;70;2,1;
2015-03-21;null;0;25,2;29,6;25,8;23,1;84,8;77;2,4;
2015-03-22;null;0;103;29,4;25,4;22,7;85,5;72;2,5;
2015-03-23;null;2,6;91,6;29,8;25,4;21,6;88;84;1,1;
2015-03-24;null;4,1;44,4;32,2;25,9;21,7;85;65;1,3;
2015-03-25;null;9,6;4;31,2;26,3;24,1;82,5;66;2,5;
2015-03-26;null;7,3;0;31,4;26,5;23,9;82;66;2;
2015-03-27;null;10,2;0;32,6;27,1;22,8;72,8;58;3;
2015-03-28;null;7,8;0;33,7;27,8;22,7;75,8;61;2,8;
2015-03-29;null;,5;0;29,9;26,7;24,6;83,5;75;1,3;
2015-03-30;null;1,9;7,9;31;26,6;23,7;86;77;1,5;
2015-03-31;null;9,5;2,6;32,2;27;23,3;72;58;3;
2015-04-01;null;9,4;0;32,4;27;23,6;77,3;72;2,1;
2015-04-02;null;10,3;0;31,2;26,6;22,6;82,8;67;2,5;
2015-04-03;null;9,2;0;31,4;26,9;22,9;77,5;66;3,7;
2015-04-04;null;9,6;0;32,4;27,3;22;79,8;68;1,7;
2015-04-05;null;9,2;0;31,8;26,9;23,3;79,5;68;3,7;
2015-04-06;null;9,2;0;32,9;27,5;22,6;75,5;61;1,9;
2015-04-07;null;6,2;0;31;27,4;24,2;79;64;1,5;
2015-04-08;null;10,2;20,1;32,6;27,5;24,1;80,5;60;2,5;
2015-04-09;null;8,2;1,2;32,2;27;24,2;80,5;65;3,3;
2015-04-10;null;8,2;1,6;31,9;27,2;22,2;78,3;65;2,3;
2015-04-11;null;3,6;9,9;31,9;26,8;22,9;81,8;71;3;
2015-04-12;null;8,3;0;32,6;27,6;24,1;75,8;65;3;
