Nome: NATAL
Codigo Estacao: 82598
Latitude: -5.83722221
Longitude: -35.20777777
Altitude: 47.68
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;7,5;10,7;0;30,4;27,6;25,2;80,3;74;3;
2015-01-02;5,5;2,5;0;29,8;26,2;23,4;83;77;2,9;
2015-01-03;3,7;10,4;,2;30,2;26,7;22,5;77;69;3,3;
2015-01-04;5,8;7,7;0;30;27;25,2;78,3;75;3,4;
2015-01-05;7,5;10,7;0;30,2;27,4;24,6;78,5;74;3,3;
2015-01-06;6;10,9;0;30,6;27,8;25,2;76,5;74;4,4;
2015-01-07;6,5;10,7;0;30,2;27,5;25,4;76,5;69;3,8;
2015-01-08;6,7;10,9;0;30,6;27,6;25,2;76,8;67;4,7;
2015-01-09;7;10,8;0;30,6;27,6;25,4;75,5;71;5,1;
2015-01-10;6,2;10,2;,1;30,6;26,7;23,6;82,8;74;4,9;
2015-01-11;4,8;10;9,6;30;27,1;24;79,5;76;4,2;
2015-01-12;5,1;10,3;4,2;30,6;27,2;23,4;83;80;4,8;
2015-01-13;5,4;9,1;,5;30,6;27,2;23,8;76,5;69;4,1;
2015-01-14;6;10,8;,9;30,4;27,1;24;79;66;4,7;
2015-01-15;6,5;11;0;30,4;27,2;23,8;76,3;67;4,9;
2015-01-16;6,5;11,4;,5;30,4;27,6;25,2;80,8;71;4,3;
2015-01-17;6;9,8;0;30,6;27,4;24,8;81,3;70;4,2;
2015-01-18;4,2;8,6;13,3;29,8;26,6;24,2;86,8;87;3,4;
2015-01-19;5;11,2;0;30,2;27,7;26,4;76;71;3,5;
2015-01-20;5;null;0;null;27,7;25,6;75,5;72;4,3;
2015-01-21;5,9;10;0;30,8;28,1;26,4;79;72;4,5;
2015-01-22;6,7;9,8;0;30,6;27,8;26,4;74,8;72;2,8;
2015-01-23;8,5;6,5;0;30,4;27,9;26,2;79,3;70;3,7;
2015-01-24;5;9,5;0;30,6;27,6;25;78;75;3,9;
2015-01-25;7;9,9;0;30,8;27,8;25,4;74,5;70;3,8;
2015-01-26;7;10,3;0;30,6;27,5;24,8;75,3;65;4,3;
2015-01-27;6,7;10,8;1;30,4;27,4;24,8;74;71;4,3;
2015-01-28;6,5;11;0;31;27,2;23,8;73,5;68;4,7;
2015-01-29;6,9;10,7;0;30,6;27,8;26,2;78,8;71;3,4;
2015-01-30;6,4;11,1;0;30,6;27,9;26,2;79;71;2,9;
2015-01-31;6,7;10,1;0;31;28,3;27;77,5;76;4,4;
2015-02-01;5,8;9,2;1,7;30,4;27,9;26,2;78;75;4,1;
2015-02-02;5;8,9;0;30,8;28;25;76;74;4,6;
2015-02-03;5,8;10,2;0;31,2;28;26,6;79,3;74;3,1;
2015-02-04;6,2;8,7;0;31;28,2;26,6;80;74;3,9;
2015-02-05;6,3;1,8;0;30;27,8;26,4;80,5;75;3,8;
