Nome: EIRUNEPE
Codigo Estacao: 82610
Latitude: -6.66166666
Longitude: -69.86777777
Altitude: 123.42
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;4;4;35;26,1;23,2;88,8;70;0;
2015-01-02;null;1,1;10;33,6;25,6;23,2;88,8;70;0;
2015-01-03;null;null;3;null;null;null;null;96;null;
2015-01-04;null;2,4;27;33,2;null;null;86;77;0;
2015-01-05;null;,4;40;30,6;25,4;21;95,3;89;0;
2015-01-06;null;2,6;2;29,2;25,3;23,2;92,8;89;0;
2015-01-07;null;4,4;7;34,8;27,2;22,6;84,3;72;0;
2015-01-08;null;3,9;0;34;26,8;23,2;84;67;0;
2015-01-09;null;3;0;31;26,5;23,5;90;86;0;
2015-01-10;null;,7;9,4;30,2;25;22,6;95,5;92;0;
2015-01-11;null;4,1;4;35;25,8;22,4;88,5;65;0;
2015-01-12;null;0;8;27,5;24,4;21;95;96;0;
2015-01-13;null;5,8;0;34,8;25,6;22;88;67;0;
2015-01-14;null;2,6;5,2;31,8;25,7;21;95,5;94;0;
2015-01-15;null;3,5;0;35,4;26,3;22,8;90,3;70;0;
2015-01-16;null;3,7;0;35;26,4;22,4;88,3;67;0;
2015-01-17;null;3,7;0;31,4;25,2;23;96,8;95;0;
2015-01-18;null;2,4;6,2;32,8;25,9;22,8;88;71;0;
2015-01-19;null;0;0;29,8;25,1;22,8;91,3;88;0;
2015-01-20;null;6;0;30,2;25,4;22,2;94;91;,7;
2015-01-21;null;,4;0;29,2;25;23,6;96,5;93;0;
2015-01-22;null;1,1;15;29,4;24,4;22,2;97,8;97;0;
2015-01-23;null;5,7;9,8;34,4;26,3;22;87,3;67;0;
2015-01-24;null;,3;3,6;30,6;25,3;21,8;96,5;92;0;
2015-01-25;null;,4;12,8;30;25,6;23,2;97;96;0;
2015-01-26;null;3,6;5;34,8;27,2;22,6;81,5;61;0;
2015-01-27;null;0;16,2;29,8;25,4;21,8;93,3;84;0;
2015-01-28;null;3,7;12;34,8;25,5;21,8;91;74;0;
2015-01-29;null;3,4;0;34,9;26,9;22,2;90,8;74;0;
2015-01-30;null;0;45,6;30,2;26,3;22,8;87,8;84;0;
2015-01-31;null;1,1;23,8;30,4;24,4;20,6;90,3;80;0;
2015-02-01;null;0;29;30;25,2;20,8;90,8;75;0;
2015-02-02;null;3,5;0;32,6;26,3;22,4;85,8;77;0;
2015-02-03;null;5,8;0;34,2;25,5;22,2;89;67;0;
2015-02-04;null;4;6;35,4;26,5;22,2;88,8;68;0;
2015-02-05;null;3,5;4,6;35,8;25,6;22,6;90;65;0;
2015-02-06;null;7;77;35,4;27,3;22;82;60;0;
2015-02-07;null;1,9;null;34;null;null;82;66;0;
2015-02-08;null;4,6;0;35,8;28,2;23,4;80,3;64;0;
2015-02-09;null;2,3;0;35;26,8;24,2;87,5;62;0;
2015-02-10;null;4,8;11,2;34,6;27,6;23,2;84;66;0;
2015-02-11;null;2,6;0;33,6;27,6;23,8;82,8;75;0;
2015-02-12;null;3,2;0;34,2;26,2;24;89,8;69;0;
2015-02-13;null;3,7;28;35;26;21,8;90;68;0;
2015-02-14;null;3,2;8;34,4;26,6;22,8;87;71;0;
2015-02-15;null;1,5;4;33,6;27,3;23,6;91;90;0;
2015-02-16;null;7,8;0;35,8;26,7;23,4;84,3;64;0;
2015-02-17;null;5,3;0;36,4;28,4;23,2;78,3;61;0;
2015-02-18;null;6,7;0;35,2;26,6;23,8;86,8;61;0;
2015-02-19;null;,5;18,2;33,6;27,8;23,6;84,5;67;0;
2015-02-20;null;8,2;0;34,8;27,7;24,4;82;65;0;
2015-02-21;null;0;4,6;27,8;24;22,8;97,3;84;0;
2015-02-22;null;2,1;58,8;33;26,6;21,6;80,8;70;0;
2015-02-23;null;1,4;0;34;26,8;22,2;85,5;70;0;
2015-02-24;null;4;0;35,2;26,1;22,3;87,3;63;0;
2015-02-25;null;null;32,2;null;null;22,2;null;96;0;
2015-02-26;null;3,2;0;35,2;26,3;23,2;85,3;57;0;
2015-02-27;null;4,3;0;36,8;26,6;23,6;86,5;58;0;
2015-02-28;null;0;70,2;27,6;24,2;21,8;97,8;98;0;
2015-03-01;null;3,4;34,4;35,6;26,2;22;88;63;0;
2015-03-02;null;4,5;13,2;34,2;25,6;22;89,8;66;0;
2015-03-03;null;2;38;33,4;26,6;22,2;87;82;0;
2015-03-04;null;,9;0;31,4;26,1;23,2;88;73;0;
2015-03-05;null;2,3;1;33,2;26;23,6;85,5;68;0;
2015-03-06;null;3,6;0;34,8;27,3;23,4;81;61;0;
2015-03-07;null;3,5;0;34,8;27,4;23,6;79,3;59;0;
2015-03-08;null;4,4;63,8;33;26;22,6;90,3;73;0;
2015-03-09;null;3;0;32,4;27,6;23,6;84;73;0;
2015-03-10;null;6;51,2;35,8;27,1;22,4;83,5;62;0;
2015-03-11;null;5,5;0;35,2;28,1;24;82,5;65;0;
2015-03-12;null;,8;61;31,8;25,4;22,4;93;80;0;
2015-03-13;null;3,3;5,2;35;27,5;22,6;83,8;72;0;
2015-03-14;null;2,5;0;35,6;27,5;24;82,3;59;0;
2015-03-15;null;,9;0;32,8;25,3;23,4;91,8;74;0;
2015-03-16;null;2,5;50,8;32,6;26,6;22;89,5;90;0;
2015-03-17;null;4,8;0;36;26,7;23,6;87,3;58;0;
2015-03-18;null;,9;7;34,4;27,3;23,4;82,8;62;0;
2015-03-19;null;0;4,2;30;25,7;22,2;88,3;78;0;
2015-03-20;null;4,3;0;33,2;26;22,4;87,8;62;,7;
2015-03-21;null;0;4,2;30;25,3;23,2;88,8;76;0;
2015-03-22;null;3,8;2;34,2;26,2;22,2;83,5;71;0;
2015-03-23;null;7;0;34,6;26,4;22;82,5;57;,7;
2015-03-24;null;4,2;3,4;34,4;25,6;22,6;89;65;0;
2015-03-25;null;2;59,6;30,4;25,6;22;93,3;95;0;
2015-03-26;null;4,3;10;34,2;26,5;22,2;86,5;69;0;
2015-03-27;null;3,8;0;35,8;27,6;23,4;81,3;62;0;
2015-03-28;null;0;9,8;27,9;24,2;23,8;98;84;0;
2015-03-29;null;4,3;88,6;33,8;26;21,6;87;71;0;
2015-03-30;null;2,7;0;33;25,2;22,2;89,8;68;0;
2015-03-31;null;3,3;3,4;34,4;26,8;21,8;87,8;82;0;
2015-04-01;null;5,8;16,6;35,2;27;21,6;85,8;63;0;
2015-04-02;null;1,8;0;33;26,8;23,2;85,5;72;0;
2015-04-03;null;5,6;0;36,4;27;22,6;87,3;62;0;
2015-04-04;null;1,5;7,2;34;26,4;22,6;82,5;53;0;
2015-04-05;null;3,3;0;35,2;26,7;23,6;90;67;0;
2015-04-06;null;2,8;5,4;35;25,9;23,4;88,5;62;0;
2015-04-07;null;1,8;3;31;25,3;22;95,8;97;0;
2015-04-08;null;9,4;6;36;27,8;22;80,5;61;0;
2015-04-09;null;,8;76;28,2;25,1;22,2;94,3;82;0;
2015-04-10;null;0;24;29,8;25,3;22,4;95,8;92;0;
2015-04-11;null;0;7,2;29,2;25;22,4;93,5;92;0;
2015-04-12;null;5,4;0;35,2;26,8;22;85,8;67;0;
2015-04-13;null;2,7;0;33,2;26,8;22,2;87;83;0;
2015-04-14;null;1,9;0;35,6;26,9;23,2;92,5;85;0;
2015-04-15;null;1,2;8;32;25,7;22,2;94,8;95;0;
2015-04-16;null;3,4;21;35,2;26,9;22,8;86,3;67;0;
2015-04-17;null;2,1;0;34,8;27,1;23,2;84,5;66;0;
2015-04-18;null;4,3;14,6;35;27,5;23,2;85,3;67;0;
2015-04-19;null;3,2;25;34,6;26,6;22;87,5;70;0;
2015-04-20;null;5,6;0;35,4;27,5;22,8;89,3;91;0;
2015-04-21;null;2,9;47,2;33,4;26,5;22;88,3;78;0;
2015-04-22;null;0;25;34;27,2;22,4;87,3;77;0;
2015-04-23;null;5,7;13;34,4;26,8;22,8;93;87;0;
2015-04-24;null;7,2;6,4;35,6;27,2;23,4;92,5;90;0;
2015-04-25;null;6,8;0;33,8;26,6;23,4;89;73;0;
2015-04-26;null;7,2;4;35,6;27,4;23,6;86,5;68;0;
2015-04-27;null;6,1;8;35;26,4;22,8;89;66;0;
2015-04-28;null;3,2;0;33;26,5;23,2;86,5;70;0;
2015-04-29;null;2,9;0;35,4;27,2;22,6;87,5;74;0;
2015-04-30;null;null;13;null;null;null;null;92;null;
2015-05-01;null;,2;2,2;30,6;25,2;22;95,3;93;0;
2015-05-02;null;6,9;20;33,8;26,9;21,4;85;72;0;
2015-05-03;null;9,1;0;35,8;27,6;22,6;82,5;67;0;
2015-05-04;null;,2;27;29,4;24;22,2;94,3;82;0;
2015-05-05;null;,3;17,8;28,2;24,4;21,2;95,3;94;0;
2015-05-06;null;5,4;1,8;34,8;26,9;21,8;84,3;72;0;
