Nome: ARAGUAINA
Codigo Estacao: 82659
Latitude: -7.10388888
Longitude: -48.20138888
Altitude: 231.85
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;1,4;10,1;0;32,7;25,7;18,4;79,3;55;,9;
2015-01-02;1,4;8,9;1,9;33,3;27;19,6;74,5;52;,8;
2015-01-03;1,3;8,8;0;35,2;27,4;20,3;71,8;46;,5;
2015-01-04;3,1;1,7;0;28,4;24,5;21,4;78,3;69;1;
2015-01-05;1,5;5,5;0;32,7;25,4;19;79;62;,8;
2015-01-06;1,5;4,1;0;32,2;25,6;18,7;75,3;55;1;
2015-01-07;1,2;2,4;0;29,3;24,9;19,4;87,5;77;,8;
2015-01-08;,8;8,2;,5;32,8;25,4;18,8;75,5;50;,8;
2015-01-09;1,1;7,9;0;33,2;26,1;19,1;75,5;60;1;
2015-01-10;1;2,2;0;30,4;25,3;19,8;82,5;72;,8;
2015-01-11;,7;4,9;,3;32,2;25,7;20,2;81,8;59;,5;
2015-01-12;,6;,3;0;28,9;23,1;19,1;90,5;84;,9;
2015-01-13;4;3,4;16,2;30,9;23,8;18,9;83,8;64;1;
2015-01-14;,7;6,3;11,6;30,9;24,5;20,2;79,3;59;,9;
2015-01-15;,6;4,7;0;31,1;24,7;19,2;80,8;59;,8;
2015-01-16;,8;0;8,8;29,1;24,8;20,3;85;70;,8;
2015-01-17;,5;1,2;17,4;29,7;24,3;18,7;87,5;76;,8;
2015-01-18;,6;,1;4,7;27;23,7;20,5;95,3;93;,5;
2015-01-19;,4;,2;2,1;27;23;20,3;94,3;88;,8;
2015-01-20;,7;,9;39,3;27,8;23,2;19,4;86,8;79;,8;
2015-01-21;,3;4,2;2,9;30,4;24,8;19,5;79,3;62;,8;
2015-01-22;1;,2;14;29,1;24,3;19,3;83,3;60;,5;
2015-01-23;,5;6;0;30,7;24,8;20,9;84,8;63;,5;
2015-01-24;,8;0;5,8;25;22,9;20,3;95,3;94;,8;
2015-01-25;,3;,8;11,2;27,6;22,8;19,8;91,8;78;,8;
2015-01-26;,4;4,2;95,5;31,1;24,7;19,2;80,3;62;,9;
2015-01-27;,7;7,3;3,7;31,4;25,3;19,1;83,5;74;,6;
2015-01-28;,5;9,6;1,4;33,3;25,7;18,7;78;55;,9;
2015-01-29;,9;5,6;0;33;26;19,1;80;71;,8;
2015-01-30;,6;9,6;2,3;33,9;26,7;19,6;77;59;,6;
2015-01-31;3,2;1,2;0;31,6;26,1;21,1;79,5;59;,8;
2015-02-01;1,8;,4;0;26,2;22,9;19,4;91,5;78;,9;
2015-02-02;,4;3,3;27,7;30,4;24,2;18,2;85;63;,9;
2015-02-03;8,4;1,2;8,4;32,3;25,2;19,3;68,8;51;,5;
2015-02-04;1,8;2,3;14,6;25,8;22,9;20,3;90;67;,3;
2015-02-05;,4;6,4;6,4;31;25,4;20,4;81,5;63;,9;
2015-02-06;1,1;7,6;0;31,6;25,4;20,3;81,8;61;,8;
2015-02-07;1;,2;26,4;28,8;24,7;20,9;87;75;,6;
2015-02-08;,9;2,5;3,3;30,2;24,5;19,5;85;68;,6;
2015-02-09;1;5,2;3,4;32,1;26;20,7;79,3;60;,5;
2015-02-10;1,2;4,1;1,8;30,8;25,1;20,2;85,8;71;,8;
2015-02-11;,9;2,8;0;31,1;25,2;20,7;87,5;68;,8;
2015-02-12;,6;1,7;2,4;32,1;26,3;21,1;84;76;,5;
2015-02-13;,9;5,1;1,2;32,6;24,8;20,7;82;57;,8;
2015-02-14;,8;6,6;13,3;31,7;23,8;18,8;84;63;,8;
2015-02-15;,8;6,4;8,1;32,1;26;20,5;81;59;,5;
2015-02-16;,8;4;7,1;31,7;26,2;21,6;79,5;66;,8;
2015-02-17;,8;4,6;0;31,1;25,1;21,5;84,5;63;,9;
2015-02-18;1;,5;11,4;26,3;23,7;21,2;91;89;,8;
2015-02-19;,5;1,5;63;30,6;23,3;19,7;86,3;64;,8;
2015-02-20;,8;0;26,3;27,8;23,6;19,4;85;70;,8;
2015-02-21;1,9;2,9;0;30,1;24,3;20,5;83,3;66;,9;
2015-02-22;2,8;,6;2,6;27;23,3;19,8;92,5;88;,5;
2015-02-23;1,2;6,1;5,8;31,8;24,2;19;81,5;54;,8;
2015-02-24;3,1;2,7;8,8;28,4;24;20,8;89,8;80;,9;
2015-02-25;1,9;5,9;6,8;31,9;25,7;20,3;69,5;59;,9;
2015-02-26;2,9;2,3;15;30,9;25,6;20,7;85;70;,5;
2015-02-27;1,9;1,6;2,2;31,5;24,9;20,9;85;70;,8;
2015-02-28;2,5;9;,1;33,6;26,4;18,9;75,8;53;,5;
2015-03-01;4,5;6;3,8;32,4;26;20,2;74,5;55;,8;
2015-03-02;4,5;4;0;29,5;24,9;20,6;86,5;78;,5;
2015-03-03;1,8;7,1;17,3;31,5;24,8;21,2;83,5;66;,5;
2015-03-04;2,9;5,8;9,2;32,2;25,6;22,2;80,8;53;,5;
2015-03-05;3,1;3,4;0;32,1;25,1;20,5;82,3;61;,9;
2015-03-06;2,1;3;14,3;30,3;25;20,2;83,8;65;,8;
2015-03-07;2,1;3,3;13,2;30,3;25;20,2;83,8;65;,8;
2015-03-08;3,2;7,5;0;33;25,8;19,8;82,5;61;,9;
2015-03-09;3,6;2,9;,8;32;25,9;20,2;84;76;,9;
2015-03-10;2,8;5,4;,5;32,2;26,5;21,7;89,5;81;1;
2015-03-11;2,2;,7;9;30,1;25,6;22;92,5;87;,8;
2015-03-12;1,5;2,7;6,9;29,9;25,2;23,1;95;92;,9;
2015-03-13;1,6;6,1;14,4;34,8;27;21,9;76;44;,9;
2015-03-14;3,5;,7;,4;29,3;24,9;23,3;87,5;73;,9;
2015-03-15;2;6,2;0;30,9;26,1;22,1;83,5;68;,8;
2015-03-16;2,6;5,4;5,6;31,8;26,8;24;83;71;,8;
2015-03-17;2,9;,2;2,9;26,7;24,5;23,6;91,3;85;,8;
2015-03-18;1;1,7;18,2;31,7;25,1;22,2;83,5;63;,8;
2015-03-19;2,4;2;5,4;30,3;25,1;22,2;89,8;78;,8;
2015-03-20;2,3;0;12,8;26;23,1;21,5;92;88;,8;
2015-03-21;1,3;,3;6,1;27,1;23,3;21,5;88,3;74;,8;
2015-03-22;1,9;5,9;0;25;23,8;22;79,3;59;,8;
2015-03-23;4;2,1;,1;31,1;24,8;21,5;85,3;69;,8;
2015-03-24;2,1;2,7;19,2;29,1;25,1;22,6;87,5;69;,5;
2015-03-25;1,6;5;1,1;31,7;25,3;21,8;82,5;59;,8;
2015-03-26;2,9;2,2;36;31,5;25,5;21,5;82,3;61;,5;
