Nome: SAO FELIX DO XINGU
Codigo Estacao: 82668
Latitude: -6.63083332
Longitude: -51.9761111
Altitude: 195.98
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;1,4;0;0;32,3;null;21,2;null;65;1;
2015-01-02;,8;8,5;0;33,4;null;21,6;null;67;1,5;
2015-01-03;,9;7,2;2,2;34,1;null;22,6;null;64;1,5;
2015-01-04;1,2;5,1;0;31,4;null;22,8;null;78;2;
2015-01-05;,5;4,6;26,4;31,4;null;20,1;null;68;1,5;
2015-01-06;,4;8,8;8,8;32,2;null;22,4;null;64;1,1;
2015-01-07;1,5;9,5;0;33,2;null;22,2;null;63;1,5;
2015-01-08;,9;8,7;0;32,2;null;22,4;null;60;1;
2015-01-09;1,8;null;0;33,4;null;22,1;null;61;2;
2015-01-10;1,3;null;0;33,4;null;22,9;null;65;1,5;
2015-01-11;1,6;null;0;33,2;null;23,2;null;46;2;
2015-01-12;,8;null;9,4;31,4;null;22,4;null;89;2;
2015-01-13;,5;null;21,2;30,8;null;20,4;null;83;1,5;
2015-01-14;,4;null;12,2;30,1;null;21,6;null;84;1;
2015-01-15;1,2;null;0;32,9;null;22,6;null;73;1,5;
2015-01-16;,6;null;9,4;28,8;null;22,4;null;76;2;
2015-01-17;,9;null;0;31,8;null;22,9;null;69;1;
2015-01-18;,3;null;72,8;32;null;22,3;null;73;1,5;
2015-01-19;,4;null;56,3;30,4;null;22,2;null;84;1;
2015-01-20;,9;null;0;30,8;null;22,8;null;78;1,5;
2015-01-21;1,2;null;0;32,8;null;23;null;62;1,5;
2015-01-22;,4;null;,4;30;null;22,9;null;78;1;
2015-01-23;,2;null;0;31,8;null;23,4;null;95;1;
2015-01-24;,8;null;34,6;29,9;null;22,3;null;87;1,5;
2015-01-25;2,2;null;2,2;29,4;null;22,2;null;95;1;
2015-01-26;,6;null;1,8;30,7;null;22,4;null;67;4;
2015-01-27;,6;null;0;30,7;null;22,4;null;83;1;
2015-01-28;1,4;null;2,8;32,4;null;22,6;null;65;1;
2015-01-29;1,8;null;0;34,4;null;20,6;null;55;1,5;
2015-01-30;1,1;null;0;33,7;null;21,2;null;60;1,5;
2015-01-31;1,3;null;0;33,2;null;23;null;63;1,5;
2015-02-01;1;null;0;32,8;null;23,2;null;79;2,5;
2015-02-02;,5;null;56,6;29,8;null;21;null;81;1;
2015-02-03;1,2;null;0;32,5;null;21,4;null;69;1;
2015-02-04;1,5;null;0;33,4;null;23;null;66;1;
2015-02-05;1;null;5,2;30;null;22,8;null;73;1;
