Nome: COLINAS
Codigo Estacao: 82676
Latitude: -6.03305554
Longitude: -44.23333333
Altitude: 175.56
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3,1;7;3;31,2;25,2;19,4;85;81;0;
2015-01-02;2,8;5;0;32;26,5;21,9;86;85;,3;
2015-01-03;2,2;2,9;0;31;25,9;22,5;86;82;0;
2015-01-04;2,4;7,3;0;32;26,6;20,9;79;77;1;
2015-01-05;3,5;4,7;0;33;26,8;21,7;81;78;,8;
2015-01-06;2,5;8,7;0;33,5;26,1;20,3;81;76;,4;
2015-01-07;3,5;1,4;9;29,5;24,8;20,2;92;83;,8;
2015-01-08;2,1;5,4;0;31,5;25,5;20,4;86;90;,7;
2015-01-09;1,9;7,1;0;33;26,8;21,1;83;83;0;
2015-01-10;2,2;6,1;0;33;27,8;21,9;75;79;,5;
2015-01-11;3,9;7,3;0;34;27,8;21,9;85;74;,5;
2015-01-12;2,9;0;7;29;25,5;22,3;94;87;,5;
2015-01-13;1;3,4;0;32;26,4;22,5;83;88;1,2;
2015-01-14;2,5;1,6;0;34;27,1;21,9;87;80;,3;
2015-01-15;2;3,7;0;32;26,5;22,4;86;80;,4;
2015-01-16;2,5;3,3;0;32;25,8;21,9;87;83;,4;
2015-01-17;1,8;6,6;0;32;26,3;21,9;85;86;,3;
2015-01-18;2,7;2,3;0;31;25,7;22,9;88;85;1,2;
2015-01-19;2;,9;1;30;25,4;21,7;92;91;0;
2015-01-20;1,2;,2;0;26,6;23,4;20,2;93;84;,2;
2015-01-21;,8;2,6;7;32;24,2;19,3;94;90;,7;
2015-01-22;6;1,8;16;29,8;24,6;21,1;93;87;0;
2015-01-23;2;4,9;0;31,5;25,7;20,9;88;91;0;
2015-01-24;2,5;7,3;0;33;27,3;21,9;81;81;,8;
2015-01-25;,5;0;4;27,7;23,6;20,1;95;82;,8;
2015-01-26;,9;3,7;2;31;26;22,3;88;87;0;
2015-01-27;,4;10;0;33;26,4;19,8;82;78;0;
2015-01-28;,4;6,7;0;33;26,9;20,5;82;83;,3;
2015-01-29;1,6;6;0;33;27,3;21,7;80;80;,8;
2015-01-30;3,5;6,8;0;33;27;20,9;84;79;,4;
2015-01-31;1,6;9,6;0;34,6;28,2;21,9;81;78;0;
2015-02-01;3,8;2,7;8;30,8;25,8;20,9;90;82;,5;
2015-02-02;1,7;0;18,2;30,8;25,3;20,9;91;90;0;
2015-02-03;2;8,1;8,2;32;26,1;20,5;86;91;0;
2015-02-04;2;0;0;28;24,3;20,3;93;84;0;
2015-02-05;1,2;7,5;0;31;26,4;21,3;81;80;,4;
2015-02-06;2,3;6,3;0;32;26,9;21,5;84;80;1,2;
2015-02-07;2;1,3;0;32;27,4;21,9;85;85;,8;
2015-02-08;2,1;,9;1;30,8;25,9;22,4;95;83;0;
2015-02-09;2,4;8,2;0;33;27,3;21,3;81;72;,8;
2015-02-10;1,5;3,7;0;32,5;27;21,3;85;85;,4;
2015-02-11;2,5;4,9;0;30,5;24,9;20,7;92;83;0;
2015-02-12;2;6,6;10,2;32;27;21,9;85;85;,8;
2015-02-13;7,3;7,3;2,5;32;27,3;21,7;86;84;,8;
2015-02-14;2,7;1,8;0;32;25,8;20,9;90;87;0;
2015-02-15;2,2;5,4;0;31;25,6;20,4;86;86;0;
2015-02-16;2,6;5,4;6;32;26,5;22,1;89;87;,2;
2015-02-17;2;7,9;0;32;26,9;21,9;87;85;,8;
2015-02-18;2,9;0;0;29;25,3;20,7;89;86;0;
2015-02-19;2,1;0;0;28,1;24,2;20,9;96;63;,5;
2015-02-20;,5;0;3,1;27;23,7;20,1;93;90;,9;
2015-02-21;1;0;0;29;24,7;19,9;90;94;0;
2015-02-22;2;0;0;26;23;20,1;96;86;0;
2015-02-23;1;,4;0;27,9;24,7;20,7;88;92;0;
2015-02-24;1,6;3;0;30;25,5;20,7;92;86;0;
2015-02-25;1,7;6,1;0;31;25,7;20,9;90;86;0;
2015-02-26;2;7,8;0;32;26,4;20;91;92;,2;
2015-02-27;2,7;,4;0;30;26,1;22,9;96;92;0;
2015-02-28;1;3,9;0;30,5;26,5;21,4;87;82;0;
2015-03-01;2;5,6;0;31;25;21,7;93;89;0;
2015-03-02;2;,3;3;26;23,2;20,7;97;94;,8;
2015-03-03;,6;1,9;15;28;24,7;21,2;93;87;0;
2015-03-04;1,4;6,8;0;31;26,2;21,7;91;89;0;
2015-03-05;2;0;15;26,6;23,4;20,5;97;93;0;
2015-03-06;2;3,6;0;31;24,8;20,2;92;91;,8;
2015-03-07;,5;4,8;23;31;25,8;21,9;92;94;0;
2015-03-08;,5;4,8;23;31;25,7;21,9;92;90;0;
2015-03-09;2,5;8,7;0;31,5;26,1;21,7;88;79;0;
2015-03-10;2;6;1;32;26;21,3;89;90;0;
2015-03-11;2;8,2;0;31;26,2;21,9;90;86;0;
2015-03-12;2;9,3;0;32,5;27,1;21,7;86;83;,4;
2015-03-13;3;7,8;0;33;27;21,7;91;85;0;
2015-03-14;1;6,6;0;34;27,6;21,7;88;88;,3;
2015-03-15;7,3;2,3;27;33,5;27,4;21,7;87;85;0;
2015-03-16;4,2;7,3;0;32,5;26,7;22,1;88;87;,3;
2015-03-17;2,2;1,9;0;28,5;25;21,1;55;85;0;
2015-03-18;3,8;1,4;8,4;27,5;23,9;20,9;94;76;0;
2015-03-19;1,5;3,5;2;31;25,7;21,1;92;88;1,5;
2015-03-20;,5;0;22;25,9;23,4;20,7;98;93;0;
2015-03-21;1;3;2,4;29,6;25;20,5;92;86;,2;
2015-03-22;,6;2,5;2;30,4;25,6;20,8;90;93;0;
2015-03-23;,4;,4;45;28;24;20,8;97;89;0;
2015-03-24;,5;4,3;10;30;24,5;20,9;97;96;0;
2015-03-25;,4;4,1;12;32;25,8;21,3;93;89;,3;
2015-03-26;3,1;4,9;0;31;25,6;21,1;90;92;0;
2015-03-27;1,5;6;3;31,5;25,7;21,1;93;89;,3;
2015-03-28;1,8;7,6;0;32;26,4;20,9;84;90;,3;
2015-03-29;2,7;4,5;0;32;26,2;21,9;90;84;,3;
2015-03-30;1,3;6,5;4;31;25,8;21,7;94;92;0;
2015-03-31;1,7;3,3;3;31;25,4;21,5;96;93;,8;
2015-04-01;1,5;5;0;31;25,6;20,7;90;87;0;
2015-04-02;1,8;5,1;0;31;26;20,7;91;91;,2;
2015-04-03;2,2;8,3;0;32;26,2;20,9;89;84;,4;
2015-04-04;2,8;7,3;0;32;26;22,7;90;89;0;
2015-04-05;2,2;6,3;0;31;26,3;21,5;89;87;0;
2015-04-06;2,3;8,6;0;32;26,8;21,5;86;84;0;
2015-04-07;2,5;7,4;0;32;26,5;21,3;83;84;,8;
2015-04-08;2;6,2;0;30,6;25,9;22,1;91;84;,1;
2015-04-09;2,2;4;5;30,8;24,2;20,7;91;92;0;
2015-04-10;1,3;7;13;32;26;20,7;91;87;0;
2015-04-11;2,1;4,2;0;31,5;25,6;20,3;93;89;0;
2015-04-12;1,4;7,5;5,2;31,5;25,9;20,7;88;93;0;
2015-04-13;2,8;6,1;0;31;25,3;20,7;92;88;,2;
2015-04-14;2;5,3;4;31,4;25,8;21,1;87;89;0;
2015-04-15;2,2;8;0;32;26,3;20,9;89;85;,2;
2015-04-16;3;6,9;0;31,6;26,7;22,1;82;82;,2;
2015-04-17;2;7,2;0;31,2;26;21,9;90;88;,4;
2015-04-18;1,5;5,9;0;31;26,4;21,3;87;90;,2;
2015-04-19;2;8,1;0;32;26,8;22,1;88;86;,8;
2015-04-20;2;6,3;0;31;26,3;22,1;91;91;0;
2015-04-21;3;4,7;0;32;26,5;21,7;88;85;,3;
2015-04-22;2,5;7,5;0;31;26,4;21,7;89;83;0;
2015-04-23;2,8;8,8;0;32;27,1;21,3;86;84;0;
2015-04-24;2,2;7,3;7;31;25,9;20,9;89;85;0;
2015-04-25;2,5;9;0;33;26,8;21,1;87;87;0;
2015-04-26;2,4;7,2;0;32;26,4;22,3;90;89;0;
2015-04-27;2,6;8,4;0;32,5;26,5;21,5;90;83;0;
2015-04-28;2,5;6,7;0;31,6;26,1;20,9;91;86;0;
2015-04-29;2;9,7;0;33;26,4;20,1;92;86;0;
2015-04-30;2,8;5,6;0;32;26,3;21,3;91;85;,2;
2015-05-01;1,7;5,5;0;33;26,6;21,3;89;84;0;
2015-05-02;2;,5;46;27;24,4;20,9;98;94;0;
2015-05-03;1;6,4;0;32;26;22,5;96;95;0;
2015-05-04;2;5,2;9;31;24,5;21,5;97;94;,2;
2015-05-05;1,5;9,5;9,4;32;26,1;21,3;91;82;0;
2015-05-06;1,9;6,5;0;33;26,6;22,1;92;93;0;
2015-05-07;1,6;3,9;0;32,5;26,4;21,9;91;89;0;
2015-05-08;1,5;3,6;0;31;26,4;22,5;90;84;0;
2015-05-09;,5;3,1;1;30;25,8;22,3;93;94;,4;
2015-05-10;1,5;8,7;0;32;26,3;21,7;93;92;0;
2015-05-11;2,5;7,6;0;32;26,2;21,7;89;84;0;
2015-05-12;2;6,2;0;32;25,9;20,9;94;92;,8;
2015-05-13;2,4;8,4;0;32;25,9;20,7;91;88;,3;
2015-05-14;2,6;9,4;0;32;25,1;18,9;90;87;0;
2015-05-15;2,9;9,5;0;32;27;19,9;76;71;,6;
2015-05-16;3,1;9,5;0;32;25,5;19,1;83;68;,2;
2015-05-17;3;10,5;0;33;25,6;18,3;83;78;,8;
2015-05-18;3,1;9,5;0;31;25,4;18,4;83;72;,8;
2015-05-19;3,4;8,2;0;31;25,4;18,9;87;79;0;
2015-05-20;2,5;9,4;0;32;25,8;18,7;86;77;0;
2015-05-21;3;7,6;0;32;26,4;21,9;89;85;,6;
2015-05-22;3,5;8,7;0;32,2;26,4;21,7;84;75;,8;
2015-05-23;2,9;9,3;0;32;26,3;20,7;86;77;0;
2015-05-24;2,6;9;0;32,2;25,9;20,1;87;74;0;
2015-05-25;2,7;9,1;0;32,2;25,8;20,3;88;81;0;
2015-05-26;3,8;6,9;0;33;26,5;20,9;88;89;0;
2015-05-27;2,5;4,9;0;32;26,6;21,7;84;76;0;
2015-05-28;2,5;9,9;0;33;26,3;20,9;87;77;0;
2015-05-29;4;10;0;33,2;26,2;20,5;87;83;0;
2015-05-30;3;9,4;0;34;27,6;23,1;87;87;0;
2015-05-31;3;9,2;0;34;26,3;19,1;80;82;0;
2015-06-01;3,5;9,6;0;34,5;26,4;19,5;82;70;0;
2015-06-02;4;9,6;0;34;25,8;18,1;83;81;,2;
2015-06-03;3,2;8,7;0;34;25,7;19,3;88;84;0;
2015-06-04;2,8;9,7;0;34,1;26,1;17,9;80;66;0;
2015-06-05;3,7;2,1;0;31;25,6;21,9;91;88;0;
2015-06-06;1,7;9,5;0;34;26,3;18,5;80;62;0;
2015-06-07;3,1;8,6;0;33;26,1;20,1;87;84;0;
2015-06-08;3,5;3,9;0;32;26;19,9;83;67;,8;
2015-06-09;3;6;0;32,5;25,4;19;80;75;,2;
2015-06-10;3,9;9,1;0;34;25,4;17,1;81;75;,3;
2015-06-11;4,1;9,2;0;34;25,9;18,7;81;74;0;
2015-06-12;,8;10,5;0;34;26;17,9;85;70;,3;
