Nome: FLORIANO
Codigo Estacao: 82678
Latitude: -6.76166666
Longitude: -43.00333333
Altitude: 126.6
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2,7;8,4;0;33,2;27,5;21,4;72;58;,3;
2015-01-02;3,8;6;10,7;32,5;27,3;23,3;79,8;63;1,4;
2015-01-03;2,4;2,6;0;28,7;25,4;24;85;83;,8;
2015-01-04;1,3;8,2;39,5;32,4;25;21,2;82,8;67;1,8;
2015-01-05;2,5;6;0;33,1;26,4;21,5;78,5;59;,9;
2015-01-06;2,9;9,8;,5;34;27,5;21,6;72,8;52;1,1;
2015-01-07;3,8;1,3;3,7;30,7;26,3;23,6;86,5;70;1;
2015-01-08;2;5,7;6,3;33,5;27,3;22,8;77,8;51;,5;
2015-01-09;3,6;10,7;0;35,4;28,9;22,8;67,5;47;1,4;
2015-01-10;5,1;10,9;0;35,1;28,9;23,7;68;48;,9;
2015-01-11;4,7;11,2;0;36,5;29,6;24;60,8;44;1,1;
2015-01-12;6;8,1;0;35,9;29,3;24,8;64,8;39;,8;
2015-01-13;6,3;9;0;36,7;29,7;24,6;57;37;1,5;
2015-01-14;7,1;6;0;35,3;29,4;24,8;62,5;47;1;
2015-01-15;5;5,3;0;34,5;28,8;24,8;72,5;56;1;
2015-01-16;3,7;4,1;0;34,9;28,5;25;70,5;57;,6;
2015-01-17;2,5;9,1;1;34,3;29,3;24,9;66,8;54;1;
2015-01-18;4,5;7,7;,3;34,2;28,9;25,7;72,3;60;1,5;
2015-01-19;3,6;4,3;2,1;33,5;28,1;24,6;72,3;57;,7;
2015-01-20;3,5;5,2;3,3;32,9;27,3;23,6;72,8;61;2,1;
2015-01-21;3,7;4,2;0;33,1;27,3;23,2;63;57;1,3;
2015-01-22;3,8;1,8;0;31,2;26,1;22,6;72,3;59;1,3;
2015-01-23;3,1;5,1;1,9;34,2;25,4;21,8;81,3;48;,7;
2015-01-24;4,2;10,8;16;34,5;27,6;22,2;70,5;50;,6;
