Nome: TAUA
Codigo Estacao: 82683
Latitude: -6.00638888
Longitude: -40.29972221
Altitude: 401.89
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;9,6;null;0;34,3;28,2;22,6;54;47;1,5;
2015-01-02;11,4;null;0;33,2;26,3;22,2;78;42;1,5;
2015-01-03;4,5;null;8;32,8;27,5;21,8;71;82;1;
2015-01-04;8,4;null;6,6;29;24,3;21;79;59;3,5;
2015-01-05;3,1;null;1;31,5;26;20,2;69;72;1;
2015-01-06;8,8;null;0;31,4;27,1;21,7;63;63;2;
2015-01-07;8,6;null;0;32;26,4;21,9;71;63;3;
2015-01-08;10,1;null;0;33;27,5;22;58;63;3,5;
2015-01-09;11,5;null;0;34,4;28,1;22,1;51;53;2;
2015-01-10;14,8;null;0;35,9;28,9;22;57;41;2;
2015-01-11;12,7;null;0;35,1;29,2;23,3;53;44;2,5;
2015-01-12;14;null;0;34,6;28,6;22;53;44;2,5;
2015-01-13;14,3;null;0;34,1;28,6;22,4;53;45;3;
2015-01-14;15;null;0;35,2;29;23,6;49;45;1;
2015-01-15;13,8;null;0;34,6;28,5;22,2;55;39;1;
2015-01-16;13,2;null;0;34,2;28,4;22,5;55;46;,5;
2015-01-17;11,4;null;0;35,8;29,1;22;54;47;1,5;
2015-01-18;12,9;null;0;35;28,5;22,5;63;45;4,5;
2015-01-19;12,6;null;0;33,5;28,4;22,4;54;62;2,5;
2015-01-20;14,5;null;0;33,9;28,2;22;55;45;2;
2015-01-21;11,7;null;0;34,3;28,8;22,6;52;44;1;
2015-01-22;11,6;null;0;34;27,8;22,2;63;47;4,5;
2015-01-23;10,3;null;0;32,2;27,5;22,4;55;62;2;
2015-01-24;13,6;null;0;34,6;28,8;22,2;49;48;4;
2015-01-25;13,1;null;0;34,4;29,1;22,5;45;42;1,5;
2015-01-26;13,8;null;0;33,5;27,5;22;50;38;2,5;
2015-01-27;13;null;0;35,6;29;21,6;49;42;1,5;
2015-01-28;12,4;null;0;36;29;21,9;49;42;1,5;
2015-01-29;14,3;null;0;34,8;28,6;22,2;53;36;1;
2015-01-30;11,7;null;0;35,2;29,2;22,1;57;44;1,5;
2015-01-31;11,1;null;0;35,2;29,3;21,9;50;45;2;
2015-02-01;15,3;null;0;35;28,8;22,2;55;44;3;
2015-02-02;11,9;null;0;35,5;29,4;22,6;51;44;1,5;
2015-02-03;12,3;null;0;34,6;27,4;22,9;71;46;1,5;
2015-02-04;8,4;null;2,1;27,7;23,7;22;91;88;2;
2015-02-05;1,5;null;7,4;31,8;26,3;21,9;73;78;1,5;
2015-02-06;6,3;null;0;33,9;27,9;22;59;64;2,5;
2015-02-07;10,4;null;0;33,9;28,6;22,5;53;53;1,5;
2015-02-08;11,5;null;0;34,4;28,8;22,8;49;49;2;
2015-02-09;12,9;null;0;36,5;29,7;22,9;47;43;2,5;
2015-02-10;16,1;null;0;36,6;29,8;22,7;48;38;1,5;
2015-02-11;14,7;null;,7;33,4;27,7;22,8;63;36;3;
2015-02-12;9,3;null;0;35,1;28,7;22,8;53;48;1,5;
2015-02-13;13,8;null;0;36,1;30,1;22,8;48;47;1;
2015-02-14;16,2;null;0;33,8;28,6;23;55;39;2;
2015-02-15;11,9;null;0;33,7;27,9;22,5;59;47;2,5;
2015-02-16;12,4;null;0;34,4;27,8;23,2;63;58;2;
2015-02-17;10,6;null;2,1;35,5;29,4;23;51;60;2;
2015-02-18;14,8;null;0;34,6;29;22,8;59;40;3;
2015-02-19;10,5;null;,4;33,5;28;22;59;55;2,5;
2015-02-20;7,9;null;15,4;29;24,5;20,2;83;48;1;
2015-02-21;3,8;null;0;29,3;24,8;20,1;80;78;1;
2015-02-22;3,8;null;,8;29,2;24,8;19,9;74;75;1;
2015-02-23;3,5;null;12,6;27,6;24,1;20,1;87;71;2;
2015-02-24;5;null;1;27,3;25,2;19,9;70;69;2,5;
2015-02-25;4,3;null;,5;30,6;25,6;21,9;81;77;1,5;
2015-02-26;3,6;null;2,3;33,1;27,4;21,9;65;75;2;
