Nome: IGUATU
Codigo Estacao: 82686
Latitude: -6.39638888
Longitude: -39.26888888
Altitude: 221.58
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5,9;6,2;0;36,8;28,7;23,3;44,3;21;1,7;
2015-01-02;8,4;4,2;0;32,9;27,8;25;74,5;36;2,3;
2015-01-03;4;8,8;3,9;36,7;28,8;23,8;61;36;3;
2015-01-04;5,4;1,4;3,8;30,4;25,6;22,5;77;60;2,5;
2015-01-05;3,3;5,7;0;34,4;27,4;22,2;58,8;37;2,5;
2015-01-06;5;7,1;0;35;28,1;23;53,3;36;2,2;
2015-01-07;5,3;6;19,9;33,6;26,9;22,1;60,5;32;2,1;
2015-01-08;5,3;8,2;0;34,5;28,1;23,8;51,5;33;3,2;
2015-01-09;5,9;11,4;0;36,2;28,1;21,8;47,8;23;2,2;
2015-01-10;8;11,4;0;37,6;30,4;23,3;38,3;26;2,5;
2015-01-11;9,4;10,8;0;36,6;29,9;24,4;41,8;26;3,9;
2015-01-12;9,7;9,1;0;36,4;30;24;40,5;29;2,9;
2015-01-13;9,7;11,5;0;35,6;29,1;24,5;45,8;34;3,9;
2015-01-14;8,2;10,9;0;36,8;29,1;22,1;39,5;29;2,9;
2015-01-15;9,2;10,6;0;36,9;29;23,5;40;31;2,5;
2015-01-16;9;8,8;0;35,8;29,5;24,8;50,8;38;2;
2015-01-17;7,5;11,2;0;38,3;30,6;22,3;38;27;3,7;
2015-01-18;8,8;10;0;37,2;29,3;24,4;65;32;3,9;
2015-01-19;7,9;8,5;0;35,9;29,4;23,7;56,5;36;4,2;
2015-01-20;8,2;7,9;0;36;29,7;23,9;41,5;30;2,5;
2015-01-21;9;6,4;0;36,2;30;24,4;45,8;32;1,7;
2015-01-22;7,5;,2;0;32,1;27,2;24,2;59,5;38;1,7;
2015-01-23;5,3;4,8;0;34;28,5;23,8;45;32;2,1;
2015-01-24;8,2;9,3;0;36,4;29,7;24;48,3;28;4,8;
