Nome: SAO GONCALO
Codigo Estacao: 82689
Latitude: -6.83583333
Longitude: -38.31166666
Altitude: 237.04
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5;9,8;0;35,3;28;22,4;63,3;35;2,3;
2015-01-02;6,3;6,4;0;34;27,1;24,8;78;60;,9;
2015-01-03;4,4;9,7;1,2;36,6;27,9;23,6;64,5;38;1,7;
2015-01-04;4,1;3,7;32,1;31,7;24,9;21,8;82;56;1;
2015-01-05;3,2;9,5;2,9;33,6;26,8;22,2;73,8;52;1,1;
2015-01-06;4;10,3;0;34,6;26,4;21,2;67,5;41;1,2;
2015-01-07;5,2;7,1;,5;33,6;27,3;23,8;73,8;53;1,2;
2015-01-08;4,3;11,2;0;34,8;26,3;20,8;69,5;40;1,8;
2015-01-09;6,8;11,4;0;34,7;26,3;19;66,3;39;1,9;
2015-01-10;6,7;11,6;0;36,6;29,9;22,4;46,8;41;3;
2015-01-11;8,5;11,6;0;35,6;28,6;23,1;57,5;43;2,4;
2015-01-12;8,8;11,6;0;36,3;29,5;23,8;57,8;36;2,3;
2015-01-13;9,9;11,4;0;35,2;27,2;22,5;64,3;43;2,7;
2015-01-14;9,6;11,5;0;36,6;27,5;23,3;65;36;1,8;
2015-01-15;9,7;11,3;0;36;27;21,2;64,5;36;1,7;
2015-01-16;7;11,5;0;36,4;27,6;22,5;62,8;35;2,3;
2015-01-17;7,3;11,6;0;37,8;27,8;21,7;60;34;,9;
2015-01-18;8;11,1;11;37,2;29,4;22,2;51,8;28;2,8;
2015-01-19;7;10;0;35,4;28,2;22,9;65,8;43;2,7;
2015-01-20;6,3;11,4;2,1;36,2;27,4;22,2;65,5;39;1,6;
2015-01-21;7,2;9,3;0;36;28,2;23,4;51,5;35;1,9;
2015-01-22;6,4;2,5;,3;33,8;28;23,8;70,3;54;1,5;
2015-01-23;5,1;5,5;5,4;33,2;26;22,2;75,5;57;1;
2015-01-24;4,2;10,2;0;36,6;29,1;22,4;49,3;36;2,5;
2015-01-25;7,7;11;0;35,5;26,7;21,6;63,3;33;2,1;
2015-01-26;7,4;8,1;0;35;27,1;24,4;64,5;38;1,8;
2015-01-27;6;11,4;0;37,4;27,1;20,8;62;31;1,8;
2015-01-28;7,1;11,3;0;37;27,3;21;58,5;34;1,8;
2015-01-29;7,9;10,1;0;36,6;28,6;23;62,8;36;2,2;
2015-01-30;8,4;9,8;0;37,1;29,5;26,4;62;47;2;
2015-01-31;7;11,3;0;37,3;28,9;21;59;38;2,1;
2015-02-01;8,1;10,6;0;37,3;28,9;24,1;60;39;1,8;
2015-02-02;8,2;8,3;0;36,6;29;21,4;57,8;37;1,5;
2015-02-03;7,1;,1;,4;32,3;26,8;22,8;73,8;58;1,2;
2015-02-04;4;1,4;0;33,4;27,2;23,6;75,8;55;1,3;
2015-02-05;3,7;2,1;108,9;30,8;25,1;22,2;82,8;64;1;
2015-02-06;3,2;11,4;,3;33,7;27,4;22,4;64;40;2,6;
2015-02-07;5,5;10,1;0;33,8;26,8;21,2;75,5;51;1,7;
2015-02-08;5,5;8,4;0;33,5;27;22,1;71,3;51;2,1;
2015-02-09;6;11;0;35,2;26,9;20,1;66,8;45;2;
2015-02-10;7;11,3;0;36,1;27,4;20,8;67,8;40;1,7;
2015-02-11;6,9;10,2;0;34,5;27,5;23,8;71,5;47;2,6;
2015-02-12;6;8;0;33,9;27,4;24,3;72,5;50;2,1;
2015-02-13;4,8;11;0;35,8;27,5;23,1;68,8;45;1,5;
2015-02-14;6,1;10,9;0;35;28,1;21,4;59,3;41;2,3;
2015-02-15;5,8;1,2;0;31,4;26,8;23;76,8;59;1,3;
2015-02-16;4,3;6,1;0;33,9;27,1;23;70,3;48;1,6;
2015-02-17;5,4;11,2;0;35;28,6;21,6;56,8;41;3;
2015-02-18;6,9;9,7;0;35,2;27,1;23,8;73;43;2,2;
2015-02-19;5,1;8,2;8,7;33,9;26,1;22;78;60;1;
2015-02-20;4,1;3,8;0;32,3;26,8;23,5;82,3;67;,6;
2015-02-21;3,2;,4;0;30,6;24,8;22,7;81;67;1,9;
2015-02-22;2,7;3;2;30,4;25,2;21;80,8;62;,5;
2015-02-23;2,9;2,8;1,8;31;25,2;21,4;88,5;71;1;
2015-02-24;2,7;11;,4;34,6;27;22,2;71;43;2;
2015-02-25;4,9;6,6;38,2;32,4;26,4;23,5;77,8;53;2,7;
2015-02-26;4,3;11,1;0;34,6;26,9;21;71,5;45;1,7;
2015-02-27;5,2;11;0;36,2;27,8;22,9;73,8;53;1,2;
2015-02-28;4,4;8;0;35,3;27,8;22,5;75;53;,6;
2015-03-01;4,4;7,2;,5;34,4;28,5;24,1;68;51;2,4;
2015-03-02;4;5,1;84,8;32,2;25,2;22;88,5;66;,4;
2015-03-03;1,4;10,7;12,5;33,6;26,4;21,8;78,3;53;2,1;
2015-03-04;4,2;9,2;0;34,8;27,3;21,3;75,5;53;1,2;
2015-03-05;4;10,9;0;33,6;26,2;21,7;80,5;55;2;
