Nome: SERIDO (CAICO)
Codigo Estacao: 82690
Latitude: -6.46749999
Longitude: -37.08499999
Altitude: 171.26
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;9,2;7,5;0;37,5;29,1;23,8;59,8;31;,1;
2015-01-02;9;1,8;1,6;33,9;28,5;26,4;60,3;41;,2;
2015-01-03;6,3;10,1;0;37,6;29,6;24,1;53;35;,4;
2015-01-04;8,7;7,7;0;36,8;28,6;24;59,8;35;,3;
2015-01-05;8;8,8;0;36,4;30,2;24,4;48,5;35;,3;
2015-01-06;9,9;10,9;0;36,8;30,5;23,8;46,5;31;1,4;
2015-01-07;9,5;7,5;0;35,6;29,9;24,7;49,3;35;1,1;
2015-01-08;8,9;10,8;0;36,7;29,7;23,2;45,3;26;1,6;
2015-01-09;10,6;10,5;0;36,5;29,7;22,6;48,8;34;,6;
2015-01-10;10;11,3;0;37,9;30,5;23,7;46,8;31;1,3;
2015-01-11;10,8;9;0;35,1;30;24;53,8;52;,5;
2015-01-12;8,8;9,2;0;37,3;30,2;24,4;52;36;1,1;
2015-01-13;8,2;9,7;0;35,8;29,9;24,1;47,8;39;1,6;
2015-01-14;9,4;11,4;0;37,1;30,2;23,5;44,3;29;,8;
2015-01-15;10,8;10,7;0;37,6;30,4;23;43,5;31;1,5;
2015-01-16;10;11,5;0;37,3;30,3;23,8;45,3;30;,7;
2015-01-17;11;10,8;0;38,5;30,8;24,2;47;24;1,7;
2015-01-18;10,5;9,5;0;37,9;31;26,2;45,3;29;1,8;
2015-01-19;10,6;8;0;36,7;30,6;25,9;50;31;,3;
2015-01-20;9,4;9,1;0;37,8;30,6;24,2;48,8;27;,3;
2015-01-21;11,2;7,7;0;37,3;30,6;25,2;49,5;30;1;
2015-01-22;9,6;3,9;0;35,7;30,1;25,6;48,5;35;,5;
2015-01-23;10,1;5,3;0;35,2;29,5;23,4;52,3;36;,5;
2015-01-24;9,4;7,5;0;37,4;30,6;25,2;52,8;42;1,9;
2015-01-25;8,5;8,5;0;37;30,1;23,8;48,5;31;,2;
2015-01-26;13,6;8,4;0;36,9;30,5;22,9;48,3;31;,4;
2015-01-27;9,5;9,4;0;37,6;30,6;24,4;43,8;28;,4;
2015-01-28;13;11,1;0;37,3;30,4;23,5;41;24;,4;
2015-01-29;8,1;10,5;0;36,4;29,7;24;55,3;34;,7;
2015-01-30;8,3;10,2;5,9;37,4;30,7;25,5;45,5;31;,4;
2015-01-31;10,3;9,1;0;37,6;31,2;25;45;29;,7;
2015-02-01;9,5;10,5;0;37,5;31,2;25,7;45;26;,7;
2015-02-02;10;8;0;38;28,8;24,2;58,8;30;,4;
2015-02-03;6,9;7,2;12,4;35,8;28,1;24,4;71;39;,5;
2015-02-04;6,1;4,5;10,6;35,2;27,1;23,6;67,5;35;,6;
2015-02-05;6;1,9;13,5;32,2;27,1;22,8;72;52;0;
2015-02-06;5,2;11;,6;36,3;29,9;23,2;47;29;,4;
2015-02-07;10,4;3,9;0;35,2;29,6;23;52,5;42;1;
2015-02-08;9,2;7,8;0;36;30,3;23,8;43,5;31;,4;
2015-02-09;8,6;10,2;0;36,6;30,1;23,2;48,3;32;1;
2015-02-10;8,8;9;0;37,7;30,9;24,4;44,5;31;,7;
2015-02-11;9,1;7,4;0;37,8;30,5;24,4;46,8;25;,8;
2015-02-12;13,2;8,5;0;38,6;31;24,6;47,5;27;1;
2015-02-13;10,3;10,5;0;37,5;30,8;25;43,3;28;1,4;
2015-02-14;10;8,2;0;37,7;30,6;24,2;46,8;31;,1;
2015-02-15;9,9;1,3;0;36;28,1;25;65,5;32;,1;
2015-02-16;6,8;4,7;5,7;35,2;29,8;23,9;50,5;40;1,4;
2015-02-17;7,3;9,6;0;35,6;29,2;24,6;55,8;35;,4;
2015-02-18;7,8;6,5;0;36,7;30;25,8;57,3;35;2;
2015-02-19;7;8,3;0;37;30;25,4;54,3;29;,9;
2015-02-20;7,1;2,1;0;35,4;27,6;24,4;64,5;36;0;
2015-02-21;6,2;2,6;0;35;26,6;23,2;78,5;56;0;
2015-02-22;3,4;1,7;13,4;30,7;27,4;22,4;69;62;0;
2015-02-23;3,7;4,3;0;34,2;28,5;24,3;66,3;48;0;
2015-02-24;5,7;10,4;0;36,1;29,1;23,7;61,3;36;,1;
2015-02-25;7,3;6,3;3,4;34,4;27,7;22,6;66,8;49;,4;
2015-02-26;6,2;9,8;0;36,6;29,8;23,6;55;36;,1;
2015-02-27;8,1;10,3;0;37,6;30,1;24,5;54,5;27;,5;
2015-02-28;8,4;8,9;0;36,7;28,6;22,7;63,8;35;0;
2015-03-01;6;7,9;20,4;35,8;28,5;22,6;68,3;54;,2;
2015-03-02;6,5;3,8;3,9;33;28,3;24,4;66,5;60;,1;
2015-03-03;8,8;9,5;,8;35,5;29,2;21,8;49;36;,7;
2015-03-04;9,5;1,7;0;34,3;28,3;23,2;62,5;48;0;
2015-03-05;6,5;8,8;,3;36,3;28,4;23,7;63;39;0;
2015-03-06;8,3;5,9;0;33,6;28,6;23,8;62,8;52;,6;
2015-03-07;7,7;10;0;35,5;29,4;23,2;51,8;40;,3;
2015-03-08;11,3;2,9;0;34,4;27,4;24,2;87,3;59;,3;
2015-03-09;2,7;6,3;3;34,8;28,1;23,4;82,8;77;0;
2015-03-10;3,8;6,2;11,8;34,2;28,7;24;64;42;,3;
2015-03-11;6,9;9,4;0;35,2;29,2;23,9;55,5;37;,5;
2015-03-12;7,8;8,8;0;35,6;29;23,6;55,3;38;,2;
2015-03-13;7,5;9,8;0;36,9;30,1;24,4;51,3;33;,7;
2015-03-14;8,5;10,8;0;37,6;30,2;24,5;48;27;,4;
2015-03-15;8,9;8,8;0;37,5;29;24;60;31;,1;
2015-03-16;6,7;9,5;0;37,5;30,5;24,7;53,3;32;,3;
2015-03-17;8,3;4,4;0;37,5;30,5;25,4;50,3;32;1,1;
2015-03-18;9,7;9,8;0;37,2;30,5;24,2;44;31;,8;
2015-03-19;10,1;5,8;0;36,6;30,8;25,3;46,8;35;,5;
2015-03-20;10,2;6,6;0;35,1;29,1;24,4;58,3;38;,3;
2015-03-21;6,7;1,3;0;33,4;26,8;22,9;85,5;64;0;
2015-03-22;1,8;6,1;45,1;33,5;26,2;22,8;90,3;78;,4;
