Nome: FLORANIA
Codigo Estacao: 82691
Latitude: -6.12388888
Longitude: -36.81194444
Altitude: 324.45
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2018-05-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;10,7;7,1;0;35,7;28,3;23;62;56;3;
2015-01-02;9,3;2;0;32,9;27,1;24,6;63;64;2;
2015-01-03;9,7;4,7;0;35,1;27,3;22,8;63;61;3;
2015-01-04;8;5,3;0;34,1;27,6;23;67;54;3;
2015-01-05;7;4,9;0;34,1;27,7;22,4;58;62;4;
2015-01-06;8,5;9,8;0;35,7;28,5;22,6;60;56;3;
2015-01-07;10;7,9;0;35,1;28,2;22,8;63;58;2;
2015-01-08;10,7;9,8;0;34,9;27,7;23,4;60;61;5;
2015-01-09;11,1;10,4;0;34,7;27,4;21,6;62;59;3;
2015-01-10;11,2;11,4;0;36,1;28,5;22,4;57;50;5;
2015-01-11;12,1;9,7;0;34,7;28,1;23;58;52;3;
2015-01-12;10,5;10,8;0;35,3;28,5;23,4;59;56;4;
2015-01-13;11;7;0;34,5;27,9;23,8;59;54;4;
2015-01-14;11,3;9,8;0;35,1;28,4;22,2;52;53;4;
2015-01-15;11,6;11,3;0;35,7;28;20,8;56;51;3;
2015-01-16;11,3;10,1;0;35,5;28,2;22,4;54;53;4;
2015-01-17;10,7;11;0;37,1;28,6;22,8;60;52;3;
2015-01-18;11,5;10,6;0;35,7;28,8;25;59;59;4;
2015-01-19;10,3;9;0;35,3;28,1;22,4;58;57;3;
2015-01-20;10,1;7,4;0;35,9;28,4;22,5;57;55;3;
2015-01-21;9,9;7,8;0;36,1;28,4;23,9;60;55;2;
2015-01-22;8,6;1,9;1,6;33,9;27,9;23,8;57;54;3;
2015-01-23;10,1;4,7;0;33,9;27,7;22;57;54;4;
2015-01-24;9;6,5;0;34,5;28;23,2;60;55;3;
2015-01-25;9,1;8,6;0;35,1;28,1;22,4;59;53;4;
2015-01-26;11,1;10;0;35,3;28,4;22,3;54;53;3;
2015-01-27;12,9;10,5;0;36,3;28,3;22,4;53;52;3;
2015-01-28;11;11,4;0;36,3;28;21,6;56;51;3;
2015-01-29;11,5;10,1;0;35,3;28,2;22,6;64;56;2;
2015-01-30;8,9;10;0;35,9;28,9;24;54;59;2;
2015-01-31;9,1;10,2;0;35,9;29;23,6;56;52;4;
2015-02-01;8,7;10,1;0;35,9;28,7;22,6;50,5;32;4,7;
2015-02-02;10,2;5,8;0;35,9;26,9;22,6;69;37;3,3;
2015-02-03;6,1;6,2;1,4;33,9;27,5;23,8;62,8;52;1,3;
2015-02-04;4,2;3,4;4;35,1;27;22,2;65,5;40;2,7;
2015-02-05;5,6;null;0;29,9;26,1;23;70,5;59;1,3;
2015-02-06;5,1;null;0;35,7;28,2;22;47,5;26;3,3;
2015-02-07;9,9;null;0;33,4;28;23,2;54,5;35;4;
2015-02-08;8;null;0;35;28,4;22,6;47,3;33;4;
2015-02-09;11,5;null;0;34,9;28,2;22,2;52,3;37;3,3;
2015-02-10;11,1;null;0;36,5;28,9;23,6;53,5;33;3,3;
2015-02-11;10,4;null;0;35,7;28,8;24;50;29;3,3;
2015-02-12;11,5;null;0;36,1;29,1;24,2;50,8;30;3,3;
2015-02-13;10;null;0;36,1;28,5;23,4;50,8;32;3,3;
2015-02-14;11;null;0;35,3;28,4;22,5;50,3;33;2;
2015-02-15;8,3;null;0;34,3;28,1;22,4;52,8;35;2;
2015-02-16;7,8;null;0;35;28,6;25;53;36;4;
2015-02-17;9,7;null;0;33,5;27;22,5;65,3;44;2;
2015-02-18;5,5;null;32;34,1;27;22,5;66,5;44;2;
2015-02-19;5;null;25,9;34,7;27,4;22,7;66,5;35;2;
2015-02-20;6,7;null;0;30,6;25,4;23,2;75,3;68;2,7;
2015-02-21;2;null;25,5;32;24,2;21,4;81,3;55;2,7;
2015-02-22;2,5;null;14;29,9;25,6;20,8;74,8;70;2;
2015-02-23;3;null;0;31,7;26;22,2;75,3;55;1,3;
2015-02-24;3,6;null;0;34,6;27,6;21,8;60,3;45;4;
2015-02-25;6;null;4,2;31,9;26,1;22;77;66;1,3;
2015-02-26;5,7;null;,2;33,9;28;22,4;58,5;43;2;
2015-02-27;6,1;null;0;34,5;27,4;21,8;63,8;44;2,7;
2015-02-28;5,7;null;0;34,1;26,5;21,6;70,5;50;2;
2015-03-01;4;null;,4;33,9;26,8;21,2;75;56;2;
2015-03-02;4;null;0;31,3;26,8;23,4;64,5;60;3,3;
2015-03-03;6,3;null;0;32,9;27,7;23;55,8;43;2,7;
2015-03-04;7,2;1,7;0;32,1;26,7;22,7;67;57;4;
2015-03-05;4,5;7,9;0;33,7;26,7;22;70,8;48;3,3;
2015-03-06;3,8;5,9;2,3;31,9;26,5;22,5;71;63;4;
2015-03-07;5,7;7,6;0;31,6;26,8;21,4;63;49;2,7;
2015-03-08;5,2;3,2;0;32,2;25,9;22,7;89,8;71;2,7;
2015-03-09;2,2;5,6;27;32,3;26,8;22,6;74,5;67;2,7;
2015-03-10;4;8;0;33,1;27,6;23,3;61,8;46;3,3;
2015-03-11;6,8;10,1;0;33,3;27,5;23;58;42;3,3;
2015-03-12;7,5;9,6;0;34,5;27,7;22;56;36;3,3;
2015-03-13;7,5;9,4;0;34,3;27,8;23,2;57,8;41;3,3;
2015-03-14;8,6;null;0;35,7;28,3;22,8;54,8;32;2,7;
2015-03-15;9,2;null;0;35,5;28,3;22,2;58,8;40;2,7;
2015-03-16;7,3;null;,2;35,4;28,4;24,2;55,8;33;3,3;
2015-03-17;8,5;null;0;34,5;27,9;23,6;57,8;40;2,7;
2015-03-18;9;null;0;35,1;28,2;22,2;53,3;34;4;
2015-03-19;10,1;null;0;34,9;28,7;23,6;50,3;37;2,7;
2015-03-20;13,1;null;0;34,1;26,9;22,4;72,5;53;3,3;
2015-03-21;3,7;null;2;32,1;25,5;22;88,3;74;3,3;
2015-03-22;1,5;null;17,1;31,7;25,2;22,4;80,8;70;2;
2015-03-23;2,1;null;10,6;31,1;25,1;21,8;92,5;81;2;
2015-03-24;,2;null;24,4;31,7;25,1;21,4;79,8;60;2;
2015-03-25;3,5;null;0;32,7;26,7;22;75,5;49;2;
2015-03-26;3,1;null;0;33,6;26,7;21,3;69;49;2,7;
2015-03-27;3,8;null;0;31,7;26,1;21,2;70,8;54;2;
2015-03-28;4;null;0;32,3;26;20,1;70;69;2;
2015-03-29;4,5;null;0;31,3;25,9;22,6;80,5;61;2;
2015-03-30;6,5;null;12,7;31,6;24,8;21,6;86,5;69;2;
2015-03-31;1,8;null;79,6;32,9;26,3;20,8;70,3;50;2,7;
2015-04-01;4,8;null;0;32,9;27;23,1;77;67;3;
2015-04-02;3,8;null;0;32,7;26,7;22,4;80;72;2;
2015-04-03;3,5;null;0;33;26,8;23,4;77;70;4;
2015-04-04;4;null;0;31,9;26,2;21,5;78;68;2;
2015-04-05;3,7;null;0;32,8;26,6;22,2;73;72;2;
2015-04-06;4,3;null;0;32,5;26;20,2;79;72;3;
2015-04-07;4,1;null;0;32,7;25,5;22,8;88;82;4;
2015-04-08;2,3;null;6,2;31,1;25,8;22,4;84;82;3;
2015-04-09;1,6;null;1,2;32,5;26,4;22;83;67;3;
2015-04-10;3;null;0;32,7;25,7;20,8;86;72;3;
2015-04-11;2,1;null;14,8;32;25,5;22,2;90;81;3;
2015-04-12;2;null;24,8;32,8;27;22,2;73;78;3;
2015-04-13;3,8;null;0;32,1;26,5;23,2;84;71;3;
2015-04-14;3,4;null;1,2;33,3;27,3;22,2;72;71;3;
2015-04-15;5,3;null;0;33,9;27,3;22,2;69;66;4;
2015-04-16;5,6;null;0;33,3;27,1;20,6;68;62;4;
2015-04-17;5,1;null;0;33,3;27,5;22,2;73;67;3;
2015-04-18;9,6;null;0;34,4;27,4;21,6;73;66;3;
2015-04-19;4,8;null;0;33,9;26,5;20,8;71;78;3;
2015-04-20;5,2;null;0;33,8;26;18,8;79;67;3;
2015-04-21;5,2;null;0;34,7;26,7;20,2;77;66;3;
2015-04-22;5,8;null;0;33,7;26,1;21,8;88;71;2;
2015-04-23;2,1;null;3,4;31,5;25,3;22,6;87;81;2;
2015-04-24;2;null;6,4;30,7;26,1;22,4;76;75;4;
2015-04-25;3,7;null;0;32,5;27;22,8;71;69;3;
2015-04-26;5,7;null;0;33,4;27,1;22;69;61;3;
2015-04-27;5,6;null;0;33,6;27,1;21,2;61;59;3;
2015-04-28;5,9;null;0;34,3;27,4;22;67;62;2;
2015-04-29;6,8;null;0;33,5;27,5;22,4;59;60;3;
2015-04-30;9,8;null;0;35,2;28,1;21,4;58;58;2;
2015-05-01;6,8;null;0;34,3;27,1;20,2;61,8;43;2;
2015-05-02;5,5;null;,7;33,5;27,4;22,7;58,5;47;2;
2015-05-03;5,9;null;0;33,3;27,5;23;67,3;60;4;
2015-05-04;6,2;null;,2;32,3;27;23,2;70;62;3,3;
2015-05-05;3,8;null;0;34,9;27,5;20,6;59,5;42;2;
2015-05-06;6,3;null;0;34,7;27,2;19,6;62,3;46;3,3;
2015-05-07;7,2;null;0;34,5;27,8;24;60;42;2,7;
2015-05-08;5;null;2;36,1;27,5;20,8;65,5;44;3,3;
2015-05-09;4,3;null;,2;34,7;27,6;21,6;59,5;35;2,7;
2015-05-10;7;null;0;35,5;27,9;22,4;55;33;4;
2015-05-11;8;null;0;34,7;27,5;20,6;54,8;32;3,3;
2015-05-12;7,8;null;0;35,2;28,4;23,6;53;32;3,3;
2015-05-13;7,2;null;0;35,1;27,9;22,6;56,3;26;2;
2015-05-14;9,5;null;0;34,1;28;25,4;55,3;35;4;
2015-05-15;9,7;null;0;34,9;28,2;24,2;53,3;34;3,3;
2015-05-16;10;null;0;35,7;27,9;22;52,3;24;3,3;
2015-05-17;10,3;null;0;34,1;27,9;23;56,8;38;4;
2015-05-18;9,2;null;0;35,7;28,9;25,4;53;24;2,7;
2015-05-19;9,8;null;0;34,7;28,3;23,2;61,8;45;2,7;
2015-05-20;7,7;null;0;34,6;27,5;23,2;60;41;2;
2015-05-21;6,8;null;0;35,3;27,8;20,4;59;53;4;
2015-05-22;6,9;null;,2;34,1;27;18,5;58,8;44;4;
2015-05-23;7,6;null;0;33,9;27,1;18,8;58;43;3,3;
2015-05-24;8,7;null;0;35,3;27,7;19,6;59,5;40;3,3;
2015-05-25;8,4;null;0;35,2;28,4;24,6;58,5;34;4,7;
2015-05-26;8;null;0;35,7;28,5;24,2;56;33;3,3;
2015-05-27;7,5;null;0;34,4;27,6;20,6;54;31;3,3;
2015-05-28;7,2;null;0;34,7;27,5;20,4;57,5;39;3,3;
2015-05-29;6,9;null;0;36,6;28,5;21,7;50,3;27;2,7;
2015-05-30;7,9;null;0;35,1;28;23,2;56,5;42;3,3;
2015-05-31;7,1;null;0;33,2;26,5;21,2;64;55;3,3;
2015-06-01;7,4;4,9;0;32,6;26,6;19,8;64;56;3;
2015-06-02;6,3;10,4;0;34,6;28;21,6;66;61;3;
2015-06-03;7,9;7,9;0;34,3;27,5;21,8;63;56;4;
2015-06-04;8;1,1;1,8;30,7;25,9;21,6;72;67;4;
2015-06-05;4,5;10,1;0;34,1;26,6;19;67;61;4;
2015-06-06;11;6,4;0;32,9;26,9;22,4;64;58;4;
2015-06-07;6,1;4,5;0;31,3;25,8;20,7;70;58;3;
2015-06-08;5,3;4,7;1,4;30,3;24,7;20,2;79;77;3;
2015-06-09;4,8;6;,6;33,3;26,6;19,3;68;62;3;
2015-06-10;6,6;6,1;0;33,5;27,2;21,6;60;64;4;
2015-06-11;7,9;10,5;0;34;27,1;21,4;60;59;4;
2015-06-12;10,6;8,3;0;33,5;26,5;20,2;64;60;4;
2015-06-13;8,7;10,7;0;33,9;26,7;21,2;62;55;4;
2015-06-14;6,8;5,8;0;33,1;26,1;19,5;68;64;4;
2015-06-15;6,3;10;0;34,7;27,4;20,6;62;65;4;
2015-06-16;8,7;10,5;0;33,7;26,9;20;54;54;4;
2015-06-17;9,5;4,7;0;31,9;24,4;18,4;68;55;3;
2015-06-18;5,7;8,6;0;32,1;25;17,6;65;55;3;
2015-06-19;5,1;9;0;32,9;26,4;20,6;58;63;4;
2015-06-20;9;9;0;33,3;26,9;20,3;58;55;4;
2015-06-21;8;,8;0;30,7;26;20,4;61;58;4;
2015-06-22;6,5;9,2;0;34,1;25,5;18,6;69;60;4;
2015-06-23;6,2;,6;0;30,3;25;21,2;75;69;4;
2015-06-24;2,4;8,9;,5;34,1;26,5;20;71;67;3;
2015-06-25;5;,1;0;28,1;24,6;20,6;68;71;4;
2015-06-26;3,1;8,1;6,6;32,1;25,4;19,6;66;66;3;
2015-06-27;6,8;9,1;0;31,2;25,2;18,4;66;63;4;
2015-06-28;5,8;8,8;0;33,4;26,4;20,2;67;62;4;
2015-06-29;8,1;3,5;0;32,6;26;20,4;70;69;4;
2015-06-30;6,4;,8;0;30,2;25,3;20,6;72;69;4;
2015-07-01;5;3,8;0;32,5;26,2;21,2;65;66;4;
2015-07-02;7,7;5,9;0;31,2;25,8;21,2;72;64;2,2;
2015-07-03;4,8;8,1;,2;33,1;26,9;21,2;62;63;4;
2015-07-04;6,7;2,7;0;33,4;26;22,2;null;62;2;
2015-07-05;3,2;7,9;,4;32,9;26,5;20,8;59;63;4;
2015-07-06;7,5;10,1;0;31,7;26,2;20,3;64;57;4;
2015-07-07;5,8;9,6;0;34,1;25,8;17,6;64;63;4;
2015-07-08;6,1;5,8;0;33,3;26,5;20,8;66;62;3;
2015-07-09;5,6;9,6;0;33,5;26,5;19,8;64;60;4;
2015-07-10;4,2;9,8;0;33,1;26,9;20;60;58;4;
2015-07-11;8,3;7,2;0;32,5;25,7;18,4;65;57;3;
2015-07-12;6,4;7,1;0;31,4;25,2;18,8;69;63;5;
2015-07-13;7,4;8,4;0;32,9;25,9;19,8;60;59;5;
2015-07-14;11,5;8,9;0;31,9;25,7;19,6;56;59;4;
2015-07-15;10,2;9,5;,3;32;24,5;19;72;55;4;
2015-07-16;8;5,5;5,6;30,2;23,9;19,2;80;73;5;
2015-07-17;3,5;1,9;3,6;27,7;23,3;18,6;73;78;4;
2015-07-18;5,2;9,3;0;30,9;24,8;19,4;65;64;4;
2015-07-19;9,2;5,8;0;31,1;25,1;19,4;63;66;4;
2015-07-20;9,1;6,2;0;30,4;25,1;20,2;69;59;5;
2015-07-21;6,2;7,8;0;32,2;25,6;20,4;69;63;3;
2015-07-22;3,3;4,1;0;32,9;25,3;19,8;73;72;3;
2015-07-23;1,8;1,9;2,3;30,3;24,6;19,1;60;69;4;
2015-07-24;1,8;4,1;0;30,9;25,5;20,4;63;65;3;
2015-07-25;2;11;0;34;26,6;19,3;55;51;4;
2015-07-26;10;5,2;0;33,7;25,5;19,3;70;58;4;
2015-07-27;6,7;,5;,2;30,5;24,2;19,8;76;67;3;
2015-07-28;5,3;3,7;0;31,3;24,5;20,4;72;72;4;
2015-07-29;5,5;2,9;1,8;29,5;23,2;18;84;70;4;
2015-07-30;3,2;10,9;7,5;31,1;24,7;18,8;59;64;4;
2015-07-31;8,2;2,6;0;30;23,7;17;68;57;4;
2015-08-01;4,7;7,6;,2;30,8;24;16;63;67;4;
2015-08-02;4,6;7;0;30,7;24,2;16,6;71;62;3;
2015-08-03;8,8;10,5;0;32;24,9;18,4;68;61;3;
2015-08-04;7,9;10,9;0;32,6;25,6;18,2;60;56;3;
2015-08-05;6,1;10,1;0;32,8;25,7;19,4;66;63;4;
2015-08-06;2,2;6,9;0;32,3;25,2;18,8;67;67;4;
2015-08-07;1,9;9,6;0;32,2;25,4;18,6;60;58;3;
2015-08-08;9,5;10,4;0;32,4;25,4;17,4;69;55;5;
2015-08-09;10,3;10,2;0;32,4;25,5;19,4;64;59;6;
2015-08-10;9,8;10,8;0;32,9;25,9;19,4;55;48;5;
2015-08-11;8,7;9,9;0;31,9;25,5;19,5;61;59;5;
2015-08-12;10,5;8,2;0;31,1;24,8;18,4;61;61;5;
2015-08-13;8,7;10,5;0;32,5;24,8;17;62;58;4;
2015-08-14;8,1;4,7;0;31,2;24,8;18;67;62;5;
2015-08-15;5,2;9,6;0;33,3;26,2;21,6;66;62;4;
2015-08-16;2,9;10,4;0;32,9;25,8;19,6;62;59;5;
2015-08-17;10,5;10,4;0;33,1;26,1;20,4;53;55;6;
2015-08-18;11,5;10,8;0;33,1;25,9;20;66;53;4;
2015-08-19;10,1;11;0;32,7;25,7;19,6;60;57;6;
2015-08-20;6,4;10,7;0;34,5;26,7;20,2;60;52;3;
2015-08-21;8;10,3;0;34,9;27;19,8;66;59;2;
2015-08-22;7,7;10,8;0;34,6;27,4;21,2;57;60;5;
2015-08-23;12,1;11,1;0;34,9;26,5;19,6;57;55;5;
2015-08-24;11,8;10,7;0;34,4;25,8;17,8;66;58;2;
2015-08-25;8;10,2;0;34,3;26,8;19,4;60;54;3;
2015-08-26;8,2;10,3;0;33,2;26,3;19,4;62;58;4;
2015-08-27;8;10,1;0;34,1;26,2;19,1;58;57;3;
2015-08-28;6,4;11;0;34,8;26,3;19;62;54;3;
2015-08-29;3,6;11;0;34,1;26,2;19,4;62;53;4;
2015-08-30;11,1;9,7;0;33,9;26,6;20,4;61;57;5;
2015-08-31;10,1;11;0;34,4;26,3;19,6;58;55;5;
2015-09-01;10,8;9,4;0;34,2;25,8;19,2;71;59;3;
2015-09-02;6,2;9,9;0;34,2;26,5;20,2;62;55;3;
2015-09-03;7,1;10,5;0;33,9;27,1;20,2;60;56;4;
2015-09-04;7,6;11;0;35,7;27,3;20,2;63;58;4;
2015-09-05;4,3;9,8;0;37,3;27,9;21,2;64;55;4;
2015-09-06;7,9;10,2;0;35,3;26,7;20,1;63;61;3;
2015-09-07;9,9;11,2;0;34,6;26,6;19,4;58;47;3;
2015-09-08;8,8;10,5;0;33,6;26,3;18,2;58;56;3;
2015-09-09;10,5;10,3;0;33,7;26,4;20;63;60;4;
2015-09-10;null;null;null;null;null;null;null;64;null;
2015-09-11;null;null;null;null;null;null;null;null;null;
2015-09-12;null;null;null;null;null;null;null;null;null;
2015-09-13;null;null;null;null;null;null;null;null;null;
2015-09-14;null;null;null;null;null;null;null;null;null;
2015-09-15;null;null;null;null;null;null;null;null;null;
2015-09-16;null;null;null;null;null;null;null;null;null;
2015-09-17;null;null;null;null;null;null;null;null;null;
2015-09-18;null;null;null;null;null;null;null;null;null;
2015-09-19;null;null;null;null;null;null;null;null;null;
2015-09-20;null;null;null;null;null;null;null;null;null;
2015-09-21;null;null;null;null;null;null;null;null;null;
2015-09-22;null;null;null;null;null;null;null;null;null;
2015-09-23;null;null;null;null;null;null;null;null;null;
2015-09-24;null;null;null;null;null;null;null;null;null;
2015-09-25;null;null;null;null;null;null;null;null;null;
2015-09-26;null;null;null;null;null;null;null;null;null;
2015-09-27;null;null;null;null;null;null;null;null;null;
2015-09-28;null;null;null;null;null;null;null;null;null;
2015-09-29;null;null;null;null;null;null;null;null;null;
2015-09-30;null;null;null;null;null;null;null;null;null;
2015-10-01;0;9,9;0;34,2;26,5;17,8;56;53;3;
2015-10-02;11,3;10,3;0;34,9;26,6;18,9;57;52;4;
2015-10-03;10,4;11;0;35,7;26,9;19,3;57;52;3;
2015-10-04;9,3;10,2;0;37;27,3;18,5;54;45;3;
2015-10-05;8,7;10,8;0;35,7;27,2;19,1;60;53;4;
2015-10-06;6,9;6,4;0;35,6;27,4;18,8;61;53;3;
2015-10-07;6,2;5,3;0;33,8;26,8;21,2;65;59;3;
2015-10-08;8;11,3;0;34,7;26,9;21,2;61;51;4;
2015-10-09;10,1;9,2;0;34,1;26,4;19,6;61;49;4;
2015-10-10;9,4;11,2;0;35,3;26,6;18,8;61;52;3;
2015-10-11;9;10,9;0;34,9;26,9;18,8;55;53;5;
2015-10-12;9,3;11,4;0;34,6;26,8;19;56;52;5;
2015-10-13;11,5;8,8;0;35,5;26,9;19,2;58;58;4;
2015-10-14;12,2;7;0;34;26,8;21,2;64;56;4;
2015-10-15;8,8;7,3;0;31,5;25;18,6;70;61;3;
2015-10-16;6,9;10,8;0;34,5;26,7;19,4;60;55;4;
2015-10-17;10,1;9,7;0;36,2;27,1;18;60;58;4;
2015-10-18;11,6;10,4;0;35,9;28;21,3;57;54;3;
2015-10-19;8,8;9;0;35,4;27;19,5;60;59;4;
2015-10-20;9,2;11;0;36,6;27,3;18,9;55;50;4;
2015-10-21;9,3;9,8;0;37,5;27,8;19,3;51;47;4;
2015-10-22;8,5;7,9;0;36,2;27,1;19,7;58;53;3;
2015-10-23;7,8;8,6;0;35,3;26,8;18,8;60;49;4;
2015-10-24;7,9;8,6;0;35,7;26,9;19,2;61;56;3;
2015-10-25;7,7;9,7;0;35,6;27,4;18,1;57;50;3;
2015-10-26;8,3;8,5;0;36,8;27,7;19,6;57;50;4;
2015-10-27;11;10,8;0;35,1;26,8;19;57;47;4;
2015-10-28;10,5;11,5;0;36,1;27;18,6;58;51;3;
2015-10-29;7,8;11;0;37;27;18,3;60;54;4;
2015-10-30;8,1;8,6;0;35,3;26,7;18,8;62;52;2;
2015-10-31;8,2;4,1;0;32;26,2;19,6;56;58;4;
2015-11-01;7,4;10,7;0;34,8;26,8;19,2;58;53;3;
2015-11-02;10;10,7;0;35,1;27,1;19,4;57;56;4;
2015-11-03;11,1;10,5;0;34,9;27,3;20,2;57;51;4;
2015-11-04;10,8;10,6;0;35,1;27,3;19,4;54;52;3;
2015-11-05;9,3;11;0;36,2;27,6;18,4;58;53;3;
2015-11-06;8,7;11,1;0;37,7;28,3;18,2;52;52;3;
2015-11-07;9,1;11,3;0;37,1;27,5;18,6;57;50;2;
2015-11-08;9,2;10,3;0;34,1;26,9;20;59;52;4;
2015-11-09;7,7;8,8;0;35,3;27,2;20,2;59;53;3;
2015-11-10;7,5;9,6;0;35,9;27,5;20,3;58;54;4;
2015-11-11;9,3;11,6;0;35,7;27,1;18,8;55;47;4;
2015-11-12;12,1;11,5;0;35,9;27,6;19;50;45;4;
2015-11-13;9,9;10;0;35,9;26,9;18;62;53;3;
2015-11-14;7,2;11,6;0;36,2;27,2;17;55;50;4;
2015-11-15;7,9;9,2;0;36,3;28,1;20;59;51;4;
2015-11-16;7,4;9,6;0;36,1;28,1;21,2;57;54;4;
2015-11-17;8,7;10,1;0;35,6;27,2;18;59;51;3;
2015-11-18;8,3;9,8;0;36,4;27,5;18,2;59;52;3;
2015-11-19;7,1;10,4;0;37;26,9;17,4;60;54;4;
2015-11-20;7,8;10,9;0;37;27,4;17,4;57;55;3;
2015-11-21;8;9,1;0;36,8;27,7;18,4;56;51;4;
2015-11-22;7,5;7,1;0;37;28;18,6;56;55;4;
2015-11-23;8,2;10,5;0;36,4;28;19,8;56;54;3;
