Nome: CRUZETA
Codigo Estacao: 82693
Latitude: -6.42638888
Longitude: -36.79138888
Altitude: 226.33
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;12,8;8,2;0;36,1;28,9;23,2;60;52;5,1;
2015-01-02;15,1;1,5;0;32,4;27,6;25,3;64;61;1,7;
2015-01-03;8,7;8,4;0;35,7;28,4;23,6;58;54;5;
2015-01-04;11,9;8,8;0;35,3;27,9;22,3;63;60;3,7;
2015-01-05;10,3;8,2;3,8;34,8;28,4;23,3;61;59;3,9;
2015-01-06;13,5;10,9;0;35,7;29;23,7;56;55;5;
2015-01-07;15,2;8,6;0;35,3;28,7;23,7;56;52;5,2;
2015-01-08;15,6;11,4;0;35,1;28,5;23,3;54;51;6,1;
2015-01-09;15,9;11;0;35,1;28,5;22,2;55;54;4,8;
2015-01-10;14,7;12,2;0;36,9;29,2;22,7;60;49;5,5;
2015-01-11;17,3;11;0;35,3;29;23,3;58;53;4,2;
2015-01-12;16,2;9;0;36,5;29;24,3;61;56;5,1;
2015-01-13;16,7;9,3;0;34,9;28,6;24,3;56;53;5,8;
2015-01-14;16,8;11,9;0;36,2;29;23;52;51;5,5;
2015-01-15;17,2;10,7;0;35,8;28,5;22,4;53;53;4,7;
2015-01-16;16,4;10,6;0;36,5;29,1;22,1;52;51;6,1;
2015-01-17;16,5;11,1;0;37;29,4;22,9;56;49;5,4;
2015-01-18;17,9;10,7;0;36,8;29,8;25,8;75;55;5,1;
2015-01-19;16,9;8,9;0;36,1;29,6;25,6;55;52;4,9;
2015-01-20;15,7;9,2;0;37,1;29,4;23,5;60;49;5,8;
2015-01-21;17;8,7;0;36,3;29,3;24,6;59;56;3,6;
2015-01-22;15,5;5,2;0;35,1;29;24,8;54;51;5;
2015-01-23;15,9;5,3;0;35,3;28,8;23,6;56;52;5,1;
2015-01-24;15,4;7,8;0;35,6;29;24,5;60;55;5,2;
2015-01-25;13,8;8,9;2,4;36,3;28,9;23;54;53;3,6;
2015-01-26;15,6;9,4;0;36,7;29,3;22,3;54;50;4,5;
2015-01-27;15,5;11,2;0;37,1;29,3;23;49;51;5,2;
2015-01-28;17;11,7;0;36,5;28,9;21,5;51;44;5,6;
2015-01-29;16,9;10,5;0;35,2;29,2;23,4;null;54;5,2;
2015-01-30;14,3;9,7;0;36,8;29,7;25,2;54;56;3,9;
2015-01-31;16,8;8,1;0;36,5;29,9;24,7;56;53;5,7;
2015-02-01;16,4;10,9;0;36,6;30,1;25,2;54;54;4,6;
2015-02-02;16,2;8,3;0;37;27,4;22,6;80;53;3,5;
2015-02-03;11,4;8,2;22,2;34,2;27,8;22,6;67;60;4,4;
2015-02-04;8,9;4,3;0;34,7;28,7;24,2;63;59;5,5;
2015-02-05;9,9;,8;1,5;32,7;27,4;23,4;71;65;3,4;
2015-02-06;9,1;11,2;,3;36;28,8;23;58;57;3,6;
2015-02-07;14,8;4,7;0;34,6;28,8;24,4;60;59;4,6;
2015-02-08;13,1;9,9;0;35,8;29,6;22,9;49;52;5,2;
2015-02-09;16;9,1;0;36,6;29,4;23,8;57;46;5,9;
2015-02-10;17;9,8;0;37,5;29,7;24,4;60;56;7,9;
2015-02-11;16,1;9;0;37,4;29,8;24,2;56;51;5,8;
2015-02-12;17,2;8,6;0;37,3;30;24,6;57;47;4,7;
2015-02-13;16,6;10;0;36,9;29,7;24,4;54;50;5,5;
2015-02-14;17,8;9,4;0;36,2;29,5;24,5;53;52;5,5;
2015-02-15;15;5,2;0;35,5;29,6;24;54;52;4,8;
2015-02-16;15,6;3,4;0;35,2;29,4;25,6;56;52;5,7;
2015-02-17;14,2;9,1;1,8;35,9;27,6;24,1;78;54;3,6;
2015-02-18;9,4;6,1;1,6;35,1;29,1;24,1;62;57;5,5;
2015-02-19;9,6;8,9;,2;36,9;29,8;24,1;57;55;5,3;
2015-02-20;15,5;1,7;0;33,9;26,3;22,2;80;57;4,4;
2015-02-21;4,5;5;5,3;33,7;25,2;22;87;73;3,4;
2015-02-22;3,7;2,1;10,9;30,6;26,8;21,8;68;71;4,5;
2015-02-23;5,6;4,8;1,2;34,1;28;23,4;65;67;4,6;
2015-02-24;8;10,9;0;35,9;29;22,9;62;52;4,7;
2015-02-25;12,2;4,7;3,1;34,2;27,6;22,4;71;67;3,4;
2015-02-26;9,8;10,8;0;35,4;28,9;22,6;60;53;5,6;
2015-02-27;12,5;10,6;0;36,4;29,5;23,9;55;57;5,6;
2015-02-28;11,9;9,2;0;35,1;28,1;23;69;54;4,4;
2015-03-01;8,7;7,5;0;35,2;29;23,4;64;59;4,4;
2015-03-02;8,9;4,1;0;32,3;27,7;24,1;64;65;4,5;
2015-03-03;7,7;9,7;2,2;34,7;28,6;22,7;51,5;40;4,1;
2015-03-04;12,9;1,5;0;34,6;28,1;23;58,8;38;4,2;
2015-03-05;9,2;7,9;0;34,6;27,6;23,2;71,3;57;3,5;
2015-03-06;7,6;5,5;,3;32,4;27,5;23,8;66,8;57;4,7;
2015-03-07;8,7;10,2;0;34,7;28,3;22,1;55,3;38;3,8;
2015-03-08;11,3;1,8;,2;32,6;26,8;24;84,5;60;4,1;
2015-03-09;2,4;5,4;29,5;32,5;27,3;23,3;74,8;73;2,2;
2015-03-10;5,3;7,4;,3;34,7;28,3;24;59;41;4,6;
2015-03-11;10,1;10,7;0;35,1;28,7;24;55,5;36;3,8;
2015-03-12;12;7,7;0;34,8;28,1;22,5;57,3;42;3,4;
2015-03-13;10,6;10,4;0;35,7;28,9;23,9;52,5;37;4,7;
2015-03-14;14,3;11,4;0;36,7;29;23,3;51;28;4,2;
2015-03-15;13,9;9,3;0;36,3;29,3;23,1;55,8;31;4,4;
2015-03-16;13;10,8;0;37,1;29,7;25,4;53;29;4,2;
2015-03-17;14,4;6,9;0;36,1;29,3;25;52,8;36;4,5;
2015-03-18;15,9;10,3;0;36,4;29,6;23,8;46;33;4,9;
2015-03-19;16,8;7,1;0;36,4;29,8;24,9;47,8;34;3,7;
2015-03-20;15,8;5,7;0;33,6;27,9;23,4;68;50;4,9;
2015-03-21;7,6;2,6;6;33,3;26,7;23,2;75,5;56;2,7;
2015-03-22;4,8;3,9;4,1;32,3;26;22,6;84,3;68;3,5;
2015-03-23;2,7;5,1;27,6;31,7;26,2;22,6;89,3;75;1,5;
2015-03-24;2,2;6,7;8,2;31,9;26,4;23,2;77,5;57;4,2;
2015-03-25;4,4;8,3;0;34,5;28;23,5;66;49;2,1;
2015-03-26;7,4;10,8;0;34,4;28,3;23;62,3;42;4;
2015-03-27;8,3;11,1;0;32,8;27,8;22,9;59,3;45;3,6;
2015-03-28;8,4;11,1;0;34,1;27,8;22;61,8;39;2,9;
2015-03-29;8,4;7,1;0;34,3;27,6;24,1;72,5;48;2,1;
2015-03-30;4,8;5,9;4,6;32,8;27;24;80;69;4,2;
2015-03-31;4,7;10,7;0;34,5;28,1;22,6;57,8;40;2,4;
2015-04-01;10;10,8;0;34,9;28,8;24,6;65;42;4,2;
2015-04-02;8,9;9,8;0;34,8;28,4;24,2;64,3;40;3,2;
2015-04-03;8,7;9,8;0;35,2;28,3;25,1;61,8;35;4,3;
2015-04-04;8,7;11,4;0;34,7;28,3;22,4;57,8;36;2,5;
2015-04-05;10,4;11,4;0;35,2;28,9;24,4;55,8;36;4,8;
2015-04-06;9,6;10,9;0;34,7;28;22,3;60,3;40;2,8;
2015-04-07;8,2;7,4;0;33,6;27,7;23,2;69,3;58;3,5;
2015-04-08;6,5;4,1;0;34,9;27;23,8;84,5;68;2,1;
2015-04-09;4,1;8,4;24,7;33,7;27;22,7;75;49;4;
2015-04-10;4,2;6,5;27,3;33,4;26,4;22,3;85;69;3,1;
2015-04-11;2,9;5,6;23,8;31,7;26;23,2;82,8;60;3,4;
2015-04-12;4;9,3;11,6;34,1;27,7;23,3;68,8;46;2,9;
2015-04-13;5,6;5,3;2,4;33,2;27,8;24;66,8;45;3,4;
2015-04-14;6;9,3;0;34,7;28,3;23,2;62,5;40;3,3;
2015-04-15;9;10;0;35,1;28,7;23,4;55;39;4,4;
