Nome: AREIA
Codigo Estacao: 82696
Latitude: -6.97555554
Longitude: -35.71805554
Altitude: 571.75
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3,6;4,3;0;30,8;23,8;21,1;80,8;67;3,3;
2015-01-02;3,9;0;1,8;23,1;21,7;21,1;84,3;79;1,7;
2015-01-03;,4;8,3;27,2;29,2;22,6;19,3;79;49;3,2;
2015-01-04;4,5;7;0;28,1;22,6;19,5;79,3;59;2;
2015-01-05;3,1;8;0;29,1;23;20,5;79,8;49;3,5;
2015-01-06;3,5;8,4;0;29,1;23,4;21,3;78,5;54;5,5;
2015-01-07;5,3;6,8;,2;28,1;22,9;20,7;78;55;5,4;
2015-01-08;4,5;9;0;29,2;23,1;20,5;75,5;58;5,1;
2015-01-09;4,9;7,7;,1;28,9;22,8;20,5;78,8;60;5,1;
2015-01-10;5,7;8,7;0;29,4;23,6;20,3;75;54;6,3;
2015-01-11;5,2;5,4;,7;28,7;23,1;20,9;79,8;53;3,7;
2015-01-12;3,5;7,3;,2;28,3;23,5;21,3;79,5;60;5,3;
2015-01-13;4;5,9;2,2;28,1;22,7;19,9;81,5;53;4,9;
2015-01-14;4,3;9;,6;29,2;23,1;20,5;78,8;54;6;
2015-01-15;6,1;9;0;29,2;22,8;19,7;71,5;46;3,4;
2015-01-16;6,3;9,7;0;30,4;23,7;20,3;73;43;4,6;
2015-01-17;6,2;9,5;0;30,4;24,1;20,7;75,5;54;6,6;
2015-01-18;5,5;9,7;12,1;29,1;23,6;21,1;77,8;51;4,1;
2015-01-19;4,3;6,8;3,3;29,6;23,3;21,1;82,8;55;2,1;
2015-01-20;3,7;9,2;,1;30;23,6;20,9;76,8;51;2,7;
2015-01-21;4,7;5,9;0;29,6;23,7;21,3;80,5;57;2,9;
2015-01-22;4,2;7,9;0;29,4;23,3;21,1;75,8;48;2,6;
2015-01-23;5,3;6,8;0;30;23,9;20,7;74,8;48;2,6;
2015-01-24;4,5;3,1;0;27,7;23,4;21,7;87,8;82;1,5;
