Nome: CRUZEIRO DO SUL
Codigo Estacao: 82704
Latitude: -7.61083333
Longitude: -72.68138888
Altitude: 214.19
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2016-01-29
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;5,4;null;null;null;null;90;null;
2015-01-02;null;0;0;32,1;null;null;90;null;0;
2015-01-03;null;1,4;38;29,3;null;null;92;89;0;
2015-01-04;null;null;23;31,9;26,2;22,8;89;88;0;
2015-01-05;null;,4;15;29,1;25;23;94;86;0;
2015-01-06;null;1,4;0;30,3;25;21,5;93;92;0;
2015-01-07;null;1;0;30,2;25,8;22,1;90;92;0;
2015-01-08;null;1,8;0;27,6;25,1;23,2;90;87;0;
2015-01-09;null;2,1;17,8;30,7;26,1;22,7;90;85;0;
2015-01-10;null;3;4,2;31,8;25,9;23,1;94;85;0;
2015-01-11;null;2,2;21,9;30,1;26,2;22,9;89;95;0;
2015-01-12;null;2,2;0;29,3;25,1;22,7;94;83;0;
2015-01-13;null;,6;13,9;31;25,2;22,4;94;90;0;
2015-01-14;null;,5;10,8;30,7;25,5;21,9;90;93;0;
2015-01-15;null;1;20,8;30,9;26,1;21,6;91;96;0;
2015-01-16;null;2,1;1,1;31,4;26,7;23;89;85;0;
2015-01-17;null;null;8,9;null;null;null;null;86;null;
2015-01-18;null;null;29;null;null;null;null;null;null;
2015-01-19;null;2,4;15,1;31,7;25,3;22,7;93;96;0;
2015-01-20;null;1,3;0;30,3;26;22,9;91;90;0;
2015-01-21;null;null;7,1;null;null;22,7;null;85;0;
2015-01-22;null;1,3;11,3;28,7;25,9;22,9;88;94;0;
2015-01-23;null;,8;0;30,7;25,4;23,1;94;83;0;
2015-01-24;null;,1;11,1;29,7;25,2;22,7;95;94;0;
2015-01-25;null;9,6;8,9;30,3;25,5;22,6;96;93;0;
2015-01-26;null;,4;29;30,7;25,4;22,7;94;94;0;
2015-01-27;null;,4;15,1;29,3;24,1;22,2;96;90;0;
2015-01-28;null;1,3;12,5;32,4;null;null;92;95;3,1;
2015-01-29;null;5,4;13,3;33,2;26,3;22,7;94;88;0;
2015-01-30;null;null;15,5;null;null;22,5;null;90;0;
2015-01-31;null;,2;0;25,5;24,4;23,2;92;95;0;
2015-02-01;null;3,4;12;31,6;25,5;22,6;94;88;0;
2015-02-02;null;2,5;1,3;30;24,6;21,1;96;92;0;
2015-02-03;null;4,7;14,4;32,2;27;21,1;86;94;0;
2015-02-04;null;5,4;0;33;26,5;22,5;89;76;1,5;
2015-02-05;null;7,3;2,4;33,2;27;23,5;92;82;0;
2015-02-06;null;1,7;15,2;31,2;25,3;23;94;91;0;
2015-02-07;null;3,1;4;32,4;26,7;23,4;90;94;0;
2015-02-08;null;4,7;0;32,2;27,5;22,5;86;86;0;
2015-02-09;null;0;0;30,7;25,9;23,1;92;76;0;
2015-02-10;null;1,2;15,2;32,7;26,5;23,3;92;90;0;
2015-02-11;null;,8;0;31;26,2;23,4;95;87;0;
2015-02-12;null;,7;0;32;26,3;23,4;94;93;0;
2015-02-13;null;null;null;null;null;null;null;93;null;
2015-02-14;null;null;null;null;null;null;null;null;null;
2015-02-15;null;null;null;null;null;null;null;null;null;
2015-02-16;null;null;null;null;null;null;null;null;null;
2015-02-17;null;null;null;null;null;null;null;null;null;
2015-02-18;null;null;null;null;null;null;null;null;null;
2015-02-19;null;null;12,2;null;null;23,6;null;97;0;
2015-02-20;null;null;null;null;null;null;null;null;null;
2015-02-21;null;null;null;null;null;null;null;null;null;
2015-02-22;null;null;null;null;null;null;null;null;null;
2015-02-23;null;null;null;null;null;null;null;null;null;
2015-02-24;null;null;null;null;null;null;null;null;null;
2015-02-25;null;null;null;null;null;null;null;null;null;
2015-02-26;null;null;null;null;null;null;null;null;null;
2015-02-27;null;null;null;null;null;null;null;null;null;
2015-02-28;null;null;null;null;null;null;null;null;null;
2015-03-01;null;null;null;null;null;null;null;null;null;
2015-03-02;null;null;null;null;null;null;null;null;null;
2015-03-03;null;null;null;null;null;null;null;null;null;
2015-03-04;null;null;null;null;null;null;null;null;null;
2015-03-05;null;null;null;null;null;null;null;null;null;
2015-03-06;null;null;null;null;null;null;null;null;null;
2015-03-07;null;null;null;null;null;null;null;null;null;
2015-03-08;null;null;null;null;null;null;null;null;null;
2015-03-09;null;null;null;null;null;null;null;null;null;
2015-03-10;null;null;null;null;null;null;null;null;null;
2015-03-11;null;null;null;null;null;null;null;null;null;
2015-03-12;null;null;null;null;null;null;null;null;null;
2015-03-13;null;null;null;null;null;null;null;null;null;
2015-03-14;null;null;null;null;null;null;null;null;null;
2015-03-15;null;null;null;null;null;null;null;null;null;
2015-03-16;null;null;null;null;null;null;null;null;null;
2015-03-17;null;null;null;null;null;null;null;null;null;
2015-03-18;null;null;null;null;null;null;null;null;null;
2015-03-19;null;null;null;null;null;null;null;null;null;
2015-03-20;null;null;null;null;null;null;null;null;null;
2015-03-21;null;null;null;null;null;null;null;null;null;
2015-03-22;null;null;null;null;null;null;null;null;null;
2015-03-23;null;null;null;null;null;null;null;null;null;
2015-03-24;null;null;null;null;null;null;null;null;null;
2015-03-25;null;null;null;null;null;null;null;null;null;
2015-03-26;null;null;null;null;null;null;null;null;null;
2015-03-27;null;null;null;null;null;null;null;null;null;
2015-03-28;null;null;null;null;null;null;null;null;null;
2015-03-29;null;null;null;null;null;null;null;null;null;
2015-03-30;null;null;null;null;null;null;null;null;null;
2015-03-31;null;null;null;null;null;null;null;null;null;
2015-04-01;null;null;null;null;null;null;null;null;null;
2015-04-02;null;null;null;null;null;null;null;null;null;
2015-04-03;null;null;null;null;null;null;null;null;null;
2015-04-04;null;null;null;null;null;null;null;null;null;
2015-04-05;null;null;null;null;null;null;null;null;null;
2015-04-06;null;null;null;null;null;null;null;null;null;
2015-04-07;null;null;null;null;null;null;null;null;null;
2015-04-08;null;null;null;null;null;null;null;null;null;
2015-04-09;null;null;null;null;null;null;null;null;null;
2015-04-10;null;null;null;null;null;null;null;null;null;
2015-04-11;null;null;null;null;null;null;null;null;null;
2015-04-12;null;null;null;null;null;null;null;null;null;
2015-04-13;null;null;null;null;null;null;null;null;null;
2015-04-14;null;null;null;null;null;null;null;null;null;
2015-04-15;null;null;null;null;null;null;null;null;null;
2015-04-16;null;null;null;null;null;null;null;null;null;
2015-04-17;null;null;null;null;null;null;null;null;null;
2015-04-18;null;null;null;null;null;null;null;null;null;
2015-04-19;null;null;null;null;null;null;null;null;null;
2015-04-20;null;null;null;null;null;null;null;null;null;
2015-04-21;null;null;null;null;null;null;null;null;null;
2015-04-22;null;null;null;null;null;null;null;null;null;
2015-04-23;null;,8;null;30,7;null;null;94;null;0;
2015-04-24;null;null;null;null;null;null;null;94;null;
2015-04-25;null;null;null;null;null;null;null;null;null;
2015-04-26;null;null;null;null;null;null;null;null;null;
2015-04-27;null;null;null;null;null;null;null;null;null;
2015-04-28;null;null;null;null;null;null;null;null;null;
2015-04-29;null;null;null;null;null;null;null;null;null;
2015-04-30;null;null;null;null;null;null;null;null;null;
2015-05-01;null;null;null;null;null;null;null;null;null;
2015-05-02;null;null;null;null;null;null;null;null;null;
2015-05-03;null;null;null;null;null;null;null;null;null;
2015-05-04;null;null;null;null;null;null;null;null;null;
2015-05-05;null;3,4;0;31,2;25,3;22,5;92;96;0;
2015-05-06;null;3,9;2,1;31,9;25,5;22,1;93;90;0;
2015-05-07;null;,1;8,4;27,7;24,1;22,9;97;90;0;
2015-05-08;null;3,8;34,3;30,5;25,3;22,4;88,3;73;0;
2015-05-09;null;5,4;,9;31,4;25,9;22,4;94;92;0;
2015-05-10;null;3,2;,3;31,1;25,8;21;95;91;0;
2015-05-11;null;2,2;2,9;32,4;26,5;22,9;95;77;0;
2015-05-12;null;,1;8,2;26,5;24;22,8;88;89;2,1;
2015-05-13;null;4,4;0;30,8;26,3;22,9;87;86;0;
2015-05-14;null;4,6;0;32,4;26,9;22,7;78,5;75;,7;
2015-05-15;null;0;0;25,8;24,5;22,6;93;76;0;
2015-05-16;null;,2;18,2;26,6;24;22,9;94;90;2,1;
2015-05-17;null;4,2;14,5;28,7;25,9;22,9;93;92;,5;
2015-05-18;null;4,5;0;31,5;25,8;21,5;92;90;0;
2015-05-19;null;8;0;33,4;26,7;21,8;90;89;0;
2015-05-20;null;2,2;0;31,2;25,7;23,7;96;87;0;
2015-05-21;null;1,6;1,2;30,8;25,8;23,4;94;96;0;
2015-05-22;null;5,1;0;33,4;26,7;22,4;95;92;0;
2015-05-23;null;2,4;2,2;29,5;25,4;23,4;94;93;0;
2015-05-24;null;5,6;0;32;25,9;22,8;91;92;,5;
2015-05-25;null;3,8;0;29;26,5;23,4;91;88;0;
2015-05-26;null;1,9;6,5;31,3;25,8;23,4;94;86;,5;
2015-05-27;null;8,5;0;33,3;27;23,5;87;91;,5;
2015-05-28;null;8,4;0;33,4;27,2;23;89;83;0;
2015-05-29;null;,5;95;29,1;25,3;23,1;96;86;0;
2015-05-30;null;,3;15,2;28,4;25,2;23;93;95;0;
2015-05-31;null;1,1;0;29,3;25,3;22,9;95;91;0;
2015-06-01;null;6,8;0;32;26,2;22,9;94;94;0;
2015-06-02;null;6,5;0;32,9;26,7;23;88;93;1,5;
2015-06-03;null;2,1;8,4;31,1;25,3;22,7;96;84;1,5;
2015-06-04;null;3,1;36,2;31,2;26,2;23,2;89;95;,5;
2015-06-05;null;3,9;30;32,1;26,5;22,9;91;85;3,1;
2015-06-06;null;8;11;33,7;26,8;22,4;91;88;0;
2015-06-07;null;7,6;0;33,8;26,8;22,7;90;84;,5;
2015-06-08;null;,4;null;29,7;null;null;90;86;0;
2015-06-09;null;4,5;0;32;26,2;22,7;92;86;0;
2015-06-10;null;2,8;0;30,2;25,2;22,4;90;91;1;
2015-06-11;null;6,6;4,1;33,7;26,8;23;91;80;0;
2015-06-12;null;3,9;0;32;26,2;22,8;92;87;,5;
2015-06-13;null;6,6;1,5;33,3;26,2;23;92;89;0;
2015-06-14;null;5,6;0;32;26,9;23;87;88;,5;
2015-06-15;null;5,7;0;32,1;26,6;22,8;91;83;0;
2015-06-16;null;5;0;32,2;26,3;23,5;93;87;1;
2015-06-17;null;1;1,1;30,9;25,7;23,4;95;92;,5;
2015-06-18;null;6,2;2;32,1;26,6;22,9;90;94;,5;
2015-06-19;null;4,5;0;29,3;24;22,9;86;86;3,1;
2015-06-20;null;7,1;0;29,2;23,3;17,5;85;79;,5;
2015-06-21;null;5,9;0;30,1;24;20,1;90;81;0;
2015-06-22;null;7;0;32,2;24,6;18,9;90;89;0;
2015-06-23;null;3,4;0;30,7;24,5;19,5;89;86;0;
2015-06-24;null;,8;0;29,2;24,7;20;93;86;0;
2015-06-25;null;1,2;5;30,6;25,4;21,3;91;92;,5;
2015-06-26;null;null;4,9;null;null;21,4;null;87;0;
2015-06-27;null;7;0;32,4;26,2;20,9;83;95;,5;
2015-06-28;null;6,8;0;32,8;25,9;21;88;76;0;
2015-06-29;null;7;0;33,3;26,2;21,2;93;86;0;
