Nome: LABREA
Codigo Estacao: 82723
Latitude: -7.26138888
Longitude: -64.78999999
Altitude: 62.23
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;9,6;31;26,4;23,6;67,8;76;2,1;
2015-01-02;null;null;3,6;32,2;26,7;23,6;84,8;49;2,1;
2015-01-03;null;null;29;31,8;26,1;22,6;87;72;1,7;
2015-01-04;null;null;0;32,2;26,5;22;87,3;68;1,7;
2015-01-05;null;null;1,2;32,3;26,2;22;85,3;62;2,1;
2015-01-06;null;null;15,4;30,8;25,4;22,9;88,3;72;1,7;
2015-01-07;null;null;9,2;30,7;25,7;22,6;88;72;1,4;
2015-01-08;null;null;0;33,6;27,7;23;80;59;1;
2015-01-09;null;null;2,8;32,8;25,7;22,6;92;86;1,4;
2015-01-10;null;null;23,2;31,9;25,5;22,3;87,5;65;2,1;
2015-01-11;null;null;2,6;31,8;26,3;22,8;86,8;78;,7;
2015-01-12;null;null;0;32;26,5;22,9;84,8;66;3,1;
2015-01-13;null;null;0;28,8;24,7;23,1;93,3;86;2,1;
2015-01-14;null;null;24,8;30,3;26;22,5;86,8;76;2,4;
2015-01-15;null;null;8,6;26,7;24,3;23;96,8;89;1,4;
2015-01-16;null;null;52,2;31,9;26,2;23,2;86,3;74;1,4;
2015-01-17;null;null;32,2;26,9;24,8;23,5;93,5;87;1,7;
2015-01-18;null;null;13;32,2;25,8;23;86;95;1;
2015-01-19;null;null;1,6;30,6;25,1;22,6;90,3;76;2,4;
2015-01-20;null;null;0;29,4;25,5;23;87,8;73;1,7;
2015-01-21;null;null;1,2;31,6;26,4;22,1;80,8;66;1,4;
2015-01-22;null;null;14;31,4;26,4;22,5;85,5;70;2,1;
2015-01-23;null;null;0;30,8;26,3;23,6;86,8;68;1,7;
2015-01-24;null;null;4,9;29,6;24,7;22;87,8;70;2,4;
2015-01-25;null;null;0;30,4;25,6;22,2;80,8;70;2,4;
2015-01-26;null;null;0;32,4;26,4;22,8;84,3;63;1;
2015-01-27;null;null;15,4;26,8;24,9;23,6;94;90;2,4;
2015-01-28;null;null;0;32,6;25,8;22,6;90,8;72;2,1;
2015-01-29;null;null;1;32,9;26,2;22,4;85,5;61;1,7;
2015-01-30;null;null;2,8;33,4;26,6;23,3;84,3;69;2,4;
2015-01-31;null;null;6;29,2;24,7;22,6;92,3;85;2,4;
2015-02-01;null;null;36,2;30;25,3;22,2;88;74;1,7;
2015-02-02;null;null;0;32,8;26,9;23,1;85;64;1,4;
2015-02-03;null;null;0;32,8;26,3;23;86,3;75;1,7;
2015-02-04;null;null;0;34;28,2;23;77,5;59;,3;
2015-02-05;null;null;0;30,8;26,4;24;90;78;1,7;
2015-02-06;null;null;0;31,4;26,2;24;90,8;73;2,1;
2015-02-07;null;null;0;30,7;26,2;23;87;79;,7;
2015-02-08;null;null;0;30,8;26,6;23,6;83;77;1,7;
2015-02-09;null;null;0;33,5;26,1;23,4;89,5;65;1,7;
2015-02-10;null;null;4,6;32,8;26,5;22,6;86,8;66;1,7;
2015-02-11;null;null;0;33;26,2;23,6;88,8;62;2,4;
2015-02-12;null;null;26,4;33,7;26,3;23,5;87,8;63;2,7;
2015-02-13;null;null;0;32,8;25,9;23,6;89;68;2,4;
2015-02-14;null;null;3,4;26,4;24,3;23;93,5;85;2,4;
2015-02-15;null;null;2,2;29;25,1;22,8;90,3;75;1,7;
2015-02-16;null;null;0;30,8;26,8;23,4;88;77;1,4;
2015-02-17;null;null;0;32,8;26,3;24;88,3;65;3,1;
2015-02-18;null;null;12,8;33,7;26,4;23;87,8;67;1,7;
2015-02-19;null;null;63,2;26;23,7;21,6;95,8;95;2,4;
2015-02-20;null;null;18,2;31,2;25,7;21,6;85;73;1,4;
2015-02-21;null;null;2;25,8;23,6;22,6;93,8;88;3,8;
2015-02-22;null;null;47;29,6;25,2;21,6;90,5;81;1;
2015-02-23;null;null;0;29,9;25,6;23,6;88,5;71;2,4;
2015-02-24;null;null;14,6;31,7;25,6;22,6;87,8;67;1,7;
2015-02-25;null;null;2,6;null;null;23;null;92;1;
2015-02-26;null;null;2,6;32,3;25,9;23,2;86,8;67;1,4;
2015-02-27;null;null;,8;33,5;27,4;22,5;83;66;1,7;
2015-02-28;null;null;11,2;31,7;25,5;23;90,8;77;1;
2015-03-01;null;null;3,2;null;null;23;null;66;1;
2015-03-02;null;null;25;33,5;26,9;22,9;84,8;67;1;
2015-03-03;null;null;8,4;26,4;24,5;23,6;93,5;88;2,1;
2015-03-04;null;null;0;31,8;26,5;23;89;79;1,7;
2015-03-05;null;null;2,2;31,4;25,7;23,1;89,5;78;1,7;
2015-03-06;null;null;46,9;29;25,3;23,1;93,8;92;1,7;
2015-03-07;null;null;7,8;31,8;26,2;22,8;88,8;73;1,4;
2015-03-08;null;null;0;null;null;22,7;null;61;3,1;
2015-03-09;null;null;0;34,4;28;23,6;82,5;59;2,7;
2015-03-10;null;null;3,8;33,4;28,2;24;82,8;72;1,7;
2015-03-11;null;null;8,2;31,8;26,4;23,6;88,5;72;2,4;
2015-03-12;null;null;0;30;26,4;23,6;89;81;1,7;
2015-03-13;null;null;3;33,2;27;23,2;87,3;72;2,4;
2015-03-14;null;null;0;30;26,4;24,2;91,8;84;2,4;
2015-03-15;null;null;5;29;25,8;23;94,5;92;2,4;
2015-03-16;null;null;5;33,2;27,2;24,2;81,5;64;2,4;
2015-03-17;null;null;21;30,8;26,5;23,6;93;83;1,7;
2015-03-18;null;null;5,2;27,2;25;23;95,5;92;1;
2015-03-19;null;null;10,8;27;24,9;23,4;96,8;95;1,7;
2015-03-20;null;null;30,2;31,4;26,6;23,6;87;70;3,8;
2015-03-21;null;null;50,2;27;24,4;22,8;95;93;1,4;
2015-03-22;null;null;19,8;29,6;25,1;23,2;94;91;1;
2015-03-23;null;null;8,4;29,8;26;23;91,3;80;2,7;
2015-03-24;null;null;,6;31;26,5;23,6;87,5;72;1,7;
2015-03-25;null;null;0;32,2;26,4;23,6;87,8;73;1;
2015-03-26;null;null;0;31,6;26,8;23,8;88;82;1,4;
2015-03-27;null;null;0;31,8;26,9;23,4;87,5;78;,3;
2015-03-28;null;null;5,2;32,4;27,3;23,2;84,5;73;1,7;
2015-03-29;null;null;0;30,2;26,8;24;86;72;1;
2015-03-30;null;null;10,2;32,9;26,3;23,3;94,5;88;1,4;
2015-03-31;null;null;9,1;31,8;26,8;23,6;89,5;75;1,7;
2015-04-01;null;null;0;33,4;26,9;23,4;87,8;64;2,4;
2015-04-02;null;null;0;32,2;26,7;23,6;88,3;71;1,4;
2015-04-03;null;null;0;34,4;28,8;24;84;66;1,7;
2015-04-04;null;null;0;29,5;25,1;23,8;92;81;2,7;
2015-04-05;null;null;null;null;null;null;null;96;null;
2015-04-06;null;null;0;32,4;27;22,6;88;82;1;
2015-04-07;null;null;36,6;31,8;26,4;22,2;88,5;81;1,7;
2015-04-08;null;null;0;33,8;26,9;23;85,8;67;1,7;
2015-04-09;null;null;0;32,2;26;23,6;91,5;80;2,4;
2015-04-10;null;null;1;32;26;22,1;90,8;75;1,4;
2015-04-11;null;null;2;33;26,7;22;88;69;1;
2015-04-12;null;null;0;33;26,9;22,8;86;70;,3;
2015-04-13;null;null;0;32,8;27,4;24,5;87,5;68;1;
2015-04-14;null;null;0;33,5;27;24,2;89;71;1,4;
2015-04-15;null;null;0;31,7;26,2;24;91,8;78;1,4;
2015-04-16;null;null;22,2;25,9;24,3;23,5;97,5;95;1,4;
2015-04-17;null;null;42,2;32,6;26,6;22,5;87,8;69;1;
2015-04-18;null;null;0;31,6;26,8;24,1;92,3;83;,7;
2015-04-19;null;null;10,9;32,8;27,1;23,6;88,3;70;1,4;
2015-04-20;null;null;0;32,2;27,3;23;86,8;74;1,7;
2015-04-21;null;null;8;null;null;23;null;82;2,1;
2015-04-22;null;null;0;31,2;27;23,6;87,5;86;1,7;
2015-04-23;null;null;1,4;30,8;26,2;23,6;87;71;2,1;
2015-04-24;null;null;0;32,2;26,3;23,4;90,3;73;2,7;
2015-04-25;null;null;0;33,4;27,5;22,6;85,8;64;,7;
2015-04-26;null;null;0;32,2;26,7;23,5;89,5;76;1,4;
2015-04-27;null;null;4,1;29,6;25,6;24;95;94;1;
2015-04-28;null;null;29,8;28,4;25,2;23,2;92;86;1,4;
2015-04-29;null;null;1;30,8;26,1;23,1;90;72;2,7;
2015-04-30;null;null;,4;31,6;26,5;23,6;86,5;73;1,7;
2015-05-01;null;null;0;31,6;26,8;24,3;89,5;71;2,7;
2015-05-02;null;null;32,2;29;25,1;23,1;92,5;80;,7;
2015-05-03;null;null;1,2;32,8;27,2;22,1;82;67;1;
2015-05-04;null;null;0;33,2;27,8;23,6;81,8;66;1,7;
2015-05-05;null;null;4;26,8;24,9;23,2;92;86;2,4;
2015-05-06;null;null;8,2;31,8;25,8;23,1;88,5;67;2,1;
2015-05-07;null;null;1;29,8;25,7;22,1;90,3;77;1,7;
2015-05-08;null;null;0;31,8;26,3;23,6;88;72;2,1;
2015-05-09;null;null;3;32;26,9;23,1;86,5;79;2,1;
2015-05-10;null;null;2,2;32,8;27,2;23,6;88;76;1,7;
2015-05-11;null;null;4;32,3;26,4;22,6;91,8;79;1;
2015-05-12;null;null;,4;null;null;23,2;null;85;1,5;
2015-05-13;null;null;,2;32,8;26,2;22,8;90;80;2,1;
2015-05-14;null;null;1,3;29,5;25,4;22,3;87;62;1,7;
2015-05-15;null;null;1;33,8;27;21;84,8;72;,7;
2015-05-16;null;null;35,8;31,2;26,3;22,6;89;79;1;
2015-05-17;null;null;4;31,6;26,2;23,1;91;84;1,4;
2015-05-18;null;null;0;34,4;27,3;22,2;84,5;60;2,1;
2015-05-19;null;null;0;31,4;27,2;23,6;87;79;,7;
2015-05-20;null;null;0;32;27;24;82;60;1,4;
2015-05-21;null;null;0;34,6;27,7;24,2;84,5;61;1;
2015-05-22;null;null;0;34;26,6;23,1;91;79;2,4;
2015-05-23;null;null;0;34,8;27,8;22,8;83,3;66;0;
2015-05-24;null;null;0;29,8;26,2;24;93,3;88;2,1;
2015-05-25;null;null;0;32,8;26,4;22,6;86,5;80;1;
2015-05-26;null;null;0;31,8;26,1;23,2;92,8;77;2,1;
2015-05-27;null;null;24,8;34,2;26,8;22,6;85,5;59;1,7;
2015-05-28;null;null;0;32,2;26,8;23,5;86,5;77;1;
2015-05-29;null;null;24;29;25,5;23,6;93,8;87;2,4;
2015-05-30;null;null;11,4;31,9;27,3;24;87,3;79;1,7;
2015-05-31;null;null;0;33,2;27;24,2;85,5;68;1;
2015-06-01;null;null;0;31,8;25,5;22,6;90,5;68;2,1;
2015-06-02;null;null;13;31;26,4;24;89,8;74;1,7;
2015-06-03;null;null;5;34,2;27,2;23;83,3;63;1,4;
2015-06-04;null;null;0;29;25,9;22,5;89;83;1,4;
2015-06-05;null;null;null;33;null;null;83;63;1;
2015-06-06;null;null;0;33,8;26,7;22,5;83,8;65;,7;
2015-06-07;null;null;0;34,8;27;23,1;83;63;,7;
2015-06-08;null;null;2,6;30,7;25,7;22,6;92;80;1;
2015-06-09;null;null;0;34,3;26,8;22,4;86,5;68;1;
2015-06-10;null;null;0;34,4;27,8;22,8;85,3;64;1,7;
2015-06-11;null;null;0;32,7;26,7;23,1;89,5;72;1,4;
2015-06-12;null;null;2;32,5;26,3;22,2;90,3;71;2,1;
2015-06-13;null;null;0;null;null;22,9;null;60;2,1;
2015-06-14;null;null;null;null;null;null;null;null;null;
2015-06-15;null;null;null;null;null;null;null;null;null;
2015-06-16;null;null;null;null;null;null;null;null;null;
2015-06-17;null;null;null;null;null;null;null;null;null;
2015-06-18;null;null;null;null;null;null;null;null;null;
2015-06-19;null;null;0;26;23,3;21,1;94,8;85;2,7;
2015-06-20;null;null;0;29,6;25;20,8;90,5;82;2,7;
2015-06-21;null;null;0;31,4;25,7;20,1;88,3;74;2,1;
2015-06-22;null;null;0;31,6;26;21,1;90,5;78;,7;
2015-06-23;null;null;0;32,8;26,6;20,8;82,5;61;1;
2015-06-24;null;null;0;32,5;26,2;21,6;85,8;64;1;
2015-06-25;null;null;0;33,4;26;20;83,3;61;,7;
2015-06-26;null;null;0;32,7;25,5;19,1;79,8;58;1,4;
2015-06-27;null;null;0;33,2;25,9;19,6;80,3;55;2,1;
2015-06-28;null;null;0;34,6;26,9;21,1;85;62;1,4;
2015-06-29;null;null;0;34,3;26,9;21,8;82,3;57;1,4;
2015-06-30;null;null;0;34,4;26,7;22;85,8;59;1,4;
2015-07-01;null;null;0;33,8;27,1;21,8;83,5;62;1;
2015-07-02;null;null;0;34,6;26,5;20,6;85;57;,3;
2015-07-03;null;null;0;34,6;26,5;20;83,8;54;,7;
2015-07-04;null;null;0;31,4;25,9;22;89,8;79;2,1;
2015-07-05;null;null;8,4;29;25;21,6;96;92;2,4;
