Nome: OURICURI
Codigo Estacao: 82753
Latitude: -7.87944443
Longitude: -40.09194444
Altitude: 462.01
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5,9;9,1;0;33,9;27,7;23,9;49,8;34;2,6;
2015-01-02;7,7;3,7;0;31,7;25,8;22,4;72,5;50;1,1;
2015-01-03;4,1;10,2;5,4;33,7;27,4;22,4;56,5;38;2,1;
2015-01-04;5,7;5,9;0;31,1;26;21,3;64,5;56;1,6;
2015-01-05;4,4;7,3;0;32,1;26,8;21;58,3;40;1,8;
2015-01-06;5,9;10,3;0;33,9;28,6;23,3;48,8;36;2,7;
2015-01-07;9;10,1;0;33,1;28,2;24;51,5;38;2,7;
2015-01-08;8,8;7,9;0;32,5;27,2;23,7;57,5;41;2,8;
2015-01-09;7,5;11,6;0;34;28,1;22,8;49,3;33;2,8;
2015-01-10;9,6;11,7;0;34,1;28,4;22,8;43,3;36;3,6;
2015-01-11;9,6;10,8;0;34,6;29;23,9;43,8;32;4;
2015-01-12;9,3;10,6;,1;34,1;28;23,7;48,3;32;3,2;
2015-01-13;9,8;10,1;0;33,7;28,3;23,7;43;31;3,5;
2015-01-14;10,9;10,6;0;34,2;28,5;23,5;40,8;32;3,1;
2015-01-15;9,1;4,2;0;33,2;28;23,8;48,5;35;2,3;
2015-01-16;8,1;11,2;0;34,6;28,8;23,4;46,3;33;3,3;
2015-01-17;9,9;10,9;0;35,8;30,2;24,8;38,3;31;3,2;
2015-01-18;11,5;11,2;0;36;29,7;25,3;42,3;29;3,7;
2015-01-19;11,6;9,7;0;35,2;29,7;25,2;38,3;29;3,7;
2015-01-20;11,3;9,5;0;35,2;29,9;25;39,3;28;2,9;
2015-01-21;null;7;0;34,6;27,5;24,8;60;35;2,3;
2015-01-22;5,8;4,3;,6;32,9;26,9;23,2;62,3;40;2,9;
2015-01-23;5,9;1,7;0;33,1;27,1;23,3;56,8;34;1,8;
2015-01-24;6,6;6;0;34,5;28,3;23,6;50,5;35;1,8;
2015-01-25;6,5;6,8;2;33,4;27,4;22,2;56,8;38;2,3;
2015-01-26;7,1;7,7;0;34;28,9;23,8;43,5;34;1,7;
2015-01-27;6,5;10,9;0;35,1;28,8;22;44,5;30;2,4;
2015-01-28;9,6;11,2;0;34,6;28,8;22,1;34,8;24;4,1;
2015-01-29;10,5;8,5;0;34,1;28,4;23,5;49,5;32;2,2;
2015-01-30;8,1;7;0;34,6;27,1;24,6;60,8;38;4,2;
2015-01-31;7,1;9,7;0;34,8;29;23,1;49;36;3,8;
2015-02-01;9,5;9;0;33,9;28,7;24,7;50,3;39;3,4;
2015-02-02;8,3;9,8;0;34,4;29;23,9;45,3;34;2,8;
2015-02-03;8,8;,7;0;31,1;27,2;23,3;64,8;49;2,2;
2015-02-04;4,3;0;9,2;27,7;24,1;23;85,8;71;1,6;
2015-02-05;1,1;6,3;,2;33,3;27,2;22,5;55,8;44;1,7;
2015-02-06;7,7;8;0;35,4;28,5;22,4;47;35;3,2;
2015-02-07;8,2;9;0;36,1;29,9;24;42,3;26;2,2;
2015-02-08;9,8;10,7;0;36;30,5;24,5;36,8;24;2,1;
2015-02-09;13,1;11,1;0;34,6;29,5;24,5;38;30;3,2;
2015-02-10;11,6;10,9;0;35,6;29,9;24;37,8;30;2,8;
2015-02-11;11;9,1;0;35,1;29,7;24,5;43,5;33;4,2;
2015-02-12;8,2;6,4;,4;34,7;29,4;24,6;46,5;35;2,3;
2015-02-13;10,3;9,8;0;35,8;30,4;24,9;42;34;3,4;
2015-02-14;11;0;0;32,5;28,7;25,9;53,8;36;1,1;
2015-02-15;6,5;1,5;0;32,3;26,9;24,8;72,8;58;2,5;
2015-02-16;3,5;8,7;,5;35,4;28,4;21,7;45,8;27;2,7;
2015-02-17;8,7;9,5;0;36,6;30,1;24,5;43,3;26;4,1;
2015-02-18;11,8;9,9;7,2;34,2;25,4;21,9;70,8;37;4,8;
2015-02-19;5,6;8,7;30;32,9;25,5;21,6;74,5;45;2,8;
2015-02-20;3,9;5,4;4,4;31,6;26,2;23;67,3;44;2,2;
2015-02-21;4,8;0;0;28,8;25,1;22;74;61;1,7;
2015-02-22;3,4;,7;24,5;29,3;23,8;21,2;81,8;66;2,8;
2015-02-23;2;,8;0;29,7;25,4;21,8;73,8;54;2,1;
2015-02-24;3,2;5,7;20;30,3;25,5;21,9;78,8;60;1,3;
2015-02-25;3,1;6,7;2,6;31,8;26,5;23;74,5;52;3,3;
2015-02-26;4,4;9,2;0;32,5;27,1;23,4;63,3;46;2,8;
2015-02-27;5,4;10;0;34,3;28,2;24;55,3;40;1,7;
2015-02-28;5,5;8,9;0;34,1;27,7;23;58,3;41;2,2;
2015-03-01;4,3;4,6;5,9;30,7;25,9;23,2;84,5;62;1,2;
2015-03-02;2,4;3,9;2,7;30,5;25,1;22,4;81,3;61;1,8;
2015-03-03;2,7;6,6;1,6;31,1;26,2;22,9;69,8;50;2,3;
2015-03-04;5;10,8;0;32,2;26,7;21,8;62;46;2,8;
2015-03-05;6,3;9,9;0;32,6;27,4;23,6;62,5;47;1,7;
2015-03-06;6,5;4,9;0;31,4;26;23,5;76,5;55;3;
2015-03-07;3,1;10,5;4,9;31,2;26;23;66,8;46;2,8;
2015-03-08;4,8;9,9;0;33,3;27,7;21,2;58,3;47;1,9;
2015-03-09;6,1;9,1;0;32,6;28;23,5;63,3;53;4,2;
2015-03-10;4,7;5,9;0;32,7;27,4;23,3;67;54;3,5;
2015-03-11;5,3;8,7;0;33,7;27,7;24,4;57,5;38;3,4;
2015-03-12;7;7,9;0;33,9;27,8;22,8;58,5;41;2,3;
2015-03-13;5,9;9,7;0;34,1;28;22,7;55,3;39;2,5;
2015-03-14;7,3;11;0;34,2;28;23,7;49,8;33;2,5;
2015-03-15;8,8;10,4;0;34,7;28,6;23,6;49;36;2,9;
2015-03-16;8;7,6;0;34;28,7;24,8;57,5;42;2,7;
2015-03-17;6,1;4,2;49,2;31,1;25,1;21,5;80,8;60;1,4;
2015-03-18;3,3;4,8;0;30,4;26,6;23;70;56;2;
2015-03-19;4,1;6,9;0;31,7;27,2;24,6;65,3;52;2,1;
2015-03-20;5,8;7,9;0;32,3;27,2;23,5;65;50;1,4;
2015-03-21;4,1;2,2;51,4;29;25;22,1;79,5;69;3,1;
2015-03-22;1,9;1,5;41,7;28,3;24,2;21;85,3;71;1,4;
2015-03-23;1,8;4,3;2,8;29,5;24,5;22;85;77;2,5;
2015-03-24;1,6;8,5;13,4;31;25,6;21,8;78,5;56;1,8;
2015-03-25;3,2;8,4;15,4;30,8;25,8;22,6;75,3;60;2,3;
2015-03-26;3,3;9,3;0;30,6;25,3;22,5;77,3;60;2,4;
2015-03-27;3,1;8,3;0;31;25,8;22,9;74,3;58;2,1;
2015-03-28;3,4;9,6;0;31,8;26,4;22,3;72;57;1,6;
2015-03-29;3,9;8,1;0;30,9;24,8;21,3;78,3;56;2,4;
2015-03-30;2,6;4,7;22,8;30,4;25,5;22,3;80,8;65;1,6;
2015-03-31;2,5;8,9;2,4;31,1;25,6;22,5;73,3;53;2;
2015-04-01;3,3;10,8;0;31,3;25,6;20,8;66,3;51;1,6;
2015-04-02;4,4;8,2;0;31,4;25,7;21,8;71,8;55;1,9;
2015-04-03;2,7;10,6;0;31,5;25,6;21,5;65,3;50;2,2;
2015-04-04;3,6;8,2;0;31,4;26;21,6;71;57;1,6;
2015-04-05;3,5;8,6;27,6;31,1;25,6;21,3;74,5;57;1,6;
2015-04-06;3,3;8,7;0;31,5;26,1;22,4;71;57;1;
2015-04-07;3,1;5,2;0;29,7;25,6;22,2;75,3;69;2,2;
2015-04-08;2,7;5,7;0;30,7;25,7;23,8;86,5;77;1;
2015-04-09;1,7;5,2;2,6;30,9;25,5;22,9;81,3;61;1,4;
2015-04-10;2,9;8,8;0;31,2;25,5;22,5;72,8;60;2,2;
2015-04-11;3,6;8;0;31,1;26,2;21,9;68,8;54;2,3;
2015-04-12;4,5;4,8;0;30,5;25,5;23;74,5;58;2,2;
2015-04-13;3,6;5,4;0;30,3;26;22,5;72,5;59;2,2;
2015-04-14;3,7;7,3;0;31,5;26,7;23,6;71,5;57;2,1;
2015-04-15;4,4;6,6;0;31,6;26,1;23,5;68,5;53;2,4;
2015-04-16;4,2;10,9;0;32,7;25,9;21,2;62,3;45;2,8;
2015-04-17;4,4;10,9;0;33,1;26,8;20,1;61,5;46;2,1;
2015-04-18;4,7;10,9;0;32,9;26,8;21,7;58,3;42;2,9;
2015-04-19;5,4;8,8;0;32,3;25,6;20,1;68,3;50;1,7;
2015-04-20;3,6;10,5;0;33;26,6;23,4;70,5;49;1,7;
2015-04-21;3,6;5;3,3;27,8;24,3;22,7;86,3;74;2,7;
2015-04-22;1,7;9,8;0;33,2;25,6;21,8;74,5;47;2,6;
2015-04-23;3,6;9,5;,9;31,5;26,1;21,9;68,8;52;1,9;
2015-04-24;3,4;9,9;0;32,3;25,2;21,8;76,8;49;2,2;
2015-04-25;7,2;9,4;21,6;31,9;26;22;73,5;47;2,4;
2015-04-26;4,3;10,4;0;32,5;26,6;22,3;65,3;48;2;
2015-04-27;3,9;9,6;0;32,7;25,8;21,1;64,3;43;2,5;
2015-04-28;5,1;10,5;0;32,7;26,8;22,4;60;40;2,7;
2015-04-29;5,2;10,2;0;33;26,7;21,3;60,3;43;2,3;
2015-04-30;5,6;10,6;0;33,2;27,4;21,6;58,8;38;1,8;
2015-05-01;5,2;9,2;0;32,7;27,1;21,1;60,3;42;1,8;
2015-05-02;5,8;6,3;0;32,5;27,4;23,5;58,5;42;2,4;
2015-05-03;6,3;8;0;32,1;25,8;23,2;75,8;50;3;
2015-05-04;3,5;5,7;47,4;30,7;25,1;22;79,3;53;2;
2015-05-05;3;7,5;,7;30,9;25,5;21,6;79;55;1,2;
2015-05-06;2,6;7,4;0;31,3;25,9;22,3;78,8;60;1,6;
2015-05-07;2,9;10,8;0;31,4;26;22,3;71,8;57;1,6;
2015-05-08;3,5;10,3;0;32,7;26,2;21,3;75,3;54;1,1;
2015-05-09;3;7,3;27,8;31,4;25,9;22,1;80;65;2,1;
2015-05-10;2,7;8,4;2,7;31,3;25,5;23,3;74,3;51;2,2;
2015-05-11;3,1;6;0;30,2;25,1;22;73;57;2,2;
2015-05-12;2,7;9,3;0;30,6;25,2;20,5;75,5;57;1,5;
2015-05-13;3,4;8,6;0;32,5;25,6;19,9;55;35;2;
2015-05-14;5,5;10,1;0;31,8;26,2;21,1;60;43;4;
2015-05-15;5,8;9,8;0;32,1;26,1;21;57,3;39;3,7;
2015-05-16;6,5;7,2;0;31,7;25,6;22,1;62,5;36;3,3;
2015-05-17;6;10,4;0;32,2;25,4;20,6;54,8;30;2,6;
2015-05-18;7,1;5,8;0;31,7;26,2;21,8;67,8;48;2,5;
2015-05-19;5,3;3,3;6,1;29,2;24,2;21,7;83,8;68;1,3;
2015-05-20;2,6;4,7;,2;29,2;25,5;22,2;76,5;63;2,4;
2015-05-21;3,5;3,8;7,6;29,5;25;22,6;75,5;55;1,7;
2015-05-22;4,5;6,4;0;30,3;24,5;21,6;80,3;62;2,7;
2015-05-23;2,6;5,1;21,9;27,6;23,6;21,7;86,8;73;2,2;
2015-05-24;1,8;5,2;,1;28,4;23,5;21,5;81,5;64;1,3;
2015-05-25;2;8;0;29,7;25;22;74,3;58;2,5;
2015-05-26;2,9;3,6;0;29,2;24,7;22,6;78;64;1,6;
2015-05-27;2,5;6,3;0;31,3;26,5;22,9;61,8;45;2,3;
2015-05-28;4,6;5,1;,7;29,3;24,2;21,9;76,3;58;1,8;
2015-05-29;3,1;9,4;0;31,3;25,7;19,4;64,3;52;1,6;
2015-05-30;4,1;9,9;0;32,4;26,8;21;56,3;44;2,9;
2015-05-31;6,6;10,6;0;31,5;26,9;22,1;53;43;3,6;
2015-06-01;7,7;9,2;0;30,1;24,5;21,8;69;52;2,5;
2015-06-02;4,9;7,1;0;31,1;24,9;21,5;67,8;47;1,7;
2015-06-03;4,7;6;,1;29,2;24,2;21,8;76,5;55;3,1;
2015-06-04;3,2;,6;2,4;27,4;23,9;21,3;78,8;66;2,6;
2015-06-05;2,4;6,7;,4;29,9;24,6;21,7;68,8;46;2,8;
2015-06-06;5;5,1;0;29,3;25,5;22;62,5;49;3,7;
2015-06-07;4,9;7,4;0;31,2;25,8;21,4;63;44;3,9;
2015-06-08;5,7;4,3;0;29,9;24,1;20,9;63,3;48;3;
2015-06-09;4,6;9,6;0;32,1;26,1;20,8;59,3;38;2,5;
2015-06-10;5,4;6,3;0;31,3;25,3;21;60;42;3,2;
2015-06-11;5,5;5,6;0;31,3;25;20;60;42;3,1;
2015-06-12;5,9;7,9;0;31,7;25,6;21,1;61,5;44;2,8;
2015-06-13;6,3;8,4;0;32,3;25,5;20,2;56;37;3;
2015-06-14;7,5;9,3;0;33,3;27,1;22,8;54;33;2,9;
2015-06-15;6,8;8;0;32,9;26,3;22,8;62,5;41;2,1;
2015-06-16;5,7;8,5;0;32,3;26,9;23,3;52,3;38;3,8;
2015-06-17;8,2;10,6;0;30,7;25;20,2;52,8;35;4,6;
2015-06-18;6,8;9,7;0;30,3;24,9;20,8;60,3;42;3,7;
2015-06-19;6,7;8,7;0;30,5;25,1;21;56,8;37;3,1;
2015-06-20;7;6,6;0;29,3;24,1;20,9;67,8;49;4,5;
2015-06-21;4,9;4,8;1,4;28,6;23,6;20,2;59,3;51;3,9;
2015-06-22;4,4;6;,3;29;23,4;18,2;63,3;50;3,8;
2015-06-23;5,1;4,4;0;28,8;23,7;18,2;66,3;52;2;
2015-06-24;4,3;,9;0;28;24,4;22,2;71,8;62;2,4;
2015-06-25;3,6;,2;0;27,6;22,9;21,3;78,8;53;3,5;
2015-06-26;3,5;7,8;1,1;29,7;24,1;20;58;40;4,9;
2015-06-27;7;7,3;0;28,8;23,8;20;58,3;44;3,9;
2015-06-28;6,1;1,4;0;28,7;24,3;20,5;64,3;56;3;
2015-06-29;5;2,6;0;28,6;23,7;20,5;70,5;63;4,4;
2015-06-30;4,7;8,3;,3;29,8;24,4;20,4;70,5;55;4,6;
2015-07-01;5,3;2,4;7,2;28,8;24,3;20,5;67,5;55;3,6;
2015-07-02;5,4;,6;0;27,6;24,3;21,5;69,3;57;4,4;
2015-07-03;4;3,4;,1;29;23,9;20,6;73,3;55;3,2;
2015-07-04;3,6;5,7;0;31,1;25,4;21,7;63,3;45;3,1;
2015-07-05;4,5;6,5;2,6;30,6;25,1;21,9;73;52;3,7;
2015-07-06;4,6;5,6;0;30,2;25,1;21,5;60;44;4,9;
2015-07-07;6,2;8,1;0;30;24;19;63,5;45;3,9;
2015-07-08;5;1,4;4,1;28,4;23,8;20,3;76,5;58;2,7;
2015-07-09;4,5;5,6;0;30,5;25,1;21,6;61;46;2,5;
2015-07-10;4,7;9,7;0;32,3;25,7;21,3;51,8;33;2,6;
2015-07-11;7,3;9,8;0;31,4;24,7;20,4;56,8;34;2,3;
2015-07-12;6,2;5,5;0;30,1;24,9;21;56,8;41;2,9;
2015-07-13;5,7;6,5;0;31,5;25,9;21,5;52,5;37;4;
2015-07-14;7,1;9,1;0;31,1;25,4;21,3;47,8;31;5;
2015-07-15;9;10;,7;30;23,8;19,9;49,8;47;5,3;
2015-07-16;7,2;4,3;0;28,9;24,3;20,5;57;40;4,9;
2015-07-17;6,2;1;1,3;27,8;23,9;19,4;55,3;45;3,8;
2015-07-18;6;7,6;0;29,4;23,8;20;55,5;36;4,6;
2015-07-19;6,7;2,9;0;27,7;23,1;18,5;64;50;3,3;
2015-07-20;5,4;10;0;30,8;24,4;19;54,5;38;3,6;
2015-07-21;6;10,2;0;30,9;25;19,9;56,8;43;2,4;
2015-07-22;5,7;10,4;0;31,3;25,1;20,6;56,3;38;2,6;
2015-07-23;7,1;3,9;0;30,3;25,3;22,5;66,8;47;4,1;
2015-07-24;4,3;4;7;28,8;24;19,7;68,8;54;3,3;
2015-07-25;3,9;8,3;0;30,1;24;19,3;56,5;39;3,4;
2015-07-26;6,3;8,1;0;30,5;24,7;20,4;64,3;47;3,8;
2015-07-27;5,7;4,4;0;29,9;25,6;21;51,3;44;4,1;
2015-07-28;7,7;9,5;0;31,3;26,2;22,7;53;39;4,4;
2015-07-29;8,2;9;0;31,6;25,8;20,7;50;36;3,6;
2015-07-30;8,6;8,7;0;30,1;24,8;20,7;48,3;32;5,3;
2015-07-31;9,3;1,9;0;27,6;22,7;20,1;74;45;5;
2015-08-01;4,8;10,3;0;30,3;24;18,3;51,3;29;4,4;
2015-08-02;8,9;10,6;0;29,9;24,2;20,1;44,3;36;3,8;
2015-08-03;7,9;10,9;0;30,7;24;18,1;51;36;3;
2015-08-04;7,8;9,3;0;30,7;24,3;20,2;51,5;35;3;
2015-08-05;7,8;10,8;0;31,5;24,7;19,1;46,5;30;3;
2015-08-06;7,4;6,6;0;30,9;25,2;21,7;52,5;38;3;
2015-08-07;7,4;6,9;0;30,5;25,1;21,7;48;37;3,6;
2015-08-08;8,3;9,9;0;30,3;24;18,8;48,3;33;2;
2015-08-09;7,9;5,9;0;30,3;24,1;20,2;50,8;35;2,5;
2015-08-10;7;9,2;0;30,6;25,1;20,1;50,5;37;4,2;
2015-08-11;6,2;7,8;1;29,7;23,7;19,2;55,3;35;6;
2015-08-12;8,3;8,5;,1;29,3;23,4;18,4;47,5;27;5,5;
2015-08-13;9,1;10,6;0;29,1;23,4;18,5;45,8;32;4,2;
