Nome: CAROLINA
Codigo Estacao: 82765
Latitude: -7.33722221
Longitude: -47.45972222
Altitude: 182.94
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2025-07-01
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2,5;10,9;13,5;32,8;27,5;21,1;76,3;60;0;
2015-01-02;3,3;8,9;0;34;27,4;23,3;72,5;54;0;
2015-01-03;3,5;10,2;0;35,2;28,8;23,3;69,8;49;0;
2015-01-04;4,4;,2;0;29,5;25,9;23,9;81,5;72;0;
2015-01-05;2,1;8,5;0;32,6;26,4;21,9;76;56;0;
2015-01-06;3,2;8,7;0;33,6;27,9;22,9;71;56;0;
2015-01-07;3,5;4,8;0;30,4;25,5;22,3;82,5;63;0;
2015-01-08;1,6;8,1;10,1;32,8;26,7;22,5;74,8;56;0;
2015-01-09;3;9,3;0;33,8;28,2;22,7;70,8;53;0;
2015-01-10;3,6;4,6;0;33,2;27,1;23,3;86,3;77;0;
2015-01-11;2,1;9,5;1,2;33,6;28,1;22,4;74,8;58;0;
2015-01-12;3,4;0;27,2;30;24,1;21,9;91;79;0;
2015-01-13;,7;1,2;19;29;24,1;21,3;93;90;0;
2015-01-14;1,1;5,9;6,8;32;27,3;21,3;69,8;70;0;
2015-01-15;2,4;5,1;0;31,1;25;21,5;89;62;0;
2015-01-16;1,3;1,4;44,9;30,3;24;21,5;86,8;68;0;
2015-01-17;1,6;3,3;6,2;30,3;24,9;21,5;89,3;87;0;
2015-01-18;1,2;0;27,3;30,4;25,1;22,3;93;86;0;
2015-01-19;,4;3,4;60;30,5;25,1;22,7;85;68;0;
2015-01-20;1,4;2,3;11,1;29,6;24,5;21,9;86;78;0;
2015-01-21;1,5;4;,8;29,9;25,4;21,2;81,5;66;0;
2015-01-22;2,2;,7;1;29,9;25,4;22;85,8;71;0;
2015-01-23;1,6;5,1;10,2;30,7;25,7;22,6;83;66;0;
2015-01-24;2;0;46,3;24,8;23,1;20,9;95,3;90;0;
2015-01-25;,4;,5;12,8;27,5;23,4;21,1;93,8;92;0;
2015-01-26;,6;5,9;15,7;31,5;24,4;20,9;85,8;69;0;
2015-01-27;1,9;6,9;22,2;30,5;25,9;21,3;82,8;76;0;
2015-01-28;1,9;9,2;0;33,6;27,4;21,5;77;58;0;
2015-01-29;2,9;8,8;0;33,6;27,7;22,4;75,3;54;0;
2015-01-30;3;10,2;0;34,1;28,8;23,4;75,3;60;0;
2015-01-31;3,5;3;0;32,6;27,8;24,3;74,3;63;0;
2015-02-01;2,9;0;6,7;28,7;23,4;20,7;93,8;79;0;
2015-02-02;,3;5,9;5;32,1;24,8;21,1;85;67;0;
2015-02-03;2,2;5,4;8,9;32,2;26,6;21,5;86;80;0;
2015-02-04;2,1;3,5;87,5;27,9;24,4;21,7;89,5;80;0;
2015-02-05;1,2;7,4;4,2;31,9;26,5;22,3;78,8;65;0;
2015-02-06;2,9;8,1;0;32,1;27,2;23,3;77,8;67;0;
2015-02-07;2,7;2,7;0;32,3;26,7;23,9;77,5;60;0;
2015-02-08;2,8;0;0;27,6;25,5;23,1;88,8;82;0;
2015-02-09;,9;4,6;36;32,4;27,1;22,1;80,3;60;0;
2015-02-10;2,7;5,8;31,1;32,4;26,8;22,1;83;68;0;
2015-02-11;2,2;3,8;0;31,9;26,1;22,9;84,3;71;0;
2015-02-12;2;6,9;10,9;33;26,8;22,7;89,5;81;0;
2015-02-13;2,2;5,3;15,9;32,8;25,8;22,5;88,3;76;0;
2015-02-14;2,2;6,8;4,2;33;25,1;21,1;82,5;61;0;
2015-02-15;3;9,5;5,4;33,4;26,5;21,5;78,3;60;0;
2015-02-16;3,1;6,9;,3;32,5;27;23,9;79;64;0;
2015-02-17;3,7;4,3;0;32,2;26,3;23,6;82;60;0;
2015-02-18;3;,2;,8;28,2;24,2;21,9;93,3;87;0;
2015-02-19;1,3;,5;18,7;28,1;23,8;21,5;89,5;83;0;
2015-02-20;,9;,4;5,8;29;24,7;21,1;84,8;65;0;
