Nome: BALSAS
Codigo Estacao: 82768
Latitude: -7.52944443
Longitude: -46.04638888
Altitude: 263.48
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;8,1;0;33,6;27,2;21,6;63;54;,7;
2015-01-02;null;6,9;,4;34,6;27,9;22;67,8;50;,7;
2015-01-03;null;9,1;0;35;28,5;23,3;64,3;57;1;
2015-01-04;null;2,4;0;29,6;25,9;22,8;82,8;58;,7;
2015-01-05;null;8,9;0;34;27,5;22,2;74,3;54;,7;
2015-01-06;null;10,5;0;35,2;29,6;22,8;60;52;,7;
2015-01-07;null;11,4;0;33,5;28,7;22,4;79,3;60;,7;
2015-01-08;null;11,4;0;34;27,3;22,6;72,3;53;1;
2015-01-09;null;null;0;34,4;29;22,8;58,5;48;,7;
2015-01-10;null;11,3;0;35,6;28,9;23,7;66,5;46;,7;
2015-01-11;null;9;0;36;29;24,5;68,5;57;,7;
2015-01-12;null;null;35,8;29,4;25,1;22,8;87;67;,7;
2015-01-13;null;5;,4;26,5;24,3;22,2;93;93;,7;
2015-01-14;null;8,4;0;33,5;26,7;22,4;74,8;62;,7;
2015-01-15;null;8,2;0;31,2;25,9;21,8;81;66;,7;
2015-01-16;null;11,2;3,6;32,2;25,5;23,3;87;87;,7;
2015-01-17;null;11,3;0;30;25,2;21,8;95,8;85;1;
2015-01-18;null;11,3;0;26,8;24,5;22,6;92;85;,7;
2015-01-19;null;4,3;7;31,4;25,3;22,6;81,5;45;,7;
2015-01-20;null;5,9;13,6;31;24,1;22;93,3;83;1;
2015-01-21;null;4,4;24,2;31;24,2;21,4;87,3;66;1;
2015-01-22;null;1,5;9,8;30;25;21;84,8;68;,7;
2015-01-23;null;6,1;,2;32,6;26,8;22,2;72,3;57;,7;
2015-01-24;null;4,1;20,4;31,2;24,5;22,2;91,3;72;1;
