Nome: CAMPOS SALES
Codigo Estacao: 82777
Latitude: -7.07666666
Longitude: -40.38999999
Altitude: 586.06
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2019-03-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;7,8;6,4;0;33,4;27;21,4;49,5;42;6;
2015-01-02;9,6;2,7;0;31;25,5;21;72,3;43;2;
2015-01-03;5;6,2;2,3;31,9;25,7;20,6;69,5;43;2;
2015-01-04;5,2;2,2;,2;28;24;20,2;69,8;56;2,7;
2015-01-05;4,1;4,8;0;30,2;25,3;20,4;62;57;5,3;
2015-01-06;5,4;5;0;31,6;24,2;20;81,3;60;3,4;
2015-01-07;4,1;8,7;2,3;31,4;25;19,8;69,8;48;4,3;
2015-01-08;4,4;7;7,8;31;25,3;20,4;71,5;50;3,3;
2015-01-09;5,4;11,2;0;33,6;26,8;20,3;51;33;6;
2015-01-10;10;11,6;0;34,2;27,4;21;45,5;32;6;
2015-01-11;13,4;8,8;0;34,8;28,2;22,6;46;31;5,7;
2015-01-12;11,9;10,2;0;33,8;27,6;22,2;48,8;34;6;
2015-01-13;13,4;9,2;0;33,4;27,6;23,1;47,8;34;6,3;
2015-01-14;12,3;9,7;0;34,8;27,7;20,8;41,5;30;6,3;
2015-01-15;13,6;5,2;0;33,6;27,4;21,6;50,5;39;4,3;
2015-01-16;9,4;8,5;0;34,2;28,1;21,8;47,3;36;5,7;
2015-01-17;11,6;9,6;0;35,2;29,2;21,8;42,5;30;6,7;
2015-01-18;13,4;8,8;0;35,2;28,7;22,2;45,8;32;6;
2015-01-19;10;10,5;0;34;28,3;21,8;46;37;4;
2015-01-20;14;9,9;,1;34,2;27,8;21,2;49,3;40;3;
2015-01-21;10,8;4,6;0;33,6;26;22,8;70,3;44;6;
2015-01-22;5,5;4;6,7;30,5;25,7;20,8;61,3;44;4,3;
2015-01-23;7;4,3;0;32,6;26,5;21,4;53;36;6;
2015-01-24;9,8;9,2;,2;33,8;27,7;22;51,8;36;5,7;
2015-01-25;10,9;6,6;,1;32,6;26,5;21,8;52,3;38;5,3;
2015-01-26;10,1;6,1;0;33;26,8;21,2;44,5;30;3,7;
2015-01-27;10,9;9,5;0;35,4;27,3;19,5;55;31;5;
2015-01-28;12;11,3;0;35,2;27,7;20,8;40,8;28;5,7;
2015-01-29;13,6;10,8;0;34,6;28,3;21,3;46,5;34;5,7;
2015-01-30;11,1;10,9;0;34,2;27,9;21,8;51,3;37;5,7;
2015-01-31;11;9,4;0;34,6;27,5;21;52,8;37;3,3;
2015-02-01;9,9;6,3;,9;34,2;26,8;22,4;64;37;5,3;
2015-02-02;6,8;5,4;8,4;33;26,6;22,1;62,5;43;4;
2015-02-03;8,2;2,8;0;31;25,9;21,6;68,3;61;2,6;
2015-02-04;6,4;,5;0;27,6;22,8;19,8;90;70;3;
2015-02-05;1,6;7;10,3;30,4;24,7;18,6;62,5;44;3;
2015-02-06;6,6;10,2;0;32,4;26,2;20,2;52;40;5,7;
2015-02-07;8,1;8;0;33,6;27;20,4;53,3;35;5;
2015-02-08;10;4,4;0;32;26,6;21,8;49,8;34;5,7;
2015-02-09;9;10,5;0;35,2;28,5;20,6;38,5;25;5;
2015-02-10;16,1;9,9;0;35,8;29,6;23,8;39,5;30;5,7;
2015-02-11;12,4;4,3;21;31,2;26;20,6;68;36;3,7;
2015-02-12;5,2;10,5;0;33,8;27,2;21;51,3;36;4,7;
2015-02-13;8,9;9,7;0;34,8;27,3;20,4;54,5;36;6;
2015-02-14;6,5;0;16,5;27,4;24,4;21,2;78,3;59;1;
2015-02-15;3;,6;0;28,6;23,8;21;74;60;5;
2015-02-16;5,1;7,7;0;32;25,6;20,4;60,3;41;5,3;
2015-02-17;8,5;10,4;0;34,2;27,8;21;42,3;28;4,7;
2015-02-18;12,2;7,8;0;33,2;27,2;22,2;58,3;35;5,3;
2015-02-19;7,9;9,1;0;31,8;24,4;20;71;41;4,3;
2015-02-20;6,4;,5;3;27;23,1;20,6;85,8;79;2,3;
2015-02-21;2,7;,1;9;26,8;22,7;18,8;84,8;69;3,7;
2015-02-22;2,6;0;,1;25,6;22,6;19,2;85,5;69;3;
2015-02-23;2,9;,4;1,6;27,2;23,4;19,4;81;71;2,7;
2015-02-24;3,2;6,9;0;31,6;25,5;21;71;47;2,7;
2015-02-25;5,2;4,2;2,8;30,8;24,8;21,2;75,5;49;4;
2015-02-26;5;8;1,2;32,6;26;21,4;66,8;42;4;
2015-02-27;6,5;7,1;0;33,6;25,8;20,2;62,5;39;1;
2015-02-28;6,1;3,4;0;32,2;25,5;20,6;66,3;47;1,3;
2015-03-01;5,4;1,9;0;30,4;24,9;20,6;71,8;65;1,3;
2015-03-02;4,2;1,1;18;27;22,8;19;87,5;71;3,3;
2015-03-03;2,2;8,7;1,4;30,2;24,9;20,2;66;48;2,7;
2015-03-04;6,2;8,7;0;32;25,9;19,8;66;48;4,7;
2015-03-05;5,9;5,6;0;32;25;20,8;73,8;41;2,7;
2015-03-06;5,1;2,9;9,8;28,6;23,6;20;87,5;80;3,7;
2015-03-07;2,8;4,2;0;29,4;24,6;20,2;71,3;52;2,7;
2015-03-08;4,6;7,7;0;32,6;25;18,4;68;44;4,7;
2015-03-09;5,1;7,8;2,4;31;24,4;19,8;76,8;53;4,3;
2015-03-10;4,7;5,5;11,8;31;25,3;20,4;71,5;56;5,7;
2015-03-11;4,8;8,1;0;31,8;25,6;20,4;67;46;5;
2015-03-12;6,2;7;0;31,4;25,4;20;65,5;47;4;
2015-03-13;6,5;9,9;0;33,2;26,8;20;60,8;46;4,3;
2015-03-14;6,8;5,4;1,8;32,6;25,7;21,2;70,3;41;4;
2015-03-15;5,2;7;0;32,8;26,2;19,4;60,3;44;5;
2015-03-16;7,2;9,8;0;32,6;26,6;21,2;63,8;47;5,7;
2015-03-17;6,8;5,8;3,4;30;24,5;19,4;74,8;54;3,7;
2015-03-18;5;4,5;,1;31,6;25,9;21,2;61,5;41;4,7;
2015-03-19;7,4;4,7;0;32;26,3;21,6;62,3;46;4;
2015-03-20;7,1;7,7;0;33,4;27,2;21,6;56,8;40;4;
2015-03-21;6,6;1,8;45,8;28,2;23,1;19,6;87,5;60;1,7;
2015-03-22;1,8;2,4;1,8;29,6;24,7;20,4;78,5;62;3;
2015-03-23;3,2;3,7;67,3;29,2;23,3;18,8;82,8;63;1,7;
2015-03-24;2,8;5,2;13,5;29,2;24,3;20;82,3;64;4,7;
2015-03-25;3,1;2,3;3,5;28,6;23,4;20;85,3;66;3,3;
2015-03-26;2,3;1,2;4,3;27,2;23,1;19,4;91,3;86;1,3;
2015-03-27;1,7;3;3,7;27,6;23,3;19,6;88;73;2;
2015-03-28;1,5;7,6;,3;29,8;24,4;19,6;79,5;61;1,7;
2015-03-29;3,9;8,4;0;30,4;24,8;19,8;79,5;61;2,3;
2015-03-30;3,9;2,3;,4;28,6;24,1;21,2;85,5;76;4,3;
2015-03-31;1,8;3,2;5,9;29,6;23,9;19,4;87,5;76;3,7;
2015-04-01;2,5;9,6;,2;31,5;25,4;19,4;71,8;53;2;
2015-04-02;3,5;6,7;0;31,2;24,5;19,4;82,5;58;,3;
2015-04-03;3,1;8,1;,6;31,6;24,5;19;73,5;48;2,3;
2015-04-04;4,5;1,6;0;28,2;23,4;19,3;82;64;3;
2015-04-05;3,1;7,2;0;30,2;23,9;19,8;73,8;49;4;
2015-04-06;4,5;10;0;29,6;23,8;17,6;71,5;52;2,3;
2015-04-07;4,6;8,2;0;30,8;25;19,2;72,3;54;3,7;
2015-04-08;4,2;5,7;0;30;24,2;20;82,8;72;3,3;
2015-04-09;2,9;4,2;1,5;28,6;24;20,8;83;69;3,3;
2015-04-10;3,4;9,1;0;31,3;25,4;19,6;66,3;48;5,7;
2015-04-11;6,1;7,7;0;31,6;25,1;19,2;72,5;47;4,3;
2015-04-12;5,1;7;0;30,4;25,3;20,2;71;52;2,3;
2015-04-13;4,8;4,8;,8;28,4;24,7;20,3;80,3;75;5;
2015-04-14;3,2;4,7;27,8;30;24,4;20,6;84;62;3,3;
2015-04-15;3,3;7,6;2;30,6;25;20,4;77,5;56;3,7;
2015-04-16;3,7;9,9;2,9;30,4;25;19,8;73,5;55;2;
2015-04-17;4;9,1;0;30,6;24,8;19,2;75,5;57;5,3;
2015-04-18;4;7,6;,4;31,4;25,2;20,2;78,8;59;2,7;
2015-04-19;3,2;8,8;0;31,6;25,4;20;69;48;4,7;
