Nome: BARBALHA
Codigo Estacao: 82784
Latitude: -7.30083333
Longitude: -39.2711111
Altitude: 409.41
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5,1;7,4;0;36,4;28;22,1;53;31;0;
2015-01-02;7;3,6;3,8;30,8;25,3;21,1;83,3;53;,5;
2015-01-03;2,5;10;1,7;35,6;27,1;21,9;59,8;38;,5;
2015-01-04;5,5;3;39;30;24;20;83,8;67;0;
2015-01-05;2;6,4;10,5;31,4;24,5;20,3;83,3;58;0;
2015-01-06;2,5;9,8;0;34,8;26,1;20,7;76,5;50;,5;
2015-01-07;4,7;8,2;0;33,1;26,2;21,5;67,5;45;,1;
2015-01-08;4,2;6,9;0;32,7;26;22,7;63,8;42;0;
2015-01-09;8;11,5;0;34,6;27,1;20,3;50;34;,1;
2015-01-10;8,8;11,4;0;35,3;27,7;19,8;44,8;35;,2;
2015-01-11;9,3;11,5;0;35,2;27,7;22,5;66,8;38;,5;
2015-01-12;2,5;9,7;0;35;27,4;22,6;57,5;37;,1;
2015-01-13;7,6;11,4;0;33,9;27,5;22,1;56;38;,5;
2015-01-14;8,2;11,1;0;35,7;27,7;20,3;52;33;,5;
2015-01-15;9,7;8,4;0;35,9;27,6;21,1;60,3;32;0;
2015-01-16;7,3;10,9;0;35,8;28;22,9;56,3;34;0;
2015-01-17;7,2;11,5;0;37,4;29,9;23,4;41,5;29;,1;
2015-01-18;8,7;10,7;0;37,3;28,6;22,3;53,8;35;0;
2015-01-19;5,9;9;0;36;27,5;21,7;56,5;38;0;
2015-01-20;6;9,1;3;35,9;27;21,7;57;26;,1;
2015-01-21;6;5,5;0;35,5;26,8;23;68,3;37;0;
2015-01-22;4,5;2,7;90,5;30,3;23,9;19,4;81,8;55;0;
2015-01-23;2,7;5,1;0;32,3;25,3;21,3;68,3;53;,5;
2015-01-24;3,8;7,4;0;34,1;26,9;21,1;64;40;,1;
2015-01-25;4,2;9,5;1;33,2;26,3;21,4;62;40;0;
2015-01-26;4,9;7,4;0;33,3;25,3;20,5;61,8;40;0;
2015-01-27;4,6;10,3;0;35,5;26,9;18;59,8;41;0;
2015-01-28;6,5;10,2;0;35,1;27,3;20;45,3;26;0;
2015-01-29;6,8;9,9;0;34,1;26,7;20,9;59,5;38;,1;
2015-01-30;6,1;8,6;0;35,2;28;22,5;57;41;0;
