Nome: TRIUNFO
Codigo Estacao: 82789
Latitude: -7.82972221
Longitude: -38.12222221
Altitude: 1105
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2018-03-28
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5;10,4;0;30;23,6;17,2;60;57;3,3;
2015-01-02;6;4,3;5,4;29;22,5;19,1;85;54;3,3;
2015-01-03;3,5;10,7;0;29,5;23,6;17,7;55;73;2,9;
2015-01-04;7,4;6;0;29,2;22,6;17,2;73;46;2,1;
2015-01-05;2,6;5,4;4,2;28,8;21;16,7;87;64;2,9;
2015-01-06;3;7;3,4;27,6;21,8;17,2;79;73;3,3;
2015-01-07;4;6,7;1;29,5;22;16,7;79;82;2,9;
2015-01-08;4,5;9,7;0;28,9;23,2;16,9;59;73;2,1;
2015-01-09;6;10,8;0;29,3;22,3;16,7;74;52;3,3;
2015-01-10;6;11,5;1;30,1;21;16,6;90;73;5,4;
2015-01-11;5;8;3,2;30,6;22,8;17,3;74;90;3,8;
2015-01-12;4,5;6,3;0;28,6;23;18,5;66;67;2,5;
2015-01-13;5,3;10,7;0;30;22,7;16,6;65;54;4,2;
2015-01-14;5,7;10,6;0;30,8;23,6;16,4;56;58;3,7;
2015-01-15;5;9,7;0;30,4;23,9;16,8;54;45;3,7;
2015-01-16;4,2;9,1;0;30,3;24,3;17,8;56;48;2,9;
2015-01-17;7,8;11,5;0;31,5;24,7;18,5;55;49;4,2;
2015-01-18;9,2;9,7;0;31,7;24,6;17,8;54;47;4,1;
2015-01-19;6,5;9;0;30,6;23;17,6;71;46;2,5;
2015-01-20;4,4;11,5;1,8;31,3;24,5;17,5;49;62;1,2;
2015-01-21;8,8;8,4;0;30,6;23,5;18,5;69;42;2,1;
2015-01-22;6,2;2,8;0;27,5;22,3;18,5;69;67;1,6;
2015-01-23;6;3,4;0;27,3;22,5;17,9;61;59;2,9;
2015-01-24;6,5;5;0;30;21;17,6;94;53;4,2;
2015-01-25;3,5;9,2;6,4;29,3;23,2;17,4;56;79;3,8;
2015-01-26;6,2;10,2;0;30;23,6;16,8;46;44;2,1;
2015-01-27;7,2;11,6;0;31;24,4;17,8;51;36;2,9;
2015-01-28;7,6;11,6;0;30,4;23,5;16,8;54;40;5;
2015-01-29;9,5;11,3;0;31,1;22,6;17,3;78;46;1,7;
2015-01-30;6,1;6,4;2,8;30,6;22,9;18,7;73;77;2,9;
2015-01-31;5,4;9;0;30,2;24,3;17,9;53;67;2,9;
2015-02-01;5,5;10,3;0;30,5;24,2;18,3;55,5;37;3,9;
2015-02-02;8,5;8,5;0;30,7;24,2;18,7;50,8;40;2,2;
2015-02-03;6,5;3,8;15,6;27,1;21,9;17,6;74,5;55;2,5;
2015-02-04;1,3;,4;33,6;25,1;20,5;17,6;82;67;2,1;
2015-02-05;2,2;6,1;0;28;22,1;18,1;78;54;2,5;
2015-02-06;3,5;11;0;28,9;23;17,5;58,3;48;3,3;
2015-02-07;4,9;9,8;0;29,4;22,9;16,9;59;44;4,4;
2015-02-08;6,3;10;0;29,6;23,7;17,6;60,5;48;2,5;
2015-02-09;6,7;10;0;29,5;23,1;16,9;60,3;47;4,1;
2015-02-10;8;11;0;31,2;24,6;17,6;50,3;34;3,7;
2015-02-11;6,9;9,8;0;31,3;24,7;17,4;49,8;36;2,2;
2015-02-12;7;8,7;0;31,2;24,3;17,8;57,5;38;2,5;
2015-02-13;6,5;10,6;0;30,9;24,3;18,3;52,5;36;3,6;
2015-02-14;8,3;7,9;0;30,5;23,4;17,9;58,3;41;2,3;
2015-02-15;6,1;0;0;24,8;21;18,7;78,5;59;3,4;
2015-02-16;3,2;6,4;0;29,9;23,7;18;55,5;36;2,9;
2015-02-17;7;10,5;0;31,2;24,3;17,8;52,5;35;3,8;
2015-02-18;7,2;7,5;0;30,2;22,5;18,9;78,8;46;4,4;
2015-02-19;4,6;7,2;0;28,2;20,6;18;89,3;83;3,7;
2015-02-20;3,1;5,1;6,8;27,6;19,9;16,8;83,5;55;2,8;
2015-02-21;2,3;0;15,6;22,9;20,1;16,9;84,8;77;1,9;
2015-02-22;2,7;4,3;5;27;20,1;16,5;83,8;63;3,9;
2015-02-23;1;2,1;13,2;25,2;20,8;16,2;76;71;2,9;
2015-02-24;2,3;9,1;0;29;22,9;18;68,8;48;3,3;
2015-02-25;4,7;5,6;0;29,2;22,9;19,1;70,8;47;4,2;
2015-02-26;5;10,9;1;29,8;23,5;17,3;64,5;44;2,4;
2015-02-27;6,5;10,3;0;30,6;24,3;18,4;54,5;40;1,9;
2015-02-28;5;7,8;4;29;21,4;17,6;86,5;60;1,6;
2015-03-01;2,7;6;3,4;29,1;21,4;18,6;88,8;55;2,3;
2015-03-02;3,2;4,3;7;26,7;21,2;16,9;83;64;3;
2015-03-03;2,6;9,6;3;26,6;21,9;16,6;61;53;3,6;
2015-03-04;5,4;7,1;0;28,5;22,9;16,3;54;43;3,4;
2015-03-05;5,8;9,8;0;27,8;20,7;16,9;85,5;53;3,9;
2015-03-06;3,5;6,2;5,4;28,3;22,3;17,8;76;56;2,7;
2015-03-07;4;10,8;0;28,6;21,9;15,4;59,3;37;4,2;
2015-03-08;5,4;6,3;0;27,2;21,7;18,1;82;57;3,3;
2015-03-09;3;8,5;9,4;27,9;21,8;17,6;86,8;61;2,8;
2015-03-10;2,5;9,9;,4;27,8;22,8;18,1;74;60;2,7;
2015-03-11;4;11,1;0;29,6;23,6;16,9;47,5;35;4,2;
2015-03-12;6,8;9,9;0;29;23,2;17,8;57,3;46;2,7;
2015-03-13;5;10,8;0;30,3;23,7;17,8;57;45;4,1;
2015-03-14;6,4;11,1;0;30,3;23,4;16,3;52,3;35;2,7;
2015-03-15;6,9;9,9;0;30,4;23,4;17,3;50,8;36;2,5;
2015-03-16;4,2;7,1;38,2;28,3;22,3;16,5;71;50;1,8;
2015-03-17;3,5;8,1;1;28,8;22,7;17,7;65,8;44;2,8;
2015-03-18;5;8,7;0;29,5;23,6;17,3;56,3;39;2,3;
2015-03-19;5,5;8,9;0;28,7;23;17,8;58,8;47;3,8;
2015-03-20;7,8;7,7;0;28,8;22,4;16,9;65,5;46;3;
2015-03-21;4,7;6,2;0;29;20,7;16,6;84,3;54;1,1;
2015-03-22;2,2;3,4;82;26;19,7;15,9;89;64;2,7;
2015-03-23;1,8;4,3;23,6;26,3;21;16,6;89,5;73;1,9;
2015-03-24;2,2;2,3;3;26,2;22,2;17,8;75;64;2,1;
2015-03-25;1,3;9,3;4;27,4;23;18,1;65,3;57;3,2;
2015-03-26;4;10,6;0;28,2;23,1;18,6;69,3;56;2,4;
2015-03-27;4;10,9;0;28,1;22;17,4;77,5;53;3,3;
2015-03-28;3,5;11,3;0;28,5;23;17,9;58;49;3,5;
2015-03-29;5,5;7,5;0;27,5;22,6;18,6;83,3;57;2,7;
2015-03-30;2,5;5,6;2,4;27,6;20,8;18,1;93,5;82;4,7;
2015-03-31;1;9;7;26,9;22,5;17,7;60,8;56;2,8;
2015-04-01;4,5;11,2;0;29,2;23,2;17,3;69,8;50;1,6;
2015-04-02;3,5;9,1;0;28;22,7;18,3;67;54;1,3;
2015-04-03;4;10;0;28,8;22,3;18;71,3;38;2,2;
2015-04-04;3,8;9,3;0;27,8;21,9;18,8;83,5;55;2,2;
2015-04-05;2,2;9,7;0;28,4;22;18,2;75,8;49;2,2;
2015-04-06;2,5;9,3;0;26,8;21,5;17,8;80,8;63;3;
2015-04-07;2,2;7,3;0;27,1;21,7;18,1;86,5;68;2,6;
2015-04-08;1,8;7,5;0;28,2;22,5;18,9;84;62;3;
2015-04-09;1,3;9,3;17;25,9;21,7;17,7;77,8;63;2,3;
2015-04-10;1,8;9;0;27,2;22,5;18,4;70,3;57;2,9;
2015-04-11;4,2;9,1;0;27,8;21,9;17,6;82;54;2,8;
2015-04-12;2,9;5,9;10,8;24,9;20;17,6;94,8;79;3,3;
2015-04-13;1,1;8,2;10,2;27,3;21,3;18,1;85,3;56;1,9;
2015-04-14;1,7;10,5;17,4;28,2;22;16,8;68;41;3,3;
2015-04-15;3,5;9,6;8,4;28,7;22,6;18,1;69,5;42;3,3;
2015-04-16;3,8;11,1;0;29,3;22,9;17,3;56;33;2,6;
2015-04-17;4;10,9;0;29,2;23,1;17,5;66,3;47;2,8;
2015-04-18;3,5;11;0;28,6;22,8;17,6;59,5;39;2,2;
2015-04-19;4;9,6;0;29,8;22,5;16,8;64,8;38;3;
2015-04-20;5;8,6;0;29,3;22,6;18;72;51;1,8;
2015-04-21;3;10,7;1;28,3;22,6;17,4;68,5;51;2,2;
2015-04-22;3,7;10,5;0;30,3;21,9;18,1;80;49;3;
2015-04-23;2,8;8;32;27,5;21,2;17,8;86,3;74;3,9;
2015-04-24;1;8,3;3;27,3;21,9;17,8;75,5;55;3;
2015-04-25;2,6;10,1;0;27,9;22;17,8;70,8;50;2,9;
2015-04-26;3,3;10,6;0;28,2;22,4;18,1;65;51;3,3;
2015-04-27;4,1;10,8;0;29;22,6;17,2;66,3;49;1,9;
2015-04-28;4;10,8;0;28,8;22,4;17,2;59,5;42;2,4;
2015-04-29;5,5;9,8;0;28,6;22,3;17,6;65,3;47;3;
2015-04-30;4,1;9,8;0;29,1;23;17,9;54;42;2,5;
2015-05-01;5,3;9,1;0;29,2;23,9;18,3;54,5;47;1,9;
2015-05-02;4,9;5;0;27,5;23,1;18,9;63,8;55;2,6;
2015-05-03;4,5;6,7;0;27,6;21,4;18,1;79,3;67;3,9;
2015-05-04;3,4;7,3;1;27,4;22,2;17,4;60,5;47;2,3;
2015-05-05;2,4;9;0;29,6;23,2;17,6;53,3;40;1,9;
2015-05-06;3,2;9,2;0;28,6;23,3;18,6;59;46;3,3;
